model,environment,complexity,grammar,instruction_type,reward_type,average_success_rate,std_success_rate,random_agent_average_success_rate,random_agent_std_success_rate,evaluated_env
curriculum_sparse,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,8,complete,sparse,0.0,0.0,0.0,0.0,seen
curriculum_sparse,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,8,incomplete,sparse,0.012,3.475,0.0,0.0,seen
curriculum_sparse,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,8,complete,sparse,0.065,15.686,0.0,0.0,seen
curriculum_sparse,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,8,complete,sparse,0.038,5.559,0.0,0.0,seen
curriculum_sparse,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,8,incomplete,sparse,0.053,7.515,0.0,0.0,seen
curriculum_sparse,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,8,complete,sparse,0.024,6.332,0.0,0.0,seen
curriculum_sparse,JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,0.51-0.76,8,complete,sparse,0.225,40.304,0.0,0.0,seen
curriculum_sparse,JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,0.51-0.76,8,incomplete,sparse,0.229,13.488,0.0,0.0,seen
curriculum_sparse,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,8,complete,sparse,0.005,1.432,0.0,0.0,seen
curriculum_sparse,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,8,incomplete,sparse,0.001,0.146,0.0,0.0,seen
curriculum_sparse,IP_arial_Approach2_525753.0_2026037.3333333335.z8,0.26-0.51,8,complete,sparse,0.03,4.613,0.0,0.0,seen
curriculum_sparse,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,8,complete,sparse,0.028,6.192,0.0,0.0,seen
curriculum_sparse,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,8,incomplete,sparse,0.053,8.327,0.0,0.0,seen
curriculum_sparse,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,8,complete,sparse,0.162,20.772,0.0,0.0,seen
curriculum_sparse,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,8,complete,sparse,0.085,19.736,0.0,0.0,seen
curriculum_sparse,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,8,incomplete,sparse,0.088,11.643,0.0,0.0,seen
curriculum_sparse,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,8,complete,sparse,0.005,1.634,0.0,0.0,seen
curriculum_sparse,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,8,complete,sparse,0.084,9.307,0.0,0.0,seen
curriculum_sparse,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,8,complete,sparse,0.129,26.619,0.0,0.0,seen
curriculum_sparse,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,8,incomplete,sparse,0.05,9.264,0.0,0.0,seen
curriculum_sparse,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,8,complete,sparse,0.109,19.891,0.0,0.0,seen
