Letter,Origin_X,Origin_Y,Destination_X,Destination_Y,Grammar,Valid/Invalid,ICD,Bearing Entropy,Categorized Bearing Entropy,Graph Asymmetry,Normalized ICD,Normalized Bearing Entropy,Normalized Categorized Bearing Entropy,Normalized Graph Asymmetry,Skeletonization_Method,Path,Unnamed: 17,count ,Valid/Invalid_Agent6,Valid/Invalid_Agent4,distinct
A_Average-Regular,500768,999991,501281,999991,4sector,Invalid,2,4.906890596,3.098929564,185.4011181,0.5714285714,0.5332021762,0.891842654,0.1608528206,Approach1,LSP,serif+skelet,150,,,A_Average-Regular_Approach1
A_Average-Regular,500768,999991,501281,999991,6sector,Invalid,2,4.906890596,3.098929564,185.4011181,0.5714285714,0.5332021762,0.891842654,0.1608528206,Approach1,LSP,sans serif + skeleton ,152,,,A_Average-Regular_Approach1
A_Average-Regular,500768,999991,501281,999991,8sector,Valid,2,4.906890596,3.098929564,185.4011181,0.5714285714,0.5332021762,0.891842654,0.1608528206,Approach1,LSP,serif medial ,191,,,A_Average-Regular_Approach1
A_Average-Regular,500768,999991,501281,999991,Klippel,Valid,2,4.906890596,3.098929564,185.4011181,0.5714285714,0.5332021762,0.891842654,0.1608528206,Approach1,LSP,sans serif media,170,,,A_Average-Regular_Approach1
ACI_Average-Regular,501155,1005932,503777,1003791,4sector,Invalid,2.068965517,5.906890596,3.103842359,387.7183013,0.6896551724,0.7394729349,0.8950200137,0.3363819109,Approach1,LSP,right-angle / boundary ,7,,,ACI_Average-Regular_Approach1
ACI_Average-Regular,501155,1005932,503777,1003791,6sector,Invalid,2.068965517,5.906890596,3.103842359,387.7183013,0.6896551724,0.7394729349,0.8950200137,0.3363819109,Approach1,LSP,righjt angle medial axis,48,,,ACI_Average-Regular_Approach1
ACI_Average-Regular,501155,1005932,503777,1003791,8sector,Valid,2.068965517,5.906890596,3.103842359,387.7183013,0.6896551724,0.7394729349,0.8950200137,0.3363819109,Approach1,LSP,,150,,,ACI_Average-Regular_Approach1
ACI_Average-Regular,501155,1005932,503777,1003791,Klippel,Invalid,2.068965517,5.906890596,3.103842359,387.7183013,0.6896551724,0.7394729349,0.8950200137,0.3363819109,Approach1,LSP,,,,,ACI_Average-Regular_Approach1
AKV_Average-Regular,501155,1021132,503667,1019080,4sector,Invalid,2,6.584962501,3.231208531,590.1833479,0.5714285714,0.8793393412,0.9773943215,0.5120392864,Approach1,LSP,,,,,AKV_Average-Regular_Approach1
AKV_Average-Regular,501155,1021132,503667,1019080,6sector,Invalid,2,6.584962501,3.231208531,590.1833479,0.5714285714,0.8793393412,0.9773943215,0.5120392864,Approach1,LSP,,,,,AKV_Average-Regular_Approach1
