Wall time,Step,Value
1739935872.6266496,51200,1504.0
1739935896.9435515,79872,1250.0
1739935953.2403388,139264,1124.0
1739935977.6248922,169984,1154.0
1739935979.3150702,172032,1154.0
1739935992.6810167,188416,1162.0
1739936001.6441913,200704,1176.0
1739936010.0990043,210944,1178.0
1739936021.2584083,225280,1185.0
1739936043.6364374,253952,1197.0
1739936050.8803995,262144,1195.0
1739936084.530885,305152,1207.0
1739936087.6682963,309248,1209.0
1739936132.3711147,364544,1213.0
1739936136.7973168,370688,1216.0
1739936140.7223516,374784,1214.0
1739936143.8048549,378880,1215.0
1739936156.1979952,395264,1220.0
1739936186.2632802,434176,1227.0
1739936204.1872048,458752,1234.0
1739936207.3169763,462848,1235.0
1739936244.7553756,512000,1243.0
1739936269.1023977,542720,1244.0
1739936270.521857,544768,1244.0
1739936292.6830337,573440,1247.0
1739936310.633211,598016,1252.0
1739936315.116563,604160,1253.0
1739936327.2567668,620544,1256.0
1739936331.9508805,626688,1256.0
1739936346.6047194,647168,1260.0
1739936378.0250902,690176,1267.0
1739936382.7872946,696320,1267.0
1739936387.1778386,702464,1268.0
1739936422.8744807,751616,1275.0
1739936441.4004633,776192,1277.0
1739936450.0635703,788480,1279.0
1739936452.970752,792576,1280.0
1739936471.1889715,817152,1282.0
1739936482.7487981,833536,1284.0
1739936489.502761,841728,1283.0
1739936507.0920026,866304,1287.0
1739936526.6154413,892928,1289.0
1739936558.3371243,935936,1292.0
1739936559.8959637,937984,1292.0
1739936562.996202,942080,1292.0
1739936573.2489066,956416,1294.0
1739936597.2695942,987136,1293.0
1739936603.2267375,995328,1294.0
1739936618.1040246,1015808,1295.0
1739936625.7705028,1026048,1296.0
1739936627.1881647,1028096,1296.0
1739936636.3637557,1040384,1297.0
1739936687.6452465,1087488,1286.0
1739936690.4481235,1091584,1299.0
1739936691.98316,1093632,1300.0
1739936697.9954038,1101824,1308.0
1739936723.2683666,1134592,1304.0
1739936731.1035779,1144832,1304.0
1739936734.1135113,1148928,1306.0
1739936753.1154966,1173504,1304.0
