Wall time,Step,Value
1739939085.6377108,51200,1107.0
1739939112.81751,79872,1068.0
1739939167.54921,139264,1078.0
1739939195.7472215,169984,1081.0
1739939197.608151,172032,1081.0
1739939211.9649575,188416,1087.0
1739939223.885508,200704,1083.0
1739939233.1253247,210944,1084.0
1739939246.2465858,225280,1085.0
1739939272.9480834,253952,1083.0
1739939280.3045757,262144,1084.0
1739939319.4120822,305152,1087.0
1739939323.1048634,309248,1087.0
1739939374.0597966,364544,1087.0
1739939379.5495625,370688,1087.0
1739939383.1860242,374784,1088.0
1739939387.0228927,378880,1087.0
1739939402.0955207,395264,1087.0
1739939437.8326433,434176,1087.0
1739939460.2333198,458752,1088.0
1739939464.0191019,462848,1088.0
1739939508.9803557,512000,1088.0
1739939537.0515084,542720,1089.0
1739939538.846443,544768,1089.0
1739939565.2725222,573440,1089.0
1739939587.8449903,598016,1089.0
1739939593.3882258,604160,1089.0
1739939608.3650203,620544,1089.0
1739939614.2446082,626688,1089.0
1739939632.6527836,647168,1089.0
1739939672.1542885,690176,1089.0
1739939677.7368906,696320,1089.0
1739939683.250364,702464,1090.0
1739939728.6162407,751616,1089.0
1739939750.810877,776192,1090.0
1739939762.3601303,788480,1089.0
1739939766.0284278,792576,1089.0
1739939788.4120014,817152,1090.0
1739939803.45005,833536,1090.0
1739939810.8167398,841728,1090.0
1739939833.1666286,866304,1090.0
1739939857.2772422,892928,1091.0
1739939896.772709,935936,1090.0
1739939898.598203,937984,1091.0
1739939902.113563,942080,1091.0
1739939915.089906,956416,1091.0
1739939941.9563434,987136,1093.0
1739939948.7742999,995328,1093.0
1739939966.8152058,1015808,1094.0
1739939975.4660664,1026048,1095.0
1739939977.1206157,1028096,1095.0
1739939988.136282,1040384,1096.0
1739940039.591756,1087488,1290.0
1739940042.7424955,1091584,1291.0
1739940045.162133,1093632,1265.0
1739940051.3340435,1101824,1273.0
1739940078.2282743,1134592,1253.0
1739940085.9104989,1144832,1260.0
1739940089.8068974,1148928,1251.0
1739940109.5081482,1173504,1250.0
1739940115.6233659,1181696,1255.0
1739940125.3978834,1193984,1255.0
1739940172.22441,1251328,1246.0
1739940180.3107865,1259520,1236.0
1739940183.34737,1263616,1238.0
1739940236.9594011,1331200,1243.0
1739940249.7389057,1347584,1245.0
1739940259.610704,1359872,1245.0
1739940261.067218,1361920,1246.0
1739940282.5769436,1390592,1252.0
1739940296.9638555,1409024,1254.0
1739940309.7152352,1425408,1255.0
1739940382.7158914,1519616,1262.0
1739940388.737161,1527808,1263.0
1739940417.3534572,1566720,1270.0
1739940448.9598963,1607680,1272.0
1739940466.5656707,1630208,1272.0
1739940468.0514662,1632256,1272.0
1739940477.2602773,1644544,1274.0
1739940486.4047616,1656832,1275.0
1739940511.8831613,1689600,1275.0
1739940513.2762623,1691648,1276.0
1739940516.1596713,1695744,1277.0
1739940534.2723367,1720320,1280.0
1739940554.9404056,1746944,1280.0
1739940593.184959,1798144,1284.0
1739940607.9818935,1816576,1283.0
1739940616.5442913,1826816,1281.0
