model_name,env_name,complexity,grammar,instruction_type,reward_type,average_success_rate,std_success_rate,random_agent_average_success_rate,random_agent_std_success_rate,is_seen
curriculum_sparse,IVM_realworld,low,8,complete,sparse,0.0125,5.448623679425842,0.11,0.31288975694324034,realworld
curriculum_sparse,Chadstone_realworld,low,8,complete,sparse,0.0025,2.48746859276655,0.01,0.09949874371066199,realworld
curriculum_sparse,Emporia_realworld,low,8,complete,sparse,0.0,0.0,0.0,0.0,realworld
curriculum_sparse,Falcon_realworld,low,8,complete,sparse,0.0025,2.48746859276655,0.0,0.0,realworld
curriculum_sparse,IVM_realworld,low,6,complete,sparse,0.0025,2.48746859276655,0.03,0.1705872210923198,realworld
curriculum_sparse,Chadstone_realworld,low,6,complete,sparse,0.0,0.0,0.01,0.09949874371066199,realworld
curriculum_sparse,Emporia_realworld,low,6,complete,sparse,0.0025,2.48746859276655,0.0,0.0,realworld
curriculum_sparse,Falcon_realworld,low,6,complete,sparse,0.0,0.0,0.0,0.0,realworld
curriculum_sparse,IVM_realworld,low,4,complete,sparse,0.005,3.5,0.01,0.09949874371066199,realworld
curriculum_sparse,Chadstone_realworld,low,4,complete,sparse,0.0,0.0,0.0,0.0,realworld
curriculum_sparse,Emporia_realworld,low,4,complete,sparse,0.0,0.0,0.01,0.09949874371066199,realworld
curriculum_sparse,Falcon_realworld,low,4,complete,sparse,0.0,0.0,0.0,0.0,realworld
curriculum_step_cost,IVM_realworld,low,8,complete,step_cost,0.9378,27.11257272927082,0.1,0.3,realworld
curriculum_step_cost,Chadstone_realworld,low,8,complete,step_cost,1.0,0.0,0.03,0.1705872210923198,realworld
curriculum_step_cost,Emporia_realworld,low,8,complete,step_cost,1.0,0.0,0.01,0.09949874371066199,realworld
curriculum_step_cost,Falcon_realworld,low,8,complete,step_cost,0.9875,12.43734296383275,0.0,0.0,realworld
curriculum_step_cost,IVM_realworld,low,6,complete,step_cost,0.988,11.939849245279442,0.07,0.25514701644346144,realworld
curriculum_step_cost,Chadstone_realworld,low,6,complete,step_cost,1.0,0.0,0.0,0.0,realworld
curriculum_step_cost,Emporia_realworld,low,6,complete,step_cost,1.0,0.0,0.03,0.17058722109231983,realworld
curriculum_step_cost,Falcon_realworld,low,6,complete,step_cost,0.9876,12.337844220122086,0.02,0.13999999999999999,realworld
curriculum_step_cost,IVM_realworld,low,4,complete,step_cost,0.9754999999999999,17.15364392774899,0.01,0.09949874371066199,realworld
curriculum_step_cost,Chadstone_realworld,low,4,complete,step_cost,0.9875,12.43734296383275,0.0,0.0,realworld
curriculum_step_cost,Emporia_realworld,low,4,complete,step_cost,1.0,0.0,0.0,0.0,realworld
curriculum_step_cost,Falcon_realworld,low,4,complete,step_cost,1.0,0.0,0.01,0.09949874371066199,realworld
