#{"t_start": 1745971032.1683097, "env_id": "None"}
r,l,t
-3.0,3,0.011714
-2.0,2,0.013406
-2.0,2,0.014997
-10.0,10,0.021489
-6.0,6,0.025506
-5.272823,2,0.027128
-4.0,4,0.029922
-4.183012,2,0.031525
-2.0,2,0.033154
-8.272823,5,0.036551
-2.0,2,0.038124
-4.0,4,0.040904
-9.0,9,0.046599
-2.0,2,0.048175
-3.0,3,0.050335
-2.0,2,0.051907
-3.0,3,0.054072
5.334861,2,0.055703
-4.0,4,0.058502
-4.0,4,0.061255
-3.0,3,0.063421
-4.0,4,0.066182
-2.0,2,0.067731
-7.183012,5,0.071131
-2.0,2,0.072691
-18.265171,4,0.075493
-3.0,3,0.077663
-5.0,5,0.081046
-3.0,3,0.083195
-6.0,6,0.087122
-38.0,38,0.109974
-4.0,4,0.112759
-7.0,7,0.117294
-7.0,7,0.121851
-8.969407,5,0.125244
-5.0,5,0.128597
-3.0,3,0.130795
-6.0,6,0.134741
-1.635858,2,0.136362
-11.0,11,0.143217
-7.0,7,0.14841
-21.0,21,0.161286
-7.0,7,0.166021
-4.0,4,0.168788
-4.0,4,0.17151
-13.0,13,0.179597
-11.206604,13,0.187719
-7.906852,5,0.191108
-3.0,3,0.1933
-2.0,2,0.194846
-11.0,11,0.201845
-4.0,4,0.204585
-4.0,4,0.207341
-18.0,18,0.218395
-3.0,3,0.220566
-7.159102,5,0.223978
-20.0,20,0.236172
-2.0,2,0.237741
-6.0,6,0.241672
-2.0,2,0.243228
1.334861,6,0.24723
-15.0,15,0.256542
-17.0,17,0.267251
-15.0,15,0.276492
-3.0,3,0.278664
-30.0,30,0.296913
-13.0,13,0.304959
-18.0,18,0.315926
-5.0,5,0.319258
-2.0,2,0.320848
-3.0,3,0.322988
4.834114,4,0.325792
-5.0,5,0.329151
-5.0,5,0.332475
-18.265171,4,0.335285
-5.0,5,0.33866
-8.0,8,0.343786
-2.206604,4,0.346603
-2.0,2,0.348169
-6.0,6,0.353102
-8.0,8,0.358283
-3.0,3,0.360461
-2.635858,3,0.362695
-6.0,6,0.36665
-7.0,7,0.371194
-5.0,5,0.374607
-11.906852,9,0.380393
-9.0,9,0.386132
-6.0,6,0.390101
-4.0,4,0.392879
-3.0,3,0.395024
-7.906852,5,0.398448
-6.0,6,0.402387
-8.0,8,0.407518
31.946364,3,0.409766
-0.206604,2,0.411367
-3.0,3,0.413545
-5.0,5,0.416912
-7.0,7,0.421452
1.834114,7,0.426059
-4.0,4,0.428836
-6.0,6,0.432801
-3.0,3,0.434963
-4.906852,2,0.436605
-8.183012,6,0.440621
-4.0,4,0.443403
-3.0,3,0.445595
-25.0,25,0.460757
-2.0,2,0.462306
-2.0,2,0.464393
-2.0,2,0.465971
-2.0,2,0.467547
-4.0,4,0.470316
-2.0,2,0.471927
-4.0,4,0.474695
-4.0,4,0.477479
-3.0,3,0.479635
-4.0,4,0.482401
-3.0,3,0.484561
-5.183012,3,0.486782
-10.159102,8,0.492003
-9.0,9,0.497751
-2.0,2,0.499298
-1.626035,2,0.500952
-3.0,3,0.503104
-4.183012,2,0.504888
-12.0,12,0.51238
-2.642609,5,0.515816
-13.0,13,0.523877
-2.0,2,0.52573
-12.0,12,0.533254
-13.0,13,0.541345
-9.969407,6,0.545362
-10.0,10,0.551705
5.334861,2,0.553342
-2.0,2,0.554889
-4.0,4,0.557682
-29.0,29,0.575217
-7.0,7,0.579753
-2.0,2,0.581331
-6.183012,4,0.584128
-2.0,2,0.585718
-29.0,29,0.603185
-5.0,5,0.606527
-10.0,10,0.612875
