#{"t_start": 1745970861.1781044, "env_id": "None"}
r,l,t
-1.096424,2,0.013546
-5.0,5,0.017125
-2.0,2,0.018764
-5.0,5,0.022267
180.384595,2,0.023938
-3.0,3,0.02615
-0.84165,4,0.029049
-8.0,8,0.034336
-3.0,3,0.036542
-29.0,29,0.0542
-2.096424,3,0.056469
-9.0,9,0.062254
-3.0,3,0.064454
-2.0,2,0.066024
-2.0,2,0.067609
-19.0,19,0.079423
-5.0,5,0.082724
-3.0,3,0.084872
-11.0,11,0.091698
-11.0,11,0.098503
-5.0,5,0.101815
168.227492,5,0.105182
-3.0,3,0.107322
-4.0,4,0.110033
-15.0,15,0.119176
-3.0,3,0.121312
-6.0,6,0.125199
-6.0,6,0.129126
-5.0,5,0.132445
-11.0,11,0.139258
-2.0,2,0.140796
-5.0,5,0.14412
-12.0,12,0.151522
-5.0,5,0.154819
-5.0,5,0.15905
-5.0,5,0.162349
-13.84165,17,0.17272
-13.0,13,0.18072
-4.0,4,0.183457
-4.652536,2,0.185047
-4.0,4,0.187779
-2.0,2,0.189322
-11.0,11,0.196347
-3.0,3,0.19863
-4.0,4,0.201355
-12.0,12,0.208732
-17.844973,4,0.211535
-19.0,19,0.223004
-11.0,11,0.229844
-3.0,3,0.232
163.227492,10,0.238272
-3.0,3,0.240426
80.365898,3,0.242612
-4.595236,2,0.244238
-4.652536,2,0.245846
-4.0,4,0.248563
-2.0,2,0.250117
-3.0,3,0.252259
-2.0,2,0.253809
-7.0,7,0.258289
-3.0,3,0.260429
-5.0,5,0.265385
-5.0,5,0.268701
-6.0,6,0.272668
-32.0,32,0.291744
-2.0,2,0.293297
-19.0,19,0.304872
178.384595,4,0.307674
-2.0,2,0.309229
-3.0,3,0.311373
-7.0,7,0.315837
-2.0,2,0.317388
-0.300731,3,0.320582
-10.0,10,0.32684
-2.0,2,0.328448
-2.0,2,0.329999
-7.0,7,0.334466
-7.0,7,0.338932
-2.096424,3,0.341145
-4.0,4,0.343887
-1.493965,2,0.345493
11.492299,2,0.3471
-21.0,21,0.359735
-20.0,20,0.371781
-2.0,2,0.373333
-3.84165,7,0.377893
-6.0,6,0.381945
-5.0,5,0.38526
-6.0,6,0.38914
-2.0,2,0.390743
-15.901788,10,0.397023
-22.844973,9,0.402745
-17.0,17,0.413015
-4.652536,2,0.414625
-17.0,17,0.424936
-7.0,7,0.429489
-14.0,14,0.438057
-9.0,9,0.443706
-10.0,10,0.449911
-32.0,32,0.468926
-19.0,19,0.481429
-2.0,2,0.483037
-6.0,6,0.486923
-3.0,3,0.489068
-2.0,2,0.490808
-5.0,5,0.494138
-5.0,5,0.49747
-2.0,2,0.499032
-9.0,9,0.504678
-4.0,4,0.507515
-3.0,3,0.509663
-14.0,14,0.518306
-3.0,3,0.520465
-1.103517,3,0.522663
-5.0,5,0.526011
-2.0,2,0.527572
-3.0,3,0.52977
-3.0,3,0.531933
-10.0,10,0.538165
-17.0,17,0.548493
-7.493965,8,0.553631
79.365898,4,0.55642
-2.0,2,0.557976
-8.0,8,0.563065
-10.0,10,0.569271
-2.0,2,0.570805
-4.0,4,0.573538
-3.0,3,0.575679
-9.0,9,0.581392
-17.0,17,0.592251
-3.0,3,0.5944
-6.0,6,0.59829
-14.0,14,0.606847
-2.0,2,0.608412
-6.0,6,0.612302
-3.0,3,0.614434
-2.0,2,0.615999
-5.0,5,0.619317
10.492299,3,0.621515
-4.0,4,0.624258
-10.0,10,0.630535
-1.103517,3,0.632744
-3.0,3,0.635066
-6.0,6,0.63898
0.100987,3,0.641176
-3.0,3,0.643322
-7.0,7,0.647812
-4.0,4,0.650526
-20.875241,5,0.653903
-2.0,2,0.655844
-2.0,2,0.657403
-7.0,7,0.661904
-14.0,14,0.67047
-2.0,2,0.672041
-5.0,5,0.675371
