#{"t_start": 1745970772.5903099, "env_id": "None"}
r,l,t
-17.0,17,0.023288
-3.0,3,0.025524
-2.0,2,0.027184
-14.0,14,0.036093
-4.0,4,0.038905
-3.0,3,0.041064
-3.64302,2,0.042696
-10.0,10,0.049033
-2.0,2,0.0506
-4.64302,3,0.052845
-3.0,3,0.055048
-8.0,8,0.060361
-53.0,53,0.092377
-6.0,6,0.096356
-2.0,2,0.097922
33.407673,2,0.099557
-10.0,10,0.105965
-5.497244,7,0.110638
-3.0,3,0.112853
-11.0,11,0.120025
-7.145635,4,0.122957
0.928958,4,0.125784
49.703899,3,0.128041
-2.0,2,0.129617
-2.0,2,0.131199
-5.0,5,0.13459
-7.451379,6,0.13864
-6.64302,5,0.142118
-5.196744,9,0.148024
-2.0,2,0.149605
-3.0,3,0.151799
-2.0,2,0.153386
-3.0,3,0.155554
-3.0,3,0.157713
-2.0,2,0.159299
-7.0,7,0.163897
-35.0,35,0.185136
-4.0,4,0.187895
-2.0,2,0.190358
97.90512,2,0.191994
-3.0,3,0.194178
-16.0,16,0.204086
-3.794833,2,0.20581
-3.0,3,0.208026
-5.145635,2,0.209651
-4.0,4,0.212433
48.703899,4,0.215285
-16.0,16,0.225376
-57.853547,4,0.228189
-27.494111,7,0.2328
108.174456,5,0.236232
-2.0,2,0.237951
-43.0,43,0.263787
-6.0,6,0.267821
-16.0,16,0.277825
-9.0,9,0.283607
-2.0,2,0.2852
-4.0,4,0.28799
-2.0,2,0.289562
-3.0,3,0.291734
-16.0,16,0.301727
-11.0,11,0.308699
-5.0,5,0.312065
-28.0,28,0.329088
-2.0,2,0.330647
-18.0,18,0.341771
-3.0,3,0.343958
-10.0,10,0.35026
-1.597325,6,0.354304
48.703899,4,0.357178
-8.656701,5,0.361423
-2.0,2,0.363034
-3.0,3,0.365221
-14.0,14,0.373989
-3.0,3,0.376219
-3.0,3,0.378393
1.928958,3,0.380641
-18.0,18,0.391804
-6.0,6,0.395761
-5.451379,4,0.398614
-4.0,4,0.40145
-2.0,2,0.403049
-2.0,2,0.404602
-2.0,2,0.406176
-58.853547,5,0.409591
-38.0,38,0.432523
-2.0,2,0.434098
-3.0,3,0.436279
-8.0,8,0.441474
-2.0,2,0.443044
-2.0,2,0.444627
-17.0,17,0.455204
0.928958,4,0.458013
-4.0,4,0.460776
-4.597325,9,0.466619
-2.0,2,0.468187
-2.0,2,0.469762
-3.0,3,0.471926
-6.0,6,0.475879
-16.550095,13,0.484054
-5.684191,2,0.485701
-3.0,3,0.487911
-5.437145,6,0.491919
-3.0,3,0.494111
-5.0,5,0.497468
-2.0,2,0.499081
-8.0,8,0.504201
-5.0,5,0.507593
-9.0,9,0.513327
-2.0,2,0.515561
-6.0,6,0.519554
-6.64302,5,0.522992
-19.0,19,0.534644
-15.684191,12,0.542245
-5.145635,2,0.543898
