#{"t_start": 1745970614.9698021, "env_id": "None"}
r,l,t
-3.0,3,0.014354
-9.873273,10,0.020827
-4.0,4,0.023658
-4.0,4,0.026239
-14.0,14,0.034471
-6.0,6,0.038114
-18.53375,11,0.045105
-2.0,2,0.046808
-7.0,7,0.051086
-17.027405,4,0.053902
-2.0,2,0.055347
-5.0,5,0.058641
-4.0,4,0.06138
-2.0,2,0.062932
-2.0,2,0.064655
-10.0,10,0.071038
-3.0,3,0.073394
-3.0,3,0.075567
-9.746467,3,0.077969
-11.775777,9,0.083792
3.54218,3,0.086178
-5.0,5,0.089573
-3.0,3,0.091937
-6.0,6,0.095996
-9.0,9,0.101817
-16.0,16,0.111915
-8.0,8,0.117592
-3.0,3,0.119952
81.732743,3,0.122373
-25.0,25,0.138404
-2.0,2,0.140156
-6.0,6,0.144212
-19.0,19,0.157019
-7.0,7,0.162019
-9.0,9,0.168521
-3.0,3,0.170727
-10.183749,9,0.176657
-3.0,3,0.17901
-3.0,3,0.181256
-5.0,5,0.184933
-5.873273,6,0.189037
-11.0,11,0.196156
-2.0,2,0.197869
82.732743,2,0.199668
-29.142979,4,0.202748
-4.0,4,0.205616
-10.0,10,0.214014
-2.0,2,0.215776
-8.0,8,0.221015
-15.027405,2,0.222795
-2.0,2,0.224411
-9.0,9,0.230861
-7.0,7,0.235891
-5.0,5,0.239635
-7.0,7,0.244619
-3.0,3,0.24698
-4.0,4,0.249809
-4.0,4,0.252826
-1.207326,2,0.254487
-5.0,5,0.257946
-5.0,5,0.261666
-11.0,11,0.268682
-2.0,2,0.270397
4.500016,3,0.272801
-6.0,6,0.277175
-11.0,11,0.28475
-2.0,2,0.286449
-15.731799,13,0.295544
-2.0,2,0.297262
-5.0,5,0.300689
-30.0,30,0.319267
-4.0,4,0.322316
-5.0,5,0.326013
-6.0,6,0.330089
-1.435127,3,0.332555
-8.0,8,0.338248
-2.0,2,0.33984
-4.0,4,0.342838
3.452584,3,0.345237
-5.0,5,0.348842
-8.0,8,0.354041
-3.0,3,0.356209
-3.0,3,0.358436
-2.0,2,0.360216
-3.0,3,0.362548
-2.0,2,0.36413
-5.0,5,0.368154
-2.0,2,0.369728
-3.0,3,0.372092
-2.0,2,0.373659
-15.0,15,0.382981
-4.0,4,0.385975
-2.0,2,0.387565
-7.0,7,0.392704
-5.0,5,0.396326
-3.0,3,0.398693
-7.0,7,0.403606
-0.435127,2,0.405349
-17.027405,4,0.408366
4.500016,3,0.410754
-13.53375,6,0.415079
-2.0,2,0.416663
-12.0,12,0.424799
-6.0,6,0.428761
82.732743,2,0.43056
-3.0,3,0.433001
-5.0,5,0.436618
-2.0,2,0.438193
-10.0,10,0.445038
-6.0,6,0.44985
-2.0,2,0.451542
-9.0,9,0.457487
-4.0,4,0.460254
-2.0,2,0.461812
-2.0,2,0.463508
-17.0,17,0.474782
-6.0,6,0.479074
-18.0,18,0.490213
-19.0,19,0.502856
-4.0,4,0.505848
-8.775777,6,0.509939
-7.0,7,0.5145
-7.0,7,0.519543
-14.0,14,0.528932
-2.0,2,0.53064
-14.0,14,0.539357
-7.0,7,0.543503
-14.0,14,0.551452
-2.0,2,0.553001
-4.0,4,0.556348
-2.0,2,0.557895
-7.0,7,0.562038
-2.0,2,0.563627
-4.0,4,0.566333
-12.0,12,0.573238
-2.0,2,0.574652
-9.0,9,0.580328
-3.0,3,0.582304
-7.0,7,0.586774
-5.0,5,0.590078
-5.0,5,0.593374
-4.0,4,0.595969
-5.608971,5,0.59934
-2.0,2,0.600869
-3.0,3,0.602999
-4.0,4,0.605711
-13.0,13,0.613693
-5.0,5,0.617019
-17.0,17,0.626565
-7.0,7,0.631432
4.54218,2,0.633122
-4.0,4,0.63575
1.452584,5,0.639261
-1.873273,2,0.640783
-2.0,2,0.642336
-8.315835,7,0.646863
-11.0,11,0.653759
-4.0,4,0.656472
-14.0,14,0.665007
-2.0,2,0.666547
-2.0,2,0.668095
-2.499984,10,0.674327
-2.0,2,0.675879
-7.0,7,0.680433
-13.315835,12,0.687838
-9.0,9,0.693474
-3.100836,4,0.696263
-4.0,4,0.698958
-2.0,2,0.700401
-16.0,16,0.710073
-7.0,7,0.714577
18.866437,2,0.716183
-1.100836,2,0.7178
-3.0,3,0.72027
-3.0,3,0.722409
-4.0,4,0.724936
-4.0,4,0.727472
-1.207326,2,0.72894
-5.0,5,0.732255
-5.0,5,0.735366
-4.0,4,0.738073
-6.0,6,0.741688
-7.0,7,0.746159
-14.0,14,0.754698
-8.0,8,0.759744
-7.0,7,0.763887
-2.0,2,0.765524
-19.0,19,0.777028
-6.0,6,0.781132
-3.0,3,0.783626
-2.0,2,0.785156
-13.0,13,0.793193
-13.435127,15,0.802347
-5.0,5,0.805438
-10.0,10,0.811173
-13.0,13,0.818731
-2.0,2,0.820172
-2.0,2,0.821743
-6.0,6,0.825636
-4.0,4,0.828344
-2.0,2,0.829893
-9.53375,2,0.832138
-3.0,3,0.834322
-9.0,9,0.839986
-5.0,5,0.843295
-3.0,3,0.845414
-6.0,6,0.849321
-2.0,2,0.85095
-2.0,2,0.852493
-5.0,5,0.855795
-2.0,2,0.857334
-7.0,7,0.861479
-13.0,13,0.868886
-0.499984,8,0.873993
-17.53375,10,0.882271
-3.0,3,0.884289
-2.499984,10,0.890542
-13.0,13,0.898514
-2.0,2,0.90008
-1.207326,2,0.901586
-15.027405,2,0.903168
-17.0,17,0.912812
-2.0,2,0.914379
-16.0,16,0.924165
-2.0,2,0.925708
-3.0,3,0.927845
-5.0,5,0.93113
-39.0,39,0.953985
-3.100836,4,0.956892
-2.0,2,0.95854
-2.0,2,0.959989
-10.0,10,0.965857
-4.0,4,0.968604
-8.0,8,0.974263
-3.0,3,0.976422
-3.873273,4,0.979015
-5.100836,6,0.983297
-2.0,2,0.984844
-6.608971,6,0.98882
-5.0,5,0.992126
-3.0,3,0.994263
-2.608971,2,0.995864
-4.0,4,0.998644
-2.0,2,1.000089
-10.0,10,1.006326
-7.775777,5,1.009465
-16.873273,17,1.01917
-3.0,3,1.021336
-4.0,4,1.024051
-4.0,4,1.026757
-4.0,4,1.029522
-5.0,5,1.03283
-6.0,6,1.036537
-3.0,3,1.038683
-2.0,2,1.040233
-15.53375,8,1.045362
-6.731799,4,1.048149
-10.0,10,1.05445
-2.0,2,1.056002
-11.0,11,1.062753
4.54218,2,1.064364
-4.0,4,1.067113
-6.0,6,1.070983
-5.0,5,1.074282
-3.0,3,1.076412
-8.0,8,1.081458
81.732743,3,1.08369
-0.499984,8,1.088766
-11.0,11,1.095559
-4.0,4,1.098828
-10.53375,3,1.101035
-16.775777,14,1.109061
-5.0,5,1.112136
-17.0,17,1.122531
-5.0,5,1.125598
-3.0,3,1.127574
-5.731799,3,1.129756
-8.0,8,1.134787
-8.0,8,1.140245
-11.0,11,1.147118
190.379674,4,1.149909
-14.0,14,1.158871
-12.0,12,1.165762
-8.0,8,1.170935
-14.0,14,1.178886
-3.0,3,1.181051
-5.0,5,1.184205
-2.0,2,1.185758
-2.0,2,1.187307
-27.142979,2,1.1889
-10.183749,9,1.19431
-8.873273,9,1.199749
-3.0,3,1.201895
-3.0,3,1.204028
-8.0,8,1.209075
-4.873273,5,1.212226
-5.775777,3,1.214403
-5.0,5,1.217865
-6.0,6,1.221547
-4.0,4,1.224273
-4.0,4,1.226785
-3.0,3,1.228935
-3.100836,4,1.231712
-2.0,2,1.233256
-9.0,9,1.238916
-7.0,7,1.24338
-31.0,31,1.261238
-8.0,8,1.265919
-3.0,3,1.268275
-3.0,3,1.271404
-14.746467,8,1.276552
-3.0,3,1.278545
-7.0,7,1.283022
-16.027405,3,1.28529
-2.0,2,1.286821
-9.0,9,1.292082
-4.0,4,1.29479
-6.0,6,1.298669
-3.0,3,1.30069
-3.0,3,1.30283
-7.0,7,1.307304
-6.0,6,1.311164
-5.0,5,1.314476
-13.0,13,1.322479
-4.0,4,1.325206
-11.0,11,1.331973
-11.0,11,1.338335
-3.0,3,1.340491
-15.0,15,1.349618
-5.0,5,1.352743
-7.0,7,1.35689
-6.0,6,1.360786
-8.746467,2,1.362381
-15.0,15,2.307466
-3.0,3,2.309956
-2.0,2,2.311558
-5.0,5,2.314775
-12.0,12,2.322325
-2.0,2,2.323903
-2.0,2,2.325355
-4.0,4,2.327944
4.54218,2,2.329565
-13.608971,13,2.33766
-6.0,6,2.341562
-1.873273,2,2.343043
-2.0,2,2.34462
-9.0,9,2.349889
-2.0,2,2.35146
-2.0,2,2.353002
-4.0,4,2.355731
-3.0,3,2.357861
-10.0,10,2.363869
1.54218,5,2.367231
-9.0,9,2.372969
-2.0,2,2.374524
-4.0,4,2.377293
-2.0,2,2.378822
-2.0,2,2.380375
2.452584,4,2.38318
95.861648,3,2.385543
-10.0,10,2.391576
-4.775777,2,2.393255
-19.0,19,2.405024
-7.0,7,2.411124
-2.0,2,2.412735
-4.0,4,2.415484
-3.0,3,2.417621
-29.142979,4,2.420405
4.54218,2,2.422036
4.54218,2,2.42364
-4.0,4,2.426367
-3.0,3,2.428543
-2.0,2,2.430098
-2.873273,3,2.432161
-3.0,3,2.434307
-11.775777,9,2.43969
-14.0,14,2.448351
-6.0,6,2.452024
-6.775777,4,2.454619
-3.0,3,2.456791
-3.0,3,2.458921
-3.0,3,2.461343
-8.775777,6,2.465004
-5.435127,7,2.469545
-3.0,3,2.471681
-9.746467,3,2.473849
-4.0,4,2.476581
-2.0,2,2.478018
-2.0,2,2.47957
-7.775777,5,2.482687
-2.0,2,2.484245
-9.0,9,2.489897
-8.0,8,2.494784
-3.0,3,2.497039
-5.0,5,2.501281
-5.0,5,2.504595
-2.608971,2,2.506266
3.452584,3,2.508546
-7.0,7,2.512894
3.54218,3,2.515154
-2.100836,3,2.517356
-0.435127,2,2.518934
-4.0,4,2.521666
-1.207326,2,2.52318
-4.0,4,2.525723
-2.0,2,2.527286
-6.0,6,2.531182
-3.435127,5,2.534534
-4.0,4,2.537254
-5.0,5,2.540305
-3.0,3,2.542433
-7.0,7,2.546919
-2.0,2,2.548476
-2.0,2,2.550018
-9.746467,3,2.552198
3.452584,3,2.554367
-2.0,2,2.555917
-30.142979,5,2.559262
-24.0,24,2.577888
-5.0,5,2.58255
-8.731799,6,2.588434
-2.0,2,2.590539
-3.0,3,2.59276
-3.207326,4,2.595405
-2.0,2,2.596968
-2.0,2,2.598531
-2.0,2,2.599995
-6.0,6,2.60394
-4.0,4,2.606697
-3.0,3,2.608902
-9.0,9,2.614573
-2.0,2,2.616037
-4.0,4,2.61877
-2.0,2,2.620237
-4.731799,2,2.621827
-7.0,7,2.626322
-2.0,2,2.627769
-4.0,4,2.630325
-4.0,4,2.633037
-2.0,2,2.634468
-2.0,2,2.636031
-6.0,6,2.639649
-4.0,4,2.642358
-12.315835,11,2.649283
-5.0,5,2.65258
-11.0,11,2.659013
-1.100836,2,2.660646
17.866437,3,2.66291
-2.0,2,2.66447
-4.775777,2,2.666771
-28.142979,3,2.66901
-2.0,2,2.670565
-7.0,7,2.67474
-2.873273,3,2.676819
-0.435127,2,2.678425
-1.100836,2,2.680022
-5.0,5,2.683415
-15.0,15,2.692708
3.224006,3,2.694769
-5.0,5,2.698097
-3.0,3,2.700272
-9.53375,2,2.701885
-8.0,8,2.706609
-11.0,11,2.713498
-1.435127,3,2.715761
-2.0,2,2.717309
-3.435127,5,2.720663
-15.0,15,2.729224
-6.0,6,2.732937
-6.0,6,2.736912
-9.0,9,2.742171
-3.0,3,2.744328
-10.746467,4,2.747191
-3.0,3,2.749344
-4.0,4,2.752051
