#{"t_start": 1745970452.7377977, "env_id": "None"}
r,l,t
-38.0,38,0.032077
-10.0,10,0.038251
41.539801,2,0.03986
-15.0,15,0.048918
-6.0,6,0.053645
63.917936,59,0.089501
105.917936,17,0.099797
-18.0,18,0.110678
-7.0,7,0.11519
-3.0,3,0.117414
-4.0,4,0.120174
120.917936,2,0.121878
-16.0,16,0.133237
136.715857,18,0.144508
-15.0,15,0.15375
-9.0,9,0.1594
-4.0,4,0.162099
-6.0,6,0.165941
-7.0,7,0.170371
-11.0,11,0.177398
-14.0,14,0.185904
-5.0,5,0.189196
-7.0,7,0.193609
-5.0,5,0.196875
-5.0,5,0.20015
-4.0,4,0.202879
-2.0,2,0.204463
-8.0,8,0.209631
-13.0,13,0.217647
-3.0,3,0.219757
-10.0,10,0.226121
145.951936,24,0.24062
-6.0,6,0.244482
-6.0,6,0.248331
-7.0,7,0.252741
-26.0,26,0.268146
-6.0,6,0.272006
-11.0,11,0.278663
116.917936,6,0.282655
-10.0,10,0.288799
-2.0,2,0.290322
-23.0,23,0.304038
-2.0,2,0.305584
118.917936,4,0.308424
-25.0,25,0.323093
-3.0,3,0.325292
-16.0,16,0.335584
-12.0,12,0.342859
-2.0,2,0.344401
-5.0,5,0.347669
-32.0,32,0.368403
-11.0,11,0.37513
-7.0,7,0.379552
158.951936,11,0.386472
-4.0,4,0.389277
-5.0,5,0.392776
-9.0,9,0.398424
-2.0,2,0.399974
98.917936,24,0.414347
-6.0,6,0.418507
-3.0,3,0.420611
-14.0,14,0.429045
49.111488,3,0.431212
-17.0,17,0.441391
-2.0,2,0.442911
-6.0,6,0.447003
-9.0,9,0.45266
-21.0,21,0.465076
-24.0,24,0.479331
40.539801,3,0.481502
-8.0,8,0.486453
-11.0,11,0.493152
-19.0,19,0.504463
-2.0,2,0.506012
102.917936,20,0.51807
-0.866973,2,0.519665
-35.0,35,0.54011
-8.0,8,0.545723
47.668124,2,0.547332
-12.0,12,0.554598
-24.42865,2,0.556386
-5.0,5,0.55968
-23.0,23,0.573414
-24.42865,2,0.575141
-12.0,12,0.582376
-3.0,3,0.584492
-2.0,2,0.586013
-20.0,20,0.597973
-20.0,20,0.609821
-5.0,5,0.613085
-4.0,4,0.616023
-3.0,3,0.618122
-2.0,2,0.619657
-7.0,7,0.624113
-12.0,12,0.631522
-15.0,15,0.640471
-11.0,11,0.647146
-7.0,7,0.651545
50.111488,2,0.653121
-13.0,13,0.661125
-23.0,23,0.674776
111.917936,11,0.681642
120.917936,2,0.68332
-14.0,14,0.691834
-20.0,20,0.703633
-15.0,15,0.712639
-9.0,9,0.718278
-3.0,3,0.720396
-22.0,22,0.733417
-2.0,2,0.735558
-9.0,9,0.741137
-9.0,9,0.746733
-6.0,6,0.750886
-53.0,53,0.781619
-11.0,11,0.7883
-4.0,4,0.790993
-26.0,26,0.806277
-22.0,22,0.819317
-7.0,7,0.823723
75.976322,14,0.832369
-6.0,6,0.836235
-21.0,21,0.848738
47.668124,2,0.850467
-8.0,8,0.85548
-11.0,11,0.862211
47.668124,2,0.863815
-6.0,6,0.867775
-3.0,3,0.869882
-3.0,3,0.871993
-20.0,20,0.884682
-4.0,4,0.887367
-28.0,28,0.904009
-5.0,5,0.907321
116.917936,6,0.911306
-7.0,7,0.915729
-4.0,4,0.918392
-26.0,26,0.933765
-5.0,5,0.937024
-2.0,2,0.938548
-5.0,5,0.941802
-3.0,3,0.944241
-11.0,11,0.950963
-26.0,26,0.966434
-7.0,7,0.970823
-11.0,11,0.97759
-0.866973,2,0.979158
-5.0,5,0.98245
-2.0,2,0.983978
-24.42865,2,0.985584
-3.0,3,0.987869
-17.0,17,0.998011
-14.0,14,1.006392
59.713191,8,1.011567
-15.0,15,1.020636
-3.0,3,1.022736
-3.0,3,1.024831
-26.0,26,1.040285
-6.0,6,1.044116
-9.0,9,1.049779
-2.0,2,1.05131
117.917936,5,1.054697
-14.0,14,1.063214
117.917936,5,1.06662
87.917936,35,1.087866
-22.0,22,1.100943
-17.0,17,1.111127
-6.0,6,1.114942
-13.0,13,1.122741
-25.0,25,1.137605
-10.0,10,1.143752
109.917936,13,1.151761
-2.0,2,1.153294
-5.0,5,1.156528
-9.0,9,1.162795
-8.0,8,1.1679
-4.0,4,1.170576
-8.0,8,1.175555
-25.0,25,1.190181
-5.0,5,1.193464
-2.0,2,1.195014
-13.0,13,1.202924
-6.0,6,1.20675
-8.0,8,1.211737
-17.0,17,1.222574
-34.0,34,1.244185
-18.0,18,1.2558
-9.0,9,1.261908
-12.0,12,1.269739
-13.0,13,1.278179
-8.0,8,1.28355
-5.0,5,1.287081
-5.0,5,2.206154
-3.0,3,2.208862
-2.0,2,2.210676
-3.0,3,2.21298
-0.866973,2,2.214763
-23.985571,2,2.216485
-4.0,4,2.219728
85.841615,2,2.221446
-3.0,3,2.223699
-8.0,8,2.229102
-3.0,3,2.231501
78.976322,11,2.239207
-5.0,5,2.242713
-5.0,5,2.246306
-2.0,2,2.248101
-9.0,9,2.254169
-24.42865,2,2.255918
-3.0,3,2.258181
-7.0,7,2.262966
-2.0,2,2.264635
117.917936,5,2.268384
50.111488,2,2.270567
-5.0,5,2.27411
-3.0,3,2.276422
-2.0,2,2.278219
-2.0,2,2.27988
-14.0,14,2.289017
41.539801,2,2.290736
-8.0,8,2.296169
-23.985571,2,2.297873
-19.0,19,2.31029
143.715857,11,2.317761
41.539801,2,2.31946
47.668124,2,2.321191
85.841615,2,2.322868
-2.0,2,2.324525
-3.0,3,2.326797
50.111488,2,2.328497
50.111488,2,2.330193
-23.985571,2,2.33189
-15.0,15,2.341836
-29.0,29,2.360268
-13.0,13,2.369695
-5.0,5,2.37323
-6.0,6,2.377349
-11.0,11,2.384626
-23.985571,2,2.386327
50.111488,2,2.388046
50.111488,2,2.389739
-15.0,15,2.399826
-2.0,2,2.401471
-12.0,12,2.409342
110.917936,12,2.417398
-8.0,8,2.422775
-2.0,2,2.424494
113.917936,9,2.430797
50.111488,2,2.432504
-16.0,16,2.442872
-2.0,2,2.444535
-14.0,14,2.453899
-2.0,2,2.455586
-6.0,6,2.459886
-4.0,4,2.462795
-2.0,2,2.464455
-2.0,2,2.466108
133.023208,11,2.473587
-4.0,4,2.476456
-5.0,5,2.479975
50.111488,2,2.481672
85.917936,37,2.505377
-9.0,9,2.51167
-4.0,4,2.514634
-2.0,2,2.516294
-3.0,3,2.518681
119.917936,3,2.521148
-2.0,2,2.522775
-6.0,6,2.526906
109.917936,13,2.535584
115.917936,7,2.540633
-6.0,6,2.544815
-2.0,2,2.546451
-8.0,8,2.55215
-5.0,5,2.555674
-3.0,3,2.557933
71.665805,2,2.559633
113.917936,9,2.565839
-22.0,22,2.580238
85.841615,2,2.581975
104.917936,18,2.593684
-12.0,12,2.601892
-7.0,7,2.606713
-2.0,2,2.608555
64.713191,3,2.611023
-5.0,5,2.61457
-5.0,5,2.618246
-8.0,8,2.6237
-4.0,4,2.626596
46.668124,3,2.628922
-4.0,4,2.631834
138.023208,6,2.636244
-3.0,3,2.638696
-2.0,2,2.640369
-4.0,4,2.643274
-2.0,2,2.644906
-3.0,3,2.647164
49.111488,3,2.649498
71.665805,2,2.651394
-2.0,2,2.653028
-2.0,2,2.65467
-7.0,7,2.659447
-2.0,2,2.661096
50.111488,2,2.66278
-9.0,9,2.668972
-2.0,2,2.670626
117.917936,5,2.674315
85.841615,2,2.676036
-3.0,3,2.678304
-4.0,4,2.681188
-11.0,11,2.688579
-6.0,6,2.692729
-23.0,23,2.70768
154.486251,23,2.722742
-25.0,25,2.738953
-11.0,11,2.746236
71.665805,2,2.747946
-2.0,2,2.7499
47.668124,2,2.751648
-4.0,4,2.754597
-7.0,7,2.759593
-8.0,8,2.764968
-4.0,4,2.767875
-6.0,6,2.772032
-31.0,31,2.79184
-2.0,2,2.793509
116.917936,6,2.797802
85.841615,2,2.799501
-3.0,3,2.801785
50.111488,2,2.803479
-2.0,2,2.80513
120.917936,2,2.8069
-8.0,8,2.812284
-3.0,3,2.814873
40.539801,3,2.817313
