#{"t_start": 1752552559.4198852, "env_id": "None"}
r,l,t
3.460843,44,0.131492
13.418374,3,0.135213
14.247409,46,0.177845
13.248101,3,0.180461
0.0,100,0.269638
28.14599,3,0.273338
7.882194,48,0.316797
0.238255,3,0.321344
7.622825,4,0.325195
14.247409,3,0.328817
12.945822,3,0.330519
7.117738,3,0.33529
7.117738,3,0.338899
3.460843,2,0.340104
1.698281,100,0.42893
0.0,100,0.540766
-1.0,1,0.543608
-1.0,1,0.544278
20.756568,100,0.633884
20.846591,83,0.70832
38.473939,3,0.709993
17.233275,100,0.796884
3.020762,4,0.80098
17.958599,3,0.80531
-1.0,82,0.876663
7.640852,3,0.878346
20.057494,79,0.950189
28.333029,3,0.979836
0.0,100,1.118265
9.71728,15,1.133121
3.964944,100,1.224952
-0.237043,3,1.227799
0.0,100,1.33585
3.596315,100,1.427866
10.124398,2,1.431228
0.0,100,1.522939
8.741259,3,1.526772
23.358616,3,1.52844
3.460843,2,1.531526
0.0,100,1.622855
0.0,100,1.717911
-1.0,1,1.718695
0.0,100,1.80757
27.211094,3,1.812124
26.061377,3,1.815707
3.460843,2,1.816918
0.904489,100,1.907745
0.0,100,2.000664
20.100093,3,2.004274
8.48762,3,2.007862
10.162288,2,2.009028
3.220133,100,2.101371
39.22133,100,2.189718
4.34601,3,2.193412
18.249553,6,2.197908
-1.0,37,2.232324
36.977041,3,2.234069
-0.229988,3,2.237753
-0.023996,6,2.244608
14.102652,4,2.249087
15.077001,3,2.250808
0.0,100,2.338735
14.248101,100,2.428863
2.067742,3,2.433492
20.194152,4,2.438162
23.30774,3,2.441783
-1.0,18,2.456795
25.390667,3,2.46113
-1.0,89,2.540272
-0.609835,31,2.577967
7.622825,100,2.669342
14.145168,3,2.6738
0.0,100,2.76333
12.827907,4,2.767055
20.057494,4,2.771201
8.606519,100,2.86011
1.702326,3,2.863769
1.036885,4,2.867877
-0.237043,3,2.869598
18.088147,4,2.874582
0.0,100,2.965054
0.0,100,3.052906
3.374208,30,3.082042
0.931939,3,3.086571
-1.0,47,3.127412
0.904489,100,3.218213
8.48762,3,3.221858
0.421825,3,3.226294
3.876786,100,3.315099
30.499471,3,3.318683
3.220133,100,3.409693
14.015169,100,3.498845
0.0,100,3.589174
20.194152,4,3.593421
28.90503,100,3.682295
1.833494,3,3.68497
1.110793,100,3.773057
14.583731,100,3.863318
15.639319,5,3.869666
0.0,100,3.958392
11.944839,6,3.963262
0.0,100,4.052318
-1.0,52,4.09776
6.562409,97,4.183861
14.102652,18,4.200975
-1.0,1,4.201647
1.488161,100,4.28991
39.782826,3,4.294491
-0.249507,2,4.295689
0.0,100,4.383032
36.717445,3,4.38669
5.801272,4,4.391705
0.0,100,4.480515
0.0,100,4.571232
0.0,100,4.661857
20.194152,4,4.666995
20.194152,4,4.671371
0.421825,3,4.753469
0.0,100,4.792277
0.0,100,4.83195
1.110793,100,4.870606
16.415139,3,4.872852
0.0,100,4.969024
8.48762,3,4.972865
0.0,100,5.064452
3.633392,2,5.067611
36.977041,4,5.071323
13.248101,4,5.075099
0.645032,57,5.127616
20.194152,4,5.131789
1.238255,100,5.219588
3.787831,100,5.307454
3.460843,2,5.310819
5.990125,4,5.31489
14.145168,3,5.318406
0.421737,3,5.322676
5.990125,4,5.328667
33.14315,3,5.332277
12.140828,2,5.333449
7.820996,100,5.419111
-1.0,64,5.478589
0.0,100,5.568444
5.875938,4,5.57264
3.085227,2,5.575506
-0.237043,3,5.579268
2.220133,9,5.604138
-0.212441,2,5.60534
37.601843,71,5.679281
0.488161,4,5.686139
3.020762,4,5.690276
-1.0,44,5.731632
0.0,100,5.820708
10.827814,4,5.827148
2.067742,3,5.830716
-0.229988,3,5.832463
8.899264,3,5.836016
-1.0,96,5.921275
3.374208,3,5.924858
13.598087,3,5.928448
0.0,100,6.016461
-1.0,61,6.073855
13.418374,3,6.077592
33.14315,3,6.079323
-1.0,2,6.082022
32.6214,3,6.087524
14.526222,100,6.175148
0.0,100,6.262277
37.141643,3,6.264041
16.933661,4,6.270209
-1.0,66,6.329393
-0.229988,3,6.333118
36.977041,3,6.334814
-0.609835,92,6.417769
10.396131,4,6.421597
3.460843,2,6.424674
5.875938,4,6.428799
-1.0,28,6.455696
-1.0,56,6.504693
0.488161,3,6.508326
-1.0,53,6.554042
31.642973,3,6.559847
30.002296,3,6.561519
4.34601,3,6.565082
2.220133,3,6.568647
3.455888,23,6.591054
7.606519,3,6.592716
15.487144,3,6.5963
25.404258,3,6.599838
0.0,100,6.690355
7.10248,4,6.694681
0.421365,3,6.698217
0.666764,44,6.73713
39.524656,3,6.740903
2.86481,2,6.744185
4.442786,100,6.831234
-0.315307,3,6.834853
0.894539,100,6.925107
0.0,100,7.014743
0.403906,100,7.101516
5.875938,4,7.105689
27.439054,100,7.1954
-0.315307,3,7.197186
1.221858,100,7.287531
0.221858,39,7.32249
33.878138,3,7.328193
0.0,100,7.415421
17.698458,3,7.418997
0.0,100,7.509715
0.0,100,7.599357
15.639319,4,7.603623
16.933661,4,7.608127
0.904489,100,7.696231
0.403906,100,7.786318
0.238255,3,7.788287
-1.0,39,7.823313
2.424398,100,7.914924
17.475612,3,7.920532
0.421365,3,7.924091
4.824278,100,8.012326
-0.308555,3,8.01404
0.213491,3,8.019665
0.692048,3,8.023667
-0.229988,3,8.027363
2.989274,2,8.028561
12.945822,4,8.034153
9.903227,3,8.037713
0.452987,100,8.128286
12.054216,3,8.131889
1.702326,3,8.135562
33.878138,3,8.139133
42.80299,3,8.142676
0.0,100,8.231223
11.584368,3,8.236736
0.0,100,8.324647
0.421737,4,8.328171
0.0,100,8.415671
14.597742,3,8.419432
0.0,100,8.507067
0.0,100,8.59514
0.0,100,8.683381
31.942231,26,8.709298
14.102652,3,8.712842
15.639319,4,8.717026
23.682643,3,8.718694
14.597742,3,8.724144
0.0,100,8.811333
-0.237043,3,8.814932
8.011436,2,8.816101
7.622825,3,8.821574
0.0,100,8.912015
14.145168,3,8.915621
46.742086,3,8.919184
0.0,100,9.009943
38.826366,100,9.0978
15.639319,4,9.102557
0.894539,100,9.188964
19.918782,3,9.192722
-1.0,6,9.19892
1.698281,100,9.285013
-1.0,44,9.325745
28.136747,3,9.331397
-0.064357,2,9.332601
15.639319,3,9.335926
30.519914,3,9.339434
14.9246,4,9.345404
0.459565,100,9.455269
39.394345,3,9.465271
0.0,100,9.502873
