#{"t_start": 1752551892.6387112, "env_id": "None"}
r,l,t
0.0,100,0.237083
0.0,100,0.32525
0.0,100,0.414387
21.554006,100,0.504769
7.91087,100,0.624297
0.0,100,0.708819
2.251337,100,0.797086
8.592505,100,0.886407
0.0,100,0.97226
1.267741,49,1.055111
3.147023,63,1.114079
0.0,100,1.216261
0.0,100,1.316864
15.93187,15,1.333839
39.016541,100,1.420413
1.167516,100,1.508235
25.155342,100,1.5956
-0.243407,26,1.618817
2.966094,7,1.624575
4.632245,100,1.711682
9.362681,100,1.802238
9.720251,100,1.890259
2.946662,25,1.915071
4.590012,31,1.940802
-1.0,35,1.971609
-0.242274,83,2.04721
2.474978,44,2.089077
39.684117,53,2.135976
15.768763,35,2.167886
-1.0,55,2.220481
36.624588,100,2.319457
0.0,100,2.405915
15.744733,100,2.495358
1.086646,100,2.58188
0.0,100,2.669838
1.064185,35,2.699799
0.0,100,2.789282
31.098736,4,2.793344
3.513966,2,2.797211
-1.0,78,2.86658
39.106671,4,2.870696
0.446731,3,2.874254
-1.0,1,2.87545
3.19874,3,2.879209
33.393845,61,2.934051
0.0,100,3.02508
0.0,100,3.120004
25.813547,5,3.126259
17.598829,89,3.207144
15.896288,13,3.218332
2.86481,2,3.222422
0.421737,3,3.224266
15.661591,100,3.31237
0.753666,100,3.399272
26.178628,60,3.452569
18.96659,5,3.458982
-1.0,9,3.466399
4.323481,100,3.554211
4.387831,4,3.559081
22.579728,90,3.636159
3.085227,2,3.639207
47.254846,100,3.728119
37.633395,45,3.767589
61.765611,4,3.771907
-1.0,54,3.821621
58.307212,4,3.825879
15.928166,5,3.831594
0.0,100,3.922033
1.200397,93,4.004342
2.966094,3,4.007665
0.0,100,4.101661
6.733704,100,4.194087
0.0,100,4.28221
0.905539,100,4.370647
0.0,100,4.463665
16.54825,100,4.552649
37.195196,54,4.599328
0.0,100,4.689468
0.0,100,4.767982
0.0,100,4.806488
1.622984,100,4.844962
1.128672,100,4.883401
62.951579,100,4.922
0.0,100,5.020331
3.438914,4,5.024506
3.085227,2,5.027533
0.792012,100,5.119516
29.599104,52,5.167504
3.792114,57,5.218308
0.116523,20,5.235531
4.246544,39,5.27073
-1.0,49,5.31317
57.312996,4,5.317275
19.809759,100,5.405589
40.504844,83,5.480116
1.110793,100,5.569752
0.0,100,5.659451
36.767277,100,5.749301
57.842862,4,5.754428
35.033093,28,5.779916
0.0,100,5.869822
-1.0,1,5.870522
18.406895,5,5.874844
-1.0,1,5.878269
0.0,100,5.968543
0.0,100,6.059568
0.0,100,6.173367
0.0,100,6.262981
4.087191,100,6.352235
22.6658,62,6.405805
1.090367,100,6.494858
-1.0,52,6.542206
4.140659,100,6.633833
45.573442,100,6.722469
62.156203,57,6.772916
0.0,100,6.861837
4.808261,2,6.864936
0.91504,100,6.955486
-0.571126,9,6.96284
19.755646,53,7.010152
0.0,100,7.098223
0.0,100,7.18386
1.865406,100,7.272281
0.0,100,7.360977
38.619847,54,7.410194
1.97725,2,7.411389
4.468386,23,7.433222
0.0,100,7.524321
33.439678,16,7.53873
57.442912,4,7.542752
0.676209,54,7.592106
0.863235,67,7.650681
3.849886,67,7.710514
3.513966,6,7.716957
46.742032,77,7.81779
0.904489,100,7.909085
46.124974,61,7.963224
33.716405,15,7.977546
3.599191,100,8.067795
57.591695,14,8.080283
2.98552,4,8.083692
8.962503,100,8.171384
13.673219,4,8.17549
0.0,100,8.267495
1.395525,4,8.271828
2.86481,5,8.277828
-1.0,16,8.292306
58.46086,84,8.368993
4.831848,24,8.390772
20.226903,14,8.402468
-1.0,24,8.427757
6.300731,4,8.432662
-0.571126,46,8.475024
3.717051,100,8.565213
71.44879,40,8.599936
26.899395,38,8.636955
13.309929,100,8.727556
25.413672,14,8.742759
0.128672,66,8.800117
0.0,100,8.890969
0.0,100,8.981672
38.094614,100,9.071217
58.380786,4,9.075993
4.087191,48,9.120064
17.251273,11,9.130259
3.068773,100,9.22513
2.80908,3,9.228735
24.026827,100,9.320494
0.0,100,9.412405
36.092862,26,9.43622
0.0,100,9.545701
0.0,100,9.586193
3.717051,100,9.626308
0.0,100,9.665343
0.394574,100,9.703712
0.0,100,9.791104
26.098849,4,9.796471
1.956472,100,9.964538
-1.0,38,9.997207
-1.0,33,10.025068
0.665462,6,10.032318
7.63201,4,10.03642
19.828135,4,10.040196
25.835355,10,10.047926
17.598829,39,10.083438
0.0,100,10.170178
35.409415,30,10.197662
20.530477,59,10.250494
8.869398,100,10.339861
22.242814,100,10.43139
0.0,100,10.520487
1.97725,3,10.523816
0.157021,3,10.528064
1.266663,2,10.529279
0.665462,28,10.554181
-0.212441,76,10.622536
-1.0,1,10.623989
0.0,100,10.712682
31.202442,91,10.796851
39.307002,100,10.886363
1.622984,100,10.977833
39.381484,100,11.068387
0.0,100,11.159817
21.299427,67,11.220134
0.133485,89,11.301438
0.0,100,11.391345
4.564339,4,11.395276
19.309248,100,11.489351
17.008408,100,11.576028
0.0,100,11.666363
1.461761,6,11.673093
60.687425,4,11.677104
19.280605,4,11.681886
1.022688,64,11.737634
37.1967,6,11.74223
4.898121,100,11.828439
0.133485,89,11.906046
-1.0,2,11.908756
0.0,100,11.998156
-0.249507,2,11.999398
1.868896,100,12.087384
0.0,100,12.173483
41.876973,51,12.218312
-1.0,1,12.21899
-0.249507,2,12.222832
0.0,100,12.310836
0.32874,100,12.398905
0.0,100,12.486856
15.928166,12,12.498421
22.05041,4,12.50242
46.130585,4,12.506419
0.0,100,12.591508
0.645032,39,12.627525
0.0,100,12.713291
1.395525,4,12.71729
13.617937,15,12.729396
0.0,100,12.817671
18.583685,100,12.905663
26.098849,4,12.909688
1.622984,100,12.996041
13.454953,85,13.073545
1.200397,15,13.085478
1.404278,100,13.173085
26.125168,4,13.177112
0.0,100,13.264594
0.0,100,13.351517
10.53267,100,13.439639
0.865406,65,13.497865
19.264336,43,13.535211
-0.547781,99,13.622292
2.105472,72,13.686018
7.701017,3,13.689542
0.0,100,13.777999
62.326869,5,13.782739
0.0,100,13.873971
1.266663,2,13.877283
63.432,34,13.908319
-1.0,84,13.982501
56.672153,45,14.023731
-1.0,70,14.087351
