#{"t_start": 1752552965.5060925, "env_id": "None"}
r,l,t
0.0,100,0.205358
0.0,100,0.297611
1.188098,5,0.304116
2.914717,4,0.308765
4.938688,95,0.399664
13.032892,31,0.428722
0.0,100,0.559023
7.376769,99,0.651032
0.0,100,0.740867
1.448001,4,0.745325
58.575271,100,0.835284
0.0,100,0.929376
15.818916,14,0.943043
44.774741,61,1.001368
0.0,100,1.140463
7.241625,96,1.230001
6.233334,4,1.234258
0.785268,100,1.35141
1.87529,100,1.442727
1.784298,100,1.534387
19.270403,73,1.601731
1.457966,4,1.605918
1.395525,4,1.610069
50.327503,34,1.640478
59.966008,15,1.654807
4.619402,8,1.662229
0.645032,3,1.665781
9.219256,5,1.670925
0.0,100,1.759514
11.383474,88,1.839811
31.376491,34,1.87106
9.535902,4,1.876147
-1.0,86,1.951924
4.151129,34,1.983701
-0.596094,67,2.044025
-1.0,49,2.091636
1.438989,60,2.147866
0.136217,4,2.152417
-1.0,37,2.186521
0.890763,6,2.192607
3.427921,61,2.2514
19.259262,53,2.29827
18.320522,31,2.327537
1.661081,100,2.424267
0.0,100,2.51641
0.0,100,2.604266
0.0,100,2.695626
0.0,100,2.786377
-1.0,72,2.852058
-0.670258,33,2.881722
16.964651,100,2.97074
0.0,100,3.059467
33.555364,3,3.063152
0.0,100,3.165014
0.0,100,3.253369
0.0,100,3.370445
0.0,100,3.460408
37.987949,96,3.545428
38.253996,100,3.634612
0.0,100,3.723155
0.0,100,3.812969
4.612109,5,3.817239
2.955647,20,3.835254
3.471841,29,3.860904
9.178784,4,3.865879
22.69039,100,3.958813
2.36717,100,4.047843
0.0,100,4.136097
0.0,100,4.225347
-1.0,24,4.24648
-1.0,13,4.257348
38.06595,100,4.345395
58.254014,57,4.397589
2.005753,3,4.399265
0.0,100,4.48697
29.834469,59,4.540342
-1.0,79,4.60964
10.922999,27,4.634469
59.10886,12,4.645316
0.661081,31,4.671319
3.471841,29,4.698095
-1.0,82,4.813601
11.09395,4,4.858134
0.0,100,4.895063
37.612661,4,4.897119
8.949805,4,4.899093
20.413861,100,4.93593
3.243655,4,4.946201
1.274074,26,4.970914
1.396205,28,4.995658
-1.0,23,5.016114
23.148214,3,5.017815
5.330553,100,5.107321
0.0,100,5.192885
0.0,100,5.279644
1.889554,100,5.366946
63.696283,48,5.411103
-0.228244,72,5.473542
3.077921,77,5.544058
56.813671,4,5.548082
0.0,100,5.636503
0.0,100,5.724839
0.0,100,5.811232
25.642237,60,5.863436
19.446392,78,5.933502
0.745858,100,6.021433
47.050897,100,6.10893
0.0,100,6.196614
0.0,100,6.286105
42.799134,100,6.379413
62.201723,4,6.383578
38.830331,3,6.38689
1.397829,28,6.413986
0.0,100,6.501825
0.661081,39,6.537735
0.0,100,6.624219
39.759159,29,6.651259
-1.0,23,6.671872
64.094749,22,6.690455
38.913391,72,6.754704
12.214012,100,6.846615
49.876835,65,6.904837
0.904489,100,6.991822
0.705993,100,7.080564
0.0,100,7.17076
62.562834,77,7.240198
-1.0,28,7.264831
12.298931,67,7.322988
10.535902,100,7.412683
42.164904,27,7.437035
44.61195,45,7.476428
20.379206,54,7.531809
9.178784,4,7.538124
0.904489,100,7.625011
6.80612,100,7.713535
30.715922,86,7.788219
6.862962,100,7.878335
0.371535,55,7.927164
-1.0,21,7.946497
9.761843,4,7.950595
19.893053,100,8.039499
1.697504,100,8.127663
29.256884,10,8.13807
3.426572,10,8.146158
30.047235,78,8.221087
-0.596094,37,8.253042
38.747149,41,8.289443
0.0,100,8.377383
0.0,100,8.465747
12.412477,100,8.555243
0.0,100,8.642944
0.0,100,8.729752
0.0,100,8.818305
20.139582,60,8.872365
5.03851,100,8.959389
27.021728,4,8.963496
9.303416,57,9.016979
1.431194,100,9.104599
5.438982,82,9.175352
0.0,100,9.262662
46.367503,88,9.341953
0.0,100,9.432108
1.48887,100,9.469716
0.709644,100,9.507846
3.977291,100,9.54477
8.740433,100,9.581807
0.0,100,9.675936
1.431506,100,9.800339
1.465075,88,9.883597
55.195508,91,9.968107
3.964241,100,10.056551
0.721058,98,10.147501
0.736316,100,10.238682
-1.0,22,10.25791
3.570819,33,10.287
0.0,100,10.374396
0.0,100,10.46227
5.8621,94,10.547179
0.0,100,10.639191
0.0,100,10.72721
12.886494,11,10.737717
28.230732,4,10.742796
-1.0,26,10.764278
-1.0,3,10.76741
-1.0,84,10.841557
1.266663,62,10.89696
0.0,100,10.98484
0.0,100,11.077337
-0.547781,67,11.136869
30.190336,71,11.201697
-1.0,47,11.24357
26.830247,100,11.332613
0.771756,100,11.419934
2.367313,100,11.507558
11.405446,4,11.511651
-1.0,84,11.599232
32.02025,68,11.65831
64.097972,100,11.747972
1.449662,4,11.751893
-1.0,21,11.770114
3.681606,23,11.792024
0.0,100,11.889037
0.756593,100,11.978156
21.110696,3,11.98009
0.403906,100,12.068833
-1.0,78,12.138795
0.0,100,12.228161
0.0,100,12.315485
57.558615,44,12.353884
10.216301,70,12.416375
0.0,100,12.507288
21.805328,4,12.511755
33.248458,27,12.536442
9.166236,25,12.55908
-0.596094,63,12.614802
0.0,100,12.702383
4.203981,6,12.708943
5.100067,100,12.797966
0.0,100,12.887605
10.041516,96,12.97242
50.992343,4,12.976546
7.803641,3,12.979071
0.0,100,13.067518
44.042888,5,13.073702
0.0,100,13.162863
66.174951,100,13.253315
0.0,100,13.355155
0.706888,100,13.444139
12.674375,4,13.44828
39.324239,15,13.461258
1.397829,2,13.464358
0.459321,100,13.558449
13.767566,32,13.588702
47.984434,27,13.614203
0.0,100,13.702513
14.176359,4,13.706654
1.664304,100,13.79808
26.830247,100,13.887434
65.992107,100,13.976071
-1.0,1,13.976825
0.0,100,14.063926
48.135425,4,14.068951
33.359462,74,14.134506
0.0,100,14.175686
7.923737,100,14.212799
4.696161,100,14.249852
19.305933,100,14.286875
0.0,100,14.323738
0.0,100,14.415002
35.495738,5,14.421198
1.438989,55,14.469537
9.26013,4,14.473618
-0.568077,72,14.536668
1.416144,22,14.559648
0.329742,100,14.650065
1.417674,19,14.667837
0.0,100,14.757801
-1.0,71,14.817316
0.0,100,15.055388
30.576556,40,15.090408
4.453362,4,15.094248
40.293754,100,15.182822
1.36717,29,15.21056
12.16286,19,15.227106
51.556122,15,15.241457
0.0,100,15.331661
-1.0,1,15.333118
13.525066,4,15.336945
-1.0,4,15.340465
12.868166,40,15.375465
0.0,100,15.465964
-1.0,1,15.4685
11.895133,8,15.477147
44.003567,9,15.485214
19.572787,100,15.573648
0.0,100,15.660556
29.332364,100,15.75192
54.272242,4,15.755784
3.536054,3,15.760118
0.0,100,15.846564
25.965428,45,15.909354
44.240304,100,16.2054
0.021155,37,16.238473
1.416144,39,16.275973
20.022887,100,16.36454
0.0,100,16.451039
-1.0,70,16.512542
0.0,100,16.600142
-1.0,1,16.602764
63.696283,11,16.611486
7.752768,100,16.71573
0.894539,100,16.808584
61.039872,5,16.815186
57.460241,75,16.883696
40.121552,100,16.971931
0.404206,100,17.061025
0.0,100,17.148761
0.6721,17,17.165273
0.755828,100,17.25474
65.174951,69,17.316716
7.376769,5,17.3213
48.53794,5,17.325553
54.778911,100,17.416306
57.915835,20,17.434016
2.416144,100,17.523048
1.438989,4,17.527134
0.329742,100,17.615261
31.098736,4,17.61937
40.863977,100,17.707533
7.527243,100,17.794903
-1.0,92,17.896625
3.748793,17,17.914127
0.0,100,18.006868
0.894539,100,18.094227
5.884462,10,18.103313
16.108323,30,18.130849
0.0,100,18.219236
54.621629,5,18.227694
18.145049,9,18.236164
-1.0,1,18.236862
0.0,100,18.324561
0.745858,100,18.413115
10.155455,36,18.447185
23.148214,47,18.4888
1.417674,10,18.498866
0.666764,45,18.537745
1.382743,2,18.539498
0.0,100,18.630093
-1.0,57,18.681047
22.446463,100,18.768743
20.77189,90,18.847533
1.465075,13,18.858794
41.723848,37,18.893206
0.0,100,18.981242
3.748793,39,19.014815
0.0,100,19.101923
0.0,100,19.189072
2.416144,100,19.247847
0.0,100,19.284867
58.617038,4,19.286925
21.963638,100,19.324085
0.0,100,19.361006
-1.0,45,19.410205
1.417674,42,19.447619
33.808964,3,19.451206
-0.249507,50,19.493986
1.438989,65,19.554281
39.324239,4,19.560459
28.016849,4,19.564495
0.445132,100,19.653168
14.978868,29,19.678257
6.916472,100,19.771853
0.0,100,19.859792
38.499636,39,19.894604
3.354807,4,19.89873
5.438982,4,19.904847
2.942665,100,19.994141
1.171858,29,20.019852
0.0,100,20.109883
11.895133,11,20.122485
2.438989,100,20.210801
3.838387,4,20.214647
15.809541,51,20.259951
13.610957,34,20.298343
8.949805,4,20.302411
1.417674,50,20.345389
8.787386,100,20.434644
4.947882,4,20.440834
34.482465,3,20.444375
-1.0,59,20.495762
4.203981,36,20.528173
0.562101,29,20.556528
4.429766,79,20.626522
0.329742,100,20.715439
-0.212441,92,20.796206
3.536054,3,20.80189
58.418669,40,20.8374
-0.243407,78,20.90537
51.819607,19,20.923313
32.075694,4,20.929431
-0.214732,57,20.979486
58.535348,46,21.021486
23.681066,4,21.025558
0.781015,100,21.114794
4.387831,74,21.179346
-1.0,1,21.180041
39.863977,14,21.193727
0.112416,91,21.2763
41.324045,28,21.301942
1.36717,12,21.312726
63.362242,4,21.316789
58.641963,4,21.324703
0.0,100,21.41397
0.0,100,21.503212
48.135425,4,21.50733
39.863977,15,21.52161
10.821262,39,21.557355
-0.595794,32,21.585487
10.700639,4,21.589567
4.806889,4,21.595651
6.119522,4,21.599678
28.016849,4,21.603713
39.324239,4,21.607788
7.03901,3,21.613222
0.0,100,21.701446
59.229564,4,21.705576
1.268095,4,21.709602
0.0,100,21.801073
0.0,100,21.889752
7.03901,5,21.893711
-0.249507,30,21.920685
22.096773,5,21.92704
5.461233,14,21.938611
-0.55702,44,21.976979
-0.220775,96,22.063437
42.366228,4,22.069591
23.359463,26,22.093791
35.326407,100,22.183506
6.8621,100,22.273362
56.891698,92,22.356585
24.390874,7,22.363282
-1.0,17,22.377408
3.838387,3,22.380951
2.839858,14,22.394457
-1.0,22,22.415383
3.054939,18,22.430656
17.236812,51,22.475521
-1.0,1,22.478207
20.998444,4,22.482303
0.675207,100,22.570421
42.335109,5,22.574808
59.195875,4,22.581052
59.229564,4,22.585102
3.536054,3,22.588642
3.077921,19,22.606818
6.119522,4,22.612766
4.151129,3,22.616339
0.0,100,22.703487
9.830586,5,22.708153
31.142072,5,22.714445
-1.0,24,22.735518
0.0,100,22.823505
12.141044,19,22.84247
44.911207,4,22.848579
0.0,100,22.936109
8.237636,4,22.940261
38.913391,4,22.944347
0.666764,96,23.031059
0.0,100,23.11696
58.8561,4,23.121058
-1.0,1,23.121716
0.0,100,23.21175
0.0,100,23.322625
-1.0,1,23.323367
3.696161,49,23.367324
0.661081,23,23.388692
0.0,100,23.474817
60.035194,4,23.478912
20.860796,3,23.482545
0.0,100,23.573082
0.329742,100,23.662966
0.0,100,23.750325
5.461233,31,23.778363
33.464737,4,23.78452
1.249505,4,23.788366
0.0,100,23.876795
0.0,100,23.95555
4.099781,4,23.957679
3.528723,100,23.995567
0.329742,100,24.033305
0.0,100,24.070291
1.836184,36,24.108188
20.863699,100,24.20347
4.666011,56,24.255783
9.07456,5,24.262655
64.6898,5,24.267127
3.726008,3,24.272955
2.575732,17,24.306512
21.082526,100,24.449266
7.803641,3,24.452996
3.975613,100,24.54322
4.696305,100,24.634006
23.160443,4,24.638421
0.666764,44,24.677727
-1.0,28,24.703269
-1.0,16,24.717695
19.650729,3,24.71936
0.671244,100,24.809254
23.660045,4,24.814123
2.36717,100,24.903092
59.195875,34,24.934676
11.041288,100,25.02748
0.0,100,25.117124
14.509399,5,25.121427
3.161906,100,25.211387
20.74872,4,25.215493
63.897984,4,25.220406
63.696283,4,25.224562
4.839074,5,25.228796
19.762991,4,25.232961
0.0,100,25.322757
-1.0,81,25.400522
-0.669596,76,25.46866
38.154391,5,25.473343
9.761843,4,25.478263
2.575582,75,25.544447
19.262966,4,25.548519
0.562101,4,25.55215
12.16286,4,25.557087
38.992386,22,25.577612
58.535348,4,25.581662
21.297654,4,25.585712
3.189137,15,25.600629
2.955647,4,25.604708
0.0,100,25.693478
39.863977,59,25.747443
5.461233,4,25.752491
0.904489,100,25.839857
30.22207,4,25.843961
29.486548,4,25.848047
5.20538,92,25.930156
59.229564,4,25.934281
-1.0,1,25.93497
29.137514,5,25.939385
58.124806,4,25.944308
12.868166,38,25.978842
19.620477,5,25.983183
5.458048,4,25.98746
4.184535,4,25.992314
1.754745,80,26.062564
0.513853,3,26.066468
1.249505,4,26.071084
11.09395,4,26.075894
-1.0,87,26.155785
46.195617,4,26.159643
57.747773,4,26.163939
9.830586,5,26.171273
1.17223,4,26.175345
-1.0,32,26.205112
7.376769,17,26.219874
3.757662,4,26.224719
10.917453,53,26.27073
-1.0,1,26.271403
9.775337,4,26.275509
55.406371,100,26.365
4.387831,4,26.369099
34.482465,3,26.372631
0.452219,100,26.463389
10.786176,7,26.471597
4.476501,70,26.534378
2.688523,25,26.558849
2.798768,95,26.641552
38.154391,6,26.649001
-1.0,54,26.696284
21.295678,4,26.700399
57.779818,26,26.724562
45.204225,4,26.729389
11.041288,100,26.817516
3.354807,4,26.821631
-1.0,78,26.890421
63.008554,4,26.895281
11.895133,62,26.950638
0.691456,100,27.04184
53.667483,4,27.045986
59.229564,4,27.050931
12.141044,6,27.055399
59.460466,4,27.059528
0.661081,30,27.0873
5.461233,7,27.095478
4.806889,5,27.099869
35.012279,7,27.106878
60.898331,23,27.126263
9.26013,4,27.131169
4.115857,6,27.138008
0.0,100,27.225741
59.520798,4,27.229932
1.417674,4,27.234849
23.494937,4,27.238924
4.663624,19,27.256653
9.365791,5,27.261053
9.775337,4,27.265925
0.793015,100,27.354448
6.233334,4,27.358648
34.248458,100,27.4474
3.838387,3,27.452136
40.863977,100,27.541947
21.805328,5,27.546785
0.0,100,27.635082
58.380786,4,27.640178
33.808964,3,27.643786
4.085227,100,27.733085
1.645032,100,27.822507
2.998261,73,27.887549
11.191517,55,27.936443
9.956483,5,27.940902
9.178784,14,27.953233
0.683714,3,27.957821
10.502908,74,28.024374
11.247537,4,28.028531
0.652167,100,28.118667
1.316471,43,28.156332
6.756215,4,28.160436
-0.596094,65,28.219012
20.860796,3,28.220729
65.474831,5,28.227656
-1.0,56,28.276591
0.0,100,28.368214
19.650729,3,28.370027
62.414048,100,28.460715
33.248458,4,28.464899
-1.0,1,28.467475
1.448001,4,28.47156
0.395825,100,28.559822
19.389831,100,28.648162
8.100492,51,28.691193
32.416372,4,28.700571
0.0,100,28.737563
17.261676,4,28.739558
63.623379,4,28.741617
0.0,100,28.778681
-1.0,33,28.816598
4.471841,100,28.907127
33.248458,8,28.914759
31.557819,4,28.918815
42.31512,4,28.922905
61.062562,13,28.936205
7.803641,3,28.93982
1.479607,4,28.947039
19.446392,4,28.950279
0.777561,100,29.040968
0.0,100,29.130825
0.0,100,29.258049
61.675455,4,29.262195
35.941456,4,29.266998
1.46294,4,29.271118
4.422427,100,29.359334
9.07456,5,29.364043
0.371535,21,29.383112
59.317998,100,29.471568
7.685435,54,29.52255
0.0,100,29.610646
13.141044,100,29.698695
1.395525,4,29.702769
1.457966,4,29.706784
-0.596094,50,29.749333
0.329742,100,29.837429
55.033831,4,29.841742
59.71412,4,29.845766
9.816872,4,29.849787
12.886494,5,29.854958
29.955918,4,29.859044
61.432596,5,29.865109
25.28127,29,29.890958
50.523107,4,29.895697
1.395525,4,29.899788
1.457966,4,29.903823
32.075694,4,29.907856
-1.0,7,29.915519
0.0,100,30.005864
22.819202,4,30.010609
33.248458,4,30.014675
63.362242,4,30.019476
-1.0,53,30.066
1.457966,5,30.070249
-1.0,10,30.08027
67.196107,100,30.168573
0.383737,100,30.256109
1.46294,4,30.260306
33.248458,4,30.264373
1.395525,4,30.269397
-1.0,76,30.335648
38.154391,5,30.340284
4.115857,5,30.344901
24.102017,4,30.349678
59.195875,4,30.353705
0.0,100,30.44205
55.99802,4,30.446274
57.460241,71,30.509095
-1.0,1,30.50977
0.904489,100,30.598159
47.326113,4,30.602321
14.631012,42,30.640643
-1.0,16,30.65612
0.128672,63,30.711108
0.0,100,30.802263
40.888357,98,30.89323
4.203981,68,30.954665
41.346511,4,30.958935
0.73214,100,31.051057
0.512025,12,31.063236
-1.0,1,31.063923
58.641963,4,31.068063
1.36717,4,31.072192
4.806889,4,31.077075
0.0,100,31.169162
0.771756,100,31.260794
0.0,100,31.349386
2.005753,51,31.396519
33.359462,46,31.436525
0.72376,100,31.526311
4.041628,31,31.554318
-1.0,33,31.583408
0.0,100,31.675617
7.03901,3,31.679297
40.359533,57,31.728873
1.430158,100,31.818364
-1.0,1,31.820978
0.0,100,31.911403
0.0,100,31.999782
29.486548,46,32.041665
-1.0,1,32.042358
25.28127,18,32.059815
56.913683,45,32.099467
58.398908,5,32.104479
3.354807,5,32.110657
39.863977,24,32.134033
21.043187,4,32.138138
3.395668,3,32.140496
4.619402,10,32.150508
21.87088,3,32.154188
1.457966,5,32.158633
0.0,100,32.247336
32.502663,4,32.251483
7.743971,43,32.292464
0.679807,83,32.363955
57.747773,4,32.368903
56.913683,97,32.45626
6.600691,100,32.544205
5.655187,3,32.545993
9.178784,75,32.613979
-0.670258,12,32.624628
22.446463,100,32.711621
61.530466,4,32.715707
0.0,100,32.804404
-1.0,1,32.805115
0.0,100,32.89257
3.699214,6,32.899533
9.816872,4,32.90441
-0.249507,30,32.929845
-1.0,2,32.932619
0.652167,100,33.020016
39.863977,4,33.025129
3.838387,3,33.030339
0.683714,3,33.031974
63.623379,4,33.036074
-1.0,74,33.10371
4.151129,3,33.107379
41.000865,100,33.197976
40.111521,5,33.202297
4.184535,4,33.207246
6.405841,15,33.22148
2.688523,39,33.254513
5.928437,5,33.261018
-1.0,29,33.286245
4.468386,4,33.290295
1.397829,50,33.358511
11.405446,9,33.367682
