#{"t_start": 1752552817.0238655, "env_id": "None"}
r,l,t
0.781305,2,0.012186
11.887967,27,0.133789
5.760244,3,0.13559
2.886111,3,0.1391
3.536054,3,0.143862
-0.225929,75,0.214631
5.929543,3,0.216385
3.88845,3,0.220088
0.755828,100,0.314421
36.276229,3,0.318035
37.82629,38,0.352628
7.286719,41,0.390915
8.356303,46,0.432803
0.221858,40,0.469028
37.924625,9,0.478724
38.766779,9,0.490242
-1.0,22,0.530286
22.107858,4,0.534306
2.613755,3,0.53827
11.075008,100,0.628599
38.53195,100,0.720062
36.938296,21,0.738456
0.0,100,0.830058
-1.0,97,0.917234
0.0,100,1.013762
7.12566,39,1.076859
-0.303861,30,1.104453
8.892155,50,1.149276
18.157161,72,1.213452
1.837259,12,1.22602
22.107858,8,1.233538
13.62612,3,1.23714
0.0,100,1.353721
1.21084,100,1.441025
11.551284,100,1.528831
12.141044,2,1.530051
0.0,100,1.621352
8.12566,100,1.711607
2.975613,3,1.714877
6.853073,84,1.810995
25.942194,3,1.816698
3.028477,56,1.867387
25.756122,3,1.871084
36.276229,3,1.873007
5.383784,3,1.878743
16.492769,3,1.88233
8.015028,4,1.886119
-0.670258,2,1.887345
-1.0,4,1.892834
-0.315307,3,1.896216
22.55669,3,1.899842
-0.313758,92,1.983111
24.706843,13,1.996326
12.455569,12,2.00713
8.549252,100,2.095826
4.906793,3,2.09947
19.811946,3,2.105212
2.41225,3,2.106913
1.794448,3,2.110487
0.904489,100,2.200619
14.936992,40,2.239266
25.587215,94,2.336597
24.846906,4,2.340365
11.552174,4,2.344229
36.276229,3,2.347895
6.562409,3,2.351466
0.756593,100,2.438933
10.525221,72,2.502073
10.787089,82,2.576587
2.41225,3,2.578302
6.562409,35,2.611875
-0.852549,23,2.633866
-1.0,76,2.70207
9.312699,3,2.705395
40.884841,3,2.707081
30.113209,4,2.710795
1.690328,3,2.71631
4.100382,100,2.804271
5.907764,3,2.807882
-0.243407,82,2.879083
4.485966,50,2.926354
0.0,100,3.018131
7.283541,3,3.021721
11.228906,13,3.033454
2.488286,9,3.04332
33.977699,27,3.068003
0.770012,100,3.157297
-1.0,41,3.193929
6.24045,22,3.216141
0.0,100,3.304167
26.212341,3,3.305907
2.989274,79,3.376574
40.456224,16,3.393885
5.253676,21,3.412015
0.195071,3,3.415642
5.675954,84,3.492882
0.0,100,3.586882
3.508907,100,3.676213
-0.308555,75,3.743474
-1.0,21,3.761181
0.0,100,3.852687
3.364593,100,3.942421
22.970365,97,4.026382
8.141626,3,4.030033
0.894539,100,4.121387
0.0,100,4.211271
0.927258,93,4.293922
30.113209,3,4.29753
0.724557,100,4.388021
1.2252,100,4.475976
17.681395,100,4.563592
14.171242,100,4.652849
0.0,100,4.747642
2.623336,100,4.810501
0.0,100,4.8478
3.696161,3,4.849331
0.452635,100,4.886121
0.0,100,4.922848
3.938923,31,4.961411
5.383784,4,4.965425
8.409844,100,5.058685
0.0,100,5.151994
21.110696,3,5.155619
23.358616,28,5.18117
0.645032,3,5.184932
7.409844,3,5.187404
8.642704,3,5.191061
0.0,100,5.286057
-0.303861,4,5.290095
-1.0,12,5.301708
0.117266,19,5.320565
3.696161,20,5.338958
31.779983,3,5.342595
0.494075,12,5.35414
3.94082,3,5.355863
0.904489,100,5.444244
6.571122,28,5.469208
0.241502,3,5.47366
1.200126,100,5.562427
0.0,100,5.652752
-0.303861,60,5.706925
23.358616,4,5.712389
0.0,100,5.803624
5.383784,3,5.807328
20.891974,100,5.900383
7.286719,43,5.941267
1.690328,3,5.943094
16.173448,83,6.024664
0.0,100,6.113386
20.337081,7,6.121989
28.439668,17,6.136942
3.866455,100,6.224949
-1.0,90,6.30712
-0.211143,48,6.351549
12.141044,2,6.352733
0.0,100,6.441859
22.28143,40,6.478788
-1.0,90,6.559151
18.704146,43,6.596457
1.266663,15,6.610715
22.55669,4,6.61438
-0.308555,22,6.635938
19.478266,72,6.698837
6.259699,16,6.713365
7.407227,96,6.79685
1.036109,3,6.79938
36.054188,8,6.806361
8.141626,3,6.809886
6.138413,9,6.817553
6.985888,3,6.823125
0.459565,100,6.910625
5.990125,69,6.972895
0.0,100,7.061785
0.645032,3,7.06627
41.048046,3,7.069862
0.210037,3,7.073475
3.866455,100,7.161296
0.0,100,7.253338
0.455012,100,7.343414
1.242635,100,7.430937
0.0,100,7.520287
21.958507,100,7.608963
12.945822,15,7.621271
8.642704,4,7.624995
14.055946,39,7.661358
7.286719,27,7.686614
