#{"t_start": 1752552418.9096894, "env_id": "None"}
r,l,t
12.130731,5,0.042994
26.4727,3,0.044708
16.369737,5,0.070453
30.424518,57,0.210762
4.642638,31,0.239137
7.135516,68,0.30124
0.0,100,0.396006
20.755646,100,0.491715
2.956171,42,0.552126
12.141044,2,0.555238
1.894085,100,0.651365
-1.0,1,0.652225
40.332839,4,0.65681
0.0,100,0.749629
19.427988,45,0.79215
29.967143,39,0.826723
-1.0,12,0.836889
0.0,100,0.928892
51.653254,4,0.933742
5.438982,4,0.937772
34.482465,9,0.945353
-1.0,48,0.989385
0.0,100,1.130334
55.454292,4,1.134433
0.0,100,1.226238
59.513593,4,1.230365
3.835898,3,1.236135
1.645032,100,1.349864
-1.0,25,1.371692
2.251337,100,1.467512
-1.0,65,1.52989
-1.0,4,1.534478
29.967143,3,1.538087
1.91504,100,1.632076
7.135516,4,1.636959
3.564064,4,1.640687
-0.227775,23,1.661379
18.769593,66,1.723318
23.864497,4,1.728247
13.617935,4,1.732237
4.002399,12,1.742969
20.036697,20,1.760799
61.3658,4,1.765488
23.246317,4,1.76966
31.858,3,1.773165
0.0,100,1.866424
45.14821,4,1.871257
53.089044,73,1.940164
0.0,100,2.035053
-1.0,80,2.109823
-1.0,1,2.113178
51.180857,4,2.117212
22.994608,78,2.187549
64.57734,4,2.19156
54.108707,4,2.196808
2.956171,23,2.220029
29.37347,3,2.224236
23.239365,33,2.25504
4.467295,100,2.348277
25.797821,4,2.352001
1.883018,100,2.445737
4.637072,61,2.500387
14.490783,100,2.595732
-1.0,40,2.631995
-1.0,4,2.635369
0.0,100,2.726365
17.548496,4,2.731646
0.0,100,2.821743
0.0,100,2.913801
0.0,100,3.007064
27.545248,3,3.011829
0.0,100,3.102026
39.337232,45,3.14264
45.392605,61,3.195805
59.229564,4,3.201001
33.178483,4,3.205123
23.790946,26,3.228854
22.433894,28,3.253795
-0.622416,69,3.315106
25.983124,4,3.319221
1.251337,59,3.373116
51.333121,4,3.378908
1.479112,100,3.471228
8.679733,14,3.483053
-1.0,18,3.500499
38.913391,18,3.518113
19.255558,17,3.535995
-1.0,2,3.536577
9.354482,90,3.617501
30.619251,5,3.622537
59.394446,4,3.627305
0.0,100,3.716637
0.0,100,3.806766
-0.215188,25,3.829628
0.0,100,3.919904
-1.0,100,4.01079
4.716753,3,4.014357
0.0,100,4.103363
-1.0,12,4.114915
58.482566,100,4.205347
-1.0,77,4.273453
5.123571,54,4.32164
0.0,100,4.408514
0.0,100,4.498709
65.085104,4,4.502775
1.864717,100,4.592905
0.772225,100,4.682588
5.0251,82,4.764739
48.910145,28,4.789711
65.229094,5,4.794024
23.50585,4,4.869848
38.468084,100,4.90844
1.479112,100,4.946906
0.0,100,4.985388
21.9878,4,4.987375
15.571525,4,4.999141
3.835898,3,5.002765
0.085706,11,5.013296
1.17223,31,5.041219
3.64699,2,5.043384
6.80027,4,5.047553
0.0,100,5.140141
0.0,100,5.230432
0.0,100,5.321404
26.933237,4,5.325461
-1.0,1,5.326208
2.951818,2,5.329304
2.951818,2,5.332519
10.221225,3,5.336244
19.828135,4,5.340799
3.729337,4,5.344866
51.176315,4,5.350871
-0.911449,62,5.407754
-1.0,92,5.490335
12.31097,4,5.494404
0.0,100,5.587082
57.537127,5,5.591359
14.909467,3,5.595403
60.643786,50,5.640517
0.0,100,5.732687
22.097363,4,5.736962
0.0,100,5.82354
10.18199,4,5.827367
1.645032,100,5.917246
45.392605,4,5.921119
