#{"t_start": 1752552604.8345442, "env_id": "None"}
r,l,t
13.446698,3,0.010547
14.824599,3,0.05244
-1.0,36,0.145137
15.026514,3,0.148822
39.042145,3,0.15051
-1.0,93,0.235199
0.0,100,0.327779
9.039265,48,0.369782
3.270767,4,0.373562
1.210538,100,0.462231
0.0,100,0.56599
-1.0,100,0.655303
0.905539,100,0.74158
13.446698,3,0.74533
0.0,100,0.833421
0.119553,88,0.913112
0.0,100,1.000159
0.0,100,1.124294
13.446698,3,1.127861
-0.296176,3,1.131757
0.0,100,1.224546
-1.0,40,1.272486
1.373647,3,1.276008
0.0,100,1.367441
3.530753,100,1.455391
0.0,100,1.544961
39.227069,3,1.546647
3.646973,84,1.619215
0.0,100,1.705167
14.322319,67,1.766672
0.0,100,1.856082
2.131649,2,1.859086
19.871225,3,1.86077
39.873003,100,1.947649
6.12415,4,1.951946
0.122501,11,1.962056
41.843996,3,1.965573
20.374775,100,2.054719
13.745131,32,2.081997
14.879267,10,2.089856
6.029161,100,2.184631
0.0,100,2.272426
-1.0,59,2.323356
36.535369,3,2.326873
10.200641,15,2.340547
21.726871,3,2.343852
3.949683,17,2.36023
0.453945,100,2.446008
17.764804,46,2.486055
20.541752,71,2.550195
-0.221452,6,2.55464
0.0,100,2.643346
1.409371,15,2.657048
3.36982,2,2.662002
3.772492,3,2.663653
39.377429,3,2.66717
0.904489,100,2.754084
3.054033,2,2.759146
-1.0,72,2.822915
37.373536,3,2.824645
7.394072,3,2.828191
9.490655,3,2.833791
21.23349,3,2.837331
1.685503,100,2.926974
41.666941,3,2.928519
3.560845,100,3.016404
38.774355,3,3.019937
3.772492,3,3.023407
-1.0,18,3.038267
19.135149,2,3.043133
21.746039,79,3.113208
2.764314,3,3.114884
7.215006,100,3.205379
1.335404,100,3.294827
0.904489,100,3.388157
17.764804,2,3.391214
35.866806,3,3.394716
0.211349,3,3.398465
6.59224,82,3.471
29.180895,3,3.474849
14.879267,88,3.550571
4.254805,100,3.641267
0.212691,3,3.643012
0.211349,4,3.646813
-1.0,95,3.731373
0.0,100,3.849983
3.630483,100,3.935592
0.0,100,4.042514
0.119553,4,4.046624
14.738599,3,4.052205
0.0,100,4.138431
29.225268,59,4.191157
0.483841,3,4.192921
19.135149,2,4.198058
36.459984,3,4.201599
-1.0,94,4.282274
41.666941,3,4.285868
3.457611,4,4.291651
39.377429,3,4.295158
0.683396,3,4.29689
-1.0,96,4.379311
0.905539,100,4.469289
39.749224,3,4.47283
2.882996,3,4.476335
0.0,100,4.562341
36.956788,58,4.613798
0.0,100,4.725067
0.0,100,4.762075
0.0,100,4.798935
0.0,100,4.835688
-0.296176,3,4.837348
-1.0,82,4.916019
2.760881,5,4.920337
20.612163,100,5.010102
14.824599,3,5.014643
0.0,100,5.104858
18.607736,100,5.193712
14.738599,3,5.197313
3.646973,37,5.230523
0.0,100,5.318113
0.0,100,5.419914
15.228029,100,5.508621
0.0,100,5.598416
-0.595794,63,5.656424
-0.296176,3,5.658139
0.660316,28,5.683551
0.0,100,5.772063
0.0,100,5.861184
2.168921,2,5.864237
0.0,100,5.951706
0.0,100,6.041123
-1.0,36,6.072235
3.560845,100,6.160182
40.279267,100,6.248638
42.448501,3,6.2533
3.34027,4,6.257451
0.0,100,6.346913
15.879267,100,6.435498
2.764314,6,6.441245
0.0,100,6.529377
37.659968,3,6.532946
0.0,100,6.623628
-0.304398,3,6.628069
-1.0,39,6.660804
1.233513,100,6.751158
0.0,100,6.839993
40.351829,30,6.868268
3.34027,30,6.894885
0.0,100,6.985513
-0.296176,4,6.989768
37.771584,98,7.078382
0.0,100,7.166577
2.764314,3,7.170136
3.560845,100,7.258913
7.394072,3,7.261369
3.37474,10,7.270983
2.760269,3,7.274588
1.845434,100,7.362183
1.373647,3,7.364628
11.054379,3,7.368289
-0.296176,4,7.372621
0.0,100,7.462621
-1.0,40,7.500375
-0.296176,3,7.503949
-1.0,3,7.507066
40.351829,3,7.508756
0.0,100,7.595767
0.660316,24,7.617006
3.816051,3,7.620691
37.771584,44,7.661347
0.455426,100,7.751188
-1.0,19,7.768468
38.873003,3,7.771977
0.0,100,7.861014
39.970242,69,7.921677
-0.242274,85,7.995766
19.135149,2,7.99889
-0.296176,3,8.000609
-1.0,68,8.060912
0.0,100,8.149108
2.741389,30,8.17639
2.764314,3,8.180043
35.069252,3,8.182498
0.0,100,8.272154
6.404647,4,8.275896
0.0,100,8.364491
19.978187,100,8.452842
3.34027,4,8.457259
0.0,100,8.546667
13.446698,3,8.550318
0.0,100,8.642789
2.887697,39,8.678123
-1.0,58,8.729794
35.866806,3,8.733351
-1.0,44,8.774563
-1.0,22,8.79479
0.0,100,8.882161
38.774355,3,8.883868
0.0,100,8.971687
38.771584,100,9.061742
2.882996,3,9.065399
0.0,100,9.15178
0.0,100,9.239395
-1.0,16,9.25422
7.394072,3,9.257854
36.153623,3,9.330178
1.661081,100,9.367893
2.760881,4,9.370023
36.414274,3,9.371565
21.23349,3,9.373152
0.0,100,9.467631
11.054379,3,9.47524
9.039265,33,9.504882
39.042145,3,9.508425
0.0,100,9.595984
-1.0,49,9.640893
39.042145,3,9.644463
-0.244172,48,9.686476
1.661081,100,9.775708
6.726686,45,9.817096
0.0,100,9.906491
0.0,100,9.99497
0.684087,3,9.998622
0.684087,3,10.004251
0.0,100,10.093245
0.0,100,10.182801
13.381046,3,10.186467
3.741389,100,10.277097
0.0,100,10.36417
38.484242,3,10.365968
-0.221452,57,10.417509
3.868996,88,10.497611
38.658428,50,10.540849
0.0,100,10.632641
0.0,100,10.722251
14.228029,18,10.741905
1.679267,100,10.828702
21.387558,42,11.102386
0.0,100,11.19377
2.131649,2,11.197994
5.687219,100,11.287163
-0.5627,29,11.313055
37.076515,46,11.353776
28.875855,4,11.358694
0.0,100,11.44716
7.394072,42,11.485458
20.447551,100,11.576334
0.0,100,11.66697
-1.0,28,11.692079
42.448501,3,11.695807
0.444575,100,11.785383
1.814361,100,11.874998
25.736405,3,11.876788
23.17488,4,11.880956
3.772492,3,11.884505
28.707487,3,11.888944
0.0,100,11.980796
3.936331,100,12.072576
0.904489,100,12.161175
7.394072,3,12.165804
3.34027,5,12.170579
1.373647,3,12.174339
0.0,100,12.263675
0.0,100,12.353177
0.0,100,12.442311
1.409371,22,12.46084
2.168921,2,12.463943
0.212691,43,12.50114
17.764804,2,12.504208
0.684087,3,12.507732
0.0,100,12.597527
3.772492,3,12.600206
0.0,100,12.687875
0.0,100,12.776184
0.455426,100,12.864297
0.0,100,12.953971
37.771584,4,12.958057
17.764804,2,12.961184
37.771584,4,12.965156
0.663265,4,12.970236
0.0,100,13.061118
35.550512,3,13.064801
35.724758,3,13.066469
19.135149,2,13.070483
-0.595794,83,13.144832
0.0,100,13.234399
6.59224,78,13.302021
0.0,100,13.390842
35.54892,3,13.394444
18.669586,100,13.48553
35.724758,3,13.489194
7.638411,100,13.585632
0.0,100,13.674569
6.12415,4,13.67851
-1.0,16,13.692704
0.661081,4,13.697501
5.687219,100,13.794887
29.180895,3,13.796604
0.0,100,13.886828
0.0,100,13.999522
2.540312,100,14.089259
0.0,100,14.197686
0.0,100,14.234622
0.0,100,14.271944
0.0,100,14.309164
0.0,100,14.3476
4.236046,56,14.400882
-1.0,77,14.470647
6.404647,3,14.473467
13.018584,3,14.478951
3.34027,4,14.483171
39.281552,3,14.486784
0.0,100,14.577295
-1.0,46,14.618649
53.711359,100,14.708072
2.518739,100,14.796767
4.077947,5,14.804874
2.168921,2,14.80605
0.0,100,14.894076
21.23349,3,14.897719
0.0,100,14.988669
0.698688,100,15.077715
-1.0,72,15.140654
35.550512,3,15.144233
37.153623,100,15.235067
4.077947,64,15.293118
38.200212,4,15.296837
0.721319,2,15.297761
-1.0,40,15.334708
0.0,100,15.422194
1.845434,100,15.509212
-0.296176,3,15.512818
0.706399,100,15.633687
0.0,100,15.721669
0.0,100,15.812786
14.649002,18,15.828665
2.741389,4,15.83474
0.0,100,15.924695
-1.0,48,15.968143
39.749224,3,15.971548
38.200212,3,15.977138
-1.0,12,15.987767
6.59224,71,16.052048
0.0,100,16.141392
38.139578,3,16.145072
2.131649,2,16.148132
20.645563,100,16.236585
0.0,100,16.330087
0.0,100,16.422229
36.956788,3,16.426111
10.490655,100,16.520054
2.882996,3,16.521872
-1.0,63,16.58117
0.0,100,16.673561
3.772492,3,16.677269
6.726686,4,16.681519
-0.243407,37,16.716901
11.054379,3,16.720602
-1.0,57,16.772702
13.381046,3,16.776413
29.180895,3,16.78207
0.0,100,16.874795
4.949683,100,16.968391
0.0,100,17.059211
-1.0,58,17.113137
6.638411,32,17.141893
0.0,100,17.234875
0.0,100,17.325589
38.873003,3,17.33146
38.873003,3,17.335133
0.0,100,17.424781
2.760269,3,17.426523
0.0,100,17.518044
39.227069,3,17.521743
0.212691,4,17.525941
1.211253,100,17.614401
39.928077,3,17.620153
0.211349,3,17.623806
9.039265,4,17.627985
0.684087,3,17.62966
-0.594847,18,17.648563
0.634188,100,17.735237
0.0,100,17.824738
17.764804,2,17.825992
6.726686,4,17.832164
52.711359,3,17.835739
0.0,100,17.922885
21.525959,3,17.926558
-1.0,1,17.928959
0.0,100,18.018373
0.483841,63,18.075584
14.738599,3,18.079218
-1.0,94,18.163509
1.373647,3,18.167192
-1.0,57,18.219946
10.151337,3,18.223528
20.374775,100,18.313986
12.944645,17,18.328744
13.381046,25,18.350305
0.0,100,18.440428
3.34027,4,18.446661
29.414711,3,18.450258
11.054379,3,18.453874
3.882996,100,18.542099
31.236091,3,18.547719
-1.0,58,18.598214
11.054379,3,18.602073
21.726871,3,18.605693
0.0,100,18.697826
39.281552,27,18.720026
1.373647,3,18.723578
0.0,100,18.811977
0.0,100,18.901273
0.0,100,18.978081
0.0,100,19.0153
41.544699,4,19.01733
-0.296176,3,19.018922
-0.304398,3,19.020551
-1.0,87,19.105352
1.409371,8,19.11246
3.772492,3,19.116039
38.484242,4,19.120998
0.211349,37,19.156487
2.056723,98,19.243737
1.373647,3,19.245517
39.359491,3,19.251587
0.211349,3,19.255296
0.0,100,19.344741
0.663265,4,19.348855
0.0,100,19.442108
39.928077,3,19.44607
1.233664,100,19.536047
7.394072,94,19.623273
38.774355,3,19.629245
-1.0,38,19.66261
13.018584,3,19.66625
39.359491,3,19.670223
3.772492,3,19.676143
24.030302,20,19.695299
0.0,100,19.788217
13.446698,3,19.790009
0.233513,58,19.845707
3.772492,3,19.849511
35.54892,3,19.850968
0.0,100,19.943953
3.193886,72,20.011527
-1.0,8,20.019376
1.210538,100,20.112174
14.649002,11,20.122755
1.122501,100,20.216617
0.0,100,20.31139
3.850386,100,20.406383
22.052548,100,20.49873
-0.304398,3,20.505942
26.344271,3,20.509816
21.23349,3,20.511569
9.490655,3,20.515382
0.0,100,20.610233
39.359491,3,20.6166
-0.304398,3,20.620377
2.131649,2,20.621572
36.153623,3,20.627718
39.359491,3,20.63142
0.0,100,20.723614
6.404647,3,20.725516
7.638411,100,20.820345
0.904489,100,20.913317
3.887697,100,21.003418
0.0,100,21.093856
0.0,100,21.187328
3.056723,100,21.2789
35.724758,3,21.282713
38.774355,3,21.286573
9.490655,3,21.292397
0.0,100,21.382951
