#{"t_start": 1752553195.706124, "env_id": "None"}
r,l,t
-1.0,77,0.195942
1.839587,87,0.276147
-1.0,99,0.365714
18.349447,4,0.369785
39.361987,83,0.475016
51.670098,61,0.575371
5.009186,4,0.580542
-1.0,72,0.67821
0.0,100,0.772398
0.0,100,0.867475
0.421561,20,0.887349
22.923022,4,0.89173
55.973793,100,0.998652
8.388221,44,1.104574
54.573962,41,1.142761
54.02384,54,1.193333
0.0,100,1.283586
9.183444,100,1.402796
0.0,100,1.493482
0.0,100,1.604753
0.0,100,1.693781
2.886987,4,1.698039
12.622438,50,1.742874
45.987796,4,1.748689
40.657918,67,1.810796
1.794584,4,1.814916
0.0,100,1.904535
0.0,100,2.05474
8.212661,100,2.144054
0.677463,100,2.235401
2.86481,100,2.340723
32.818829,25,2.363273
64.372917,82,2.509199
0.0,100,2.603593
2.925783,83,2.681504
12.129513,4,2.6859
19.755646,34,2.716726
0.755828,100,2.811175
-1.0,36,2.84823
3.530258,3,2.851827
0.0,100,2.946709
-1.0,15,2.961117
-1.0,30,2.993279
59.408276,4,2.997689
60.432622,100,3.092638
0.432532,76,3.171791
-1.0,63,3.23157
11.125272,100,3.324767
0.0,100,3.414885
0.0,100,3.507632
61.643362,4,3.512659
0.85986,16,3.528297
0.0,100,3.621903
0.756593,100,3.715938
1.417674,5,3.721112
4.6895,89,3.8004
8.013424,100,3.891847
-1.0,97,3.982665
20.856262,4,3.987672
48.664567,43,4.024524
0.0,100,4.120574
9.720705,56,4.171527
4.122258,86,4.249023
2.568266,3,4.252294
0.0,100,4.345936
2.568266,2,4.347312
4.085227,100,4.437374
-1.0,9,4.445023
0.958091,11,4.455838
0.0,100,4.547518
24.570209,16,4.562625
-0.607495,94,4.646373
1.434174,93,4.730984
1.116523,100,4.82456
1.284893,4,4.829818
0.0,100,4.969805
0.0,100,5.079559
-0.198827,10,5.087269
1.189125,5,5.094543
0.0,100,5.187679
0.0,100,5.242269
0.0,100,5.279542
11.159626,3,5.281183
41.12048,4,5.283198
0.0,100,5.320768
0.0,100,5.454049
0.0,100,5.543733
25.813547,5,5.551332
0.0,100,5.644347
20.873541,100,5.737315
27.322746,4,5.741496
22.177992,3,5.744047
7.603432,4,5.748173
3.475874,100,5.842485
3.461194,3,5.84632
-1.0,16,5.862211
24.404256,5,5.866746
58.242812,4,5.870884
0.764513,100,5.96299
3.691061,3,5.971673
1.186277,4,5.978099
14.700848,4,5.982288
0.6721,13,5.99333
12.475454,100,6.086541
6.40585,4,6.090847
54.473308,5,6.097345
6.55624,4,6.101695
1.81309,33,6.135543
0.473676,62,6.200706
39.460413,4,6.204895
9.852087,56,6.258397
10.638298,96,6.346949
35.602221,4,6.351272
2.870409,8,6.358839
12.52514,100,6.451125
1.186277,5,6.458917
5.957724,8,6.466557
40.798917,74,6.533884
0.0,100,6.62799
0.676639,13,6.654352
2.989274,39,6.691012
0.0,100,6.787603
31.150428,4,6.791911
-1.0,46,6.866556
1.81309,4,6.870873
0.881222,7,6.877213
13.14288,100,6.987602
-1.0,63,7.046619
36.207779,5,7.051
10.564719,4,7.055121
0.0,100,7.148021
24.025323,4,7.153169
-0.670258,3,7.156861
-1.0,13,7.16814
3.27,100,7.260468
0.0,100,7.352027
0.0,100,7.443321
63.459733,4,7.447494
18.689595,100,7.53586
-1.0,45,7.578071
65.245146,5,7.58276
-1.0,61,7.636781
3.337291,4,7.64254
0.0,100,7.735765
1.251337,54,7.786837
0.432626,100,7.875618
76.268555,4,7.879817
20.963909,5,7.884876
22.26865,61,7.945163
17.603226,4,7.949319
22.370621,5,7.953562
12.504856,3,7.957984
4.311582,4,7.962176
0.0,100,8.050647
0.935892,37,8.083022
1.596347,3,8.087451
1.81309,14,8.101174
0.0,100,8.189794
-1.0,36,8.223389
14.484118,11,8.233196
0.674622,100,8.324614
38.582828,40,8.362706
-1.0,47,8.405981
30.178728,5,8.411219
0.0,100,8.502902
3.461194,3,8.506584
0.0,100,8.597971
11.159626,3,8.603473
0.0,100,8.699615
0.0,100,8.821817
0.0,100,8.910645
0.192906,4,8.915753
1.46498,51,8.962115
3.530258,3,8.963859
32.469863,4,8.968024
0.85893,100,9.060497
0.0,100,9.15029
33.708898,4,9.154445
-0.214732,89,9.234731
56.80701,4,9.239826
38.582828,4,9.243694
12.174654,3,9.245395
36.750507,100,9.334099
16.211055,4,9.339103
-0.249507,76,9.409032
8.432856,4,9.413223
29.57191,4,9.417443
-1.0,38,9.456512
2.989274,35,9.488942
1.511082,4,9.493088
57.553421,4,9.497255
63.459733,5,9.502615
39.002576,100,9.591115
18.827636,4,9.595351
0.0,100,9.684564
5.324198,4,9.690366
3.231931,3,9.694038
4.956113,30,9.719531
9.911103,3,9.723371
21.521976,100,9.814753
5.483256,68,9.87699
1.417674,18,9.892174
1.395525,4,9.896281
1.666764,100,9.985591
11.218206,94,10.069964
-1.0,20,10.08803
8.432287,4,10.092246
57.9225,4,10.097276
0.676639,3,10.100875
47.235827,4,10.108057
0.0,100,10.146029
53.738341,4,10.148182
18.124863,4,10.150234
0.674622,100,10.188373
66.667689,100,10.283853
29.619857,100,10.372443
33.708898,4,10.377474
-1.0,33,10.407473
0.0,100,10.496504
0.833929,28,10.521764
33.953987,5,10.526895
63.455225,9,10.534352
51.063371,32,10.562823
15.744733,100,10.652773
61.95714,4,10.657768
5.483256,4,10.661872
0.329742,100,10.749817
48.015784,71,10.815407
1.051836,5,10.821028
0.676639,4,10.824851
-1.0,15,10.838348
-1.0,17,10.852957
0.0,100,10.942434
37.18434,4,10.946597
7.185421,4,10.950749
0.0,100,11.041054
-0.243407,39,11.076681
-1.0,36,11.108692
0.661081,30,11.134572
7.535605,3,11.138256
0.0,100,11.228109
0.0,100,11.322119
3.874641,4,11.326291
55.986206,4,11.330398
-1.0,81,11.403256
0.0,100,11.49297
66.136268,4,11.497081
-1.0,23,11.517951
11.004786,100,11.607905
0.645032,3,11.611508
1.308412,3,11.615112
1.395525,4,11.619193
0.0,100,11.713883
23.26865,100,11.801531
10.977793,4,11.8058
-1.0,35,11.834451
53.091449,4,11.839355
0.0,100,11.927792
0.0,100,12.016196
0.0,100,12.105144
32.028283,6,12.11256
0.679807,8,12.119452
9.720705,4,12.123535
26.464611,4,12.127609
2.81309,100,12.219342
