#{"t_start": 1752552758.377432, "env_id": "None"}
r,l,t
3.611907,100,0.209889
4.126813,87,0.292248
-1.0,96,0.379116
0.0,100,0.482909
19.671502,100,0.593402
7.41583,90,0.676214
1.126327,100,0.763268
4.941626,5,0.767557
3.195387,38,0.800525
7.019992,4,0.804618
-1.0,3,0.807837
22.535987,100,0.899085
0.0,100,0.989094
0.0,100,1.126963
0.723857,100,1.21877
4.19602,4,1.223371
63.367215,4,1.228309
0.0,100,1.337343
25.40504,8,1.345811
4.19602,20,1.36468
0.421737,45,1.406653
26.78643,10,1.417218
0.0,100,1.509839
5.231716,100,1.602376
18.484236,100,1.692266
14.038463,100,1.782297
51.423912,59,1.840449
10.125272,3,1.842233
1.916231,100,1.934948
19.828135,38,1.972376
1.509028,100,2.063173
41.373276,87,2.141958
21.745839,57,2.192423
0.509125,56,2.241833
0.0,100,2.331463
0.0,100,2.420871
0.0,100,2.510136
16.494527,61,2.577972
0.0,100,2.666433
0.0,100,2.755941
0.785268,100,2.845718
28.652927,100,2.93765
0.0,100,3.026536
21.343595,100,3.116069
0.0,100,3.206669
0.0,100,3.296562
0.0,100,3.384154
-0.534655,71,3.447803
0.0,100,3.538476
-1.0,37,3.575263
32.509835,92,3.657218
-1.0,62,3.713223
0.329742,100,3.802756
19.266812,5,3.80707
0.0,100,3.896555
4.126813,3,3.900162
16.668901,100,3.991287
11.489183,30,4.017939
0.0,100,4.10487
0.0,100,4.19253
54.818466,44,4.231361
-1.0,18,4.248003
57.376414,100,4.337036
0.0,100,4.425545
-1.0,64,4.483518
12.627198,89,4.563309
50.872182,82,4.635459
49.357267,5,4.641417
16.992292,100,4.731589
30.940437,9,4.739765
3.022643,13,4.750874
0.0,100,4.789128
0.0,100,4.825984
0.0,100,4.86393
0.0,100,4.901383
13.607206,4,4.903405
42.590145,5,4.918898
7.41583,26,4.943132
0.085075,3,4.946874
0.0,100,5.03692
0.864717,4,5.040797
0.0,100,5.131084
23.577176,4,5.135638
15.829292,86,5.213589
1.692048,100,5.301306
46.308952,22,5.323514
-1.0,49,5.366867
0.894539,100,5.462187
-0.250279,76,5.529996
4.834845,100,5.620722
9.981391,6,5.62705
3.429601,36,5.65912
15.908159,100,5.747505
0.0,100,5.838074
20.784902,34,5.867085
19.026729,98,5.956169
22.982955,4,5.960242
61.323004,4,5.966859
-1.0,54,6.012275
0.365443,100,6.100798
58.592794,4,6.105214
4.088158,4,6.111258
-1.0,51,6.156208
31.320859,4,6.160289
15.829292,68,6.221349
0.0,100,6.313239
11.565668,9,6.320919
22.989405,8,6.328117
52.040819,95,6.413258
0.0,100,6.504046
0.0,100,6.594336
-1.0,94,6.676114
-0.596094,83,6.749258
18.441971,4,6.755382
1.479607,4,6.759402
0.0,100,6.847473
21.014434,100,6.937595
11.699252,100,7.027551
4.888438,12,7.03862
2.611907,17,7.05299
4.154066,3,7.056533
47.792339,32,7.09013
32.133263,84,7.164317
56.880697,12,7.175347
43.44788,4,7.179358
1.187786,65,7.243302
20.413706,100,7.330207
22.796486,4,7.334247
24.409167,48,7.377086
30.496935,5,7.385246
1.479607,4,7.389264
45.150886,4,7.39327
4.564339,74,7.457314
30.940437,5,7.463939
0.0,100,7.555364
3.797767,3,7.558903
29.356338,4,7.562912
0.0,100,7.653818
45.923576,4,7.658084
7.135998,100,7.748259
32.488947,4,7.752336
-1.0,90,7.833831
37.325959,77,7.902573
25.797821,3,7.906139
7.63065,100,7.99333
9.981391,7,8.001346
-1.0,61,8.056874
3.541094,3,8.058596
33.07834,5,8.065132
43.488302,4,8.071293
19.006334,4,8.07555
-1.0,32,8.104121
0.0,100,8.193717
0.0,100,8.283931
7.036128,9,8.291497
18.673709,2,8.292641
0.0,100,8.382046
34.656528,100,8.47323
-1.0,9,8.482534
26.181901,4,8.486666
40.529625,4,8.490808
6.80612,100,8.585773
39.864923,63,8.640751
32.429647,4,8.644526
-1.0,55,8.692748
38.23723,100,8.783805
0.0,100,8.870577
23.18162,4,8.87464
-1.0,72,8.941921
0.0,100,9.033845
55.581289,10,9.043383
27.33287,50,9.087846
57.442406,4,9.091898
30.940437,95,9.183771
57.43526,12,9.195513
4.877306,4,9.199716
1.465075,97,9.287304
0.0,100,9.380727
4.231716,5,9.385125
9.238972,14,9.399088
0.329742,100,9.49865
14.038463,4,9.500714
0.0,100,9.537235
56.473927,4,9.539232
4.941626,4,9.541224
9.644247,97,9.636361
0.0,100,9.728633
9.591279,100,9.815967
41.041298,4,9.820724
34.346982,4,9.824725
46.746763,4,9.830806
56.586494,4,9.834881
0.0,100,9.923176
-0.596094,48,9.966522
0.0,100,10.056804
0.0,100,10.148806
58.592794,4,10.152895
63.374933,100,10.240939
25.813547,6,10.247479
5.461287,73,10.312396
58.059684,100,10.402109
35.98115,4,10.406266
4.59894,4,10.412551
51.181045,4,10.416655
63.405504,4,10.443322
43.835233,70,10.507154
0.0,100,10.59656
0.0,100,10.683478
0.894539,100,10.773824
11.04676,100,10.861874
0.0,100,10.952088
5.06584,52,10.998236
13.424877,100,11.089705
34.656528,100,11.181
-1.0,71,11.247633
11.433829,4,11.251846
-1.0,59,11.303532
1.692048,100,11.391437
20.888468,100,11.482175
