#{"t_start": 1752552143.264149, "env_id": "None"}
r,l,t
0.0,100,0.168936
0.0,100,0.254844
7.680828,3,0.258455
7.555226,89,0.335515
10.1657,2,0.338689
10.1657,2,0.340702
7.555226,100,0.467046
7.680828,100,0.592551
0.0,100,0.679099
0.0,100,0.766092
7.680828,13,0.778963
7.555226,44,0.816737
7.36757,18,0.831383
8.555226,100,0.918614
7.36757,26,0.942373
0.403906,100,1.031801
7.36757,70,1.093012
7.680828,12,1.105156
7.555226,75,1.171417
-1.0,1,1.172294
0.0,100,1.259008
8.555226,100,1.357261
0.0,100,1.445239
10.1657,76,1.511725
8.555226,100,1.605474
7.680828,2,1.609314
0.0,100,1.696282
7.36757,16,1.710035
0.0,100,1.797246
7.36757,47,1.838847
0.0,100,1.928163
7.36757,43,1.966039
10.1657,17,1.980396
-1.0,42,2.018048
0.0,100,2.105653
-1.0,10,2.115071
0.0,100,2.202711
8.555226,100,2.288955
10.1657,90,2.368373
7.680828,6,2.372846
0.0,100,2.459007
0.0,100,2.548879
0.0,100,2.636924
10.1657,86,2.711763
0.0,100,2.802827
-1.0,1,2.804407
0.0,100,2.892275
0.0,100,2.978096
-1.0,10,2.98771
11.1657,100,3.075555
11.1657,100,3.16286
0.403906,100,3.248555
0.0,100,3.334977
0.0,100,3.423008
0.0,100,3.509971
4.754274,59,3.559759
7.680828,27,3.584325
0.0,100,3.674906
7.555226,70,3.738846
7.555226,37,3.770133
0.0,100,3.858034
11.1657,100,3.946496
8.555226,100,4.03292
7.555226,72,4.09659
0.0,100,4.181473
10.87593,100,4.268672
0.0,100,4.358078
0.0,100,4.443441
0.0,100,4.531207
0.0,100,4.597609
0.0,100,4.634594
0.0,100,4.671352
0.0,100,4.707609
11.1657,100,4.748691
0.0,100,4.841905
0.0,100,4.927864
8.555226,100,5.012936
8.36757,100,5.100143
11.1657,100,5.18626
0.0,100,5.27248
7.680828,65,5.329739
0.0,100,5.4486
-1.0,50,5.493606
10.1657,50,5.568542
0.0,100,5.656637
0.0,100,5.742118
8.680828,100,5.828884
7.36757,5,5.833434
8.555226,100,5.920122
0.0,100,6.00673
10.1657,15,6.02151
0.0,100,6.108833
0.403906,100,6.19838
10.1657,29,6.223818
0.403906,100,6.312904
8.680828,100,6.401867
0.0,100,6.488649
7.36757,63,6.543299
7.555226,2,6.545109
7.36757,85,6.625888
7.680828,37,6.659527
7.555226,45,6.697331
0.0,100,6.785233
7.555226,20,6.802408
8.555226,100,6.890155
9.87593,44,6.928292
-0.596094,92,7.008575
8.36757,100,7.09767
8.680828,100,7.186543
-1.0,14,7.197514
0.0,100,7.284213
7.555226,62,7.338071
0.0,100,7.426379
7.555226,87,7.501645
8.36757,100,7.591687
0.0,100,7.681932
7.555226,19,7.697303
7.680828,9,7.706881
0.0,100,7.793139
0.0,100,7.879852
-0.596094,70,7.938795
4.754274,53,7.983217
8.680828,100,8.06988
0.0,100,8.15566
7.680828,78,8.222878
0.0,100,8.310994
0.0,100,8.399876
0.0,100,8.487815
0.0,100,8.576119
0.0,100,8.66117
8.680828,100,8.748403
8.680828,100,8.836084
-1.0,26,8.857342
0.0,100,8.944141
7.555226,44,8.985058
0.0,100,9.075086
0.0,100,9.162375
0.0,100,9.231668
8.680828,100,9.268315
0.0,100,9.304981
0.0,100,9.342349
0.0,100,9.379053
7.555226,74,9.445388
-1.0,71,9.509766
0.0,100,9.595752
7.555226,7,9.600512
-1.0,34,9.630481
7.36757,6,9.636959
10.1657,28,9.661213
-0.596094,64,9.71679
7.680828,53,9.76573
4.754274,28,9.792163
0.0,100,9.877561
8.680828,100,9.973039
11.1657,100,10.071489
4.754274,8,10.0805
0.0,100,10.165049
7.36757,14,10.176493
7.680828,61,10.228313
7.36757,19,10.247291
4.754274,73,10.308879
8.680828,100,10.395673
8.36757,100,10.481248
4.754274,42,10.520819
-1.0,94,10.599297
8.680828,100,10.685845
0.0,100,10.770283
7.680828,18,10.788972
8.680828,100,10.876038
-1.0,53,10.921597
0.0,100,11.00871
7.36757,69,11.069722
7.680828,16,11.083188
-0.596094,19,11.099748
7.36757,12,11.110089
8.680828,100,11.199498
-1.0,9,11.206916
8.36757,100,11.293134
0.0,100,11.376896
8.680828,100,11.46367
-1.0,29,11.490053
8.680828,100,11.578545
4.754274,92,11.659211
0.0,100,11.747108
11.1657,100,11.83538
-0.596094,81,11.90393
-1.0,100,11.989733
7.36757,46,12.030569
8.555226,100,12.118493
0.0,100,12.205478
-0.596094,26,12.228989
-1.0,93,12.310719
4.754274,13,12.321577
8.680828,100,12.409241
8.36757,100,12.495714
7.680828,42,12.534414
0.0,100,12.620755
10.87593,100,12.708287
7.555226,87,12.784393
8.36757,100,12.875658
8.36757,100,12.964114
0.0,100,13.049383
-1.0,20,13.06679
0.0,100,13.154089
0.0,100,13.239899
9.87593,23,13.258134
0.0,100,13.34412
0.0,100,13.432388
10.87593,100,13.51745
0.0,100,13.601221
4.754274,43,13.637713
8.680828,100,13.724873
-1.0,4,13.728361
0.0,100,13.78981
0.0,100,13.826429
8.680828,100,13.863099
0.0,100,13.899658
0.0,100,13.936192
4.754274,23,13.961698
0.0,100,14.064147
-1.0,13,14.077839
10.87593,100,14.178759
8.36757,100,14.281899
0.0,100,14.376703
8.555226,100,14.47203
8.680828,100,14.568637
7.36757,7,14.576198
8.680828,100,14.666898
8.555226,100,14.759597
7.555226,97,14.85058
0.0,100,14.941944
7.680828,77,15.015035
8.680828,100,15.107605
8.36757,100,15.199364
4.754274,33,15.22965
-1.0,39,15.266501
0.0,100,15.366274
8.680828,100,15.460086
7.36757,95,15.570131
7.680828,12,15.581966
7.555226,21,15.604419
0.0,100,15.69644
0.0,100,15.789203
0.0,100,15.87935
7.555226,73,15.946592
-0.596094,95,16.038026
4.754274,18,16.054293
7.36757,24,16.076427
0.0,100,16.171977
4.754274,65,16.235453
7.680828,90,16.321479
4.754274,59,16.37821
0.0,100,16.635563
-0.596094,13,16.654884
8.680828,100,16.775247
0.0,100,16.903926
8.36757,100,17.037073
8.36757,100,17.16445
7.680828,77,17.267172
7.555226,65,17.342849
8.680828,100,17.467047
0.0,100,17.593673
7.36757,35,17.638372
7.680828,46,17.693024
7.36757,3,17.695678
7.36757,3,17.703665
4.754274,3,17.707097
7.680828,3,17.710629
8.555226,100,17.847657
8.680828,100,17.968599
0.0,100,18.08719
4.754274,13,18.105469
0.0,100,18.223213
0.0,100,18.354459
0.0,100,18.487398
-1.0,28,18.52396
0.0,100,18.648055
4.754274,40,18.693823
11.1657,100,18.810172
-0.596094,11,18.823661
7.680828,39,18.874497
-0.596094,61,18.94754
0.0,100,19.082688
-0.596094,16,19.099912
0.0,100,19.22685
0.0,100,19.332963
7.680828,36,19.372593
0.0,100,19.477252
0.0,100,19.594146
0.0,100,19.638219
0.0,100,19.683178
0.0,100,19.72796
8.680828,100,19.773353
0.0,100,19.887939
0.0,100,20.007327
-1.0,9,20.019783
7.36757,69,20.117092
7.36757,19,20.139483
0.0,100,20.267649
10.87593,100,20.385477
7.680828,18,20.404726
7.680828,7,20.418556
-0.596094,83,20.522937
-0.596094,32,20.565598
4.754274,34,20.601066
8.36757,100,20.720712
7.36757,37,20.765494
7.36757,12,20.780101
0.0,100,20.899109
7.555226,43,20.961718
0.0,100,21.070542
8.555226,100,21.178157
7.36757,61,21.241443
-1.0,14,21.2633
8.680828,100,21.369752
9.87593,48,21.421061
8.555226,100,21.529745
-1.0,36,21.573205
7.36757,13,21.588871
8.555226,100,21.699452
0.0,100,21.805593
4.754274,95,21.910562
0.0,100,22.057155
0.0,100,22.353311
0.0,100,22.498383
8.555226,100,22.606024
0.0,100,22.706783
-1.0,64,22.768381
0.0,100,22.867073
7.36757,60,22.928284
8.555226,100,23.025642
0.0,100,23.121261
-1.0,16,23.140392
7.680828,48,23.18656
7.680828,23,23.212684
0.0,100,23.305884
7.680828,23,23.328539
-1.0,100,23.422337
8.555226,100,23.519548
7.680828,94,23.609284
9.87593,30,23.635809
7.680828,72,23.703014
7.36757,45,23.75045
0.0,100,23.845074
-1.0,99,23.944946
0.0,100,24.042642
9.87593,41,24.08038
10.1657,10,24.089746
0.0,100,24.179437
8.36757,100,24.273007
0.0,100,24.364772
8.555226,100,24.454568
8.680828,100,24.545993
7.680828,79,24.622076
0.0,100,24.715321
0.0,100,24.807456
0.0,100,24.894079
0.0,100,24.99011
7.680828,45,25.035158
8.680828,100,25.122241
-1.0,44,25.160888
8.680828,100,25.275234
0.0,100,25.313169
0.0,100,25.351145
0.0,100,25.389127
0.0,100,25.42641
7.36757,92,25.508864
8.555226,100,25.620088
7.36757,92,25.699359
7.680828,39,25.734445
0.0,100,25.831491
7.36757,85,25.905068
0.0,100,25.990399
0.0,100,26.076911
0.0,100,26.165385
9.87593,21,26.184696
7.680828,56,26.23414
4.754274,5,26.238288
-1.0,25,26.259898
0.0,100,26.345763
4.754274,28,26.369339
8.36757,100,26.562676
7.680828,16,26.577191
0.0,100,26.663582
10.87593,100,26.759144
0.0,100,27.025048
7.36757,18,27.043532
8.36757,100,27.156108
9.87593,3,27.157788
7.680828,13,27.171215
0.0,100,27.262497
9.87593,3,27.264205
7.555226,28,27.289864
9.87593,49,27.336131
9.87593,3,27.338643
0.0,100,27.427903
0.0,100,27.516419
0.0,100,27.60605
7.36757,18,27.6266
-1.0,66,27.684324
-0.596094,10,27.694483
4.754274,2,27.695672
7.36757,3,27.700164
9.87593,3,27.703725
0.0,100,27.794291
0.0,100,27.884562
7.36757,17,27.900802
7.680828,29,27.926659
0.0,100,28.016172
8.36757,100,28.105524
4.754274,3,28.109815
-0.596094,2,28.112864
7.36757,3,28.114641
-0.596094,2,28.117611
7.36757,3,28.12187
4.754274,2,28.123074
7.555226,28,28.147695
7.36757,3,28.15142
8.555226,100,28.241367
7.36757,11,28.252114
9.87593,3,28.253663
0.0,100,28.342881
7.680828,2,28.346987
8.680828,100,28.436244
-1.0,90,28.528598
7.36757,79,28.600035
8.36757,100,28.690866
0.0,100,28.779278
7.36757,22,28.799604
9.87593,15,28.810857
0.0,100,28.899363
7.36757,22,28.919992
8.36757,100,29.008737
8.36757,100,29.096825
7.555226,39,29.132085
8.680828,100,29.219862
0.0,100,29.30655
10.1657,69,29.366916
7.555226,31,29.395363
7.36757,5,29.399388
10.87593,100,29.486465
7.36757,100,29.573676
8.680828,100,29.665244
-0.596094,84,29.739557
7.36757,27,29.763142
7.36757,3,29.764862
7.36757,3,29.769238
4.754274,93,29.851071
9.87593,3,29.854501
7.36757,8,29.861936
0.0,100,29.950861
9.87593,3,29.954397
4.754274,2,29.955568
7.36757,94,30.039664
0.0,100,30.126951
7.36757,3,30.130672
4.754274,2,30.131848
8.555226,100,30.21983
8.680828,100,30.273685
8.680828,100,30.312632
10.87593,100,30.350016
0.0,100,30.387805
8.36757,100,30.425349
7.36757,84,30.506106
9.87593,15,30.519782
7.680828,2,30.5228
7.555226,51,30.565687
0.0,100,30.654355
-0.596094,2,30.657576
9.87593,55,30.706366
7.36757,3,30.70793
0.0,100,30.799257
0.0,100,30.8882
0.0,100,30.976633
7.36757,32,31.006845
7.36757,29,31.036695
7.36757,15,31.048758
7.555226,26,31.072923
0.0,100,31.161999
7.555226,3,31.167701
7.555226,4,31.171474
7.36757,14,31.182667
8.36757,100,31.268963
10.87593,100,31.360226
7.555226,77,31.428722
4.754274,50,31.473434
7.555226,57,31.522843
7.36757,17,31.539403
7.555226,47,31.580355
8.36757,100,31.668828
5.754274,100,31.758024
0.0,100,31.84971
4.754274,45,31.890231
0.0,100,31.978402
