#{"t_start": 1752552878.0885236, "env_id": "None"}
r,l,t
20.356555,10,0.076142
0.0,100,0.202079
9.487244,6,0.207069
64.928398,4,0.211134
0.0,100,0.301775
20.861299,45,0.345011
69.398819,53,0.391172
-0.243407,27,0.415565
12.937578,49,0.462112
15.691905,4,0.466543
10.760162,52,0.532867
20.484186,100,0.623102
16.462737,100,0.736812
1.660316,100,0.832472
0.0,100,0.920525
42.359436,19,0.938102
3.367868,5,0.943715
0.446731,3,0.947299
1.818886,74,1.020164
42.335109,4,1.024457
16.131438,4,1.056235
0.110199,5,1.061226
0.157021,43,1.101372
0.0,100,1.195507
4.488486,5,1.200694
7.283707,100,1.300861
14.260351,4,1.304903
0.0,100,1.397043
18.178316,100,1.485656
0.787559,100,1.574742
7.986596,4,1.578825
58.380984,4,1.58283
10.643579,4,1.587759
1.440238,19,1.605309
61.752496,4,1.609431
0.0,100,1.698271
41.458824,79,1.769465
0.0,100,1.857752
0.0,100,1.946086
11.349975,100,2.033971
1.952766,100,2.122613
60.845181,5,2.126938
23.190335,59,2.179655
6.901109,4,2.183735
30.378049,4,2.188614
-1.0,15,2.20464
25.169061,4,2.210816
3.500293,2,2.212014
0.0,100,2.302194
6.506542,100,2.39375
27.205707,14,2.40739
27.994837,66,2.465998
0.0,100,2.555025
-1.0,5,2.559282
59.708365,4,2.563374
4.325583,100,2.650954
7.047761,4,2.655913
10.332085,100,2.742961
19.757495,4,2.747039
30.646896,4,2.751075
-0.06164,45,2.793496
46.500402,4,2.797576
27.485406,31,2.823172
2.447269,3,2.82675
29.781039,3,2.831287
0.0,100,2.921257
39.890975,100,3.011089
57.460241,34,3.04039
22.003404,100,3.128979
0.0,100,3.218456
0.0,100,3.307218
3.249096,29,3.334644
13.452104,100,3.42315
6.422963,4,3.427264
12.773256,29,3.452575
-1.0,2,3.453418
-1.0,18,3.472947
0.781015,100,3.561191
9.487244,4,3.56555
58.641963,4,3.569594
10.648243,3,3.574022
40.745814,4,3.578123
58.641963,4,3.584658
0.0,100,3.67283
31.376759,31,3.701118
0.866105,100,3.790446
39.974528,4,3.79541
17.598829,4,3.799457
0.0,100,3.888306
0.0,100,3.977589
0.0,100,4.064194
3.154451,36,4.096438
23.850893,4,4.101423
-1.0,47,4.143675
18.794602,4,4.147736
4.161649,5,4.151961
0.0,100,4.244513
12.859833,4,4.248729
7.68466,4,4.252753
58.487073,4,4.256782
4.453362,4,4.261623
0.0,100,4.349771
21.895296,4,4.35393
23.850893,4,4.358576
28.755694,4,4.363542
0.0,100,4.451114
-1.0,76,4.517909
0.408865,100,4.606632
