#{"t_start": 1752552370.2732646, "env_id": "None"}
r,l,t
3.102866,3,0.010494
0.987917,2,0.037182
0.189518,3,0.045495
-1.0,7,0.064512
7.280035,3,0.076921
4.946173,3,0.080576
3.404398,4,0.09719
17.478085,3,0.099007
8.086696,3,0.11213
-1.0,8,0.131917
31.314163,3,0.136552
22.521856,3,0.139926
-0.211143,4,0.144108
7.75371,3,0.145813
16.305469,3,0.150379
20.328453,3,0.15394
-0.239935,3,0.157644
16.847131,3,0.15929
4.152765,3,0.163897
-1.0,1,0.164576
4.203662,3,0.167927
6.902205,3,0.171508
5.900483,4,0.176238
6.853073,4,0.180319
2.879618,100,0.266383
16.305469,3,0.269963
30.131496,12,0.282472
2.866439,4,0.286637
5.74248,50,0.330341
-1.0,38,0.36456
15.476738,3,0.368267
20.796272,3,0.371804
23.653719,3,0.375331
2.925913,19,0.392402
0.189518,4,0.398102
25.104928,3,0.399752
4.930368,3,0.403281
30.131496,18,0.420296
20.909018,4,0.42594
7.759343,3,0.427589
4.152765,23,0.4486
5.532014,3,0.452219
3.442858,2,0.455285
-0.304889,2,0.458343
35.136894,3,0.461868
19.025644,3,0.463529
39.86653,3,0.468876
0.894539,100,0.576119
6.662228,3,0.579896
13.392313,100,0.671268
7.134134,3,0.677016
15.690856,4,0.680785
8.485703,3,0.682494
-0.629675,2,0.685539
12.42092,3,0.691035
13.078861,4,0.69487
2.523722,4,0.699207
30.131496,3,0.700865
4.100927,3,0.706301
3.657,2,0.709356
3.71759,3,0.711049
31.314163,3,0.715094
11.159228,3,0.720469
0.987917,2,0.721878
-0.211143,3,0.726003
0.0,100,0.813481
13.678158,3,0.819114
6.130393,4,0.823497
8.485752,3,0.827028
1.731252,3,0.828675
7.701374,3,0.83408
0.200258,3,0.83814
32.369181,3,0.84183
0.0,100,0.932826
18.066057,3,0.936584
15.458339,3,0.940214
45.51367,3,0.943767
-1.0,43,0.980851
15.690856,49,1.055729
28.673817,4,1.059955
15.447509,50,1.107356
16.099281,3,1.111059
19.2274,3,1.115863
4.155808,23,1.137993
11.014594,3,1.139659
0.0,100,1.227185
39.998956,3,1.232683
0.0,100,1.338205
23.653719,4,1.341959
15.445272,47,1.384238
16.530758,3,1.390524
-1.0,10,1.398373
0.105414,32,1.428252
8.052122,4,1.432182
16.305469,3,1.437878
6.682246,4,1.441987
-1.0,81,1.51464
16.530758,3,1.51831
0.000982,2,1.521445
2.314875,4,1.525448
5.444027,3,1.528955
3.583251,15,1.542781
8.859129,3,1.54823
7.329524,4,1.552319
3.442858,2,1.553511
9.916298,17,1.568257
8.727769,3,1.573692
43.564623,3,1.577188
30.131496,3,1.58067
10.239758,3,1.58237
24.378163,4,1.588258
10.457269,3,1.591822
5.660598,3,1.595361
13.487596,3,1.598914
17.312917,3,1.602399
15.458339,3,1.605949
8.261415,3,1.609452
3.71759,3,1.612938
-1.0,14,1.626462
16.305469,3,1.63
4.505657,3,1.63351
22.228462,3,1.635183
6.682246,4,1.641049
15.788656,3,1.644422
-0.274713,77,1.711657
1.879618,4,1.715799
19.16729,3,1.721435
3.657,2,1.724465
20.909018,3,1.726185
12.732636,3,1.729871
14.83431,4,1.735533
-0.239935,3,1.739175
4.167416,3,1.742674
5.74248,3,1.744313
7.474892,3,1.749713
1.817091,5,1.754015
22.228462,3,1.757546
-1.0,1,1.757973
3.657,2,1.762811
4.152765,3,1.766382
-1.0,1,1.767049
-0.313758,32,1.794988
13.608238,3,1.800889
5.349546,3,1.802583
13.678158,3,1.806137
-1.0,29,1.83062
19.16729,3,1.836035
-1.0,36,1.867674
-1.0,42,1.905236
-1.0,1,1.90602
17.989234,3,1.91153
5.81907,75,1.976546
17.085226,3,1.980544
3.053741,31,2.008463
7.759343,3,2.013949
12.688917,3,2.015607
16.305469,3,2.019153
-1.0,53,2.065669
6.682246,4,2.071704
-1.0,11,2.081817
16.676276,3,2.085316
11.014594,4,2.088998
4.167416,3,2.094428
-1.0,14,2.105541
29.335753,3,2.109057
19.772318,14,2.120656
34.027218,15,2.136791
8.191004,3,2.14053
0.0,100,2.227764
0.0,100,2.323236
27.194117,3,2.328796
4.155808,25,2.350154
3.581717,9,2.358031
24.35079,3,2.361371
7.329524,4,2.367364
1.731252,4,2.371453
15.447509,4,2.375539
2.389078,2,2.376704
6.063207,3,2.38218
4.326829,3,2.385859
7.177806,3,2.389346
15.599848,3,2.391052
35.136894,3,2.396224
17.264333,3,2.399782
15.146412,3,2.40331
31.314163,3,2.404722
0.894539,100,2.494297
3.404398,3,2.497895
8.261415,3,2.501447
32.725151,3,2.505188
2.536269,14,2.518597
7.043396,3,2.522118
16.305469,3,2.525634
3.623902,19,2.543211
5.532014,3,2.548676
2.475265,57,2.598172
29.335753,4,2.601893
17.085226,3,2.605668
0.244707,95,2.692458
5.349546,3,2.696157
12.732636,3,2.697876
1.731252,3,2.701479
6.682246,5,2.707772
5.532014,3,2.711324
2.925913,85,2.787752
3.479158,2,2.790856
25.104928,5,2.79685
5.349546,3,2.800349
-1.0,77,2.868332
-1.0,12,2.878787
0.0,100,2.970974
16.008273,3,2.97454
5.74248,4,2.978203
5.444027,3,2.981696
7.329524,5,2.987935
12.234683,3,2.991423
2.598808,3,2.99306
8.052122,3,2.996726
12.392313,2,3.001755
23.653719,3,3.003396
23.344524,3,3.006639
19.16729,3,3.01099
13.608238,3,3.016422
-1.0,17,3.031521
6.220497,3,3.034933
15.447509,4,3.039079
24.378163,5,3.045207
0.0,100,3.134267
1.879618,3,3.137939
30.131496,5,3.141882
0.0,100,3.238997
13.608238,3,3.242874
13.608238,3,3.244579
7.759343,3,3.248232
16.305469,3,3.254162
8.859129,3,3.257765
12.392313,2,3.259034
3.249096,2,3.262364
31.416073,4,3.267988
0.0,100,3.355803
26.465074,3,3.357543
2.646471,7,3.36428
0.0,100,3.453625
22.284429,4,3.457379
4.100927,4,3.461338
10.409492,3,3.464843
16.038333,3,3.470403
5.349546,3,3.472049
2.866439,4,3.476516
15.447509,4,3.480675
0.0,100,3.571261
4.930368,3,3.575031
13.608238,3,3.578603
17.006958,3,3.582149
3.71759,3,3.585959
31.314163,3,3.589762
7.741844,2,3.592795
4.152765,3,3.594493
6.521297,4,3.600252
10.409492,4,3.604181
23.25604,4,3.608256
4.100927,3,3.611936
-0.379509,2,3.616861
3.583251,4,3.62064
0.0,100,3.709348
8.052122,3,3.711051
0.0,100,3.911831
39.86653,3,3.915929
7.31628,55,3.966092
3.249392,3,3.969688
-0.212441,2,3.971746
2.550239,3,3.975335
23.653719,3,3.978944
24.378163,3,3.980406
0.0,100,4.070318
5.774813,4,4.074409
16.305469,3,4.078
7.31628,15,4.09349
7.280035,5,4.098756
1.731252,3,4.102403
7.910711,3,4.106063
45.51367,4,4.110796
-1.0,64,4.168109
15.447509,4,4.172419
16.973472,3,4.174196
-1.0,14,4.187468
13.847458,3,4.191913
7.294011,3,4.193646
-1.0,44,4.233372
-0.313758,4,4.237246
4.546742,3,4.242308
0.189518,3,4.246071
6.490916,3,4.249676
18.066057,3,4.251446
-1.0,26,4.276123
22.284429,3,4.279747
1.731252,3,4.281465
-0.004885,3,4.285138
7.661525,3,4.289442
6.853073,5,4.293891
3.923016,56,4.344246
0.0,100,4.433816
8.052122,4,4.438444
8.859129,3,4.442094
41.196424,3,4.44572
-1.0,47,4.48611
2.866439,4,4.491035
-1.0,91,4.575469
18.518992,3,4.579113
5.774813,3,4.582741
8.052122,5,4.588125
10.428919,4,4.591933
5.74248,3,4.595637
4.100927,3,4.597331
15.690856,17,4.615009
1.540867,2,4.616214
0.0,100,4.705356
-1.0,29,4.733104
16.175133,3,4.738033
18.518992,3,4.741627
15.087775,3,4.745264
4.546742,3,4.746718
6.521297,5,4.753891
20.87549,4,4.758695
20.87549,3,4.760375
-0.313758,3,4.764207
-1.0,38,4.799577
30.456194,3,4.80132
3.583251,3,4.804909
5.349546,3,4.808559
0.0,100,4.898682
5.532014,3,4.902538
1.817091,4,4.906334
2.550239,3,4.987789
28.453679,3,4.989439
23.344524,2,4.990567
23.25604,4,4.992678
-0.313758,3,4.994336
6.994612,4,5.007186
15.146412,3,5.011693
7.15517,3,5.015307
7.759343,3,5.01899
2.523722,4,5.023148
4.167416,3,5.025862
28.945212,3,5.029456
28.453679,3,5.033017
14.83431,3,5.036589
2.427322,100,5.12718
17.989234,3,5.128933
4.100927,4,5.132732
5.532014,3,5.136323
13.026246,3,5.14195
16.052001,3,5.145518
20.812941,3,5.147272
18.255293,3,5.151078
35.136894,3,5.156554
4.167416,3,5.16015
12.657614,3,5.16186
35.207031,3,5.166931
6.978723,100,5.256739
11.665548,2,5.259543
0.189518,3,5.261281
7.31628,62,5.319771
-0.239935,3,5.32544
3.657,2,5.32664
5.847367,3,5.33026
7.474892,7,5.337576
8.859129,3,5.341131
28.132234,3,5.344492
2.832831,3,5.348069
-1.0,68,5.409702
6.900509,4,5.415737
0.625052,3,5.419523
3.583251,3,5.421238
14.535144,2,5.424299
7.764476,3,5.429862
30.131496,4,5.433645
5.532014,3,5.435326
16.954135,3,5.439311
24.127668,3,5.444862
5.444027,7,5.452273
1.817091,3,5.45401
8.673893,3,5.457546
5.349546,3,5.463065
4.546742,3,5.46897
19.16729,3,5.470748
15.087775,4,5.474499
35.136894,3,5.479987
-1.0,40,5.515143
3.657,2,5.518239
0.0,100,5.605412
0.0,100,5.695796
5.730464,3,5.697542
13.608238,3,5.701118
6.853073,4,5.705301
13.608238,4,5.711051
-1.0,38,5.747531
2.646471,2,5.748722
6.091877,3,5.752345
3.193463,4,5.758537
15.690856,30,5.784319
19.025644,3,5.787969
-1.0,92,5.870264
