#{"t_start": 1752553023.6064122, "env_id": "None"}
r,l,t
1.387784,46,0.121028
1.129848,85,0.21036
-1.0,51,0.256758
-1.0,1,0.258458
16.361247,100,0.347074
0.0,100,0.441161
0.0,100,0.552073
0.0,100,0.642695
0.0,100,0.732357
0.0,100,0.819333
0.0,100,0.905934
9.75411,31,0.934407
3.603043,100,1.057952
56.27537,4,1.063153
0.0,100,1.151768
2.466682,100,1.242292
0.0,100,1.348583
58.158033,4,1.353071
14.511084,45,1.391901
56.26547,5,1.397091
0.0,100,1.486025
2.036307,91,1.570717
0.0,100,1.661423
50.72676,4,1.666489
0.0,100,1.761353
0.0,100,1.853019
3.665744,100,1.940959
0.0,100,2.029136
67.617332,25,2.050519
0.729985,100,2.140824
0.0,100,2.228765
56.76906,4,2.234346
50.656693,30,2.26136
23.394184,100,2.351602
3.947672,34,2.382965
21.414562,100,2.470668
0.0,100,2.560536
8.111642,100,2.649274
1.417674,48,2.692416
0.0,100,2.779541
2.231033,5,2.785536
0.662566,100,2.874832
48.032644,4,2.87899
3.964551,2,2.881061
0.0,100,2.969108
22.339291,4,2.973421
1.398906,4,2.977452
14.658924,4,2.982293
31.508175,42,3.02072
0.0,100,3.111318
8.923191,3,3.113051
-1.0,1,3.116373
22.612571,38,3.148913
6.245384,4,3.152959
1.400341,100,3.240003
0.355411,3,3.244902
23.546901,3,3.248585
-0.249507,49,3.291142
1.071219,100,3.378559
18.032358,21,3.397741
5.024446,53,3.443717
38.435144,57,3.495089
32.169954,4,3.49887
2.326673,100,3.589047
24.360493,34,3.618015
0.0,100,3.707298
61.034193,4,3.711347
0.889312,30,3.73949
0.0,100,3.829183
21.135426,5,3.833496
5.040785,5,3.838064
14.384148,4,3.842885
-1.0,21,3.860846
5.511441,84,3.935636
-1.0,1,3.938148
29.974332,29,3.96346
18.032358,20,3.982949
12.989712,4,3.987014
1.393982,4,3.991019
0.0,100,4.079124
9.733823,3,4.082742
5.024446,6,4.087742
1.479607,4,4.09201
53.202368,4,4.096875
3.665744,100,4.192344
0.0,100,4.290769
22.087575,4,4.295149
11.059616,4,4.301616
28.755694,5,4.306641
0.0,100,4.402126
53.055263,4,4.406557
19.484031,100,4.50281
3.603043,100,4.590694
1.664795,100,4.680921
12.730552,4,4.685508
49.444052,4,4.690418
19.815585,100,4.731462
16.513943,100,4.768981
31.832101,100,4.8064
0.0,100,4.84311
38.435144,4,4.845389
0.365443,100,4.939839
-1.0,35,4.971967
58.323663,21,4.991431
40.572831,3,4.995958
-0.198827,30,5.023209
8.849274,94,5.105149
0.0,100,5.215516
0.0,100,5.305156
-0.746118,4,5.309246
-1.0,32,5.337912
62.522391,4,5.341935
4.186422,36,5.375664
0.259189,2,5.378477
54.624803,5,5.382847
4.396033,38,5.415017
56.81833,76,5.484059
7.01464,4,5.488111
