#{"t_start": 1752552187.9137197, "env_id": "None"}
r,l,t
25.092735,1,0.016484
0.0,100,0.185878
-1.0,6,0.190373
3.249096,85,0.263642
7.662849,9,0.272732
25.092735,20,0.290342
7.206783,4,0.294252
0.0,100,0.381371
7.206783,3,0.383144
0.331709,100,0.469345
8.088175,2,0.472346
-1.0,1,0.473827
17.592056,3,0.477763
14.092974,100,0.578677
7.206783,3,0.582245
-0.555233,4,0.586953
25.092735,1,0.587727
8.088175,15,0.603662
4.368439,6,0.608049
3.707565,68,0.666131
7.741844,2,0.669075
25.092735,1,0.669868
3.226417,40,0.704163
0.0,100,0.790125
0.0,100,0.874397
4.4162,2,0.875571
25.092735,2,0.90289
0.0,100,0.990353
0.0,100,1.078454
0.0,100,1.167769
25.092735,1,1.1687
0.0,100,1.255759
17.592056,75,1.340183
3.442858,2,1.341399
6.390263,22,1.361773
0.0,100,1.449702
-0.770906,43,1.487447
2.795836,26,1.509867
-0.668291,19,1.537319
-0.341982,3,1.542239
-0.724478,4,1.546612
9.308363,14,1.585884
8.088175,26,1.612434
10.809519,2,1.614364
10.163235,2,1.617673
-0.759234,3,1.619429
-1.0,90,1.708701
3.057819,4,1.714278
2.795836,9,1.721935
0.0,100,1.809308
10.80462,15,1.822153
10.809519,2,1.82405
-0.6897,18,1.840858
0.0,100,1.929529
0.275522,100,2.016186
7.206783,48,2.059123
18.324166,60,2.111677
-0.759234,4,2.115518
3.235729,2,2.116693
-0.759234,3,2.122148
3.057819,3,2.125325
10.809519,2,2.126467
11.496618,20,2.14397
5.299865,5,2.152244
-0.724478,29,2.176974
5.989318,3,2.180408
11.813488,2,2.181622
0.0,100,2.267853
-0.555233,39,2.315892
2.795836,10,2.324073
11.349975,100,2.408829
0.0,100,2.495814
0.787559,100,2.587044
0.0,100,2.674185
18.230351,2,2.677253
0.0,100,2.771585
2.795836,3,2.775214
3.514129,9,2.782654
9.673112,3,2.785835
11.496618,10,2.794406
-1.0,40,2.828227
-0.724478,96,2.910043
25.092735,1,2.910878
10.811369,32,2.940415
-1.0,32,2.96838
25.092735,1,2.970969
-0.6897,4,2.974944
-0.759234,3,2.977383
-1.0,81,3.048964
11.496618,51,3.09094
25.092735,1,3.0938
-0.30138,25,3.115867
8.824136,13,3.127141
-0.540435,31,3.154241
-1.0,69,3.213368
0.0,100,3.299782
0.3103,100,3.387341
25.092735,1,3.388177
25.092735,1,3.390816
3.442858,17,3.406204
0.0,100,3.492975
9.332085,28,3.517047
0.0,100,3.604455
7.206783,17,3.619402
13.156743,6,3.625374
0.0,100,3.711038
-0.759234,19,3.726612
0.229094,100,3.816294
9.03858,2,3.819456
11.263046,2,3.820418
0.69862,100,3.906744
3.479158,45,3.946809
7.741844,10,3.954712
2.44079,3,3.958327
4.4162,2,3.959468
-0.555233,3,3.963674
2.44079,3,3.967244
-0.724478,5,3.971195
14.156743,100,4.057218
11.496618,71,4.118922
6.500487,15,4.132602
0.275522,100,4.224102
-1.0,60,4.275859
25.092735,1,4.277478
-0.341982,23,4.297575
-0.30138,2,4.2985
-0.759234,36,4.330045
-0.759234,3,4.334077
0.0,100,4.423414
10.163235,2,4.424596
0.944589,100,4.510811
-0.269487,77,4.578914
-0.770906,39,4.610431
17.592056,2,4.622154
19.324166,100,4.659749
10.811369,2,4.660877
2.44079,3,4.662526
0.0,100,4.700235
0.0,100,4.79723
0.944589,100,4.884772
3.707565,18,4.901896
-0.341982,28,4.925623
0.0,100,5.012072
7.206783,2,5.013283
0.259189,95,5.094658
-0.6897,2,5.09763
10.163235,2,5.098771
4.964551,100,5.184234
7.741844,4,5.188339
7.54851,2,5.191354
4.4162,29,5.215477
10.163235,2,5.216607
11.496618,2,5.220226
0.229094,100,5.303949
10.012851,2,5.304888
10.012851,2,5.307819
2.845586,2,5.309663
0.0,100,5.395975
-1.0,9,5.405064
4.4162,28,5.429232
-1.0,61,5.482991
13.092974,2,5.484182
18.230351,2,5.487146
-0.668291,2,5.488271
8.088175,2,5.492128
3.057819,3,5.495686
-0.6897,2,5.496595
2.795836,67,5.554882
-0.341982,15,5.56858
7.54851,2,5.569795
-0.759234,27,5.593993
-1.0,51,5.638053
2.795836,3,5.640418
-0.759234,26,5.663696
-0.759234,17,5.678171
0.0,100,5.763788
7.54851,2,5.768589
3.057819,3,5.77033
0.0,100,5.856848
0.0,100,5.943671
11.496618,2,5.947393
3.235729,2,5.948532
6.487311,42,5.985454
13.156743,2,5.986597
-0.341982,3,5.990789
-0.668291,4,5.994498
7.662849,2,5.997497
0.0,100,6.08245
0.275522,100,6.170114
2.224649,10,6.17789
9.308363,29,6.201851
0.0,100,6.287759
0.0,100,6.373245
10.012851,2,6.376203
0.0,100,6.462251
10.163235,2,6.463406
7.54851,2,6.467115
18.230351,2,6.468246
0.0,100,6.554345
8.206783,100,6.639325
7.741844,14,6.653499
4.479158,100,6.738721
-0.668291,4,6.74244
0.755828,100,6.828421
25.092735,1,6.829921
0.0,100,6.915354
-0.6897,4,6.919301
25.092735,1,6.920054
2.795836,4,6.924703
18.230351,2,6.927661
-0.759234,69,6.986796
0.275522,100,7.071718
10.349975,65,7.127755
-0.6897,4,7.131735
-0.555233,3,7.135279
-0.759234,50,7.178533
0.0,100,7.265945
0.0,100,7.350322
-0.770906,58,7.398268
14.331811,50,7.44188
9.783542,2,7.443745
8.088175,14,7.456763
2.44079,4,7.460502
0.275522,100,7.548857
-0.668291,3,7.551255
3.339594,17,7.567789
13.092974,2,7.568966
15.542259,99,7.653386
-0.668291,3,7.65738
9.03858,2,7.658528
10.163235,2,7.661667
-0.6897,4,7.665591
-0.30138,7,7.670797
9.824136,100,7.757424
-0.724478,2,7.76054
4.368439,4,7.764127
1.457375,28,7.789033
7.741844,2,7.790234
0.0,100,7.875209
-1.0,28,7.89888
0.0,100,7.985931
0.730513,100,8.072249
2.44079,18,8.0887
14.156743,100,8.173538
9.03858,2,8.175493
9.673112,22,8.195393
9.783542,2,8.196533
-1.0,12,8.207711
-0.6897,4,8.212318
25.092735,1,8.214931
-0.6897,4,8.21889
-0.724478,61,8.271372
-1.0,94,8.359879
-0.724478,69,8.420401
-1.0,29,8.444339
0.0,100,8.529287
0.0,100,8.615713
-0.770906,97,8.698777
0.0,100,8.784905
0.69862,100,8.870289
0.459565,100,8.956011
0.0,100,9.042508
12.496618,100,9.089682
0.240766,100,9.125839
0.240766,100,9.16202
0.0,100,9.197945
-0.668291,4,9.199942
0.229094,100,9.286664
0.0,100,9.372114
0.240766,100,9.459764
0.240766,100,9.546288
-0.555233,3,9.550583
0.0,100,9.636558
0.0,100,9.723899
2.224649,76,9.788017
-0.30138,2,9.790832
0.0,100,9.875675
2.845586,2,9.877803
-0.249507,45,9.915789
1.836566,41,9.952659
-0.341982,4,9.956377
0.0,100,10.043155
-0.6897,4,10.047198
-0.055411,41,10.082993
4.368439,16,10.097568
9.308363,8,10.105455
11.496618,2,10.106591
-0.6897,6,10.112802
-0.668291,4,10.116756
0.0,100,10.203808
11.163235,100,10.290955
-1.0,18,10.305252
-0.724478,81,10.37571
0.0,100,10.461996
0.0,100,10.548206
0.0,100,10.633236
2.44079,3,10.635233
10.332085,100,10.7214
0.229094,100,10.807573
7.741844,92,10.893945
0.275522,100,10.981394
2.795836,4,10.986293
3.479158,65,11.042976
14.156743,100,11.129929
0.0,100,11.214903
0.0,100,11.300701
2.795836,4,11.304709
-0.724478,87,11.377809
25.092735,1,11.380363
2.795836,3,11.382851
0.0,100,11.468515
-1.0,32,11.496069
0.0,100,11.582626
25.092735,2,11.58631
-0.249507,31,11.612977
3.707565,45,11.651204
-1.0,49,11.694764
25.092735,1,11.696358
4.057819,100,11.781786
10.80462,34,11.811882
-0.341982,17,11.826569
0.0,100,11.914958
7.206783,45,11.953425
0.0,100,12.039143
3.057819,15,12.052672
25.092735,1,12.0543
-0.668291,4,12.058239
4.707565,100,12.148359
-0.6897,4,12.15239
-0.30138,88,12.229244
17.592056,14,12.242033
-0.555233,3,12.24563
2.845586,2,12.246769
4.249096,100,12.33422
5.989318,30,12.36111
13.332292,2,12.362069
7.206783,66,12.420086
7.206783,8,12.428013
11.496618,43,12.556939
-0.759234,3,12.56058
7.662849,2,12.563674
-0.759234,3,12.566309
0.0,100,12.653387
-1.0,9,12.662523
0.0,100,12.750726
0.0,100,12.838264
0.0,100,12.92544
-0.770906,44,12.963823
8.741844,100,13.051967
8.088175,10,13.060504
25.092735,1,13.061333
-0.668291,4,13.065351
2.795836,3,13.068714
-1.0,15,13.083113
-1.0,1,13.083771
0.275522,100,13.173511
13.332292,17,13.187757
25.092735,1,13.191146
-1.0,69,13.250575
0.275522,100,13.342404
-0.724478,43,13.380351
14.092974,100,13.469167
3.226417,2,13.47042
10.80462,79,13.543236
-0.668291,4,13.54728
2.795836,39,13.582541
9.308363,23,13.601758
-0.759234,3,13.605372
0.0,100,13.710366
0.0,100,13.74794
0.944589,100,13.785154
10.03858,100,13.82209
18.592056,100,13.858966
0.0,100,13.951623
13.332292,27,13.976725
4.479158,100,14.063771
9.972655,19,14.082209
0.403906,100,14.170095
11.06847,43,14.211164
1.457375,2,14.212362
9.766461,27,14.236383
14.092974,100,14.326762
-0.6897,4,14.332822
15.309582,100,14.420974
0.730513,100,14.508143
0.0,100,14.595572
-0.244172,41,14.633459
8.206783,100,14.723731
3.795836,100,14.817066
9.03858,2,14.820268
11.496618,2,14.823542
19.230351,100,14.912373
4.368439,31,14.941565
0.229094,100,15.029165
0.275522,100,15.117703
-0.341982,2,15.118913
-0.555233,3,15.12263
-0.341982,2,15.125727
0.0,100,15.215692
-0.30138,52,15.260818
3.339594,2,15.262043
2.795836,7,15.268705
-0.668291,4,15.274743
-0.668291,4,15.278731
-1.0,2,15.279564
9.03858,2,15.282625
15.309582,100,15.371268
-1.0,17,15.385097
11.496618,6,15.391362
10.332085,100,15.47831
-1.0,8,15.487435
3.442858,60,15.539667
-0.341982,2,15.540866
11.263046,35,15.572349
10.80462,14,15.586104
0.787559,100,15.675553
-0.555233,17,15.692017
10.163235,2,15.693229
3.339594,2,15.698579
0.0,100,15.787246
-0.759234,3,15.789105
-0.30138,2,15.792488
0.0,100,15.892568
-1.0,27,15.916843
-0.724478,23,15.936266
-1.0,95,16.022312
-0.341982,2,16.027675
0.0,100,16.118285
-0.30138,10,16.126422
25.092735,1,16.127212
0.240766,100,16.220659
10.012851,2,16.223795
-0.341982,2,16.224962
0.275522,100,16.314393
