#{"t_start": 1752552084.8684137, "env_id": "None"}
r,l,t
21.478744,28,0.154274
28.608682,13,0.181828
16.430796,5,0.186663
-1.0,63,0.242855
0.0,100,0.330375
33.97977,6,0.334906
0.68004,2,0.338429
14.78569,7,0.343674
0.0,100,0.432904
27.687258,27,0.45637
8.449241,70,0.552911
5.954878,4,0.556674
1.868399,5,0.562107
18.741824,9,0.570165
33.304567,6,0.576681
9.725991,100,0.66341
-1.0,1,0.66491
11.800394,4,0.66901
0.0,100,0.757123
-1.0,35,0.788414
31.857589,5,0.794287
0.0,100,0.884151
39.29902,5,0.888769
-1.0,16,0.902975
-0.069546,2,0.906832
4.487218,3,0.908579
62.334027,5,0.915057
19.796376,5,0.919568
71.000238,5,0.924987
31.634665,5,0.929521
17.286124,50,0.97493
9.905556,100,1.104545
0.348704,100,1.200064
34.730656,5,1.204803
18.21438,74,1.272195
1.733468,100,1.39268
54.900712,5,1.398277
32.841635,65,1.45606
28.641568,6,1.46296
45.51413,6,1.467742
47.77952,5,1.47332
54.303454,5,1.479828
51.071009,6,1.485055
-1.0,1,1.485716
14.252187,7,1.49369
13.925482,5,1.500044
15.438005,5,1.506485
31.375101,100,1.595911
14.871953,32,1.626432
2.855489,49,1.671287
0.0,100,1.763995
35.97985,5,1.768806
33.919659,5,1.774268
64.434512,5,1.780839
31.688019,5,1.785397
39.910722,5,1.789751
0.0,100,1.879479
50.839319,6,1.886786
46.196991,5,1.891478
71.93081,5,1.896025
35.027273,5,1.901319
0.0,100,1.989732
-1.0,64,2.04851
2.514773,5,2.055055
49.084932,6,2.060721
57.724253,5,2.065446
-1.0,1,2.067962
86.751095,6,2.072447
0.0,100,2.160621
66.761635,6,2.168565
44.621899,5,2.173121
15.992625,31,2.203058
96.786707,5,2.208478
-0.317219,20,2.226526
26.49199,5,2.231126
50.017131,5,2.235671
73.827529,5,2.242885
2.296269,5,2.246918
53.744944,26,2.268888
39.29902,8,2.275852
51.51372,5,2.282948
35.950674,100,2.378645
5.137449,5,2.383328
5.770988,5,2.38762
-1.0,19,2.406737
24.639018,4,2.410778
52.440267,5,2.415339
14.266812,5,2.420436
1.091769,68,2.481965
94.690817,5,2.488609
0.0,100,2.581102
2.885757,9,2.588775
13.293581,5,2.59431
-1.0,1,2.594999
3.088887,16,2.608997
-1.0,1,2.611509
5.289366,3,2.613912
-1.0,1,2.616437
33.864238,100,2.704725
-1.0,12,2.7154
0.0,100,2.805557
8.690688,100,2.892747
2.296269,64,2.94861
-1.0,9,2.956303
31.940094,5,2.961792
26.729699,5,2.966397
0.0,100,3.053138
0.677842,8,3.060535
20.045627,6,3.067961
1.205149,2,3.069138
-0.069248,68,3.129776
0.0,100,3.217525
42.368233,5,3.224946
8.238008,3,3.226663
