#{"t_start": 1752552699.766257, "env_id": "None"}
r,l,t
7.31696,17,0.10971
-0.263684,25,0.148962
-0.192111,2,0.150157
7.31696,83,0.251028
7.31696,5,0.256561
7.649144,6,0.263125
7.133152,21,0.280588
7.876504,3,0.284147
7.705016,3,0.288432
7.31696,11,0.29702
0.0,100,0.388182
4.177303,100,0.47681
5.45915,12,0.488462
0.194154,55,0.545282
3.570819,4,0.548927
7.31696,83,0.639128
0.194154,3,0.643601
-1.0,64,0.701894
0.0,100,0.790205
-0.192111,24,0.811559
0.0,100,0.900728
0.513853,4,0.904663
0.0,100,0.992731
4.318005,100,1.082436
7.31696,22,1.101566
7.876504,5,1.105936
0.0,100,1.194426
7.876504,51,1.241842
7.31696,37,1.276192
7.31696,4,1.280143
0.0,100,1.384813
3.541993,3,1.388526
7.31696,4,1.393564
0.0,100,1.481627
5.45915,3,1.485321
3.321543,4,1.489453
0.0,100,1.578961
7.31696,34,1.617201
0.194154,3,1.620908
0.0,100,1.708214
0.0,100,1.796732
1.239552,100,1.885358
0.0,100,1.973079
0.676253,3,1.97669
0.0,100,2.065526
0.0,100,2.153017
-0.192111,88,2.229414
0.0,100,2.315557
3.541993,30,2.343306
8.31696,100,2.431498
3.541993,30,2.460512
-1.0,69,2.519849
7.876504,3,2.52419
7.876504,25,2.547461
0.0,100,2.634698
-1.0,40,2.673934
7.31696,17,2.690588
0.094541,57,2.741797
0.0,100,2.829736
8.31696,100,2.916888
7.31696,43,2.953987
-1.0,35,2.985196
0.239552,49,3.027625
0.0,100,3.11542
0.676253,4,3.119952
1.239552,100,3.208377
0.513853,20,3.225818
0.194154,4,3.229531
7.705016,3,3.233782
3.541993,15,3.24863
0.0,100,3.335702
0.194154,3,3.339238
0.0,100,3.429966
-0.192111,2,3.431765
7.876504,56,3.481875
7.705016,80,3.55157
0.0,100,3.641221
0.0,100,3.732121
-0.192111,2,3.735254
-0.263684,8,3.742495
5.45915,3,3.745029
7.31696,81,3.817872
0.0,100,3.906536
0.0,100,3.994638
-0.623091,30,4.021242
5.45915,3,4.024813
4.321543,100,4.113557
7.705016,3,4.117314
7.705016,3,4.119793
0.676253,3,4.126134
4.203981,24,4.147748
-1.0,17,4.163287
8.451038,44,4.204051
8.649144,100,4.292122
0.630855,27,4.316665
0.0,100,4.405266
-1.0,38,4.440384
0.0,100,4.526253
8.451038,13,4.538524
3.321543,4,4.542659
0.0,100,4.631706
0.0,100,4.690578
7.31696,4,4.692762
-0.192111,2,4.693839
0.194154,3,4.695357
0.0,100,4.732158
7.31696,5,4.746755
0.239552,56,4.795706
0.0,100,4.883554
7.31696,4,4.888595
0.194154,3,4.890255
0.194154,3,4.893978
7.705016,3,4.897613
0.0,100,4.98926
-1.0,50,5.035314
0.371535,60,5.120374
0.194154,3,5.125779
7.31696,18,5.144892
0.0,100,5.238348
0.0,100,5.327903
3.541993,41,5.364052
0.0,100,5.451193
7.649144,35,5.482687
0.239552,4,5.486471
0.239552,3,5.488126
0.676253,3,5.497536
0.0,100,5.584662
0.0,100,5.672938
1.630855,100,5.764757
0.239552,17,5.780705
7.649144,34,5.812808
-0.177471,13,5.824039
7.133152,39,5.859448
1.109049,100,5.950773
7.176258,63,6.007226
7.705016,3,6.008919
-0.263684,3,6.012254
-1.0,15,6.026757
7.133152,98,6.112222
5.45915,3,6.115826
3.541993,17,6.13052
0.194154,3,6.134852
0.094541,15,6.150213
7.31696,30,6.175877
5.45915,3,6.179414
0.194154,3,6.183671
-1.0,46,6.230052
5.45915,3,6.233534
-0.192111,2,6.23656
0.0,100,6.326841
-0.192111,2,6.328154
0.513853,3,6.331666
-1.0,75,6.397886
-0.192111,2,6.399902
3.471841,71,6.462706
1.239552,100,6.553369
0.239552,3,6.557043
7.649144,3,6.559528
0.371535,6,6.566136
7.740433,3,6.569509
0.459321,100,6.658033
0.194154,3,6.660545
-0.192111,2,6.6636
7.705016,3,6.667113
-0.192111,2,6.668334
-0.354815,77,6.737145
0.676253,3,6.740728
-0.192111,4,6.746401
7.31696,54,6.795169
7.705016,3,6.797707
4.570819,100,6.886876
7.31696,47,6.930584
7.649144,27,6.95597
7.876504,99,7.04588
7.649144,3,7.047556
7.31696,53,7.097872
-1.0,52,7.143667
0.0,100,7.235803
-0.263684,15,7.248665
0.0,100,7.341562
0.0,100,7.42973
-0.192111,2,7.433699
-1.0,54,7.480554
-1.0,96,7.568352
-1.0,97,7.671904
-0.192111,28,7.702085
0.0,100,7.826509
0.194154,4,7.830533
0.822529,100,7.927415
3.321543,59,7.980342
-1.0,77,8.053782
3.541993,40,8.093499
7.705016,46,8.13782
7.705016,3,8.142658
-1.0,88,8.226434
4.203981,81,8.303572
7.649144,51,8.352197
4.203981,3,8.356855
-0.177471,21,8.376318
0.239552,3,8.380242
5.206039,100,8.476273
7.133152,4,8.48309
0.0,100,8.580522
7.31696,4,8.585102
7.133152,4,8.589542
7.705016,3,8.593076
3.541993,3,8.597111
4.177303,100,8.692008
-0.177471,33,8.721893
7.133152,12,8.735014
4.203981,3,8.738633
-0.177471,3,8.742218
7.649144,41,8.779855
7.31696,4,8.785859
3.541993,3,8.78946
7.31696,4,8.793326
-0.192111,2,8.794504
-0.192111,2,8.799352
3.570819,25,8.821193
5.45915,12,8.831948
-0.192111,2,8.835012
3.570819,31,8.865426
0.194154,3,8.869076
5.45915,61,8.92163
-0.263684,27,8.945609
4.203981,3,8.951157
