#{"t_start": 1752553133.263218, "env_id": "None"}
r,l,t
3.859574,3,0.057033
7.112462,3,0.061979
26.986069,3,0.065553
0.213491,3,0.067046
8.360431,3,0.093332
3.685473,4,0.107219
0.0,100,0.210086
14.81145,100,0.298915
28.505258,39,0.335617
0.244458,3,0.339263
0.0,100,0.429806
0.0,100,0.539005
25.041188,10,0.548677
53.044769,3,0.552269
15.153631,52,0.597917
3.887394,3,0.60151
33.87359,5,0.606309
0.0,100,0.696125
0.0,100,0.785736
-0.212649,5,0.790189
-0.212649,4,0.795411
3.331536,17,0.810268
-0.200212,3,0.813845
2.603998,7,0.820503
0.0,100,0.912682
0.244458,3,0.916753
-0.200212,5,0.921283
0.0,100,1.018929
0.431194,3,1.025668
7.648315,4,1.046239
3.13755,100,1.154252
10.310792,100,1.244301
15.564278,3,1.246856
3.873754,4,1.252219
-0.212649,4,1.256438
10.718767,40,1.302176
8.586399,97,1.39671
26.194786,17,1.411465
-1.0,50,1.455091
-0.239935,3,1.459056
4.848499,4,1.464331
18.091825,32,1.493354
0.0,100,1.582231
4.558726,100,1.672411
0.0,100,1.762991
13.470415,11,1.773925
0.128672,71,1.838035
0.449765,100,1.926633
8.328389,87,2.003552
12.878567,5,2.009927
35.933808,3,2.011668
3.212893,100,2.101342
7.427134,3,2.105526
21.201385,3,2.109292
0.894539,100,2.206666
-0.243407,95,2.292933
-0.260518,3,2.295455
0.509028,3,2.299008
13.91251,34,2.330121
0.0,100,2.419543
11.942033,8,2.427831
-0.239935,3,2.429573
21.07966,3,2.433216
6.910002,34,2.465144
13.373985,3,2.467336
0.0,100,2.55722
21.07966,3,2.560942
1.128672,100,2.650587
0.0,100,2.740954
12.969103,3,2.744653
15.997195,4,2.748883
4.81449,3,2.752457
0.0,100,2.846467
-0.239935,3,2.848274
-1.0,81,2.951621
0.0,100,3.040281
3.104304,3,3.042857
0.679807,52,3.088999
9.930295,4,3.093191
11.296985,5,3.09955
3.991642,5,3.104671
1.136217,100,3.196265
0.0,100,3.286643
2.142873,3,3.290641
38.127834,100,3.382167
-1.0,43,3.421198
3.05518,13,3.434366
3.957217,27,3.456998
0.0,100,3.546473
4.591079,100,3.642098
-0.239935,3,3.645722
1.526716,3,3.649268
5.001689,3,3.653698
4.530635,4,3.657518
5.120031,4,3.661293
0.0,100,3.750873
18.888404,3,3.753478
5.122675,100,3.855523
48.144873,53,3.905219
2.822646,100,3.99478
-0.325345,4,3.999936
11.296985,5,4.00432
11.296985,4,4.008471
0.0,100,4.097042
-0.325345,4,4.102084
0.908735,100,4.190826
6.255046,3,4.194427
12.878567,4,4.198585
4.957217,100,4.287647
15.742303,4,4.291579
5.232811,3,4.293259
11.154626,100,4.382822
-0.68531,62,4.439019
24.153599,62,4.496472
-1.0,96,4.581508
48.144873,10,4.59188
0.0,100,4.68237
7.648315,3,4.685977
12.618249,5,4.690535
22.096293,62,4.74469
3.685473,3,4.749119
-1.0,12,4.759807
-0.239935,4,4.763927
11.377107,3,4.767475
0.0,100,4.817493
0.0,100,4.855515
14.246982,3,4.857145
0.0,100,4.895292
0.0,100,4.932662
0.0,100,5.02915
4.550105,26,5.053161
1.509125,100,5.142126
-0.212649,4,5.14644
6.222039,4,5.15149
-1.0,81,5.222412
11.447328,100,5.312786
0.0,100,5.401105
11.296985,4,5.40638
15.742303,3,5.409952
4.14644,29,5.436147
4.155836,3,5.439896
12.494975,3,5.444335
10.874223,3,5.446114
7.26557,4,5.450367
-0.239935,3,5.45397
-1.0,70,5.519248
5.120031,3,5.521014
4.81449,5,5.52844
0.200258,3,5.530116
15.115189,100,5.639214
17.672223,3,5.642938
2.339527,3,5.646561
0.0,100,5.802394
35.890439,68,5.866075
2.142873,3,5.869668
10.753517,100,5.964351
0.0,100,6.052371
-0.260518,4,6.057341
27.472834,30,6.083631
0.956105,4,6.087884
-0.249507,18,6.105016
13.470415,3,6.107571
30.834412,3,6.112586
14.373985,100,6.201382
0.935643,100,6.289124
35.103684,3,6.293476
15.208954,4,6.297362
-1.0,31,6.325135
17.904569,85,6.399688
-0.212649,4,6.404653
0.244458,3,6.408299
17.118689,3,6.410072
12.270444,3,6.413653
0.128672,4,6.42025
15.209392,4,6.423997
9.930295,4,6.427885
0.0,100,6.515321
-0.212649,4,6.520203
22.748646,3,6.523774
8.772338,3,6.527311
11.998945,100,6.617743
6.657581,3,6.62024
5.232811,3,6.623805
0.0,100,6.717715
7.394601,100,6.809971
0.930752,100,6.899671
5.584188,3,6.903279
23.971798,4,6.907416
3.428995,100,6.996917
3.685473,32,7.02644
21.623208,24,7.047552
0.0,100,7.138558
2.014373,27,7.16288
10.115961,30,7.190458
0.0,100,7.280098
15.828433,3,7.283688
44.764644,100,7.372749
0.0,100,7.462688
23.012339,3,7.466307
26.194786,2,7.467613
0.128672,6,7.474227
0.0,100,7.564172
4.14644,40,7.599511
6.657581,4,7.604799
0.0,100,7.693516
14.841082,42,7.73222
13.748866,39,7.767817
7.531349,69,7.829377
6.817015,3,7.832991
3.8838,3,7.837152
14.45678,47,7.877911
4.530635,3,7.881622
13.127547,62,7.938133
3.746771,4,7.942523
25.870041,6,7.947164
0.0,100,8.038438
7.710513,3,8.04213
7.710513,3,8.046573
-1.0,53,8.09618
37.851736,4,8.099938
6.715134,3,8.103473
3.373028,3,8.105865
15.828433,28,8.130229
10.115961,20,8.147739
-0.313296,3,8.151353
0.0,100,8.241911
-0.313296,3,8.245719
0.244458,3,8.249209
37.047484,3,8.250938
-0.534655,46,8.295738
6.998183,5,8.300423
0.0,100,8.392419
6.657581,13,8.403562
1.166457,4,8.408633
29.452005,3,8.412273
-0.313296,3,8.415917
0.0,100,8.506344
10.119227,100,8.597251
21.040235,4,8.601583
24.506731,51,8.648367
10.867939,3,8.650074
10.867939,3,8.654465
25.041188,3,8.658059
0.4241,19,8.676737
-0.239935,89,8.756504
-0.595794,83,8.833901
-0.32578,3,8.835999
-1.0,5,8.842022
30.104472,3,8.843739
6.825658,3,8.848115
-0.212649,3,8.851708
1.34322,100,8.943359
34.222776,3,8.946965
0.403906,100,9.040633
-1.0,10,9.048701
6.817015,3,9.052346
7.654634,100,9.141989
15.828433,8,9.150162
8.928452,3,9.15382
8.930804,3,9.155566
1.739878,4,9.159769
1.166457,4,9.164611
1.828934,13,9.177745
29.103218,4,9.181241
0.0,100,9.269239
-0.313296,3,9.271817
18.187643,100,9.362549
29.452005,6,9.369319
7.186448,71,9.436689
51.090244,3,9.439404
-0.325345,40,9.474914
6.255046,3,9.478719
40.373633,6,9.485221
0.0,100,9.574662
0.0,100,9.639423
0.0,100,9.676843
28.89764,100,9.714969
19.900551,3,9.716589
0.0,100,9.754852
4.685473,100,9.851786
41.295656,100,9.943422
11.822815,3,9.947056
40.295656,17,9.96266
6.828563,3,9.966254
6.817015,3,9.969927
25.255541,3,9.973731
29.705111,4,9.978433
-0.00847,83,10.051398
-0.595794,52,10.097637
9.66873,4,10.101422
-1.0,29,10.129814
8.648315,100,10.218173
-0.00604,99,10.305084
0.0,100,10.394503
0.0,100,10.482482
5.232811,3,10.486092
6.59739,3,10.489748
-1.0,30,10.515334
3.373028,4,10.520221
1.040018,4,10.526688
6.657581,3,10.53025
0.0,100,10.619589
3.857913,51,10.668303
3.45022,3,10.67191
-0.127803,67,10.728949
11.296985,4,10.733168
0.739482,100,10.82383
14.545783,3,10.827642
13.782527,21,10.846119
2.173252,100,10.934975
-1.0,54,10.984527
18.888404,4,10.989022
10.430548,3,10.992619
1.040018,5,10.997021
2.427257,43,11.035688
6.850542,3,11.037382
11.048635,14,11.050759
3.302062,100,11.139673
10.514128,3,11.144029
12.878567,3,11.145689
3.996052,3,11.149256
0.0,100,11.237334
-1.0,2,11.240807
5.457247,3,11.242496
0.0,100,11.332976
24.582714,3,11.336661
0.0,100,11.428392
