#{"t_start": 1752552104.7170439, "env_id": "None"}
r,l,t
-0.09157,7,0.021783
0.997216,100,0.189611
-1.0,56,0.266611
2.609606,36,0.300532
0.259618,11,0.311092
1.752314,3,0.316659
0.474553,45,0.357507
0.0,100,0.454065
0.0,100,0.58848
2.697788,4,0.593581
1.752314,3,0.597106
0.0,100,0.684304
-0.09157,5,0.688768
2.697788,4,0.69384
2.697788,4,0.697973
-0.002784,25,0.721612
1.027191,100,0.810032
-1.0,49,0.858219
1.825202,3,0.861933
1.825202,33,0.891235
-0.002784,54,0.941966
0.0,100,1.033459
-0.524828,3,1.036687
1.825202,3,1.038444
0.757803,100,1.12674
3.261957,61,1.183187
0.0,100,1.274749
-1.0,39,1.311063
-0.524828,15,1.329219
-0.09157,3,1.334593
-0.524828,14,1.347275
-1.0,53,1.395386
-0.524828,29,1.421635
1.825202,3,1.426259
-0.524828,76,1.513547
0.502363,3,1.515313
0.881168,5,1.521909
-0.524828,3,1.524279
0.0,100,1.616947
0.502363,3,1.620558
3.550325,4,1.624577
-0.002784,51,1.671829
-0.524828,78,1.739137
-1.0,27,1.762829
-0.524828,38,1.797655
3.550325,4,1.802485
0.881168,5,1.806736
-0.215596,77,1.87412
0.475172,100,1.966015
-0.002784,41,2.002429
0.502363,3,2.006038
3.550325,4,2.009788
-1.0,25,2.03156
-0.09157,3,2.035864
0.502363,3,2.039415
0.436755,33,2.06755
0.0,100,2.157562
0.259618,81,2.229598
-0.09157,22,2.250137
-1.0,48,2.292773
-0.09157,3,2.2963
-0.09157,5,2.300935
-0.215596,60,2.353762
0.0,100,2.44101
-0.002784,13,2.45226
0.881168,4,2.457031
0.0,100,2.545909
-0.09157,39,2.582449
-1.0,79,2.65286
0.0,100,2.742572
0.881168,4,2.746688
1.825202,4,2.750461
0.502363,3,2.752167
3.550325,4,2.756926
-0.09157,3,2.760482
-0.09157,4,2.764287
-1.0,99,2.853952
0.436755,3,2.857976
0.502363,3,2.859635
0.0,100,2.948215
-0.09157,3,2.951776
0.881168,4,2.956588
-0.09157,3,2.960156
0.881168,4,2.964267
0.881168,4,2.968291
-0.09157,5,2.972878
-0.09157,3,2.976634
0.881168,4,2.980676
-0.002784,4,2.985068
-1.0,57,3.035359
0.0,100,3.124308
0.0,100,3.211845
0.0,100,3.298328
-0.524828,54,3.348989
-0.09157,3,3.350753
0.881168,47,3.394886
1.752314,27,3.419436
0.881168,4,3.424141
-0.524828,48,3.46744
-0.524828,2,3.468651
-0.002784,4,3.472708
-0.002784,4,3.477531
-0.593385,2,3.480571
0.436755,2,3.481754
-0.027262,2,3.484539
1.825202,3,3.488729
3.550325,4,3.49273
3.11357,100,3.581044
-0.09157,19,3.596582
0.0,100,3.68474
0.784404,100,3.77396
0.0,100,3.86154
0.757803,100,3.949559
0.784404,100,4.038178
1.825202,3,4.041703
-0.002784,4,4.045851
-1.0,28,4.070452
3.550325,4,4.103669
1.825202,3,4.107294
3.697788,100,4.19465
0.0,100,4.280854
2.72505,100,4.369679
-0.002784,4,4.373784
2.72505,100,4.459633
0.972738,100,4.545634
-0.09157,3,4.550061
0.0,100,4.636758
-0.002784,4,4.640851
0.502363,30,4.666327
3.550325,4,4.730128
1.825202,3,4.731712
-0.593385,2,4.7328
1.825202,3,4.734387
0.972738,100,4.771647
1.388447,100,4.866902
-1.0,87,4.944675
1.474553,100,5.031866
0.725123,39,5.06645
0.0,100,5.156036
3.550325,6,5.160466
-0.002784,5,5.166464
-1.0,87,5.284287
3.550325,4,5.290558
0.259618,20,5.308045
0.725123,20,5.32588
-1.0,61,5.380713
1.825202,19,5.397654
0.436755,29,5.425271
0.475172,100,5.512975
3.550325,4,5.517019
3.550325,4,5.521807
3.550325,4,5.525856
3.550325,4,5.529848
-0.002784,69,5.594933
0.436755,37,5.628136
1.752314,20,5.645692
1.474553,100,5.736254
1.72505,98,5.824279
0.0,100,5.912573
0.0,100,6.001251
1.474553,100,6.088757
1.172851,35,6.118046
0.784404,100,6.206805
3.609606,100,6.294933
0.259618,60,6.348094
0.997216,100,6.436209
1.027191,100,6.525182
-0.524828,89,6.614262
0.474553,93,6.695085
-0.002784,6,6.699816
-0.09157,25,6.723894
0.475172,100,6.811552
2.697788,4,6.816524
0.0,100,6.905917
1.825202,87,6.98165
-1.0,24,7.002374
3.11357,100,7.089325
0.0,100,7.175817
-1.0,40,7.211253
1.72505,97,7.299172
3.550325,4,7.304825
0.501815,100,7.393102
2.697788,4,7.39804
0.0,100,7.486361
2.697788,5,7.490682
0.475172,100,7.579953
-0.002784,94,7.663617
1.474553,100,7.752556
1.027191,100,7.84146
1.502363,100,7.929336
0.0,100,8.017344
0.757803,100,8.106734
0.0,100,8.195502
-0.002784,32,8.223762
