#{"t_start": 1752552027.8189635, "env_id": "None"}
r,l,t
55.532569,4,0.01201
0.0,100,0.226007
0.090267,87,0.301492
10.75809,3,0.304725
4.351009,63,0.360435
4.696613,4,0.365278
17.517902,4,0.369309
1.421365,100,0.455176
53.799237,4,0.459171
21.741542,4,0.464072
6.878532,4,0.467995
32.345067,4,0.472003
1.395525,4,0.476062
56.796431,4,0.480674
2.902497,78,0.578468
1.661081,100,0.664388
77.255456,44,0.702167
3.931217,25,0.723887
26.38163,4,0.727807
57.388044,23,0.748287
1.817981,41,0.782313
13.281666,4,0.786987
15.08548,3,0.79053
1.445771,4,0.794235
23.680046,9,0.801004
57.602477,4,0.805539
32.345067,12,0.816249
1.458558,5,0.822107
5.146106,4,0.826009
4.390782,4,0.832652
1.299585,4,0.836576
2.417674,100,0.920966
0.0,100,1.085279
11.956721,3,1.088113
3.446515,3,1.091796
0.0,100,1.180212
30.949894,4,1.18421
22.203844,4,1.19025
17.178316,5,1.194457
67.44836,4,1.198387
11.667016,4,1.202286
-1.0,77,1.287545
1.11646,4,1.291529
43.24759,4,1.295523
57.418003,4,1.299198
6.477855,3,1.301768
1.210958,4,1.305673
4.259273,3,1.309203
-1.0,44,1.350929
-1.0,2,1.354845
29.538012,4,1.358798
5.587038,4,1.362715
1.661081,100,1.447772
0.0,100,1.533087
32.037901,6,1.537524
51.578143,4,1.541257
13.685984,4,1.545201
-0.591135,11,1.555984
40.059228,4,1.559914
17.356319,4,1.563891
4.97397,4,1.567789
0.0,100,1.654449
9.406356,4,1.6584
6.027768,3,1.662135
1.248321,4,1.666039
22.222418,4,1.670647
0.0,100,1.757872
35.189339,58,1.807456
0.559064,2,1.810523
0.0,100,1.898252
42.673016,5,1.902659
11.283843,4,1.906602
17.088577,4,1.910595
6.760625,4,1.915355
1.403489,2,1.916601
0.0,100,2.003353
32.395815,4,2.007281
3.325726,2,2.01096
6.760625,4,2.014857
19.787301,5,2.019974
1.355564,4,2.024003
4.74851,6,2.030648
28.76993,4,2.034644
-1.0,45,2.073923
18.87801,4,2.078072
1.416144,47,2.119601
2.079005,2,2.120812
2.415608,4,2.125866
0.0,100,2.21796
4.851929,5,2.222852
4.303065,100,2.314482
6.139116,3,2.318141
5.774894,4,2.322216
4.937509,4,2.327311
42.673016,4,2.33135
10.947333,4,2.335282
0.0,100,2.422131
0.0,100,2.512983
-0.600296,81,2.585779
-1.0,12,2.596247
33.648205,4,2.60039
75.536596,64,2.658915
4.268332,30,2.686486
1.661081,100,2.775837
1.51836,4,2.779794
1.51836,4,2.784611
22.076141,4,2.788569
-0.540435,2,2.789488
11.283843,5,2.795311
22.222418,4,2.800133
39.417214,4,2.804109
6.222802,31,2.829326
-1.0,76,2.895527
0.0,100,2.985614
16.530303,4,2.990007
0.0,100,3.077368
27.806061,5,3.083781
12.897436,4,3.088699
70.813329,4,3.092713
47.129641,4,3.096828
2.075752,4,3.100506
24.898782,4,3.105252
5.411522,100,3.192544
4.851929,4,3.196585
14.503091,4,3.200519
50.768598,4,3.205272
18.013299,4,3.209276
11.579636,4,3.213255
0.785268,100,3.298508
47.241728,4,3.303421
0.0,100,3.387659
37.717012,4,3.391667
3.931217,34,3.420174
66.630122,5,3.425795
43.29845,4,3.430386
0.836289,86,3.505453
-1.0,30,3.530579
0.0,100,3.620422
0.0,100,3.707655
2.547126,3,3.711128
32.043267,4,3.71542
0.476171,4,3.719951
1.173277,4,3.723967
-1.0,59,3.774503
18.87801,4,3.778456
0.0,100,3.867033
-0.598736,57,3.915446
27.752763,4,3.919558
-0.652382,2,3.922657
40.285553,4,3.929084
5.718229,4,3.933268
