#{"t_start": 1752551742.912571, "env_id": "None"}
r,l,t
0.0,100,0.201325
0.0,100,0.338242
29.236784,32,0.380188
0.0,100,0.475611
-1.0,30,0.501708
-1.0,98,0.633827
41.256908,80,0.733543
24.341046,94,0.812951
24.341046,82,0.880483
-1.0,77,0.947619
25.341046,100,1.031525
0.0,100,1.114291
14.840607,32,1.140871
-1.0,77,1.207275
25.341046,100,1.294308
25.341046,100,1.385428
-1.0,4,1.388849
-0.366916,54,1.437474
0.0,100,1.524571
38.180858,95,1.607051
29.236784,90,1.682341
39.162397,100,1.764626
38.180858,2,1.767903
-1.0,38,1.811478
0.0,100,1.899603
0.0,100,1.982572
-0.366916,57,2.032418
24.341046,2,2.033548
0.0,100,2.118243
24.341046,9,2.127282
24.341046,41,2.163161
24.341046,2,2.164286
24.341046,2,2.167184
0.0,100,2.251602
24.341046,2,2.254749
0.0,100,2.339461
0.0,100,2.425054
0.0,100,2.508406
0.0,100,2.598141
-0.366916,90,2.675611
24.341046,41,2.709819
14.840607,2,2.713885
38.180858,2,2.717146
30.236784,100,2.80042
14.840607,2,2.803391
24.341046,2,2.804529
0.0,100,2.890987
0.0,100,2.976339
-0.353333,3,2.979824
24.341046,2,2.980952
12.360445,95,3.062141
0.0,100,3.145124
0.0,100,3.227949
24.341046,2,3.23088
12.360445,2,3.234135
24.341046,2,3.237021
24.341046,4,3.240639
24.341046,2,3.241796
41.239792,42,3.278894
-1.0,22,3.296407
12.360445,55,3.342633
12.360445,3,3.346057
0.0,100,3.432809
41.239792,56,3.479954
0.0,100,3.562773
29.236784,53,3.608777
-0.353333,24,3.631199
25.341046,100,3.716471
0.0,100,3.803134
29.236784,61,3.855314
25.341046,100,3.940974
12.360445,17,3.955479
29.236784,7,3.962544
24.341046,19,3.978896
24.341046,47,4.02372
0.646667,100,4.106813
0.0,100,4.189081
29.236784,98,4.271508
0.0,100,4.356249
25.341046,100,4.442691
0.0,100,4.524918
13.360445,100,4.598824
30.236784,100,4.635036
25.341046,100,4.670884
30.236784,100,4.706835
30.236784,100,4.742748
