#{"t_start": 1752552458.7168894, "env_id": "None"}
r,l,t
9.577259,36,0.10064
21.758702,14,0.136753
13.006355,2,0.139341
10.607728,83,0.214475
11.149737,100,0.306605
22.060659,33,0.335945
10.607728,30,0.36952
13.006355,80,0.442349
0.0,100,0.55613
21.758702,31,0.584614
10.607728,2,0.587911
21.076968,27,0.614659
10.607728,2,0.615857
9.577259,47,0.665775
10.178672,57,0.717721
0.0,100,0.805071
10.149737,2,0.808279
14.259973,3,0.811939
11.178672,100,0.903275
10.178672,100,0.995812
10.607728,21,1.014476
13.006355,2,1.01565
14.259973,2,1.020715
14.259973,2,1.021889
10.607728,2,1.025115
10.149737,23,1.045369
10.178672,13,1.058908
10.178672,3,1.062591
0.0,100,1.152284
20.657125,58,1.206183
-1.0,10,1.219018
9.577259,50,1.26318
9.577259,23,1.29816
10.149737,10,1.307966
9.577259,8,1.318239
10.149737,3,1.322828
0.0,100,1.415672
0.0,100,1.503638
14.259973,2,1.508954
-1.0,23,1.528106
11.149737,100,1.619873
10.577259,100,1.709495
0.0,100,1.802057
10.607728,2,1.805211
10.178672,93,1.887652
14.259973,2,1.890798
0.0,100,1.980597
-0.634557,93,2.063743
10.607728,18,2.079051
-1.0,16,2.093333
-1.0,13,2.108317
0.365443,100,2.195964
14.259973,67,2.254894
0.0,100,2.342819
-0.634557,21,2.364971
22.060659,2,2.365935
21.076968,86,2.442915
21.758702,5,2.447008
10.149737,45,2.488912
21.076968,56,2.539159
-0.634557,51,2.586056
0.0,100,2.675498
10.607728,27,2.703247
10.149737,77,2.774571
0.0,100,2.862994
22.20785,100,2.951499
0.0,100,3.04251
11.607728,100,3.132274
0.0,100,3.221941
10.178672,3,3.225731
10.149737,84,3.302876
9.577259,81,3.374586
10.178672,3,3.378421
-1.0,66,3.436797
11.149737,100,3.529742
10.149737,74,3.599366
10.149737,62,3.654227
0.0,100,3.746326
30.846925,87,3.82648
-1.0,67,3.887354
10.607728,20,3.905361
22.076968,100,3.994027
0.0,100,4.085301
-0.634557,50,4.130054
11.149737,100,4.222973
21.076968,53,4.269484
-1.0,35,4.303539
11.149737,100,4.393914
0.0,100,4.483043
0.0,100,4.578903
0.0,100,4.721174
-1.0,14,4.735053
0.0,100,4.792328
11.149737,100,4.830068
10.178672,3,4.831719
15.259973,100,4.869685
14.006355,100,4.907397
-1.0,73,4.9879
0.0,100,5.077483
-0.595794,3,5.079934
11.149737,100,5.174864
10.577259,100,5.266567
14.259973,24,5.288673
0.0,100,5.384272
9.577259,34,5.419876
9.577259,7,5.427333
-1.0,41,5.464299
21.20785,37,5.498566
-1.0,36,5.532573
10.178672,4,5.536992
0.365443,100,5.633523
14.006355,100,5.744893
9.577259,25,5.768965
10.178672,4,5.77327
10.149737,46,5.817049
0.0,100,5.931671
0.0,100,6.021856
10.607728,25,6.043643
0.0,100,6.131231
11.149737,100,6.222681
-0.634557,100,6.310766
0.0,100,6.398371
30.846925,20,6.415518
10.577259,100,6.508989
10.178672,4,6.513109
0.0,100,6.602406
10.178672,6,6.608705
9.577259,41,6.645605
-1.0,8,6.652751
22.060659,53,6.69898
10.178672,4,6.703076
10.178672,4,6.707985
22.060659,54,6.760569
9.577259,58,6.81247
9.577259,21,6.830609
0.0,100,6.920243
0.0,100,7.01046
10.178672,14,7.025936
10.149737,23,7.046928
9.577259,80,7.119001
0.0,100,7.208539
20.657125,96,7.293917
10.607728,47,7.333388
11.607728,100,7.421741
22.060659,32,7.450221
14.259973,66,7.50928
22.076968,100,7.597853
11.607728,100,7.687155
-1.0,45,7.725548
11.607728,100,7.812801
10.607728,84,7.886914
-1.0,1,7.888431
0.0,100,7.976226
11.149737,100,8.06424
10.607728,3,8.067541
9.577259,20,8.085982
-1.0,1,8.086667
22.060659,30,8.11398
-1.0,34,8.143345
10.577259,100,8.233916
9.577259,19,8.251011
0.0,100,8.339735
11.607728,100,8.426519
-1.0,24,8.449535
22.060659,6,8.45606
22.060659,2,8.457238
-1.0,41,8.492832
11.149737,100,8.582458
0.0,100,8.670044
14.259973,66,8.729018
21.20785,25,8.750599
10.178672,16,8.766127
-1.0,36,8.798243
20.657125,74,8.863879
10.178672,5,8.868174
9.577259,6,8.873707
0.0,100,8.962624
9.577259,71,9.026639
0.0,100,9.113698
14.259973,69,9.175515
22.758702,100,9.263265
10.149737,9,9.27279
20.657125,52,9.318152
15.76,17,9.333761
20.657125,30,9.359562
11.607728,100,9.449734
11.178672,100,9.510983
0.0,100,9.548472
0.0,100,9.587845
11.149737,100,9.625727
0.0,100,9.663058
10.149737,92,9.746135
14.259973,66,9.807843
9.577259,44,9.846919
10.577259,100,9.936171
10.178672,74,10.001175
13.006355,36,10.035163
14.259973,59,10.111338
-0.634557,67,10.172009
0.0,100,10.259861
23.060659,100,10.349436
13.006355,86,10.425836
10.178672,26,10.449906
10.577259,100,10.538565
9.577259,76,10.607152
9.577259,50,10.653491
11.149737,100,10.741112
-1.0,96,10.825244
22.060659,45,10.868831
10.607728,76,10.937208
0.0,100,11.02478
0.0,100,11.113415
20.657125,19,11.130362
0.0,100,11.21945
0.0,100,11.308657
-0.634557,58,11.359958
10.178672,43,11.401092
10.577259,100,11.490957
21.20785,7,11.49596
9.577259,68,11.556029
0.0,100,11.644735
-1.0,64,11.70219
0.365443,100,11.791865
0.0,100,11.878942
14.25073,30,11.908455
10.607728,55,11.959509
15.259973,100,12.052582
11.607728,100,12.140057
14.259973,31,12.168214
9.577259,5,12.174288
9.577259,19,12.190287
0.0,100,12.278824
11.178672,100,12.369524
0.0,100,12.459609
0.0,100,12.548332
15.259973,100,12.636712
-0.595794,11,12.648839
0.0,100,12.738202
22.060659,86,12.81716
-1.0,53,12.8637
-1.0,22,12.88405
9.577259,22,12.9043
0.0,100,12.995184
0.0,100,13.084015
13.006355,17,13.100531
0.0,100,13.187517
11.149737,100,13.276067
10.607728,46,13.316795
0.0,100,13.405679
10.149737,25,13.42692
10.607728,3,13.430393
11.149737,100,13.517664
10.607728,64,13.575071
22.758702,100,13.662487
11.178672,100,13.750267
31.846925,100,13.837679
10.149737,27,13.86224
10.577259,100,13.949508
9.577259,47,13.991937
-1.0,36,14.022781
14.259973,10,14.034667
14.25073,30,14.060154
0.0,100,14.147114
0.0,100,14.192451
0.0,100,14.229542
23.060659,100,14.266561
0.0,100,14.304065
0.0,100,14.341318
21.076968,80,14.418693
21.076968,40,14.45589
-1.0,38,14.492417
10.178672,67,14.55526
10.607728,55,14.604629
0.0,100,14.697475
21.076968,54,14.74758
-1.0,82,14.82066
22.758702,100,14.912295
22.060659,87,14.991124
10.178672,55,15.040042
10.178672,3,15.043469
21.657125,100,15.131617
13.006355,30,15.159536
-1.0,80,15.231117
9.577259,33,15.259866
0.0,100,15.3477
0.0,100,15.437761
10.577259,100,15.525864
10.607728,77,15.59449
10.607728,26,15.616563
22.758702,100,15.706303
30.846925,54,15.75477
9.577259,64,15.81059
13.006355,13,15.821807
-1.0,91,15.903665
9.577259,48,15.945876
0.0,100,16.0339
0.0,100,16.121083
22.758702,100,16.211797
21.657125,100,16.300619
14.006355,100,16.387991
0.0,100,16.47489
22.060659,7,16.481969
-1.0,72,16.545026
30.846925,78,16.616145
13.006355,82,16.68684
22.20785,100,16.780502
0.0,100,16.868474
10.607728,11,16.87861
15.259973,100,16.965805
-0.634557,56,17.017208
0.0,100,17.106721
21.758702,41,17.142672
10.149737,4,17.146353
0.0,100,17.234666
-1.0,22,17.254611
9.577259,73,17.320338
15.259973,100,17.421082
0.404206,100,17.525122
14.006355,100,17.615741
23.060659,100,17.703274
9.577259,41,17.740451
-1.0,3,17.745763
0.0,100,17.838548
0.0,100,17.929084
22.076968,100,18.016175
9.577259,19,18.035951
9.577259,9,18.043758
-1.0,42,18.082689
0.0,100,18.172652
22.20785,100,18.263248
0.0,100,18.36583
0.0,100,18.453586
0.0,100,18.541389
0.404206,100,18.631926
0.0,100,18.720741
11.178672,100,18.864501
21.758702,12,18.876672
10.577259,100,18.970234
10.577259,100,19.007854
0.0,100,19.04541
0.0,100,19.08275
14.006355,100,19.120141
10.149737,41,19.161134
0.0,100,19.25109
0.0,100,19.414532
10.178672,37,19.446667
20.249483,65,19.503327
22.060659,5,19.507395
21.076968,13,19.585368
14.006355,100,19.674717
10.577259,100,19.765976
-1.0,6,19.770454
0.0,100,19.867009
21.758702,31,19.897722
0.0,100,19.990234
0.0,100,20.107636
10.607728,96,20.191495
14.25073,50,20.234772
0.0,100,20.324198
0.0,100,20.411768
10.178672,21,20.431318
14.259973,4,20.435141
0.0,100,20.523903
0.0,100,20.611271
13.006355,27,20.633365
11.178672,100,20.719935
0.0,100,20.807706
14.259973,49,20.853751
13.006355,39,20.886811
9.577259,72,20.950454
0.0,100,21.039938
0.0,100,21.127699
21.657125,100,21.217345
9.577259,95,21.302728
0.0,100,21.392448
0.0,100,21.479531
0.0,100,21.566606
14.006355,100,21.655869
10.607728,87,21.736565
9.577259,28,21.761551
10.577259,100,21.848839
0.0,100,21.935973
10.178672,94,22.019714
0.0,100,22.110473
0.0,100,22.197748
22.060659,8,22.204767
9.577259,12,22.216498
9.577259,9,22.226078
0.0,100,22.315093
0.0,100,22.402786
0.0,100,22.489774
10.178672,52,22.535945
11.149737,100,22.623474
0.0,100,22.709922
14.006355,100,22.799252
9.577259,29,22.824579
11.178672,100,22.913244
23.158674,100,23.000666
0.0,100,23.089355
10.607728,2,23.090646
0.0,100,23.18181
0.0,100,23.269812
-1.0,100,23.357718
-1.0,66,23.418019
23.060659,100,23.506548
0.0,100,23.59632
0.0,100,23.686535
14.006355,100,23.778594
0.0,100,23.815471
0.0,100,23.852648
15.259973,100,23.889956
0.0,100,23.927194
9.577259,43,23.967668
10.607728,53,24.013681
-1.0,56,24.06291
-1.0,46,24.105502
-1.0,70,24.167496
0.0,100,24.254644
-1.0,83,24.326553
0.0,100,24.416312
0.0,100,24.503762
0.0,100,24.590347
13.006355,73,24.653192
0.0,100,24.742566
22.060659,82,24.816257
10.607728,99,24.902522
21.20785,70,24.962302
-1.0,9,24.971753
10.149737,57,25.023626
13.006355,30,25.049587
9.577259,11,25.06192
9.577259,22,25.081753
15.259973,100,25.173119
10.149737,53,25.220973
9.577259,21,25.239252
0.0,100,25.343155
0.0,100,25.431888
22.060659,43,25.470404
0.0,100,25.55861
-1.0,60,25.612378
13.006355,2,25.613336
0.0,100,25.701014
0.0,100,25.788352
0.0,100,25.877155
0.0,100,25.965322
0.0,100,26.053066
22.758702,100,26.14124
0.0,100,26.230652
0.0,100,26.319168
-1.0,15,26.332951
14.259973,7,26.339929
-1.0,62,26.394809
0.0,100,26.483621
22.158674,2,26.486537
10.149737,16,26.500732
9.577259,60,26.55534
-1.0,7,26.560047
-1.0,73,26.625858
9.577259,45,26.666672
-1.0,75,26.735584
10.149737,36,26.767924
-1.0,46,26.808434
10.178672,60,26.863812
-1.0,28,26.889776
21.758702,49,26.9329
9.577259,28,26.958204
0.0,100,27.049161
22.060659,20,27.067947
0.0,100,27.156415
9.577259,86,27.234658
9.577259,41,27.270367
10.149737,27,27.295346
11.178672,100,27.383001
0.0,100,27.471303
10.607728,66,27.527961
10.178672,55,27.577404
0.0,100,27.667521
10.607728,64,27.723653
10.149737,58,27.776248
0.0,100,27.86685
-1.0,8,27.873759
-1.0,24,27.894682
-1.0,12,27.906747
-1.0,91,27.987408
0.0,100,28.076241
21.758702,49,28.121356
10.149737,10,28.129567
11.178672,100,28.217483
0.0,100,28.305725
10.149737,13,28.317042
10.149737,20,28.334975
11.149737,100,28.429669
11.178672,100,28.466997
10.577259,100,28.505046
0.0,100,28.542595
0.0,100,28.579961
10.149737,8,28.589474
14.006355,100,28.676469
10.149737,22,28.696738
13.006355,2,28.697935
10.607728,2,28.702072
9.577259,42,28.743312
9.577259,37,28.777711
10.607728,77,28.849885
21.758702,3,28.855547
-1.0,1,28.856315
10.149737,2,28.857532
11.178672,100,28.946499
0.0,100,29.039456
10.178672,51,29.084919
21.20785,54,29.133472
-1.0,17,29.148158
15.259973,100,29.239643
-1.0,13,29.250542
13.006355,8,29.257698
0.0,100,29.347139
0.0,100,29.437026
0.0,100,29.524566
10.149737,14,29.538061
22.758702,100,29.625242
0.0,100,29.714787
11.178672,100,29.804928
0.0,100,29.892775
20.657125,3,29.89424
-1.0,31,29.924858
10.178672,57,29.974755
10.149737,5,29.981041
14.006355,100,30.070207
0.0,100,30.182942
9.577259,60,30.236221
-1.0,49,30.27823
14.259973,31,30.306142
10.149737,39,30.340718
10.149737,31,30.368824
0.0,100,30.458494
22.060659,20,30.476182
0.0,100,30.56513
9.577259,7,30.572326
10.577259,100,30.661559
0.0,100,30.748897
0.0,100,30.837296
10.149737,46,30.880571
10.149737,81,30.95514
9.577259,25,30.976819
-1.0,60,31.031969
10.577259,100,31.121409
10.149737,10,31.12933
14.006355,100,31.217676
0.0,100,31.307662
9.577259,6,31.314567
10.607728,34,31.344227
21.758702,5,31.351885
13.006355,17,31.367414
22.758702,100,31.45702
10.607728,6,31.461559
11.178672,100,31.571888
-1.0,32,31.602915
14.259973,27,31.628472
10.149737,76,31.695435
0.0,100,31.78538
11.178672,100,31.875274
-1.0,57,31.924744
9.577259,47,31.966048
10.178672,50,32.010119
11.607728,100,32.099012
10.577259,100,32.188231
13.006355,55,32.235881
-1.0,28,32.259966
10.149737,38,32.295363
0.0,100,32.383572
10.607728,64,32.440429
22.20785,100,32.528037
0.0,100,32.615816
