#{"t_start": 1752551826.912767, "env_id": "None"}
r,l,t
10.066421,100,0.207967
0.51174,100,0.298558
0.51174,100,0.392079
-0.48826,65,0.454618
0.0,100,0.584904
0.0,100,0.709998
-0.48826,94,0.830128
10.066421,100,0.923332
0.0,100,1.019856
10.066421,100,1.112321
0.0,100,1.20541
-1.0,5,1.209949
0.0,100,1.313175
0.0,100,1.409107
0.0,100,1.501078
0.0,100,1.59149
0.0,100,1.683402
0.51174,100,1.776564
0.0,100,1.866639
0.0,100,1.971805
-1.0,1,1.974672
-1.0,65,2.036929
0.0,100,2.134158
-1.0,71,2.199459
0.0,100,2.289944
0.0,100,2.379661
-1.0,1,2.381225
0.0,100,2.471951
0.0,100,2.561991
10.066421,100,2.651207
-0.48826,17,2.666986
-1.0,1,2.667703
0.0,100,2.757961
0.0,100,2.853235
0.0,100,3.009788
-1.0,1,3.012217
10.066421,100,3.136239
0.0,100,3.268227
-0.48826,27,3.291866
0.0,100,3.386667
-0.48826,84,3.49062
0.0,100,3.595611
0.0,100,3.684545
0.0,100,3.776405
0.0,100,3.863161
0.0,100,3.952723
0.0,100,4.03882
-1.0,33,4.067638
10.066421,100,4.405026
10.066421,100,4.595711
0.0,100,4.756464
0.0,100,4.846915
-1.0,96,4.976664
-1.0,9,4.984933
0.0,100,5.070706
0.0,100,5.156203
0.0,100,5.247241
0.0,100,5.331537
0.0,100,5.42243
0.0,100,5.487188
0.0,100,5.525858
0.0,100,5.564745
0.0,100,5.602888
0.0,100,5.639976
0.0,100,5.771643
9.066421,21,5.7931
0.0,100,5.882896
10.066421,100,5.968001
0.0,100,6.0526
0.0,100,6.13553
0.0,100,6.218839
10.066421,100,6.302856
0.0,100,6.387471
0.0,100,6.488817
-1.0,39,6.678547
0.0,100,6.787439
-0.48826,19,6.803717
0.0,100,7.05645
0.0,100,7.164165
0.0,100,7.5868
0.0,100,7.67645
9.066421,44,7.715281
0.0,100,7.93657
0.0,100,8.025277
-1.0,1,8.026082
0.0,100,8.302303
10.066421,100,8.422363
-0.48826,43,8.528951
