#{"t_start": 1752552274.8975496, "env_id": "None"}
r,l,t
0.445169,64,0.167561
7.779561,100,0.254164
14.038466,81,0.325521
0.0,100,0.412949
0.0,100,0.506279
37.864774,34,0.559133
-0.310565,78,0.628977
38.842642,4,0.632714
-1.0,3,0.635425
5.563457,100,0.724864
0.0,100,0.813465
38.770189,3,0.816907
30.505623,73,0.880921
33.581427,75,0.949206
1.184332,100,1.07171
0.0,100,1.166997
-1.0,4,1.180041
-1.0,2,1.182644
41.63265,3,1.18435
1.184332,100,1.299521
3.376915,78,1.373376
33.062855,3,1.376989
0.129132,84,1.452567
15.231584,100,1.543522
0.515072,3,1.54595
0.0,100,1.636125
-0.138154,74,1.703176
23.716255,53,1.74996
21.615615,3,1.754343
-1.0,2,1.755182
0.0,100,1.84461
3.098055,2,1.84777
0.0,100,1.938826
25.840965,27,1.963738
-1.0,1,1.964416
-1.0,69,2.024338
-0.138154,7,2.03207
25.877569,3,2.035574
25.099447,28,2.060292
28.490475,36,2.091424
0.245836,3,2.09394
0.0,100,2.18206
-0.138154,86,2.287096
0.909119,100,2.374699
-0.213451,3,2.38
-1.0,62,2.433514
7.730084,100,2.524963
6.717443,5,2.529531
-0.138154,17,2.547009
0.823656,3,2.548502
0.0,100,2.637533
53.212709,7,2.644589
19.588937,3,2.648867
34.376951,3,2.652354
-1.0,4,2.656141
3.376915,7,2.660847
-0.045734,2,2.664669
8.519852,100,2.753334
10.194783,2,2.754521
0.0,100,2.843375
0.515072,6,2.850744
41.63265,3,2.85444
13.977749,3,2.856202
-0.609835,2,2.859499
14.109192,3,2.863791
0.0,100,2.953021
39.835567,100,3.043212
0.515072,56,3.092836
-1.0,47,3.133333
6.717443,82,3.205244
0.0,100,3.293411
0.0,100,3.380246
72.424542,4,3.385186
15.683303,47,3.426528
0.0,100,3.514361
19.624692,29,3.539442
53.091452,41,3.575567
4.333381,3,3.579181
27.310116,3,3.583216
33.062855,5,3.587071
1.102165,3,3.591496
33.062855,4,3.595297
34.457888,3,3.596992
0.0,100,3.6839
41.554563,83,3.760623
5.401182,56,3.810009
0.0,100,3.903892
55.593659,3,3.909435
0.0,100,4.001034
3.933856,8,4.008781
25.196633,97,4.094111
-0.138154,46,4.135662
26.712164,4,4.140458
0.905539,100,4.227641
33.062855,17,4.242341
-0.208907,23,4.262897
58.757881,70,4.323704
25.196633,48,4.365949
14.109192,39,4.400898
32.23465,98,4.486438
5.401182,16,4.501602
-1.0,92,4.583351
34.376951,38,4.622199
25.196633,34,4.651109
9.881254,49,4.696273
1.102165,3,4.72385
21.202383,100,4.76386
20.849901,3,4.765528
7.717443,100,4.804504
0.0,100,4.842862
55.230096,48,4.894571
18.44343,4,4.89866
12.759041,4,4.902643
0.661081,100,4.993201
21.202383,100,5.081019
17.890878,3,5.08454
0.245836,3,5.088088
28.490475,89,5.167529
0.904489,100,5.255678
0.0,100,5.344594
8.781779,82,5.419402
51.27285,26,5.443308
1.213796,100,5.533949
0.0,100,5.621205
-1.0,81,5.690733
-1.0,1,5.695375
1.76167,84,5.771933
41.878804,3,5.773517
33.062855,57,5.826683
3.933856,3,5.830615
20.154241,3,5.834188
-1.0,61,5.887623
-0.123192,7,5.894426
48.006514,3,5.899911
0.515072,3,5.903236
-1.0,57,5.952957
20.849901,3,5.958576
-0.211392,50,6.002954
-1.0,96,6.087909
7.367321,3,6.091698
1.32153,63,6.14815
5.401182,78,6.218863
22.384401,3,6.22246
14.603945,3,6.226076
25.898076,4,6.229803
-0.623225,2,6.232847
14.231584,3,6.236353
38.013001,4,6.239889
10.194783,2,6.241052
-1.0,1,6.245397
34.457888,3,6.247049
-1.0,71,6.311779
13.977749,3,6.315345
0.0,100,6.40704
4.190016,100,6.495737
7.367321,3,6.499159
34.914282,3,6.500834
5.718405,3,6.506778
23.443156,4,6.510356
16.147363,3,6.513635
23.716255,3,6.517126
-0.138154,3,6.520621
17.890878,22,6.5406
7.879725,100,6.62945
3.376915,5,6.633465
0.679146,100,6.723385
3.933856,3,6.727096
26.780447,4,6.730991
29.490475,100,6.820772
58.321698,91,6.904449
3.376915,2,6.905699
1.639733,19,6.923959
14.231584,3,6.927518
0.693122,48,6.975585
0.0,100,7.068306
0.0,100,7.156372
14.691352,3,7.158084
14.109192,3,7.1636
17.118633,3,7.167093
17.118633,3,7.170577
0.0,100,7.258164
-1.0,24,7.28187
4.333381,3,7.283597
-1.0,1,7.286105
49.239702,3,7.287754
14.438748,3,7.293183
3.13638,4,7.29731
-1.0,36,7.328676
3.864601,3,7.332259
5.401182,3,7.338129
-0.213451,3,7.339894
42.504975,3,7.343467
64.445047,3,7.347052
3.21567,35,7.380418
40.456214,3,7.382164
14.295025,13,7.395107
17.245579,3,7.396733
16.150055,3,7.402421
0.29846,27,7.425974
28.490475,3,7.429513
0.667387,49,7.472519
14.46622,3,7.477974
8.012649,100,7.566715
23.647796,3,7.56844
12.882251,85,7.644852
19.236682,3,7.648541
1.769673,3,7.652122
23.647796,3,7.655909
54.341283,3,7.659441
35.370677,3,7.66292
-1.0,19,7.680355
2.639733,100,7.768875
-1.0,27,7.793709
57.330556,4,7.799337
-1.0,100,7.88658
15.503727,100,7.975553
17.245579,3,7.979094
49.554863,3,7.98277
3.395777,3,7.986297
22.384401,3,7.989794
5.718405,4,7.993468
0.0,100,8.082374
-1.0,26,8.103621
23.716255,3,8.107252
-0.623225,2,8.110342
-0.535426,21,8.132552
38.842642,3,8.136285
1.102165,3,8.13878
-1.0,56,8.187191
34.457888,4,8.192861
8.781779,3,8.196254
57.330556,3,8.200901
0.445169,28,8.225962
20.911868,3,8.232588
24.761743,3,8.234317
25.898076,4,8.238269
-0.314501,3,8.241835
10.123811,3,8.247291
34.914282,3,8.250801
0.0,100,8.338601
-1.0,16,8.352577
1.14372,100,8.44407
