#{"t_start": 1752553259.4767659, "env_id": "None"}
r,l,t
-1.0,76,0.171992
3.379713,3,0.17565
17.764804,41,0.210829
20.792835,4,0.215854
-1.0,43,0.254877
2.960837,57,0.305615
7.258841,4,0.309726
22.331143,4,0.314511
5.024873,4,0.318337
23.559016,4,0.322372
0.0,100,0.414462
-0.32875,65,0.475349
9.041058,4,0.479479
1.134477,100,0.598369
0.0,100,0.687751
56.29578,4,0.692813
0.273572,100,0.78446
23.532342,4,0.788348
59.208901,5,0.792628
16.272371,100,0.885739
-1.0,1,0.886481
0.625052,12,0.897565
0.0,100,0.99064
1.479607,4,0.9956
56.450137,5,0.999874
4.873168,4,1.006596
63.706433,4,1.01141
4.873168,4,1.017024
0.328536,100,1.13656
4.315672,100,1.229045
47.824497,4,1.23292
0.0,100,1.33896
4.223237,46,1.38072
55.662468,5,1.385017
59.518757,35,1.416488
-1.0,1,1.418014
0.509028,3,1.421556
-1.0,1,1.422258
4.122675,3,1.425858
1.898531,100,1.513163
3.72001,98,1.598533
3.651935,4,1.602612
8.295986,100,1.692036
0.509028,3,1.696568
2.351157,84,1.77175
0.0,100,1.864598
1.128672,100,1.954119
0.0,100,2.04394
16.820408,5,2.04828
16.820408,4,2.052393
59.782649,70,2.117016
1.115525,100,2.215233
37.697138,3,2.218877
23.327204,100,2.307252
57.251515,4,2.311369
-1.0,85,2.38663
-1.0,35,2.417759
51.737397,4,2.421842
55.390927,4,2.426015
1.083272,3,2.428411
1.188988,13,2.442081
1.136217,100,2.532835
4.442639,5,2.537103
3.163568,4,2.541929
37.97149,10,2.549814
57.490695,4,2.555673
24.381885,44,2.59453
-1.0,100,2.68577
46.303672,4,2.690083
0.0,100,2.780123
3.511516,4,2.784226
21.762162,3,2.7885
37.013874,5,2.792771
52.981017,4,2.796845
56.175459,4,2.800944
1.128672,100,2.890279
17.228087,4,2.894171
7.450373,4,2.898241
39.170616,53,2.948509
4.983678,39,2.982124
22.327204,5,2.988225
3.163568,4,2.992306
4.548201,4,2.997884
-1.0,93,3.080109
2.721319,3,3.083657
32.756205,4,3.08772
54.035689,16,3.102047
-1.0,26,3.124621
-1.0,17,3.139668
4.873168,4,3.143539
1.660316,100,3.233799
21.578027,3,3.238295
35.400557,4,3.242356
17.985505,5,3.247028
11.145968,5,3.253185
5.024873,4,3.257952
0.0,100,3.346144
10.394501,4,3.350007
9.041058,4,3.35407
57.390095,4,3.358931
0.0,100,3.453442
7.57435,20,3.473046
4.172728,4,3.477108
-1.0,18,3.492556
2.417674,100,3.580015
3.893343,84,3.653633
0.0,100,3.742314
55.956565,4,3.747343
1.940097,100,3.835243
-1.0,68,3.897414
1.88671,100,3.986179
1.76223,3,3.990639
0.0,100,4.079124
1.136217,100,4.169083
10.097936,4,4.173221
3.68613,3,4.177654
59.208901,4,4.181725
59.885125,4,4.185867
61.542058,4,4.189898
30.304878,4,4.194636
0.136217,71,4.254693
-0.249507,32,4.282965
3.863195,100,4.371093
4.122675,3,4.375605
-1.0,81,4.447145
0.0,100,4.534202
4.172728,4,4.538273
36.645156,100,4.62814
-1.0,18,4.644449
3.20706,3,4.648055
-0.365812,2,4.649234
3.513966,13,4.661191
4.938688,4,4.66533
5.371966,3,4.670101
21.77234,4,4.674201
1.742163,100,4.769554
57.439128,4,4.771732
19.060832,4,4.773761
20.970323,4,4.775813
0.0,100,4.813781
3.065513,4,4.824749
4.663624,4,4.828806
-1.0,31,4.857096
11.415202,4,4.861161
6.856457,4,4.866102
1.88671,100,4.956326
-1.0,99,5.046581
4.938688,5,5.05085
0.0,100,5.139977
60.16044,4,5.144098
1.905265,5,5.149163
0.0,100,5.238969
0.0,100,5.32894
0.0,100,5.417987
0.0,100,5.505844
12.164057,4,5.509964
19.758774,4,5.516212
0.0,100,5.603945
22.331143,4,5.607995
0.787559,100,5.697821
1.832762,50,5.745879
0.0,100,5.834311
73.306279,4,5.838444
30.304878,4,5.842612
39.133509,6,5.849268
0.136217,76,5.916289
-0.218985,2,5.919529
0.134477,90,5.999076
11.428054,4,6.005088
65.19836,100,6.093426
-0.395212,4,6.09749
4.133492,66,6.157468
11.542877,51,6.204573
2.417674,100,6.292418
4.366362,4,6.296707
0.0,100,6.383635
7.783989,4,6.389701
30.314731,4,6.393727
9.645252,5,6.398336
0.88671,74,6.461963
1.31669,4,6.467706
0.624025,3,6.471305
2.721319,3,6.474867
21.77234,4,6.478906
1.320681,100,6.569769
36.639713,4,6.573836
3.767187,4,6.57756
57.450972,4,6.581627
7.76009,4,6.587631
42.95899,4,6.591671
55.097984,4,6.596539
13.842456,4,6.600588
4.938688,4,6.606482
0.0,100,6.693772
1.128672,100,6.783862
21.77234,4,6.788011
57.336644,4,6.794275
5.024873,4,6.798307
57.390095,4,6.802342
-1.0,21,6.8203
22.295678,100,6.909786
0.161821,4,6.913598
21.77234,4,6.917635
23.847119,5,6.921854
1.810162,4,6.927815
4.442639,6,6.934142
30.314731,4,6.938194
4.564394,50,6.983191
10.692378,4,6.98911
22.800426,4,6.993137
9.467887,3,6.996685
56.296834,4,7.00072
35.564652,4,7.006641
1.936823,4,7.010446
40.370008,3,7.014231
74.394075,4,7.018273
4.366362,4,7.024167
0.0,100,7.113304
3.68613,3,7.116899
0.0,100,7.204553
0.0,100,7.293966
57.336644,5,7.298625
0.894433,4,7.302402
1.88671,100,7.391132
0.568565,65,7.449143
36.848106,17,7.463962
58.875598,100,7.555038
4.564394,45,7.595358
2.649053,3,7.59876
17.985505,5,7.605606
63.635508,100,7.693252
0.750493,100,7.782686
0.741389,2,7.78592
0.0,100,7.876408
30.563601,100,7.966074
40.370008,3,7.969793
0.0,100,8.059157
3.936331,100,8.146708
-1.0,1,8.147424
44.754116,4,8.151474
0.0,100,8.242291
-0.258136,2,8.245362
3.054033,45,8.286793
52.981017,5,8.291312
21.038077,4,8.297082
7.495928,3,8.300425
0.0,100,8.389173
12.164057,4,8.394381
15.208954,3,8.399861
9.718389,20,8.4176
15.83963,5,8.422811
4.967266,3,8.426493
55.494029,4,8.432152
38.315386,4,8.436207
-1.0,1,8.436872
57.251515,4,8.440915
4.663624,4,8.447495
-1.0,32,8.477075
59.885125,4,8.481126
3.511516,4,8.485161
-1.0,51,8.534213
20.81366,100,8.621366
3.480246,100,8.710092
46.303672,4,8.714283
14.459849,5,8.720792
7.16988,5,8.725596
0.0,100,8.814507
39.269131,4,8.818613
0.940097,41,8.857107
57.251515,4,8.861264
4.36838,4,8.86549
59.884022,4,8.869541
3.435723,85,8.948263
12.164057,4,8.95238
5.133492,100,9.042268
33.248458,9,9.050252
0.0,100,9.142327
62.112799,4,9.146462
8.222316,100,9.237173
46.303672,5,9.241558
6.208152,5,9.248041
59.626617,96,9.359289
58.378866,4,9.363588
0.0,100,9.441135
1.88671,100,9.479092
0.0,100,9.516654
9.224514,4,9.51891
21.210173,100,9.557134
-0.32875,70,9.626963
4.122675,3,9.63185
1.136217,100,9.723091
10.935743,4,9.727304
3.076539,3,9.728997
-0.365812,45,9.772714
3.331536,31,9.799477
3.651935,4,9.80362
0.0,100,9.894597
1.465075,17,9.914058
