#{"t_start": 1752552322.4046757, "env_id": "None"}
r,l,t
24.734945,4,0.011399
-1.0,1,0.037026
2.629973,5,0.050908
-1.0,3,0.064154
0.0,100,0.194744
1.368594,3,0.196486
37.822951,3,0.200823
-1.0,43,0.238723
0.0,100,0.328936
-1.0,87,0.40631
40.243009,37,0.440126
0.0,100,0.553575
19.926057,83,0.626274
43.093994,4,0.630211
24.339047,4,0.634855
40.566422,3,0.636509
1.575373,2,0.639539
2.71043,83,0.714519
26.948813,14,0.727073
8.657511,7,0.73378
4.151576,100,0.820879
4.485373,3,0.824774
2.71043,3,0.827206
10.990291,3,0.830757
42.902378,4,0.834413
-1.0,46,0.876849
13.486388,75,0.94673
8.657511,2,0.950166
41.562933,3,0.955233
2.915941,3,0.957043
14.141726,3,0.961968
21.968362,3,0.965782
2.350526,4,0.969455
41.562933,3,0.973004
8.657511,2,0.97462
40.256321,18,0.992073
28.749298,3,0.993761
41.177538,3,0.997232
1.152544,3,1.003531
20.543326,2,1.004857
24.734945,3,1.008681
43.800001,3,1.012422
0.0,100,1.142142
41.390408,3,1.146088
40.243009,3,1.152241
0.0,100,1.250258
26.948813,47,1.305561
2.713353,3,1.309216
-0.189768,4,1.313238
1.151579,3,1.316744
40.236264,5,1.323654
-1.0,67,1.385723
27.216558,4,1.389457
3.634942,3,1.391164
-1.0,51,1.437112
3.547768,4,1.440822
0.0,100,1.531424
22.246181,3,1.535068
-1.0,51,1.580984
31.008893,3,1.582689
-1.0,81,1.656322
2.711447,49,1.700869
21.041053,4,1.705935
40.566422,3,1.709619
39.082536,3,1.71147
5.104761,3,1.714799
1.395054,3,1.719039
1.209637,4,1.723239
2.392127,3,1.726829
2.402672,49,1.769589
-0.189768,3,1.774059
2.629973,5,1.778367
28.749298,3,1.781941
23.125853,3,1.783377
0.0,100,1.874537
36.355598,3,1.878124
0.0,100,1.967135
10.570122,3,1.970729
2.71043,3,1.975316
1.372025,4,1.979594
16.323025,3,1.981276
36.236551,3,1.98488
0.0,100,2.074584
0.0,100,2.165589
8.904268,3,2.169459
40.578441,3,2.173023
3.756245,3,2.175488
1.151579,57,2.238379
3.547768,3,2.240079
40.086613,6,2.246664
41.390408,4,2.251092
28.654419,3,2.254625
40.323404,3,2.256051
42.534375,100,2.345965
2.755409,100,2.435663
20.399312,68,2.497056
0.0,100,2.58522
8.510584,2,2.588677
-1.0,94,2.672065
8.189719,3,2.675711
25.489567,4,2.679442
10.570122,3,2.683003
40.48395,37,2.716786
27.22066,3,2.720551
1.601319,2,2.721746
18.802028,3,2.725456
0.0,100,2.815245
-0.582638,2,2.818514
25.489567,3,2.820296
29.978669,4,2.824616
43.911189,100,2.918087
30.038645,3,2.921761
36.236551,3,2.925383
1.562813,97,3.012701
41.390408,76,3.085275
0.0,100,3.176819
39.12061,3,3.180547
41.236264,100,3.268987
8.189719,3,3.274516
50.879824,100,3.364662
47.712125,3,3.366534
3.801262,100,3.457899
36.314681,88,3.537743
28.749298,3,3.541461
0.0,100,3.63423
2.711447,30,3.662835
0.0,100,3.752549
4.074912,3,3.754352
26.5041,69,3.817908
21.456302,75,3.883068
3.756245,3,3.887454
43.785962,100,3.975819
3.770735,3,3.979475
1.152544,42,4.018239
1.395054,62,4.076918
5.287276,3,4.080564
21.244795,15,4.092561
20.022155,56,4.142438
43.800001,3,4.147411
3.16646,3,4.151042
0.0,100,4.237376
1.395054,52,4.283708
40.323404,4,4.288279
3.756245,4,4.291965
2.713353,4,4.295661
21.955044,3,4.299229
0.0,100,4.385778
1.37241,19,4.401055
2.739999,100,4.490768
20.449955,3,4.494351
26.508023,61,4.549412
7.609495,3,4.552977
43.208342,3,4.556543
16.115304,5,4.560873
40.243009,11,4.572984
6.814592,78,4.640851
-1.0,85,4.715625
-0.390031,3,4.750058
2.350526,3,4.751639
5.007163,3,4.753186
21.799604,3,4.754781
20.539868,100,4.792363
2.450421,4,4.803454
18.962094,3,4.807923
7.931617,100,4.897867
24.822928,3,4.90138
0.0,100,4.990103
7.931617,100,5.080021
2.350526,3,5.083646
24.734945,3,5.085296
0.0,100,5.172969
-0.390031,3,5.178866
1.35406,5,5.183117
1.152544,49,5.227643
5.287276,4,5.231333
1.395054,59,5.28262
0.0,100,5.372653
0.0,100,5.464568
41.236264,100,5.552026
3.756245,3,5.557707
2.316773,3,5.561325
-1.0,9,5.569012
-0.38916,51,5.617493
-0.376444,25,5.640945
-0.385196,3,5.644753
41.823544,70,5.708041
0.0,100,5.797446
36.236551,3,5.803118
41.390408,3,5.806743
40.356326,3,5.810431
0.0,100,5.89681
21.799604,3,5.900523
40.236264,45,5.94265
16.115304,3,5.944355
1.804433,10,5.954152
40.236264,6,5.960613
39.12061,3,5.96392
0.0,100,6.053351
24.444113,3,6.0569
3.770735,3,6.062329
24.988554,3,6.063984
41.526307,3,6.067626
3.16646,3,6.071205
-1.0,4,6.076648
23.373065,17,6.091334
36.236551,3,6.094848
24.734945,3,6.098347
41.216347,43,6.136286
32.96864,3,6.139997
1.575043,50,6.184726
0.0,100,6.274424
0.0,100,6.364554
20.543326,5,6.368765
21.041053,35,6.421867
4.752005,100,6.509199
24.734945,3,6.512221
43.800001,3,6.515771
-1.0,15,6.529412
4.485373,3,6.53301
0.0,100,6.622138
41.390408,3,6.623908
20.155756,56,6.674494
43.876487,57,6.72685
1.368594,3,6.729434
5.702233,3,6.733009
0.0,100,6.820132
1.151579,33,6.84907
10.386456,3,6.853487
1.601319,2,6.857629
28.749298,3,6.859397
14.789887,3,6.862915
32.96864,3,6.867191
0.0,100,6.955723
0.0,100,7.045887
-1.0,1,7.047026
3.801262,100,7.139061
26.508023,45,7.178694
3.310843,50,7.223634
6.763496,15,7.237612
2.629973,4,7.242624
1.152544,70,7.30404
40.086613,3,7.307603
5.125686,42,7.344625
23.373065,53,7.393745
4.064423,4,7.397578
13.741,3,7.39927
0.0,100,7.486481
5.007163,3,7.490925
0.0,100,7.579036
26.676591,4,7.583261
0.0,100,7.672188
2.152544,100,7.760814
1.395054,4,7.76458
41.390408,3,7.768112
16.228491,4,7.772006
43.093994,3,7.776509
19.822371,100,7.865449
30.667937,4,7.869257
2.71043,3,7.870954
16.228491,4,7.875706
43.800001,3,7.879218
15.017758,100,7.966741
1.151579,14,7.980199
-1.0,37,8.013638
2.71043,3,8.017198
40.359238,9,8.024613
21.244795,3,8.028141
2.713353,3,8.030615
3.173761,59,8.082244
1.209637,3,8.085813
8.904268,4,8.090343
0.0,100,8.178506
2.629973,4,8.182772
21.103591,64,8.238684
40.243009,3,8.242209
0.0,100,8.331162
1.151579,3,8.332863
40.864505,7,8.340018
40.48395,76,8.407435
1.588675,3,8.411761
-1.0,83,8.484206
-0.094774,2,8.485473
0.0,100,8.572627
0.0,100,8.660649
-1.0,22,8.680315
-1.0,98,8.765906
40.930835,18,8.782736
0.0,100,8.870616
6.814592,46,8.909093
39.783405,100,8.997895
0.0,100,9.085648
39.071318,87,9.164468
42.229836,10,9.172758
42.902378,3,9.176276
27.80043,41,9.210678
41.406811,3,9.216934
33.760989,3,9.220249
0.0,100,9.306998
0.0,100,9.356026
40.243009,3,9.357739
0.0,100,9.394682
2.350526,3,9.396276
39.071993,3,9.397928
39.827612,4,9.408808
32.175363,4,9.414111
21.103591,20,9.432321
2.71043,3,9.435951
8.903404,3,9.439529
3.582391,3,9.444045
44.142985,35,9.47358
21.556456,100,9.560593
6.709163,100,9.648276
