#{"t_start": 1752552510.3933659, "env_id": "None"}
r,l,t
22.554071,10,0.055368
14.051812,57,0.165233
9.425709,100,0.254755
38.50532,41,0.293007
2.674545,2,0.296182
0.0,100,0.387671
0.0,100,0.479043
-1.0,5,0.483317
22.6862,3,0.48713
0.0,100,0.596458
20.592758,3,0.599885
9.022348,3,0.602054
40.665449,7,0.609074
31.619239,3,0.613554
0.0,100,0.705024
20.632282,61,0.761842
7.89599,3,0.765396
41.76188,100,0.858549
34.691979,7,0.865942
40.938496,54,0.915129
21.945537,19,0.932779
45.302957,72,0.999532
39.549384,3,1.008832
4.524765,100,1.144146
4.620367,100,1.231626
5.814189,3,1.234184
35.151158,4,1.238545
40.259705,90,1.33731
5.58,100,1.425221
0.434673,100,1.513769
21.229024,100,1.604061
1.005751,3,1.607651
13.896499,3,1.609018
-1.0,43,1.649574
19.764087,100,1.743386
45.49094,3,1.74726
-1.0,57,1.799205
20.623435,2,1.803455
0.0,100,1.893484
15.040357,4,1.897775
35.133298,18,1.913653
12.705907,3,1.91811
10.696631,100,2.009655
-1.0,83,2.085058
44.628857,71,2.151846
7.238568,3,2.156214
5.119064,17,2.170647
21.960422,3,2.174186
18.773509,2,2.177202
44.628678,42,2.21365
8.746486,2,2.216663
4.692023,35,2.246207
2.05496,42,2.284339
21.960422,3,2.289251
44.929699,89,2.36903
0.0,100,2.456697
39.616098,100,2.544303
16.175224,17,2.559516
1.010091,100,2.647032
-1.0,38,2.682486
45.302957,26,2.704159
7.343099,3,2.708275
41.886967,3,2.711802
0.0,100,2.798015
35.133298,76,2.865241
42.654958,61,2.918534
21.22886,100,3.005844
5.083572,4,3.009969
-1.0,40,3.04486
0.0,100,3.134485
25.646447,5,3.13862
21.945537,9,3.145914
-1.0,16,3.159821
14.903637,4,3.16486
3.84,100,3.253174
44.679161,3,3.256664
0.0,100,3.343852
7.341397,3,3.348156
6.694695,100,3.434435
12.227319,2,3.435714
11.29929,100,3.523962
0.0,100,3.611889
7.343099,3,3.61544
2.963487,36,3.650729
7.225539,3,3.65539
3.03717,3,3.659715
43.15252,100,3.747447
52.371901,7,3.752383
0.0,100,3.838989
1.003755,24,3.861012
