#{"t_start": 1752551964.526526, "env_id": "None"}
r,l,t
8.435279,3,0.011057
11.295646,4,0.074259
5.314659,4,0.078212
9.548464,100,0.217087
16.200466,54,0.264338
9.794025,4,0.268974
21.799307,4,0.272888
7.523154,2,0.274033
24.171246,3,0.277439
-1.0,1,0.27873
-0.323626,45,0.316833
4.269573,2,0.319705
0.403906,100,0.406681
-1.0,2,0.40828
0.290457,14,0.420613
0.0,100,0.545647
14.671172,25,0.568036
3.513966,19,0.588091
3.202223,4,0.592268
14.288302,4,0.596429
4.416988,4,0.600636
-1.0,48,0.644159
2.447887,3,0.648349
56.539447,98,0.738504
56.644482,4,0.742535
10.321149,5,0.747268
18.334796,4,0.751215
0.0,100,0.836049
11.444034,18,0.852441
11.295646,4,0.857245
3.626087,5,0.861846
14.800075,4,0.865776
0.0,100,0.953339
45.605968,100,1.07427
5.116219,100,1.163388
0.660316,3,1.166881
60.031874,100,1.269856
25.425535,4,1.274963
19.667347,25,1.321657
27.695125,4,1.325861
-1.0,1,1.326527
8.349332,3,1.331462
-1.0,27,1.35675
0.0,100,1.447936
0.660316,3,1.45158
53.291917,6,1.458865
-1.0,1,1.459526
2.34216,2,1.462513
12.835818,4,1.466427
32.336162,38,1.499797
-0.249507,2,1.502814
5.405016,3,1.50623
5.034645,100,1.591897
23.179975,4,1.59783
5.552178,5,1.602475
22.635495,38,1.633964
11.311857,4,1.637892
1.627734,100,1.723019
2.993265,47,1.765482
11.027342,4,1.770173
14.62638,4,1.77443
2.686685,31,1.805935
0.812899,3,1.809353
14.825015,4,1.81367
8.649971,3,1.815422
8.781801,5,1.824183
-1.0,1,1.824939
3.400826,5,1.829806
0.0,100,1.921794
18.798383,21,1.943298
14.372613,4,1.948238
7.509202,4,1.952584
0.0,100,2.043933
9.883763,43,2.083674
2.710719,5,2.088208
3.765599,17,2.104237
11.926393,100,2.18773
3.531085,2,2.191076
3.531085,2,2.19403
1.360953,5,2.198391
16.451433,5,2.202857
0.0,100,2.288898
0.0,100,2.385918
0.070921,8,2.393247
11.33614,4,2.397048
0.421365,3,2.402542
1.356392,100,2.487529
13.843437,8,2.494671
0.0,100,2.582469
3.626021,5,2.589653
56.647006,4,2.593993
0.072016,83,2.671142
0.0,100,2.763887
5.230931,31,2.79707
0.0,100,2.888781
29.125231,100,2.982715
3.110156,5,2.987246
0.403906,100,3.081207
0.0,100,3.174037
4.824153,5,3.179136
9.734386,47,3.222803
5.213169,5,3.229531
-1.0,62,3.287783
14.372613,4,3.2921
1.416144,32,3.322253
0.0,100,3.417025
0.0,100,3.510839
0.169796,4,3.515326
19.667347,6,3.519941
0.0,100,3.611767
0.0,100,3.699855
17.704276,4,3.704254
22.483278,4,3.708561
12.967509,4,3.714884
-1.0,16,3.729705
-1.0,15,3.744045
0.0,100,3.834628
-1.0,27,3.861915
10.507988,5,3.866397
16.836168,4,3.870643
0.403906,100,3.961956
73.100251,4,3.968646
13.983207,4,3.973328
5.425113,4,3.977644
-0.634557,74,4.043937
1.174859,4,4.050364
35.244557,4,4.054603
2.416144,100,4.140461
-1.0,29,4.166587
1.416144,76,4.232639
3.368051,5,4.237254
0.0,100,4.349583
28.552655,4,4.353812
10.88515,5,4.36106
-1.0,15,4.375263
4.193466,2,4.376595
32.758331,4,4.380797
21.187724,20,4.402878
12.181465,100,4.494528
2.34216,2,4.497514
7.946729,15,4.51249
15.024146,100,4.606382
20.967277,4,4.610832
20.480139,100,4.703078
63.266405,87,4.784088
14.825015,4,4.790666
0.0,100,4.882542
21.807188,4,4.884851
23.102338,100,4.925308
0.0,100,4.965681
14.172258,4,4.967931
0.422551,3,4.981224
0.127665,19,5.000361
15.24567,4,5.004777
1.773563,28,5.032362
-1.0,50,5.079009
0.894539,100,5.17211
4.087807,2,5.174963
53.577466,4,5.18107
3.368182,5,5.185857
15.28822,3,5.189871
21.030976,5,5.194029
11.663786,4,5.199783
77.854813,100,5.285367
3.400826,6,5.292067
12.10518,4,5.296162
11.295646,5,5.302665
1.544855,45,5.343282
6.224912,2,5.346483
1.014353,100,5.435963
14.672022,3,5.439749
22.474157,4,5.443861
7.802075,100,5.531723
0.0,100,5.620053
17.552545,100,5.707702
-1.0,1,5.710189
0.72376,100,5.79528
3.428187,2,5.796527
17.152419,29,5.823385
21.030976,81,5.893603
22.77234,100,5.982065
-0.268044,56,6.029918
16.180298,4,6.036199
19.957382,22,6.054562
4.824153,5,6.059176
30.367654,4,6.063099
0.0,100,6.150531
4.193466,2,6.153634
0.0,100,6.242624
1.072016,100,6.330569
-1.0,73,6.397106
7.247615,73,6.462602
5.475678,6,6.469451
14.288302,4,6.47383
1.014353,100,6.565735
13.556602,3,6.569223
0.0,100,6.655056
3.368219,5,6.65977
-1.0,1,6.662561
10.591654,3,6.666078
0.0,100,6.75291
2.34216,2,6.754104
0.0,100,6.844059
12.10518,4,6.848114
3.368182,5,6.854856
7.9968,4,6.858852
30.059431,4,6.865605
-0.250279,2,6.867123
-1.0,1,6.868032
35.72436,5,6.87594
-0.250279,2,6.880012
28.052128,4,6.886479
17.845623,4,6.89066
19.620013,4,6.89473
11.152642,5,6.901292
14.288302,4,6.905475
1.17015,65,6.964566
8.031673,5,6.968686
8.111914,100,7.056392
0.904489,100,7.144372
10.283797,4,7.148525
13.456666,4,7.152376
11.152642,38,7.187571
4.824786,3,7.191211
7.082933,4,7.195319
26.786036,100,7.284255
14.288302,4,7.290699
54.540519,100,7.377786
8.781801,5,7.382392
15.953224,4,7.386436
17.152419,8,7.395733
11.008863,4,7.399885
0.0,100,7.488814
3.428187,2,7.491883
0.0,100,7.580276
-1.0,1,7.580973
0.40247,100,7.666848
17.93381,5,7.671033
1.544855,72,7.736199
32.203976,11,7.746873
0.0,100,7.836822
-1.0,44,7.875157
11.776256,3,7.880706
-1.0,1,7.881369
0.0,100,7.966945
4.702629,3,7.970434
34.715554,4,7.976376
-0.540435,84,8.049039
3.531085,2,8.050234
12.91649,4,8.05405
0.0,100,8.143178
16.953913,33,8.172393
35.25731,36,8.203596
4.913873,4,8.207232
10.171417,4,8.213335
14.372613,4,8.217754
0.0,100,8.305084
4.824153,5,8.309911
9.632016,4,8.315887
34.06021,4,8.319801
-1.0,87,8.396984
13.463144,8,8.404091
0.912933,71,8.464848
18.08065,4,8.468907
3.150382,5,8.475121
20.034799,4,8.479068
14.672022,3,8.482592
0.660316,8,8.489459
1.395525,54,8.535609
32.481224,4,8.539547
16.451433,7,8.548347
0.0,100,8.632727
8.955809,4,8.636742
11.077581,4,8.640694
0.0,100,8.727621
-0.212441,2,8.728868
0.0,100,8.813145
0.0,100,8.898567
21.798802,49,8.941761
20.519375,4,8.945526
42.999462,4,8.949457
1.174859,4,8.953403
10.283797,4,8.959212
-0.323626,14,8.973803
1.171858,46,9.011876
4.993333,3,9.01558
0.0,100,9.108717
28.08755,3,9.112213
1.171858,4,9.116155
0.660316,41,9.150771
22.77234,100,9.237555
11.077581,15,9.251301
14.887687,4,9.254987
12.835818,4,9.25892
23.609022,4,9.264826
-1.0,30,9.289696
3.368182,5,9.29616
3.918661,3,9.29783
75.476825,20,9.317127
19.197639,4,9.321036
18.947222,89,9.397568
4.824153,5,9.402251
1.171858,4,9.408166
29.861388,5,9.412279
10.507988,5,9.416642
8.955809,5,9.422637
10.88515,5,9.429021
1.950626,100,9.510369
7.9968,4,9.512522
6.123994,2,9.513612
16.451433,5,9.516131
15.28822,3,9.517673
0.4241,4,9.524179
15.202937,4,9.528214
22.338781,6,9.534726
3.150382,5,9.540346
2.544855,100,9.624959
3.331536,3,9.628173
