#{"t_start": 1752553333.1280775, "env_id": "None"}
r,l,t
-1.0,97,0.209326
65.296353,5,0.214101
26.29437,5,0.218724
6.596731,100,0.308393
8.700373,5,0.31305
1.416144,4,0.317139
3.810661,3,0.320767
1.867164,3,0.325206
2.579927,100,0.414995
0.0,100,0.50482
27.677686,5,0.509812
2.209387,100,0.62016
0.494169,54,0.669763
76.82605,90,0.750997
35.680523,43,0.790159
57.838997,100,0.880741
64.671311,37,0.913373
0.127329,33,0.94302
84.770269,90,1.06254
1.275184,12,1.074818
2.867164,100,1.170999
-1.0,25,1.192853
0.0,100,1.295328
0.043629,100,1.389606
5.937742,4,1.394387
81.505023,5,1.399246
2.972363,5,1.406981
83.817107,5,1.412645
34.205407,78,1.484227
0.0,100,1.575526
-0.673173,2,1.578543
1.400183,100,1.66813
3.153745,100,1.75622
0.0,100,1.847883
14.307946,91,1.929724
51.382562,5,1.935359
0.0,100,2.02715
29.383898,53,2.076121
10.370656,6,2.082931
21.746429,48,2.134696
-0.221092,29,2.160622
59.22923,43,2.204245
-1.0,24,2.229309
1.255358,95,2.321061
29.945809,100,2.415984
0.094052,59,2.472085
0.0,100,2.565956
4.498155,4,2.571193
0.12246,52,2.620948
1.257386,94,2.711158
20.950293,4,2.715535
-0.221452,18,2.732067
1.119512,4,2.735942
82.290738,5,2.740629
83.626849,5,2.747372
0.0,100,2.841648
59.419513,5,2.846511
61.748014,4,2.850532
0.741389,69,2.916318
47.430656,5,2.922125
30.747669,6,2.929974
28.507354,100,3.029241
0.0,100,3.125207
1.276362,4,3.130397
27.167088,100,3.221386
0.512117,4,3.225398
88.471513,5,3.230365
4.122828,100,3.325368
0.0,100,3.417657
0.0,100,3.514771
0.0,100,3.606589
12.427837,29,3.635334
0.0,100,3.730651
41.69523,20,3.750647
53.531109,5,3.757
0.0,100,3.850037
22.811403,48,3.895473
5.504301,40,3.934144
1.380068,53,3.981395
81.505023,5,3.986948
79.067063,46,4.029782
0.0,100,4.123151
24.301915,11,4.132158
-1.0,2,4.135849
0.0,100,4.230501
43.657206,100,4.319165
-0.565565,57,4.36989
0.0,100,4.459371
4.323729,96,4.546396
3.728569,72,4.610556
107.745124,5,4.615198
30.329819,3,4.619755
0.0,100,4.708295
6.103438,4,4.712435
16.394137,78,4.784438
50.403851,100,4.891012
2.972363,5,4.893492
5.671477,100,4.931507
2.215562,100,4.968575
0.0,100,5.005817
47.299359,30,5.041524
79.186968,54,5.089043
0.0,100,5.178731
-1.0,36,5.2113
-1.0,38,5.246228
0.0,100,5.336182
1.90976,65,5.396635
21.42814,100,5.492862
0.888994,59,5.551282
0.0,100,5.641518
81.08055,22,5.662471
15.832946,5,5.669437
-1.0,21,5.711438
77.838056,5,5.716384
27.711051,100,5.81331
0.0,100,5.908289
0.0,100,5.99765
2.420991,100,6.088365
0.0,100,6.178468
-1.0,7,6.185233
0.760003,75,6.253431
2.618521,5,6.258356
-1.0,80,6.332279
81.58195,6,6.338721
0.0,100,6.432864
0.350701,96,6.521817
0.0,100,6.617834
0.0,100,6.71367
-1.0,44,6.756902
86.794296,6,6.764448
-1.0,6,6.768935
1.275184,4,6.773386
81.58195,5,6.78123
81.505023,5,6.786132
0.905539,100,6.883906
0.0,100,6.979152
0.0,100,7.074766
76.055681,64,7.136777
1.909767,60,7.194428
-1.0,22,7.214375
0.0,100,7.37041
1.209387,72,7.433863
0.0,100,7.523998
0.781015,100,7.611597
78.752472,5,7.618919
54.797615,100,7.706699
76.056979,7,7.71184
4.482777,24,7.733217
1.417674,5,7.741895
6.860571,5,7.747973
-1.0,39,7.782477
-1.0,18,7.798419
0.741389,69,7.859394
2.341319,100,7.949236
6.047925,4,7.953294
30.077706,6,7.960176
0.0,100,8.051731
0.0,100,8.140321
1.980027,72,8.204173
16.824161,6,8.20896
1.986182,100,8.301642
1.642279,100,8.389742
1.387319,4,8.393845
0.0,100,8.482476
113.60487,6,8.489931
83.910381,6,8.494719
24.855667,44,8.533506
4.015389,92,8.615628
10.207608,100,8.705065
0.0,100,8.794952
4.442639,89,8.876568
86.721683,5,8.881268
62.95547,4,8.886237
13.064432,100,8.978622
0.0,100,9.069553
-0.670447,14,9.081127
-1.0,18,9.09889
2.90976,100,9.188626
3.719247,8,9.196011
78.28964,5,9.200595
69.962756,5,9.205968
0.0,100,9.294
0.0,100,9.384029
-0.221452,70,9.445773
-1.0,30,9.472449
4.634728,4,9.476539
-1.0,26,9.500239
82.073394,100,9.591633
42.578343,95,9.678311
0.0,100,9.734103
84.184631,5,9.736859
108.742505,100,9.774897
29.657331,5,9.777488
83.474245,100,9.815391
