#{"t_start": 1752552230.0300684, "env_id": "None"}
r,l,t
-0.729687,66,0.164438
0.229806,100,0.250657
-0.575951,44,0.28914
-0.67155,2,0.290366
0.0,100,0.37676
15.704185,2,0.380028
15.375712,14,0.391676
5.514499,100,0.479297
0.0,100,0.584858
0.270313,100,0.676925
-0.72054,2,0.680007
-0.212441,24,0.701072
3.916292,48,0.742902
0.0,100,0.828902
-1.0,84,0.900955
0.27946,100,0.987096
0.330453,100,1.0731
0.0,100,1.160382
-1.0,52,1.205519
6.293771,38,1.236673
0.0,100,1.375697
-0.729687,3,1.379946
-0.575951,33,1.408932
0.27946,100,1.507907
-1.0,82,1.58184
0.0,100,1.6691
-1.0,66,1.725357
0.0,100,1.812226
0.0,100,1.90022
-0.665361,14,1.913659
0.0,100,2.001571
19.922424,25,2.023143
0.0,100,2.110299
6.298945,61,2.164188
0.0,100,2.25134
18.630335,53,2.299387
-0.768665,71,2.361428
0.062601,17,2.377264
0.0,100,2.468197
2.28048,60,2.526123
0.0,100,2.614469
5.514499,100,2.701391
6.32493,15,2.713133
0.0,100,2.799892
2.650807,93,2.883919
-1.0,51,2.927989
-0.729687,3,2.931593
-0.665361,29,2.955921
0.0,100,3.044961
14.60742,100,3.132283
0.0,100,3.220481
3.398724,2,3.223664
0.0,100,3.311934
0.062601,43,3.349482
5.870307,3,3.350826
-0.768665,3,3.355253
-1.0,60,3.412923
0.0,100,3.500076
-0.72054,2,3.503139
0.755828,100,3.589264
0.339766,100,3.67787
-0.665361,2,3.679074
-0.575951,14,3.692411
-1.0,30,3.719737
-1.0,18,3.736756
6.322272,13,3.74766
-0.575951,16,3.761944
0.32845,100,3.850069
0.0,100,3.937926
18.798106,50,3.98131
2.650807,53,4.028226
2.28048,16,4.04224
6.991554,100,4.131501
4.514499,3,4.133016
6.991554,100,4.224525
-0.729687,3,4.227902
0.0,100,4.317029
0.339766,100,4.403157
-0.770194,36,4.434795
-0.665361,2,4.437841
-0.775454,18,4.453303
-0.665361,2,4.45635
-0.67155,41,4.492133
-0.768665,58,4.541841
-1.0,28,4.568506
0.334639,100,4.634343
14.292966,2,4.635464
0.330453,100,4.672749
0.0,100,4.709935
0.0,100,4.746821
3.398724,4,4.759021
0.224546,100,4.846361
2.28048,57,4.898265
4.916292,100,4.98741
0.424049,100,5.077031
0.0,100,5.164717
23.300733,11,5.173589
-0.770194,21,5.193927
16.984244,3,5.195501
-0.665361,2,5.198508
-0.208907,15,5.212001
3.398724,43,5.248688
-1.0,11,5.258512
0.330453,100,5.348217
1.062601,100,5.436412
-0.665361,2,5.440369
-0.243407,81,5.529824
-1.0,65,5.58472
-0.665361,17,5.598948
-0.660234,2,5.602779
-0.729687,3,5.606657
-0.276755,87,5.680981
2.752961,5,5.686576
6.889999,100,5.77378
-0.729687,3,5.775511
0.0,100,5.863464
2.781356,3,5.866808
-1.0,23,5.887977
-0.212441,8,5.89522
0.0,100,5.980449
2.28048,12,5.990986
-0.770194,2,5.992913
3.916292,2,5.99774
16.984244,27,6.020978
-0.72054,3,6.022687
-0.665361,3,6.026895
0.0,100,6.147812
0.0,100,6.235189
-0.665361,2,6.238277
-0.72054,3,6.240883
20.403085,2,6.243864
12.088089,100,6.330527
-1.0,37,6.361687
-0.67155,45,6.400812
-1.0,1,6.403254
-0.575951,2,6.404418
15.615112,16,6.418461
-0.67155,11,6.429092
0.0,100,6.51612
-1.0,80,6.585261
6.298945,26,6.606508
-1.0,62,6.661413
-1.0,6,6.666666
2.752961,2,6.669713
0.0,100,6.756369
24.300733,100,6.844676
0.0,100,6.93267
-0.276755,2,6.933624
