#{"t_start": 1752553411.3522577, "env_id": "None"}
r,l,t
1.417674,4,0.021731
112.94077,100,0.185366
68.002331,100,0.276572
1.395525,4,0.281628
59.465445,100,0.372827
1.121517,100,0.462356
19.940226,100,0.568302
0.0,100,0.660661
-1.0,29,0.688126
62.630643,33,0.717356
-0.664364,33,0.746547
-1.0,25,0.768872
46.392506,100,0.859492
-1.0,87,0.9368
0.397569,24,0.95902
1.399401,45,0.99884
45.477309,100,1.122094
86.236699,36,1.154745
0.0,100,1.246325
10.596339,44,1.309172
2.848526,4,1.31655
-0.218985,2,1.319879
22.230686,54,1.365886
66.682778,5,1.374047
92.598269,5,1.379765
15.37089,100,1.467559
20.371705,100,1.556724
10.99938,3,1.562727
17.812087,100,1.651815
0.0,100,1.741696
30.091132,7,1.747021
-0.551743,16,1.763337
0.0,100,1.851141
21.953368,5,1.857604
0.0,100,1.946903
1.466682,4,1.953211
19.483348,27,1.975589
1.672931,100,2.066071
7.582558,4,2.070208
1.505928,100,2.162778
0.0,100,2.252463
23.585331,100,2.349833
22.175207,30,2.377249
37.338501,53,2.426245
-1.0,15,2.440259
2.464675,34,2.470417
0.0,100,2.560464
0.0,100,2.651853
0.652167,100,2.740928
1.660316,100,2.828778
61.954482,5,2.835324
0.0,100,2.925521
21.863576,5,2.930155
0.0,100,3.022016
-1.0,83,3.096884
2.231033,16,3.113096
0.0,100,3.20381
29.813912,5,3.2085
85.55062,5,3.213113
39.627514,5,3.219679
1.735563,100,3.309234
64.286958,62,3.366928
0.0,100,3.456375
0.751653,100,3.562811
77.677434,5,3.56743
0.78149,2,3.570489
0.0,100,3.660083
0.0,100,3.753168
15.360571,4,3.757303
74.654875,6,3.762113
57.048296,4,3.766356
0.0,100,3.859939
1.326673,4,3.864053
4.561154,56,3.915933
10.666125,5,3.920583
3.022333,3,3.926286
4.439441,3,3.929892
25.430903,63,3.986696
4.401307,75,4.053562
66.225627,6,4.062498
12.464873,5,4.06689
4.214979,100,4.158802
20.534435,100,4.248799
92.258295,6,4.257587
0.0,100,4.347198
0.731757,100,4.438289
0.660316,23,4.457302
7.799583,100,4.549811
0.0,100,4.64046
-1.0,100,4.730604
20.195482,100,4.779773
0.0,100,4.817233
0.0,100,4.854762
0.0,100,4.894148
17.914251,100,4.932911
23.884209,68,5.002367
83.164245,91,5.087778
75.051926,27,5.112542
4.75692,5,5.11686
11.400027,5,5.121376
0.0,100,5.213483
95.387851,18,5.231566
0.0,100,5.319254
37.338501,55,5.36962
0.0,100,5.460102
-1.0,76,5.531512
4.723213,4,5.535628
4.723213,4,5.539676
7.949198,4,5.545786
4.683918,100,5.635822
54.280641,6,5.640956
16.685723,39,5.678144
2.35098,100,5.76978
31.244861,5,5.774382
3.098369,100,5.863556
1.326673,4,5.8677
3.878895,43,5.909314
67.458627,34,5.939447
-1.0,40,5.975998
6.942766,5,5.982478
0.0,100,6.072416
-1.0,75,6.140887
2.231033,21,6.160841
98.302635,6,6.165587
0.0,100,6.258613
-1.0,1,6.259396
27.210814,5,6.265645
0.0,100,6.353943
72.130679,5,6.360757
16.780332,100,6.449253
69.434164,5,6.454046
35.238909,3,6.457654
0.0,100,6.550538
53.969208,5,6.555208
50.293293,5,6.559734
0.0,100,6.6493
4.016983,20,6.669279
82.893465,6,6.676305
74.892936,5,6.681297
92.174431,5,6.685669
-1.0,56,6.739534
22.175207,5,6.746127
1.077096,100,6.837991
25.100499,1,6.839012
15.049501,100,6.932447
0.755828,100,7.023603
79.434976,100,7.113152
0.0,100,7.201549
1.009334,2,7.20491
0.0,100,7.295809
41.072189,5,7.302463
10.111223,5,7.307049
83.119872,5,7.314153
16.903744,52,7.361788
37.705038,46,7.403942
3.308856,3,7.405327
12.280468,5,7.413197
96.941044,5,7.417765
18.252989,64,7.500148
6.298578,4,7.504243
67.281741,5,7.51085
0.894539,100,7.60015
1.735563,100,7.689542
6.206005,4,7.693637
3.810661,81,7.767528
24.093481,30,7.795166
4.637529,4,7.799819
62.704138,6,7.804658
0.756593,100,7.898341
-1.0,68,7.9586
1.416144,4,7.962775
1.417674,4,7.966805
0.755828,100,8.06005
1.981258,11,8.071194
60.239528,38,8.109469
0.0,100,8.208634
41.523454,53,8.263016
0.887111,10,8.271916
-1.0,41,8.313122
-1.0,57,8.371527
-1.0,11,8.385504
25.430903,2,8.387151
53.969208,7,8.395192
43.795265,5,8.400187
26.054356,81,8.483515
41.255463,5,8.490517
-1.0,11,8.50021
60.653176,38,8.54006
9.027629,4,8.546303
-1.0,11,8.556715
4.097169,4,8.561117
0.0,100,8.657871
0.0,100,8.752262
33.228051,100,8.846146
-1.0,86,8.929367
2.480877,100,9.025026
-1.0,29,9.055283
10.017484,100,9.147864
28.634989,6,9.155227
17.681768,5,9.160271
28.906487,5,9.16697
4.401307,27,9.191329
32.221679,35,9.22411
1.416144,4,9.22834
22.716402,4,9.234476
61.137103,5,9.239637
86.675354,5,9.244251
67.779046,5,9.250839
78.542526,48,9.296904
18.621947,11,9.305313
-0.243407,97,9.395292
40.543573,5,9.399929
65.23925,5,9.406554
13.082859,8,9.414353
37.479287,3,9.417964
1.190747,10,9.425881
80.051445,5,9.434302
14.04887,100,9.522268
0.0,100,9.611321
2.055893,100,9.681118
4.251645,100,9.718813
55.847102,5,9.721305
28.642607,4,9.72336
3.098369,100,9.761117
1.393982,6,9.775341
0.0,100,9.864699
22.386037,46,9.90397
74.870471,5,9.910744
0.751653,100,9.998143
5.386942,4,10.004426
30.949681,4,10.008547
24.40598,5,10.013217
77.330535,5,10.017554
4.434421,4,10.023592
1.398906,4,10.027701
1.326673,4,10.031803
-1.0,54,10.080947
12.464873,69,10.143576
-1.0,47,10.185696
83.646341,5,10.190433
17.764361,100,10.279692
0.774778,100,10.370004
1.398906,4,10.374158
82.514602,6,10.379172
-1.0,17,10.396341
111.648934,5,10.403105
4.190852,4,10.406878
0.652167,100,10.495896
0.0,100,10.585428
16.357347,5,10.592168
20.45004,5,10.596793
0.0,100,10.685114
60.953235,4,10.689316
43.813506,4,10.696389
92.301026,5,10.702909
20.467647,6,10.707721
30.091132,7,10.715372
0.0,100,10.808472
10.78308,5,10.813102
88.5834,28,10.837755
78.447276,7,10.846207
88.835862,5,10.852732
63.495867,6,10.859504
0.0,100,10.950001
17.54675,50,10.994334
-0.347833,35,11.02814
37.614853,5,11.032743
4.186422,98,11.120788
0.0,100,11.208378
10.441988,5,11.215008
-0.220775,80,11.285514
40.351843,3,11.289107
44.190632,6,11.293848
23.914057,6,11.302647
27.839014,5,11.307302
0.0,100,11.396997
36.954157,6,11.401733
22.739441,13,11.417102
2.424238,3,11.418895
0.0,100,11.507953
11.529017,100,11.598535
65.23925,5,11.607217
56.328262,5,11.613468
43.813506,4,11.617615
1.466682,85,11.69421
0.0,100,11.787882
88.815857,6,11.794684
0.660316,40,11.830307
10.78308,5,11.83497
77.226742,5,11.841627
0.0,100,11.92898
63.835297,8,11.936928
10.666125,5,11.94171
49.162153,5,11.949962
3.222495,89,12.029764
1.466682,4,12.033894
74.870471,5,12.038511
3.481208,19,12.058699
4.637529,4,12.062835
27.571947,5,12.067416
1.395525,4,12.071614
16.536982,52,12.12056
0.756593,100,12.2098
-1.0,36,12.242033
29.813912,5,12.246659
65.23925,6,12.255389
62.73136,4,12.259516
14.671172,39,12.294923
21.636495,6,12.299747
-1.0,21,12.319738
0.64426,51,12.365586
1.393982,5,12.369895
12.464366,5,12.377493
4.00351,4,12.383579
3.848526,100,12.474377
3.41375,4,12.478606
78.855606,5,12.483289
1.316471,5,12.48979
-1.0,20,12.508869
68.76113,100,12.598045
57.599231,4,12.602351
0.590567,38,12.640095
69.41521,5,12.644487
25.822115,5,12.649092
0.0,100,12.737707
63.495867,5,12.744525
81.532684,5,12.750828
10.666125,5,12.755438
82.514602,5,12.760181
15.843007,5,12.766721
6.942766,5,12.77316
4.591307,5,12.777821
18.95858,5,12.782442
55.784063,5,12.788843
75.719592,5,12.795631
0.0,100,12.884302
28.284502,71,12.94646
37.780932,4,12.953349
0.661081,60,13.006348
-1.0,30,13.033255
0.0,100,13.120352
1.48887,100,13.210383
18.299841,6,13.215245
0.0,100,13.305075
28.996019,5,13.311697
0.0,100,13.402856
16.264148,100,13.491993
-0.249507,19,13.507495
26.904831,6,13.51421
3.122302,3,13.519859
34.115409,5,13.524478
3.878895,4,13.528924
84.234736,5,13.533499
1.299585,4,13.539363
4.186422,16,13.55355
3.296078,89,13.632262
73.604657,44,13.672824
9.768315,6,13.681788
22.716402,4,13.685875
45.944469,5,13.690491
0.647253,68,13.752117
0.64426,3,13.757797
0.0,100,13.847009
43.272417,6,13.851804
0.590567,2,13.854924
92.987701,40,13.893226
4.00351,5,13.897518
0.0,100,13.986377
89.738105,6,13.993071
0.0,100,14.084794
9.642293,5,14.089437
-0.220775,39,14.130602
0.0,100,14.218898
0.0,100,14.309444
60.277559,5,14.314124
3.887808,3,14.317439
12.141648,5,14.374246
1.416144,4,14.376331
73.427057,5,14.378885
0.0,100,14.416639
0.0,100,14.454071
44.190632,6,14.464701
3.878895,4,14.470716
12.655365,5,14.475983
4.561154,4,14.480418
101.198206,5,14.485305
4.791761,4,14.490638
81.654167,5,14.498157
42.777148,5,14.503132
2.665744,90,14.58631
3.41375,4,14.593096
0.64426,3,14.597076
3.214979,75,14.672529
0.692048,3,14.676486
7.178239,5,14.683505
7.743989,69,14.749373
12.370861,5,14.753809
60.431692,5,14.76089
74.725552,5,14.768126
0.0,100,14.865467
4.401307,4,14.8699
25.78178,5,14.874855
0.0,100,14.972163
80.202971,5,14.977039
-0.244172,61,15.044651
0.335636,100,15.141111
0.0,100,15.239002
1.416144,4,15.243543
37.379843,4,15.247693
