#{"t_start": 1752552660.2758808, "env_id": "None"}
r,l,t
0.0,100,0.193228
0.0,100,0.283928
-1.0,17,0.300668
0.0,100,0.38929
-1.0,40,0.425072
40.554988,5,0.429117
36.956788,3,0.432732
4.4622,100,0.542378
6.726686,4,0.547606
0.983884,28,0.573146
3.056723,100,0.662371
1.373647,3,0.664156
-0.555425,86,0.745068
-1.0,58,0.79604
-1.0,30,0.823421
2.605905,4,0.827651
-1.0,16,0.842984
1.845434,100,0.932823
36.301478,3,0.936506
2.168921,2,0.937692
34.34466,4,0.942746
24.030302,28,0.96966
6.12415,4,0.974002
-0.296176,3,0.977663
-0.309023,4,0.982429
31.729822,3,0.986067
1.373647,3,0.987818
0.0,100,1.115304
0.0,100,1.206559
0.0,100,1.312209
4.204354,3,1.315937
24.56108,4,1.322316
4.275066,3,1.32691
1.233664,100,1.416903
2.882996,25,1.439156
0.0,100,1.5295
0.0,100,1.619469
17.764804,84,1.69604
36.798195,37,1.729257
0.0,100,1.818733
2.168921,9,1.829487
1.212691,100,1.919641
-1.0,76,1.989245
6.404647,82,2.063474
50.598688,3,2.068107
2.131649,7,2.075397
3.34027,18,2.091271
38.144384,4,2.095605
0.684087,3,2.100031
2.589393,30,2.125528
0.0,100,2.224432
18.607736,100,2.312827
38.273891,82,2.387983
7.488064,37,2.420614
17.921399,26,2.446644
52.711359,38,2.480521
-1.0,1,2.481748
0.0,100,2.574586
0.0,100,2.665242
3.283288,92,2.747149
0.0,100,2.838003
39.749224,3,2.841698
0.0,100,2.932136
0.0,100,3.021711
0.0,100,3.113671
0.212691,3,3.117564
43.113855,100,3.209132
2.882996,3,3.212821
2.518739,100,3.30287
0.0,100,3.391907
40.288015,8,3.399348
1.261,2,3.400543
1.663265,100,3.491741
-1.0,17,3.506655
2.605905,5,3.513238
0.684087,3,3.514959
4.513026,67,3.577447
21.525959,3,3.581185
0.0,100,3.672112
4.687219,45,3.712315
-1.0,1,3.713803
0.0,100,3.805089
-0.224462,60,3.859733
0.0,100,3.951202
0.0,100,4.048047
23.947209,37,4.084936
22.224699,3,4.08668
2.975332,100,4.17774
35.54892,6,4.185329
-1.0,1,4.185743
40.351829,4,4.189552
-1.0,54,4.239151
0.0,100,4.329467
0.490227,3,4.331298
37.076515,34,4.363452
1.321148,32,4.392385
2.131649,2,4.394351
3.772492,75,4.463087
0.0,100,4.55294
8.678917,100,4.643354
36.153623,3,4.647979
-1.0,1,4.648654
38.315657,100,4.739103
13.018584,3,4.752178
6.726686,4,4.754307
0.0,100,4.792783
2.882996,3,4.794369
0.0,100,4.832675
-1.0,68,4.901803
17.921399,17,4.919891
0.0,100,5.017482
0.0,100,5.11539
38.200212,3,5.117368
38.311724,16,5.135509
2.089768,50,5.185657
3.34027,3,5.189336
3.34027,81,5.269867
0.97836,82,5.350692
-0.433477,55,5.405632
9.531253,25,5.429206
39.799719,57,5.4866
0.663265,23,5.509777
2.454685,38,5.548605
-1.0,38,5.584106
0.0,100,5.67121
0.97836,14,5.686777
2.975332,100,5.774447
3.054033,19,5.7921
24.030302,10,5.800792
4.34027,100,5.891528
2.741389,3,5.895152
0.0,100,5.986085
36.153623,3,5.989735
2.947558,3,5.993541
2.006135,37,6.028557
0.0,100,6.115988
0.0,100,6.206582
-1.0,14,6.219904
0.661081,3,6.223466
7.894336,60,6.27689
36.535369,3,6.280452
38.699131,4,6.286069
0.661081,4,6.289785
0.404206,100,6.380094
40.133619,40,6.415746
0.0,100,6.504143
-0.304398,4,6.507944
36.153623,3,6.509781
-1.0,52,6.555338
6.59224,57,6.609666
2.882996,3,6.611404
41.453943,4,6.615193
-1.0,64,6.673276
3.34027,4,6.679683
37.153208,3,6.683591
0.0,100,6.773241
40.554988,3,6.777512
0.0,100,6.868861
-1.0,50,6.912565
3.36982,43,6.950837
35.866806,10,6.961065
0.0,100,7.051543
38.200212,3,7.053263
1.975332,3,7.056829
-1.0,76,7.128551
0.0,100,7.218103
0.0,100,7.306753
0.0,100,7.396562
38.97399,4,7.400341
14.322319,3,7.406106
-0.309023,4,7.409953
3.054033,51,7.457236
3.355726,3,7.458944
3.68613,47,7.503668
37.241021,3,7.507232
8.678917,100,7.594642
37.203687,3,7.598737
38.511819,3,7.602388
0.97836,39,7.639547
37.454389,3,7.643293
36.153623,4,7.647187
39.630466,3,7.653294
0.0,100,7.742862
38.144384,3,7.744558
2.887697,38,7.780332
14.228029,65,7.841496
-0.304398,80,7.915219
0.0,100,8.006392
3.270767,4,8.010624
36.535369,3,8.016295
2.764477,3,8.020052
