#{"t_start": 1752551787.6683745, "env_id": "None"}
r,l,t
12.019446,71,0.275315
10.393631,39,0.309565
19.511386,43,0.34756
17.683058,100,0.432221
0.0,100,0.555992
8.567622,52,0.636576
12.019446,12,0.649392
16.683058,16,0.664323
0.0,100,0.753379
20.511386,100,0.851778
18.453952,87,0.927037
-1.0,18,0.943266
0.624722,100,1.029925
8.567622,66,1.08466
-1.0,36,1.116345
0.0,100,1.211488
0.0,100,1.333447
0.0,100,1.419384
19.511386,38,1.453651
-0.375278,88,1.529939
19.511386,85,1.60559
12.019446,4,1.609581
0.0,100,1.708099
0.0,100,1.795094
15.673979,95,1.876169
0.0,100,1.960501
16.673979,100,2.046346
8.567622,2,2.047599
16.683058,3,2.050772
9.719155,3,2.054261
15.673979,2,2.056327
0.0,100,2.142978
0.0,100,2.234429
15.673979,2,2.237459
15.673979,92,2.317066
10.393631,45,2.355954
0.0,100,2.442792
-0.375278,97,2.524302
15.673979,2,2.528061
-1.0,1,2.528717
9.719155,48,2.570013
9.719155,3,2.573484
9.719155,3,2.577671
15.673979,2,2.578865
0.0,100,2.674515
18.0,100,2.761239
-0.375278,6,2.76779
10.393631,46,2.808202
9.719155,51,2.851529
-1.0,35,2.881335
15.673979,44,2.919899
8.567622,2,2.921128
-1.0,1,2.921776
10.393631,48,2.962804
-1.0,59,3.012978
17.0,21,3.030183
12.019446,2,3.033076
16.683058,3,3.036438
0.0,100,3.12331
-1.0,1,3.124021
19.511386,4,3.127507
0.0,100,3.211736
-1.0,1,3.213227
15.673979,2,3.216139
19.511386,2,3.217289
10.393631,2,3.220219
8.567622,2,3.222067
10.393631,3,3.2257
10.393631,4,3.229342
0.0,100,3.315111
18.0,100,3.402058
10.393631,3,3.405712
12.019446,44,3.445721
-1.0,1,3.446461
-0.375278,36,3.477618
0.624722,100,3.562889
18.453952,8,3.569829
0.0,100,3.655934
10.393631,2,3.6581
-0.375278,94,3.738539
16.683058,3,3.74195
0.0,100,3.827659
9.567622,100,3.914853
18.453952,2,3.91615
10.393631,2,3.919091
10.393631,2,3.920258
-1.0,88,3.998986
0.0,100,4.08478
-1.0,1,4.085506
9.719155,4,4.089427
-1.0,1,4.0927
-1.0,30,4.117459
10.393631,3,4.12103
-1.0,87,4.195289
13.019446,100,4.283078
0.0,100,4.36977
0.0,100,4.455343
-1.0,27,4.477193
0.624722,100,4.565202
16.673979,100,4.655155
12.019446,64,4.709059
19.511386,2,4.71225
0.0,100,4.751956
0.0,100,4.789955
0.0,100,4.827579
17.683058,100,4.865032
17.683058,100,4.902622
0.0,100,4.996076
19.511386,2,4.999094
10.393631,2,5.000355
10.719155,100,5.127039
17.683058,100,5.212521
0.0,100,5.298486
8.567622,9,5.306894
8.567622,82,5.375347
19.453952,100,5.460272
0.0,100,5.545654
0.0,100,5.631356
15.673979,66,5.70331
15.673979,89,5.786711
19.453952,100,5.873238
8.567622,34,5.900771
10.393631,2,5.903763
0.0,100,5.987693
-1.0,7,5.99439
8.567622,2,5.995579
15.673979,94,6.076739
12.019446,65,6.132801
0.0,100,6.219047
12.019446,23,6.239115
0.0,100,6.323857
15.673979,41,6.358601
9.719155,9,6.365946
10.393631,4,6.369572
10.393631,3,6.373034
0.0,100,6.458095
10.393631,69,6.517883
10.393631,42,6.555498
0.0,100,6.642566
19.453952,100,6.734882
0.0,100,6.821225
10.393631,2,6.822522
-1.0,94,6.903706
10.719155,100,6.99656
0.0,100,7.08688
8.567622,20,7.104376
10.393631,62,7.158396
-1.0,35,7.190489
-1.0,61,7.244646
12.019446,35,7.277097
0.0,100,7.367789
17.0,10,7.37691
12.019446,84,7.449575
12.019446,69,7.511312
0.0,100,7.59828
15.673979,92,7.684744
8.567622,2,7.686135
0.0,100,7.776326
8.567622,11,7.788138
0.0,100,7.877326
-1.0,22,7.895906
0.624722,100,7.985867
-1.0,32,8.015379
0.0,100,8.106848
0.0,100,8.196283
0.0,100,8.28476
-1.0,35,8.316526
12.019446,2,8.320437
8.567622,11,8.328567
