#{"t_start": 1752553343.1842723, "env_id": "None"}
r,l,t
0.0,100,0.1226
-0.407075,57,0.175585
-0.407075,40,0.211323
-0.407075,34,0.241009
-1.0,69,0.303442
0.0,100,0.392868
0.592925,100,0.480343
-0.407075,82,0.574951
0.0,100,0.663001
0.592925,100,0.751953
0.592925,100,0.878474
1.37014,100,0.970792
0.592925,100,1.063383
-0.407075,54,1.112095
0.37014,10,1.121843
0.592925,100,1.21344
0.592925,100,1.315791
0.0,100,1.403833
-1.0,21,1.422055
0.592925,100,1.511467
0.0,100,1.6006
0.592925,100,1.689487
0.592925,100,1.77791
-0.407075,73,1.847847
0.0,100,1.93739
-1.0,95,2.028952
0.592925,100,2.117218
0.0,100,2.206842
-1.0,46,2.249147
0.592925,100,2.337966
-0.407075,76,2.405398
0.0,100,2.494497
-1.0,46,2.536565
0.592925,100,2.624167
0.37014,31,2.652386
1.37014,100,2.74186
1.37014,100,2.831845
-1.0,78,2.90221
-0.407075,79,2.974545
0.37014,96,3.060268
-0.407075,80,3.132279
0.37014,78,3.203352
-0.407075,10,3.211494
1.37014,100,3.302554
0.37014,13,3.313974
-1.0,46,3.357194
1.37014,100,3.445863
1.37014,100,3.536127
0.592925,100,3.626353
0.37014,5,3.630532
-1.0,21,3.648547
1.37014,100,3.742271
-0.407075,22,3.76346
0.37014,27,3.789362
-0.407075,18,3.804311
-1.0,13,3.81782
1.37014,100,3.90812
-1.0,14,3.921573
-1.0,66,3.981035
1.37014,100,4.072714
0.0,100,4.165807
0.37014,54,4.214406
-1.0,34,4.243752
-0.407075,63,4.301106
0.592925,100,4.391821
-1.0,25,4.41389
-0.407075,19,4.431541
-1.0,24,4.453168
1.37014,100,4.542467
0.592925,100,4.735386
0.592925,100,4.773757
0.0,100,4.811844
0.592925,100,4.851003
0.0,100,4.892204
-0.407075,57,4.956551
0.0,100,5.051701
-1.0,20,5.070419
0.0,100,5.160812
0.37014,76,5.235371
1.37014,100,5.325605
-0.407075,89,5.406832
-1.0,92,5.490674
0.592925,100,5.581068
1.37014,100,5.694543
-1.0,4,5.699175
-0.407075,48,5.742079
-0.407075,31,5.774249
-1.0,14,5.787189
1.37014,100,5.909204
0.592925,100,6.004504
0.37014,11,6.015316
0.592925,100,6.105101
-1.0,96,6.192616
-1.0,3,6.196779
0.0,100,6.293693
1.37014,100,6.391378
0.0,100,6.483928
0.37014,42,6.522922
0.37014,45,6.563112
-0.407075,44,6.604688
-1.0,2,6.60845
-0.407075,55,6.658135
-1.0,93,6.742527
-0.407075,81,6.815671
0.0,100,6.906435
