#{"t_start": 1752553083.738916, "env_id": "None"}
r,l,t
43.875865,5,0.168968
12.607214,28,0.19441
59.814483,56,0.245908
0.0,100,0.3346
-1.0,1,0.335323
35.479115,5,0.339872
8.716781,3,0.343577
0.0,100,0.43511
-1.0,78,0.505551
85.646415,5,0.530242
0.571069,3,0.531739
34.529576,5,0.540601
48.481668,5,0.545405
8.234,4,0.549508
7.267246,100,0.637183
37.457751,100,0.731654
0.0,100,0.820542
61.306437,100,0.908287
-1.0,23,0.929891
11.666015,5,0.936256
-0.457723,73,1.000886
62.583938,9,1.01623
22.361053,21,1.062648
49.948027,7,1.069026
3.678257,41,1.107088
35.45721,4,1.111147
-1.0,2,1.112044
0.801173,100,1.200673
0.0,100,1.290578
53.580241,5,1.306906
0.0,100,1.399855
0.0,100,1.492213
58.56213,91,1.575337
0.0,100,1.664514
0.0,100,1.752244
0.0,100,1.841645
4.242469,30,1.869942
0.576088,4,1.873754
2.423597,100,1.96525
0.0,100,2.057045
12.258731,87,2.137776
62.367762,5,2.144285
31.402626,100,2.232686
10.299519,3,2.236566
0.224247,3,2.240181
0.0,100,2.327497
30.632659,3,2.331107
15.306764,5,2.338234
54.432932,6,2.347718
2.534688,100,2.437254
7.347149,5,2.441849
0.0,100,2.534267
61.505904,32,2.562779
86.866063,5,2.5674
15.502511,64,2.624796
7.948544,5,2.630898
11.312131,4,2.634915
41.908955,5,2.641287
27.145292,4,2.645299
70.502463,5,2.651704
30.952627,5,2.656283
55.963019,5,2.660993
17.724429,100,2.750226
31.12457,10,2.762513
5.839215,3,2.76612
22.232825,5,2.770637
0.963017,69,2.833815
-1.0,12,2.846612
-0.161727,4,2.850768
8.590637,100,2.969396
69.618204,6,2.982683
23.563623,5,2.988396
19.288911,5,2.993412
-0.530603,3,2.997047
0.0,100,3.283532
21.322353,6,3.289817
45.281545,5,3.296417
2.934536,2,3.297713
75.051639,5,3.302243
73.951968,5,3.309588
3.147154,96,3.398394
11.903589,4,3.402933
0.0,100,3.505905
0.0,100,3.598352
1.196906,88,3.681081
17.608085,6,3.686113
10.324393,4,3.690705
72.599109,5,3.69669
2.537996,89,3.783111
23.075757,5,3.787453
0.0,100,3.879729
40.877005,5,3.885329
19.953125,6,3.892382
3.545698,59,3.943223
55.25368,5,3.949891
1.080442,3,3.952444
23.79767,3,3.956084
2.256977,100,4.049862
8.238751,5,4.054497
23.965704,4,4.059471
10.90408,8,4.066564
72.37113,5,4.073161
1.792935,4,4.077293
61.685693,6,4.082795
24.442725,5,4.087466
11.530531,3,4.091054
7.347149,5,4.095731
21.547419,5,4.102884
39.563251,66,4.162777
5.309883,91,4.252895
0.339996,100,4.349275
68.289974,6,4.355499
32.634896,5,4.362402
36.587077,5,4.367252
11.903589,4,4.37134
23.610397,5,4.376605
