#{"t_start": 1752551704.5688283, "env_id": "None"}
r,l,t
0.0,100,0.218348
37.273675,100,0.310693
0.0,100,0.397893
0.0,100,0.484913
0.0,100,0.643152
11.828333,74,0.762681
12.828333,100,0.852901
0.0,100,0.939871
11.828333,28,0.964441
-0.341316,43,1.002242
-0.341316,60,1.055302
12.828333,100,1.147601
-1.0,1,1.148391
11.828333,95,1.23107
-0.341316,82,1.306935
11.828333,58,1.364562
11.828333,3,1.366352
36.273675,77,1.434864
-0.341316,98,1.518924
-1.0,62,1.573691
11.828333,2,1.575047
11.828333,3,1.578606
-1.0,2,1.580672
-1.0,75,1.648064
0.0,100,1.735369
-0.341316,6,1.741404
11.828333,4,1.754728
11.828333,63,1.819585
12.828333,100,1.905448
-1.0,1,1.907895
12.828333,100,1.994737
11.828333,24,2.015659
11.828333,20,2.032776
-0.341316,13,2.045176
22.970018,63,2.099603
12.828333,100,2.186311
11.828333,56,2.235188
36.273675,89,2.310382
-1.0,25,2.332978
22.970018,14,2.350238
12.828333,100,2.438169
11.828333,61,2.490853
12.828333,100,2.576784
12.828333,100,2.663582
11.828333,10,2.671506
-0.341316,27,2.694826
12.828333,100,2.784647
0.658684,100,2.870955
0.0,100,2.956536
0.0,100,3.043875
12.828333,100,3.133085
-1.0,91,3.212967
11.828333,50,3.255009
12.828333,100,3.343497
11.828333,67,3.404738
-0.341316,82,3.477267
11.828333,38,3.508603
11.828333,90,3.586145
0.0,100,3.671484
36.273675,35,3.699996
12.828333,100,3.788937
11.828333,88,3.863832
36.273675,32,3.892095
12.828333,100,3.977659
11.828333,18,3.996591
11.828333,30,4.020682
11.828333,60,4.072179
12.828333,100,4.161185
0.0,100,4.272479
36.273675,14,4.285541
-1.0,52,4.330739
22.970018,43,4.367496
0.0,100,4.452578
0.0,100,4.543817
11.828333,5,4.549616
-1.0,22,4.568966
12.828333,100,4.653868
-1.0,15,4.667268
11.828333,5,4.672078
0.0,100,4.730636
0.0,100,4.768418
12.828333,100,4.806243
0.0,100,4.843421
0.0,100,4.880371
11.828333,49,4.930443
36.273675,49,4.974331
12.828333,100,5.064336
11.828333,83,5.135743
12.828333,100,5.221557
11.828333,98,5.303276
22.970018,9,5.310763
-0.341316,27,5.335125
-1.0,47,5.377978
12.828333,100,5.465367
12.828333,100,5.551691
11.828333,57,5.602004
11.828333,77,5.708216
36.273675,59,5.761767
-0.341316,59,5.812536
12.828333,100,5.903566
0.0,100,5.997374
11.828333,2,5.998398
-1.0,42,6.035616
12.828333,100,6.123499
-0.341316,7,6.130037
-0.341316,65,6.187087
12.828333,100,6.273248
11.828333,46,6.313263
11.828333,37,6.346494
0.0,100,6.434019
11.828333,19,6.449752
0.0,100,6.539045
-1.0,82,6.613158
36.273675,7,6.619781
11.828333,63,6.672538
0.658684,100,6.757873
11.828333,40,6.791556
0.0,100,6.877726
11.828333,99,6.971546
-1.0,25,6.994325
-1.0,41,7.031843
-1.0,62,7.085652
12.828333,100,7.173457
11.828333,26,7.196872
-1.0,31,7.222739
-1.0,57,7.273747
36.273675,4,7.277268
0.0,100,7.365152
11.828333,22,7.383595
12.828333,100,7.470046
0.0,100,7.554436
11.828333,45,7.593298
12.828333,100,7.679009
22.970018,35,7.70947
12.828333,100,7.797443
0.0,100,7.884268
12.828333,100,7.975488
11.828333,6,7.981857
-1.0,96,8.064724
-0.341316,48,8.107111
12.828333,100,8.195613
-1.0,46,8.23474
0.658684,100,8.320317
12.828333,100,8.408782
0.0,100,8.499013
11.828333,24,8.5203
12.828333,100,8.608478
-1.0,48,8.651842
0.658684,100,8.739948
12.828333,100,8.826917
0.0,100,8.914004
0.0,100,9.003378
11.828333,32,9.030936
-0.341316,38,9.064867
12.828333,100,9.151147
23.970018,100,9.238847
11.828333,61,9.292308
12.828333,100,9.354911
12.828333,100,9.391728
0.0,100,9.428638
0.0,100,9.465657
0.0,100,9.503369
11.828333,17,9.527553
36.273675,27,9.55044
11.828333,47,9.592259
22.970018,80,9.661271
-0.341316,2,9.664293
-1.0,44,9.703948
22.970018,3,9.707303
36.273675,2,9.710348
11.828333,2,9.71148
11.828333,2,9.714378
0.0,100,9.801253
36.273675,2,9.802548
22.970018,3,9.806048
11.828333,2,9.808963
0.0,100,9.895672
-1.0,1,9.896398
11.828333,4,9.900029
11.828333,3,9.903475
11.828333,3,9.906304
11.828333,3,9.909813
11.828333,3,9.913259
11.828333,2,9.914431
36.273675,2,9.918774
22.970018,3,9.922264
11.828333,2,9.92341
11.828333,2,9.926332
11.828333,3,9.929348
11.828333,2,9.932271
11.828333,3,9.93579
22.970018,3,9.937481
-1.0,1,9.941213
11.828333,3,9.943028
0.0,100,10.027985
11.828333,3,10.031173
22.970018,3,10.036184
12.828333,100,10.122002
36.273675,2,10.123222
11.828333,2,10.126156
36.273675,3,10.130734
22.970018,3,10.132453
11.828333,23,10.153257
36.273675,2,10.156154
11.828333,2,10.158757
-1.0,49,10.200372
11.828333,2,10.203359
-1.0,1,10.204031
-1.0,1,10.20613
22.970018,3,10.209762
-1.0,25,10.230083
11.828333,50,10.273785
-1.0,99,10.362184
22.970018,3,10.363932
11.828333,31,10.392213
22.970018,3,10.396213
11.828333,4,10.401067
22.970018,3,10.404603
0.0,100,10.488426
36.273675,2,10.489655
11.828333,3,10.494738
36.273675,2,10.495899
11.828333,3,10.499519
11.828333,2,10.502513
11.828333,2,10.505022
-1.0,80,10.57492
11.828333,3,10.578482
11.828333,3,10.582036
11.828333,2,10.584662
0.0,100,10.673844
0.0,100,10.76344
36.273675,2,10.766613
22.970018,3,10.769972
11.828333,2,10.772923
0.0,100,10.858181
11.828333,2,10.859393
22.970018,3,10.864476
11.828333,2,10.867388
11.828333,4,10.871065
0.0,100,10.95922
11.828333,42,10.995782
11.828333,2,10.998703
36.273675,2,10.999629
36.273675,2,11.002523
11.828333,2,11.005064
11.828333,2,11.007977
22.970018,3,11.009709
11.828333,43,11.047466
22.970018,3,11.053294
11.828333,17,11.068768
11.828333,3,11.07287
11.828333,3,11.076482
-1.0,20,11.094493
36.273675,2,11.095644
0.0,100,11.181207
11.828333,2,11.184171
-1.0,6,11.189603
11.828333,19,11.207581
11.828333,33,11.236211
11.828333,2,11.239133
