#{"t_start": 1752551748.7253635, "env_id": "None"}
r,l,t
12.005089,100,0.216035
-1.0,1,0.219352
10.774696,100,0.303315
20.632814,65,0.360433
0.0,100,0.449963
6.280135,2,0.452182
0.814961,29,0.479335
25.258913,100,0.627261
20.632814,65,0.685859
16.755139,54,0.733838
0.0,100,0.852259
20.632814,93,0.940328
20.632814,3,0.941725
-1.0,12,0.95293
0.0,100,1.044666
0.0,100,1.137185
0.0,100,1.226075
17.755139,100,1.328255
31.06386,2,1.331165
0.814961,26,1.352835
8.844736,42,1.39204
0.0,100,1.485689
-1.0,63,1.540434
0.0,100,1.631722
25.175631,53,1.678823
1.814961,100,1.770041
31.06386,9,1.777343
-1.0,75,1.845137
0.0,100,1.931398
9.774696,45,1.969954
26.175631,100,2.062343
21.632814,100,2.146086
25.175631,7,2.152727
16.755139,84,2.22475
6.280135,98,2.308073
7.280135,100,2.39309
0.0,100,2.47793
-0.366916,58,2.52848
0.0,100,2.612622
16.755139,29,2.636661
25.175631,47,2.676582
16.755139,95,2.759904
16.991428,13,2.770619
0.0,100,2.857238
16.755139,3,2.860581
26.175631,100,2.947667
-1.0,36,2.977528
25.175631,73,3.04285
16.755139,69,3.1023
17.755139,100,3.191051
20.632814,77,3.261648
0.0,100,3.349613
25.175631,24,3.370102
16.755139,45,3.410636
-1.0,12,3.420942
31.06386,32,3.447953
-0.366916,43,3.48369
31.06386,6,3.490623
-0.366916,4,3.494503
16.991428,16,3.508063
31.06386,39,3.541149
31.06386,33,3.569174
6.280135,26,3.592037
16.755139,10,3.601983
0.0,100,3.687927
20.632814,36,3.718307
31.06386,62,3.770747
31.06386,9,3.779854
16.755139,61,3.835666
19.826751,30,3.861693
25.175631,7,3.868531
16.755139,97,3.949193
16.755139,55,3.996509
26.175631,100,4.082245
17.755139,100,4.168387
32.06386,100,4.252585
21.632814,100,4.337204
0.0,100,4.423821
20.632814,41,4.463415
0.633084,100,4.581132
8.844736,30,4.609375
25.175631,46,4.657536
0.0,100,4.70197
17.755139,100,4.741279
21.632814,100,4.778578
21.632814,100,4.816291
26.175631,100,4.853543
16.755139,34,4.892566
25.258913,100,4.992279
16.755139,60,5.044456
20.632814,50,5.088534
25.175631,3,5.091843
-1.0,81,5.162453
0.633084,100,5.249317
6.280135,46,5.29049
11.005089,36,5.321058
-1.0,37,5.354626
0.0,100,5.441529
20.632814,10,5.451957
20.632814,25,5.47538
25.175631,80,5.544513
31.06386,93,5.627601
21.632814,100,5.727189
25.175631,18,5.743896
21.632814,100,5.82997
-1.0,53,5.874806
0.0,100,5.961585
6.280135,7,5.968175
20.632814,5,5.972402
0.0,100,6.061228
16.755139,38,6.09481
20.632814,18,6.111485
-1.0,44,6.14919
17.755139,100,6.238967
20.632814,39,6.272788
25.175631,3,6.274532
0.0,100,6.358834
0.0,100,6.443702
20.632814,21,6.463745
25.175631,4,6.467408
25.142256,2,6.468538
25.142256,2,6.471417
16.755139,49,6.513589
11.005089,47,6.553572
31.06386,56,6.602263
20.632814,9,6.609936
-1.0,1,6.611378
16.991428,2,6.614367
-1.0,1,6.615047
25.175631,3,6.618697
25.175631,3,6.621369
25.175631,3,6.624819
16.991428,2,6.627715
16.755139,2,6.628881
25.175631,3,6.632993
16.991428,2,6.634131
-1.0,1,6.636487
16.755139,2,6.63769
16.755139,46,6.679956
25.142256,2,6.681118
-1.0,50,6.723577
0.0,100,6.808498
16.991428,2,6.810471
19.826751,6,6.816488
19.826751,2,6.817665
19.826751,2,6.820662
31.06386,4,6.824603
-1.0,72,6.884754
0.0,100,6.97082
21.632814,100,7.055095
-0.366916,61,7.109017
0.0,100,7.196957
17.755139,100,7.283053
16.755139,2,7.284248
31.06386,2,7.287949
16.991428,2,7.289093
16.755139,2,7.292003
8.844736,2,7.293149
20.632814,3,7.29725
16.991428,2,7.300176
-1.0,82,7.369733
