#{"t_start": 1752551665.5980535, "env_id": "None"}
r,l,t
-1.0,15,0.736469
-1.0,14,0.739342
-1.0,17,0.742466
-1.0,1,0.742847
-1.0,3,0.744558
-1.0,2,0.745219
-1.0,7,0.746622
-1.0,4,0.747586
-1.0,3,0.749083
-1.0,3,0.749913
-1.0,7,0.751241
-1.0,12,0.753355
-1.0,10,0.755962
-1.0,21,0.780878
-1.0,8,0.788786
-1.0,3,0.791498
-1.0,32,0.817226
-1.0,30,0.837056
-1.0,3,0.839736
-1.0,9,0.845594
-1.0,3,0.849316
-1.0,3,0.85199
-1.0,9,0.857805
-1.0,29,0.875916
-1.0,8,0.882813
-1.0,5,0.887634
-1.0,13,0.896379
-1.0,9,0.901967
-1.0,7,0.90887
-1.0,2,0.909719
-1.0,4,0.912589
-1.0,33,0.936545
-1.0,6,0.941098
-1.0,3,0.944059
-1.0,2,0.94481
-1.0,12,0.952503
-1.0,7,0.959375
-1.0,8,0.964774
-1.0,9,0.971
-1.0,5,0.97616
-1.0,2,0.978318
-1.0,13,0.986761
-1.0,8,0.992407
-1.0,11,1.000457
-1.0,9,1.007267
-1.0,1,1.009508
-1.0,3,1.010372
-1.0,4,1.013222
-1.0,12,1.023422
-1.0,4,1.026618
-1.0,19,1.039775
-1.0,1,1.040175
-1.0,18,1.054737
-1.0,8,1.060107
-1.0,4,1.063276
-1.0,20,1.076301
-1.0,3,1.08077
-1.0,14,1.089928
-1.0,3,1.092663
-1.0,24,1.109218
-1.0,21,1.133942
-1.0,8,1.139848
-1.0,13,1.148868
-1.0,8,1.156483
-1.0,5,1.163613
-1.0,11,1.169455
-1.0,2,1.172102
-1.0,7,1.177809
-1.0,1,1.179641
-1.0,1,1.180044
-1.0,12,1.188466
-1.0,7,1.194431
-1.0,4,1.198768
-1.0,6,1.201985
-1.0,5,1.207324
-1.0,6,1.210852
-1.0,12,1.22106
-1.0,3,1.223821
-1.0,1,1.224217
-1.0,4,1.227622
-1.0,11,1.237166
-1.0,12,1.245845
-1.0,12,1.255054
-1.0,3,1.257814
-1.0,23,1.274735
-1.0,4,1.277819
-1.0,1,1.280076
-1.0,18,1.292336
-1.0,22,1.309312
-1.0,9,1.31576
-1.0,45,1.345902
-1.0,4,1.3493
-1.0,31,1.372899
-1.0,54,1.410931
-1.0,7,1.416126
-1.0,6,1.423142
-1.0,6,1.428467
-1.0,18,1.441533
-1.0,8,1.447342
-1.0,13,1.455867
-1.0,17,1.468756
-1.0,7,1.474097
-1.0,4,1.477499
-1.0,6,1.481222
-1.0,2,1.485503
-1.0,29,1.506738
-1.0,3,1.509827
-1.0,9,1.516055
-1.0,9,1.523113
-1.0,2,1.525821
-1.0,9,1.532071
-1.0,3,1.534837
-1.0,6,1.539796
-1.0,26,1.560083
-1.0,30,1.581331
-1.0,3,1.584003
-1.0,25,1.60344
-1.0,2,1.606018
-1.0,17,1.618263
-1.0,18,1.631988
-1.0,11,1.639356
-1.0,17,1.652133
-1.0,1,1.652568
-1.0,3,1.655198
-1.0,8,1.662693
-1.0,1,1.663101
-1.0,1,1.663474
-1.0,2,1.666075
-1.0,13,1.676794
-1.0,55,1.7186
-1.0,6,1.722202
-1.0,12,1.730877
-1.0,12,1.741287
-1.0,31,1.764028
-1.0,6,1.767951
-1.0,4,1.771415
-1.0,2,1.775381
-1.0,30,1.797424
-1.0,8,1.803263
-1.0,23,1.820981
-1.0,1,1.82284
-1.0,7,1.828429
-1.0,69,1.879133
-1.0,4,1.88252
-1.0,9,1.89315
-1.0,10,1.90035
-1.0,10,1.909604
-1.0,12,1.920197
-1.0,6,1.926311
-1.0,15,1.938776
-1.0,17,1.952456
-1.0,1,1.952933
-1.0,8,1.962515
-1.0,15,1.974836
-1.0,1,1.975227
-1.0,71,2.034786
-1.0,11,2.046499
-1.0,9,2.053451
-1.0,5,2.059394
-1.0,13,2.072063
-1.0,8,2.082655
-1.0,7,2.087352
-1.0,15,2.099731
-1.0,3,2.103234
-1.0,7,2.111973
-1.0,5,2.115313
-1.0,3,2.118551
-1.0,4,2.121597
-1.0,12,2.132838
-1.0,16,2.145565
-1.0,26,2.166517
-1.0,16,2.179112
-1.0,3,2.18383
-1.0,16,2.197612
-1.0,49,2.235339
-1.0,38,2.268606
-1.0,4,2.273933
-1.0,7,2.278339
-1.0,11,2.287411
-1.0,34,2.315575
