#{"t_start": 1752554287.8898826, "env_id": "None"}
r,l,t
30.482465,5,0.043152
-99.0,100,0.197061
36.854052,4,0.201141
55.400078,5,0.20553
16.092756,4,0.209464
19.748439,4,0.214316
-99.0,100,0.301294
-90.0,90,0.378416
11.199996,4,0.382446
-58.552031,60,0.435249
24.444471,5,0.441486
1.207298,4,0.445438
10.110282,4,0.449456
-41.43443,44,0.488682
-7.0,7,0.493388
4.474248,4,0.497036
12.151913,4,0.500712
13.173448,5,0.507724
29.821503,4,0.530201
5.592754,4,0.534424
-0.364023,11,0.542894
1.882404,4,0.547472
-100.0,100,0.632956
-100.0,100,0.720247
-61.214673,100,0.806711
-78.367462,81,0.882106
-35.805848,58,0.953183
39.477487,4,0.957223
-90.0,90,1.07184
25.117821,4,1.076957
18.790149,4,1.081182
-99.105461,100,1.170385
-3.350241,5,1.175224
-4.54915,5,1.180092
-78.805848,100,1.267657
-100.0,100,1.368125
1.294755,4,1.372163
-94.799158,100,1.459319
-38.0,38,1.493762
-92.147075,100,1.586192
-35.176704,46,1.625929
23.848947,4,1.631023
0.663225,5,1.635539
-78.762089,100,1.723024
-7.74817,16,1.736662
-86.124062,93,1.821749
-100.0,100,1.908911
43.000445,4,1.91283
28.482568,4,1.916563
6.486208,4,1.921416
-4.485301,6,1.926054
33.551094,5,1.930505
52.040229,4,1.934507
-99.0,100,2.022797
-30.0,30,2.049791
8.801919,19,2.0681
-20.0,20,2.085675
-0.643877,6,2.090948
28.396352,4,2.094945
-100.0,100,2.182316
10.610957,4,2.186103
-99.0,100,2.275273
30.480215,13,2.28649
13.416501,4,2.290187
-24.0,24,2.310795
13.482988,4,2.316895
4.25183,4,2.335134
49.352994,4,2.339208
32.000334,4,2.343239
48.757074,5,2.350233
37.834287,5,2.354437
43.254433,4,2.358451
6.600395,4,2.362535
-11.841276,23,2.384176
49.473745,4,2.388204
29.780043,4,2.392157
19.748439,4,2.396379
-57.0,57,2.449783
-99.0,100,2.537732
-53.350241,55,2.597081
49.248941,4,2.601197
3.990125,4,2.606173
20.859864,4,2.610204
-69.54915,70,2.66947
-87.481996,100,2.756625
-100.0,100,2.846982
21.985859,4,2.851359
-5.0,5,2.855324
19.748439,4,2.85932
33.114216,4,2.864255
-61.367954,76,2.931935
22.09426,4,2.935929
-0.123214,4,2.939549
55.529656,4,2.944534
-24.308555,25,2.968012
3.875938,4,2.972099
-99.105461,100,3.06061
25.42266,4,3.065689
39.336958,4,3.071116
49.248941,4,3.075182
7.518004,5,3.079608
-1.924329,5,3.085017
-74.0,74,3.15084
9.501821,4,3.154613
-53.438697,56,3.203717
70.150995,4,3.210011
-1.310044,4,3.214441
-100.0,100,3.301235
14.403587,4,3.305378
43.254433,4,3.310446
-1.863783,4,3.314556
-81.0,81,3.387349
0.663225,5,3.391814
56.456549,4,3.396689
33.114216,4,3.400687
39.05859,4,3.40469
6.75118,4,3.408683
0.187529,4,3.413449
27.693471,4,3.417475
6.158724,5,3.422051
-1.310044,4,3.426123
29.821503,4,3.430546
11.102652,4,3.435802
-13.367954,28,3.460221
-0.588022,5,3.466702
16.398635,4,3.471529
4.816766,4,3.475531
43.254433,4,3.479554
-3.54915,4,3.483496
-96.035056,100,3.57064
36.171578,4,3.574738
-100.0,100,3.662455
-22.0,22,3.680879
12.100333,4,3.685513
-1.023996,4,3.689633
21.358616,4,3.693771
-41.89752,50,3.739103
-2.308759,4,3.744029
20.859864,4,3.748067
-97.438697,100,3.836029
19.378783,4,3.840112
-1.023996,4,3.84529
-100.0,100,3.933347
-6.864002,14,3.944662
15.553231,4,3.948713
26.341635,4,3.953379
39.080667,4,3.95738
21.358616,4,3.961474
-97.403463,100,4.050819
-1.310044,4,4.05579
-60.0,60,4.108973
-100.0,100,4.195133
-100.0,100,4.283067
39.422859,4,4.287979
15.553231,4,4.29196
-92.344746,100,4.379258
16.357944,4,4.382942
38.40173,5,4.388226
56.400078,4,4.392257
4.477754,4,4.396058
0.150295,4,4.400056
-76.89752,86,4.480191
-10.89752,19,4.497558
43.840281,4,4.501626
43.840281,4,4.505626
7.195084,4,4.510122
19.436848,4,4.51411
-51.654535,94,4.596982
49.994156,4,4.601193
14.403587,4,4.606034
18.57839,4,4.610134
-32.693548,48,4.652771
-12.0,13,4.663466
15.730821,4,4.668175
60.300254,4,4.712294
-80.892087,100,4.74996
33.95915,4,4.751977
-93.124062,100,4.789446
-50.093037,100,4.826458
-83.54915,84,4.907109
0.771397,33,4.937378
7.500103,4,4.94143
-5.0,5,4.946584
1.34601,4,4.950642
-26.841276,38,4.984011
7.500103,4,4.988002
-99.550367,100,5.077333
3.458864,4,5.081453
17.101031,4,5.085438
53.916519,4,5.089439
-14.0,14,5.104681
-40.43443,43,5.144024
18.836172,4,5.148253
-2.328509,4,5.15236
57.917247,4,5.158541
20.546637,4,5.162524
8.716714,4,5.166497
0.784145,4,5.170539
14.548496,4,5.176396
10.075548,4,5.180522
-1.917486,4,5.184892
3.792665,4,5.188603
11.603425,4,5.194514
35.337289,4,5.198496
5.10248,4,5.202608
-55.344746,63,5.256712
-42.54915,43,5.296599
3.23398,4,5.300575
37.462768,4,5.304594
19.606629,4,5.308837
18.295211,4,5.314631
39.478018,4,5.320209
-9.841276,21,5.338053
19.113284,4,5.342032
19.606629,4,5.348064
24.133294,9,5.357516
26.551094,12,5.368304
-0.104056,4,5.372281
19.606629,4,5.378241
19.113952,4,5.382199
-2.328509,4,5.386236
-2.511839,4,5.389973
-4.333236,6,5.396923
31.912882,4,5.40095
18.836172,4,5.404972
38.834287,4,5.408957
0.200385,4,5.414595
-99.550367,100,5.502477
19.559059,4,5.506695
-100.0,100,5.597344
-53.174132,82,5.672764
12.992644,4,5.676844
21.358616,4,5.680968
6.158724,5,5.685384
11.199996,4,5.691371
33.89899,4,5.695405
56.154018,4,5.699409
3.990125,4,5.703502
-2.328509,4,5.709463
38.900817,5,5.713804
1.403049,4,5.717805
-24.308759,26,5.74257
40.082421,4,5.7486
-27.776302,40,5.784065
38.834287,4,5.788062
15.418959,5,5.792242
2.485363,4,5.798167
4.432747,4,5.802371
0.150295,4,5.806402
1.665764,4,5.8101
17.286718,39,5.846485
6.856978,4,5.850518
1.356123,4,5.854484
1.192101,4,5.858614
20.876184,4,5.864638
46.789544,4,5.868632
5.25183,4,5.87294
20.859864,4,5.876918
26.666365,4,5.88279
-16.350241,18,5.992512
53.794748,4,5.996626
46.789544,4,6.000668
-52.338919,54,6.053376
41.832665,4,6.057455
-1.90574,28,6.082424
1.403049,4,6.086253
25.908773,4,6.092347
-90.407246,100,6.180681
-98.338919,100,6.270821
-99.0,100,6.359036
6.332049,4,6.365099
-2.308555,4,6.369228
-26.308761,33,6.398439
2.058628,4,6.402688
-10.350241,12,6.415286
-99.0,100,6.502987
-100.0,100,6.590634
-86.02221,100,6.679064
-31.612169,37,6.713226
-29.005108,34,6.744138
-17.956245,22,6.762592
38.973556,4,6.767261
-32.956245,37,6.800984
-99.0,100,6.889596
0.150295,4,6.893652
43.254433,4,6.89929
49.757074,4,6.905425
-33.50242,57,6.957141
-91.512789,100,7.045978
-74.813833,83,7.119097
-98.596094,100,7.208383
3.458864,4,7.212531
8.500632,4,7.216254
-76.0,77,7.285653
30.945056,4,7.291796
-19.512789,28,7.316711
3.978404,5,7.320745
-86.924452,100,7.407441
-0.512789,9,7.417641
4.661591,4,7.421798
-4.0,4,7.425379
-1.297674,4,7.429091
-34.0,34,7.460997
6.856978,4,7.465028
-50.732659,57,7.515406
-2.136802,15,7.529101
4.25183,4,7.534896
-99.550367,100,7.622693
56.371332,4,7.626749
16.09426,10,7.634543
-23.0,23,7.660385
39.512127,4,7.664811
17.237911,4,7.668817
6.425074,5,7.672877
-41.019882,50,7.720754
-30.137873,66,7.778212
-44.976828,55,7.828798
15.730821,4,7.832866
-21.0,21,7.853228
-100.0,100,7.941648
-70.050161,74,8.00923
-35.294867,48,8.050614
-48.652993,89,8.129683
-31.175722,36,8.161429
-100.0,100,8.24836
-5.060047,10,8.256599
5.987611,14,8.272067
