#{"t_start": 1752553633.3291311, "env_id": "None"}
r,l,t
-84.852243,100,0.186434
-39.560332,69,0.246782
-83.340171,100,0.333991
-69.0,69,0.391732
-56.012513,73,0.45346
-9.0,10,0.463876
-10.913354,12,0.474264
16.063358,8,0.48154
-20.0,20,0.498671
-42.0,43,0.554003
-25.0,26,0.577085
22.960767,5,0.581233
-100.0,100,0.667068
-67.293112,68,0.725853
-27.0,27,0.749413
-16.0,16,0.763043
45.227112,5,0.767506
-3.202555,5,0.772676
-65.0,65,0.830444
7.496112,6,0.835035
-25.0,25,0.855539
-8.0,8,0.863603
-100.0,100,0.948549
-21.0,21,0.968047
-100.0,100,1.095417
-97.164216,100,1.183185
-3.600296,5,1.187993
-13.0,13,1.201842
-97.801935,100,1.304117
48.320783,5,1.309551
52.886131,5,1.315759
-8.0,8,1.32237
-78.0,78,1.391073
-15.0,15,1.405246
-100.0,100,1.490726
-5.485301,9,1.498616
76.259516,5,1.503003
-1.64473,5,1.509928
-85.324716,86,1.582838
-57.766088,62,1.637656
-2.457657,6,1.642738
24.106599,5,1.648008
-5.293112,6,1.654188
-49.0,49,1.695908
-44.0,44,1.732538
-45.0,45,1.772395
-22.190486,33,1.802284
-4.249507,5,1.806326
66.467508,5,1.810756
-2.191444,5,1.815967
23.214727,5,1.821872
-84.604615,100,1.907367
-8.0,8,1.914319
-6.532704,28,1.939857
-6.192189,9,1.947626
28.416372,5,1.95237
-1.896927,17,1.967054
-60.0,60,2.018556
78.947499,5,2.024742
-93.07465,97,2.108169
3.355443,5,2.112551
-5.293112,6,2.121329
27.867192,5,2.125874
29.078618,5,2.130595
23.160591,5,2.134971
-14.095235,27,2.159113
-100.0,100,2.251708
79.982536,5,2.256154
-18.324716,19,2.272741
-23.246131,66,2.330331
-99.0,100,2.416236
-19.0,19,2.43129
-17.248775,21,2.450357
-6.493884,22,2.469109
-14.0,14,2.482139
-60.108056,62,2.53411
-8.315538,22,2.554014
36.890811,5,2.559235
50.155752,5,2.563685
-38.0,38,2.597071
-76.293112,77,2.662009
-97.251515,100,2.74817
18.530753,5,2.7527
-55.0,55,2.801873
-100.0,100,2.885852
51.538165,28,2.911271
-31.0,31,2.938648
-66.095511,67,2.993756
-4.094461,5,2.999567
64.628707,5,3.004747
78.795973,5,3.009184
-2.80482,5,3.013598
-100.0,100,3.098074
-3.562546,5,3.104485
-50.063271,67,3.162628
-38.306025,47,3.203214
18.877492,5,3.207598
-32.0,32,3.236344
-1.538239,5,3.24255
-67.918101,76,3.307575
-100.0,100,3.392864
45.368853,20,3.411697
-100.0,100,3.497478
44.83891,5,3.50196
-39.0,39,3.536029
-0.076478,5,3.541348
-100.0,100,3.62592
-1.709936,5,3.630377
-100.0,100,3.715008
56.503087,5,3.720036
-6.0,6,3.726159
-4.094461,5,3.730053
-54.485301,58,3.780713
-1.709936,5,3.785987
-97.443701,100,3.87222
-99.244172,100,3.957311
-97.132941,100,4.044235
-91.743694,100,4.131125
-12.137137,15,4.145444
-2.547781,5,4.149946
-31.293112,32,4.178475
-1.845812,5,4.183663
-2.594327,5,4.188023
11.18501,6,4.194682
51.261559,5,4.199048
-82.0,82,4.269856
-8.0,8,4.276829
0.858438,5,4.281396
-26.32608,27,4.304015
-75.0,75,4.367448
-97.832484,100,4.451834
-69.063271,86,4.525701
-100.0,100,4.569359
-2.663635,5,4.571731
-98.909633,100,4.608863
-100.0,100,4.645771
77.654746,5,4.648211
-4.322855,6,4.66168
-28.553269,30,4.689012
53.20112,5,4.695211
-2.547781,5,4.699498
-19.0,19,4.716319
-97.889207,100,4.801965
35.693418,5,4.806431
-71.0,71,4.868427
-1.709936,5,4.872878
-65.821517,100,4.960418
-1.899281,5,4.964812
-6.134333,7,4.971283
-21.743694,30,4.995836
-8.0,8,5.005721
1.642638,5,5.012319
10.008408,7,5.017422
