#{"t_start": 1752554596.3089547, "env_id": "None"}
r,l,t
-96.0,96,0.194895
-2.510179,5,0.201488
69.064617,5,0.20624
2.667008,5,0.211711
-8.219053,17,0.226576
-35.0,35,0.258657
72.596266,5,0.263184
32.694793,5,0.270321
53.098359,5,0.274749
-75.0,75,0.343392
1.109025,5,0.347888
4.452015,5,0.353487
-2.022261,5,0.358111
9.61676,6,0.364776
-2.595794,5,0.369492
29.995689,5,0.374691
-100.0,100,0.46294
6.280219,5,0.4695
-55.211239,100,0.58064
12.832996,5,0.586577
0.207298,5,0.591005
12.724317,5,0.595467
10.819328,5,0.601874
-9.793961,15,0.614368
75.040438,5,0.620695
-78.529916,82,0.691851
74.664851,5,0.69643
-100.0,100,0.785256
-29.935718,39,0.819996
-13.927892,23,0.844758
-46.611016,53,0.891104
3.497586,6,0.89891
-100.0,100,0.987736
10.286972,5,0.994399
4.361298,5,0.998993
-13.0,13,1.020041
-99.254142,100,1.151951
47.051733,5,1.158382
4.099689,5,1.163083
-2.135283,5,1.168748
5.302258,5,1.173195
-2.731668,5,1.179527
-88.0,89,1.258219
1.780947,7,1.266078
5.160445,10,1.274039
4.225168,5,1.278585
-2.55702,5,1.284981
-100.0,100,1.39154
-99.105461,100,1.481726
-91.599136,100,1.571552
-100.0,100,1.660971
31.877594,5,1.666548
-2.55702,5,1.671142
5.873539,5,1.675714
4.201809,5,1.68371
-1.489495,43,1.727074
-100.0,100,1.81664
-91.0,91,1.904456
1.934673,5,1.909137
-31.547781,33,1.940768
1.332462,5,1.946173
-100.0,100,2.034659
-97.254142,98,2.120927
-99.214732,100,2.209004
-57.263684,58,2.262537
-18.997611,22,2.281132
18.188119,5,2.287558
18.351551,5,2.292919
-45.092204,50,2.337819
-5.890975,12,2.348697
74.645125,5,2.35513
78.648422,5,2.360502
-100.0,100,2.449034
-39.0,39,2.486218
7.502443,5,2.490659
-88.083769,91,2.582454
42.729761,6,2.587264
-99.597228,100,2.681868
54.158482,5,2.686146
75.514015,5,2.693448
-71.935718,81,2.765488
-100.0,100,2.862151
-54.670301,56,2.910863
82.382365,6,2.916773
1.785824,5,2.923122
1.934673,5,2.927613
2.893323,5,2.932103
73.47376,5,2.937437
6.798646,15,2.950996
-100.0,100,3.038231
-27.504644,34,3.071684
82.027061,5,3.077281
60.094749,5,3.081645
-6.81,39,3.116785
-96.031362,100,3.206171
14.732318,5,3.211825
4.676774,5,3.216458
3.270633,5,3.222616
12.174485,5,3.227166
51.584905,5,3.232052
-97.278942,100,3.320862
17.363979,5,3.325453
7.689888,5,3.331791
79.983628,5,3.337087
-18.243407,19,3.353883
87.382202,5,3.358396
5.406267,5,3.362966
38.438258,5,3.368253
-60.169669,100,3.458888
-100.0,100,3.546824
-100.0,100,3.637129
-100.0,100,3.727805
-0.785862,7,3.73513
-100.0,100,3.824882
28.617834,33,3.854246
0.601068,5,3.861497
3.828578,5,3.866175
-16.620868,21,3.884444
-2.131834,16,3.8985
-81.105461,82,3.973331
-99.227775,100,4.103827
-66.989608,73,4.171739
9.049833,5,4.176335
-11.35437,24,4.198833
12.090683,5,4.203537
1.456053,6,4.209611
-8.733926,11,4.220511
-3.135283,6,4.22631
-6.0,6,4.232844
0.824178,5,4.237539
29.995689,5,4.241824
-100.0,100,4.333646
-2.885776,5,4.338212
1.041628,5,4.3456
2.829435,5,4.353773
-3.083769,6,4.359966
0.601068,5,4.366262
-45.18119,48,4.411785
99.228572,5,4.416434
-1.777803,5,4.421607
-25.460301,53,4.46797
73.024544,5,4.474406
7.689888,5,4.479016
-85.384952,100,4.575364
-28.504644,35,4.609448
-4.135283,7,4.614709
15.173958,52,4.660403
-95.057138,100,4.751714
-6.890951,9,4.762056
-21.0,21,4.780267
0.934673,6,4.844081
7.705672,5,4.846565
-98.595794,100,4.884751
-99.214732,100,4.922487
-100.0,100,4.960315
-11.0,11,4.978004
13.19147,5,4.984207
55.079125,5,4.990597
-36.278942,39,5.030298
-20.310112,33,5.061899
-16.158767,58,5.115518
-100.0,100,5.206745
8.520488,5,5.211299
35.64708,5,5.22014
-61.0,61,5.275489
-2.615904,6,5.280212
-60.169669,100,5.369889
-99.534655,100,5.461596
-100.0,100,5.552315
75.217573,5,5.558981
-66.0,66,5.617402
-2.514042,6,5.624432
12.518577,5,5.631186
38.041764,5,5.63555
-95.484936,100,5.723738
-2.887584,5,5.72859
-8.0,8,5.738
-2.135283,5,5.744452
10.180764,5,5.749041
82.293007,5,5.753667
8.462815,5,5.760386
0.087191,5,5.766482
24.016849,5,5.770737
-32.398955,40,5.805528
74.531549,5,5.811965
-98.0,98,5.899209
-25.0,25,5.92084
-39.0,39,5.955467
0.194684,16,5.971943
-27.0,27,5.994506
25.87615,5,6.00095
-33.0,33,6.02903
-61.081744,66,6.090248
-100.0,100,6.185717
1.434101,6,6.192559
54.927583,5,6.196826
55.71412,5,6.203325
23.077322,5,6.209671
-100.0,100,6.296694
-99.214732,100,6.385411
-98.887584,100,6.475303
-43.0,44,6.516809
71.467864,5,6.521558
1.84767,6,6.526455
-99.227775,100,6.617086
83.8224,5,6.623561
-69.244172,70,6.686281
-4.616263,6,6.692782
-40.0,40,6.729923
82.856952,5,6.734457
81.512368,5,6.739123
25.906829,5,6.743626
-78.753426,82,6.81864
-54.0,54,6.86559
-2.753426,6,6.872823
3.225168,6,6.877521
-2.359891,5,6.886005
21.167202,19,6.901504
41.209233,5,6.908039
73.838992,5,6.912617
2.620041,5,6.918919
10.286972,5,6.923423
-2.709936,6,6.930419
15.259262,5,6.934673
1.584055,5,6.940765
25.055788,5,6.947777
-1.632571,5,6.952348
-100.0,100,7.040254
-100.0,100,7.13018
36.017965,5,7.134426
80.465993,5,7.138941
-65.0,65,7.198397
74.099257,5,7.205153
-1.615904,5,7.209734
21.894435,7,7.216583
28.008476,5,7.220783
-1.709936,5,7.227566
-77.293868,82,7.300996
-18.0,18,7.316271
11.404169,5,7.322918
-100.0,100,7.416254
11.167399,5,7.42107
-86.575596,100,7.510638
-14.902972,26,7.532614
6.929216,5,7.541175
-96.765468,100,7.6295
-7.0,7,7.634432
16.427372,5,7.640396
-3.11404,6,7.647317
-3.632687,6,7.653481
74.51826,5,7.658007
-86.0,86,7.73459
-57.478013,62,7.793023
72.711442,5,7.797609
-3.208351,5,7.80186
-100.0,100,7.887388
-78.90348,89,7.967979
1.388984,5,7.972288
-97.191589,100,8.064774
-99.332708,100,8.15289
14.856129,5,8.15977
26.435159,5,8.164339
-13.0,13,8.177331
1.49198,5,8.182327
63.489884,5,8.188396
38.193188,5,8.192901
6.366558,5,8.199425
14.856129,5,8.203966
38.193188,5,8.211062
23.064628,5,8.215606
-0.030716,5,8.222003
75.514015,5,8.226591
82.672138,5,8.233099
81.130225,5,8.237644
-100.0,100,8.324427
4.072108,5,8.330932
33.671585,5,8.337472
-33.534655,34,8.366667
11.167399,5,8.372986
-100.0,100,8.460171
-43.0,43,8.499419
80.465993,5,8.505801
-52.169669,92,8.58629
11.035593,5,8.591631
23.920355,5,8.598164
-2.359891,5,8.602658
81.174396,5,8.608987
1.278458,5,8.613588
73.471361,5,8.619802
-20.64751,24,8.641079
17.544155,5,8.645025
-12.081744,17,8.661795
-22.0,22,8.682232
45.227112,5,8.686722
-93.647495,97,8.776667
-99.0,100,8.865781
-99.293112,100,8.95569
72.564178,5,8.960309
-49.293112,50,9.004646
-40.889304,63,9.06111
-43.322537,45,9.103472
-40.0,40,9.140731
17.328414,5,9.146995
-100.0,100,9.234509
74.664851,5,9.241172
-54.582195,59,9.294235
80.084201,5,9.298768
-35.0,35,9.329205
-98.55702,100,9.417659
7.80522,5,9.422558
1.553901,5,9.42716
-99.595794,100,9.513875
-3.085111,5,9.520237
-98.597228,100,9.593023
-100.0,100,9.631387
80.465993,5,9.63399
54.596535,5,9.636436
-58.982035,100,9.67434
-99.0,100,9.770188
4.60723,5,9.776314
56.285281,5,9.780566
-18.32608,19,9.80465
-48.705704,51,9.848134
14.856129,5,9.854614
-2.510179,5,9.859216
13.17862,5,9.865955
-19.207886,24,9.886452
25.055788,5,9.890932
-8.131834,22,9.911217
9.093818,10,9.92119
-15.32608,16,9.935359
-6.0,6,9.942005
-91.599136,100,10.029772
-24.049128,100,10.119317
79.918187,5,10.123867
45.227112,5,10.128112
8.464566,5,10.134589
-76.0,76,10.202512
82.204474,5,10.207049
38.391031,5,10.211592
7.689888,5,10.216022
4.100492,5,10.224187
-99.243407,100,10.314716
7.765018,5,10.319367
-85.0,86,10.394621
0.841258,5,10.402837
12.724317,5,10.407363
3.828578,5,10.411947
3.855841,5,10.416455
-10.0,10,10.428153
10.735172,5,10.432659
-33.582195,38,10.466805
48.584669,5,10.471341
12.080942,5,10.47754
-5.244172,6,10.48423
3.425714,5,10.488777
-50.0,51,10.533907
-1.632571,5,10.540342
-15.881202,35,10.572025
-100.0,100,10.659212
8.371201,5,10.665148
-90.0,90,10.743863
-100.0,100,10.831379
20.409355,5,10.837747
2.767314,5,10.842178
1.712362,5,10.848656
-11.599136,20,10.866295
2.489302,5,10.870788
-99.243407,100,10.959692
-57.0,57,11.015463
2.434101,5,11.019968
57.114697,5,11.024209
-6.595794,7,11.030942
-93.611016,100,11.120041
7.507352,5,11.12457
-36.169669,76,11.191237
71.614004,7,11.198062
8.464566,5,11.204438
-100.0,100,11.2913
4.072108,5,11.295868
2.685215,5,11.302206
-100.0,100,11.391482
22.891645,5,11.396013
73.794845,5,11.40052
-45.0,45,11.441117
-21.322537,23,11.463761
13.327542,5,11.468463
-1.963396,5,11.474677
32.880598,5,11.479168
71.467864,5,11.485585
-100.0,100,11.573455
-1.647495,5,11.577973
-7.0,7,11.584349
32.0658,13,11.597573
-92.0,92,11.679887
34.441115,5,11.686042
-32.239449,100,11.774695
-91.0,91,11.854671
73.47376,5,11.861028
-0.037997,6,11.86601
-73.848548,93,11.948295
52.583749,5,11.956699
-60.169669,100,12.043014
10.163444,5,12.047463
-16.0,16,12.06144
-16.084426,18,12.080213
-11.0,11,12.090414
-2.885776,5,12.094863
