#{"t_start": 1752554481.747651, "env_id": "None"}
r,l,t
-2.595794,5,0.125243
6.96693,4,0.129482
36.535314,4,0.139671
4.453532,4,0.14405
8.58931,4,0.148163
12.87536,4,0.152324
8.58931,4,0.157582
0.572652,4,0.16183
-22.373884,32,0.190934
13.041598,4,0.194766
11.168474,4,0.199886
3.560055,4,0.203568
47.790261,5,0.207984
5.989525,4,0.212336
-19.360703,24,0.235043
-22.0,22,0.253137
-46.976828,58,0.305288
32.624539,8,0.312674
29.253077,4,0.3186
-98.799874,100,0.407457
-49.338919,51,0.468188
-4.403685,8,0.475436
-68.0,68,0.561579
32.076483,4,0.565666
-77.205882,86,0.644571
-2.315307,4,0.648782
-99.0,100,0.739231
49.611022,4,0.743261
28.574851,4,0.747279
-100.0,100,0.836381
-42.0,42,0.875956
8.58931,4,0.880331
-43.443574,55,0.927986
2.601045,5,0.934123
8.073045,4,0.940271
-75.0,75,1.011664
-4.0,4,1.017348
-92.746395,100,1.159402
5.335919,4,1.16398
-7.173968,8,1.171227
-3.625808,8,1.178467
-29.177643,38,1.214058
-22.069666,23,1.236632
-100.0,100,1.341802
-34.920237,44,1.381069
-100.0,100,1.469791
-49.0,49,1.513919
28.082424,14,1.526103
0.28776,4,1.531002
-72.0,72,1.601333
0.546858,4,1.606438
-21.809148,27,1.631088
1.975275,10,1.640995
5.146553,4,1.644727
-22.32608,23,1.66508
14.243862,4,1.66907
-98.146239,100,1.76209
-80.641611,100,1.849422
9.500431,17,1.86731
0.871936,4,1.871503
-27.0,27,1.893899
19.233223,4,1.897914
4.12566,4,1.902566
-81.0,81,1.974892
7.16663,4,1.979009
-16.522246,26,2.002297
-26.406768,47,2.04484
-18.252896,32,2.073977
-10.033906,14,2.085763
7.853234,4,2.089783
-4.0,4,2.094533
-48.977113,69,2.158087
62.805484,4,2.167892
-100.0,100,2.26214
-57.499569,84,2.339316
28.993066,4,2.343491
-100.0,100,2.434834
-99.0,100,2.526315
-100.0,100,2.615725
1.663929,4,2.619772
3.135998,4,2.623431
-2.314497,4,2.627429
-28.108165,39,2.661006
10.585249,4,2.664741
0.28776,4,2.668934
0.420565,4,2.672428
4.079763,5,2.679138
-99.596094,100,2.768124
61.382844,4,2.772188
6.16663,5,2.776641
5.691791,4,2.781431
-6.0,6,2.785802
13.072444,16,2.800054
13.445567,4,2.803569
4.490761,4,2.807978
-86.252896,100,2.895259
18.373585,4,2.899623
21.072444,8,2.906987
-100.0,100,2.996955
-49.0,50,3.044118
0.126904,5,3.048218
0.546858,4,3.052282
34.552768,4,3.057788
5.610274,4,3.062004
-12.961262,20,3.080068
-11.771307,16,3.095008
-77.656423,100,3.186576
50.241862,4,3.190655
-100.0,100,3.278606
-97.885776,100,3.36673
14.199744,4,3.371648
