#{"t_start": 1752554155.487751, "env_id": "None"}
r,l,t
-83.774717,100,0.189229
65.923381,5,0.196408
26.278416,5,0.200958
-100.0,100,0.288728
-71.0,71,0.357479
-95.088412,100,0.446126
26.648138,5,0.450797
-39.0,39,0.488129
-11.912708,29,0.534513
-100.0,100,0.62417
-42.843084,51,0.700413
-61.913589,64,0.757746
-12.822898,14,0.769067
-15.395871,53,0.816413
74.891283,5,0.822892
10.231016,5,0.827416
-27.0,27,0.851665
40.598036,5,0.856986
-34.362662,39,0.894382
-100.0,100,0.986314
-80.12878,100,1.108855
-48.902187,92,1.190817
-1.771307,6,1.195325
82.182961,5,1.19979
-85.552783,100,1.296434
25.614063,5,1.304808
12.793053,5,1.309287
-99.0,100,1.397219
-9.117596,15,1.411335
52.488842,5,1.417274
34.684752,5,1.421824
-100.0,100,1.510981
-92.076263,100,1.618651
-100.0,100,1.708378
-47.512845,50,1.753875
-99.0,100,1.843859
-100.0,100,1.930807
-35.227775,36,1.963318
-100.0,100,2.050391
54.766495,5,2.055051
-25.105461,26,2.076726
4.274676,5,2.083807
29.742834,5,2.088392
26.211055,5,2.092911
7.68198,5,2.097474
29.891245,5,2.105034
-2.263908,5,2.109643
-54.0,54,2.155528
73.655013,9,2.16504
83.872803,5,2.170243
75.144777,5,2.174751
-40.999027,86,2.255515
-0.839494,6,2.259948
-98.520381,100,2.34663
-100.0,100,2.435137
14.740452,5,2.439708
-49.0,49,2.486281
39.962728,5,2.491255
28.069496,5,2.495734
74.735356,5,2.500185
83.577624,5,2.506494
18.004698,5,2.511373
12.802437,5,2.515831
-46.0,46,2.557383
-100.0,100,2.65449
-73.0,73,2.718838
-2.434675,5,2.723419
23.894435,5,2.727907
27.010653,5,2.734155
25.037069,5,2.739131
26.648138,5,2.743612
-99.0,100,2.830758
66.412076,5,2.835107
18.722391,5,2.84162
-73.0,73,2.906025
-71.225029,72,2.969894
47.643695,5,2.974579
-100.0,100,3.065045
41.712646,5,3.069731
-11.0,12,3.079737
-95.088412,100,3.169112
-100.0,100,3.257273
-1.843161,5,3.263771
40.000973,5,3.26801
24.483951,5,3.272231
1.042616,14,3.287117
-19.435936,24,3.309614
-31.0,32,3.362132
5.759863,5,3.36668
-66.329137,67,3.426836
-1.709936,5,3.432708
0.334991,5,3.437545
60.017303,5,3.490117
31.671155,5,3.497082
-97.350404,100,3.587605
11.928166,6,3.592783
6.17316,5,3.597289
15.661583,5,3.604869
-70.0,70,3.666196
-61.0,61,3.720461
-3.763897,5,3.72767
-36.856621,56,3.779169
-15.858956,29,3.804675
-68.0,68,3.865119
12.648637,5,3.869803
6.17316,5,3.875374
-11.435936,16,3.88968
-77.404002,100,3.977627
27.030604,5,3.983968
-37.041775,40,4.020565
30.259598,5,4.025421
27.995945,5,4.029888
-100.0,100,4.118277
12.93187,5,4.123762
37.531171,5,4.130469
-1.709936,5,4.135142
-99.520381,100,4.499487
-46.0,47,4.546416
8.31097,5,4.550743
84.084065,5,4.55528
-16.848554,38,4.589738
-93.541122,100,4.679358
74.536429,5,4.683969
66.947458,5,4.688581
53.670983,5,4.692729
32.941456,5,4.700224
26.670762,5,4.704703
20.665954,5,4.709195
-100.0,100,4.796489
10.93187,7,4.804247
5.17316,6,4.80889
-21.0,21,4.828797
-40.0,40,4.864738
-16.0,16,4.879533
29.083195,5,4.884012
-82.227775,83,4.956741
-42.075623,84,5.029811
88.169312,6,5.035531
-4.118089,5,5.087886
-88.146766,100,5.125988
74.496735,5,5.128474
-1.709936,5,5.130921
40.253205,5,5.133304
40.712646,6,5.147118
47.643695,5,5.152567
-54.0,54,5.202934
-8.423855,10,5.212197
-1.709936,5,5.216713
41.820791,5,5.223133
-82.47033,100,5.310253
-98.105915,100,5.401358
11.619588,5,5.406014
-12.527289,68,5.466529
-35.594327,38,5.498436
10.820151,5,5.507017
-7.105915,10,5.51537
-93.080361,100,5.60337
-100.0,100,5.693708
-80.0,81,5.766094
-50.7381,53,5.815214
-51.105915,53,5.863092
8.907261,5,5.867621
-33.707026,42,5.907038
37.088862,5,5.911524
-35.0,36,5.9429
-97.116982,100,6.03367
19.420365,5,6.040393
-5.0,5,6.044397
-97.6839,100,6.130705
-35.673277,50,6.176827
32.941456,5,6.183602
