#{"t_start": 1752554334.3206835, "env_id": "None"}
r,l,t
0.715378,4,0.012528
-100.0,100,0.186006
-69.294708,70,0.246699
-57.0,57,0.29598
-22.10944,41,0.331125
-21.0,21,0.350626
-99.0,100,0.439218
-10.0,10,0.447712
-53.0,54,0.496304
0.912575,4,0.500392
-89.0,89,0.598117
37.337359,4,0.60305
-2.311523,4,0.607138
8.827081,4,0.611131
-6.96459,10,0.619308
-100.0,100,0.707468
-62.0,62,0.763081
3.904141,4,0.767076
-3.967342,39,0.802323
-100.0,100,0.893294
-10.154566,12,0.904197
3.915627,4,0.908607
-5.0,5,0.912307
-9.32489,10,0.920771
-2.153342,5,0.927087
0.412196,4,0.932878
35.076515,4,0.937005
41.237835,4,0.941707
-100.0,100,1.06181
-13.696131,25,1.084877
-99.407216,100,1.175032
-12.0,12,1.190041
-12.407216,13,1.201606
26.633223,4,1.206139
40.945323,4,1.210276
-100.0,100,1.308175
7.577072,4,1.312214
-2.771277,4,1.315981
0.912575,4,1.320045
31.981854,5,1.327841
14.627563,9,1.337205
18.52402,4,1.342696
-49.407216,51,1.386369
19.627563,4,1.391165
-99.0,100,1.478249
-100.0,100,1.565804
-53.0,53,1.61435
52.724762,4,1.619056
37.590211,4,1.623316
36.718044,5,1.627964
-99.0,100,1.716589
18.916707,4,1.721221
22.173138,4,1.725251
6.684995,4,1.729731
-79.0,79,1.816617
17.394871,4,1.822202
16.488945,4,1.845391
-100.0,100,1.933523
19.746444,5,1.937894
0.912575,4,1.942786
0.355726,4,1.947123
53.536048,4,1.951529
37.921613,4,1.955773
55.514353,4,1.960395
-100.0,100,2.048552
-1.804921,4,2.052814
-100.0,100,2.141998
0.412196,4,2.147058
32.981854,4,2.151241
-2.23223,4,2.155393
-42.489601,62,2.207862
-3.224462,5,2.214838
59.229895,4,2.221519
-99.0,100,2.315465
26.16216,4,2.319497
-65.0,66,2.37582
-100.0,100,2.465144
-1.804921,4,2.469145
34.613956,4,2.4728
31.67131,4,2.47735
2.463181,4,2.481358
-55.0,56,2.530088
-98.429283,100,2.619166
35.076515,4,2.624268
35.076515,4,2.628458
-29.0,29,2.654122
37.921613,4,2.658492
4.483814,4,2.663185
-99.094461,100,2.766934
-100.0,100,2.859686
-6.613021,12,2.870188
49.543551,4,2.875062
10.159777,5,2.881329
8.339486,4,2.885314
8.339486,4,2.889252
-32.0,32,2.917514
-7.34419,8,2.924312
22.173138,4,2.928204
-44.0,44,2.967726
-99.0,100,3.05863
1.077947,4,3.062336
-100.0,100,3.150247
0.402315,4,3.154334
-43.0,43,3.191762
4.59224,4,3.196494
-58.450291,61,3.251148
1.721319,4,3.255271
21.552535,4,3.260157
4.006119,4,3.264224
-100.0,100,3.35208
49.733451,4,3.356109
3.915627,4,3.360978
35.076515,4,3.36551
18.28012,5,3.370785
-13.0,13,3.385335
39.55155,4,3.389993
4.006119,4,3.394046
-14.0,14,3.407537
49.543551,4,3.411504
56.142823,4,3.416273
7.411784,4,3.420253
0.912575,4,3.424235
-46.0,46,3.464017
-82.0,82,3.537578
21.514559,4,3.542313
3.59224,5,3.54657
18.627563,5,3.550619
44.953814,4,3.555262
3.915627,4,3.559346
22.500468,4,3.563319
52.720287,4,3.567274
4.59224,4,3.572232
22.173138,4,3.576191
-100.0,100,3.667367
39.55155,4,3.671422
18.944445,4,3.676221
36.652305,4,3.680383
23.557513,4,3.684408
15.978187,4,3.688159
22.500468,4,3.69297
-100.0,100,3.782161
-100.0,100,3.871714
-58.0,58,3.924373
0.912575,4,3.929869
-57.0,58,3.98034
0.454414,4,3.984373
-96.0,96,4.070629
17.082211,4,4.075484
58.113043,4,4.07923
60.439817,4,4.083472
22.500468,4,4.08777
21.552535,4,4.092394
-1.153342,4,4.096781
-5.0,5,4.100637
20.822251,4,4.10449
3.59224,5,4.111456
-1.306328,4,4.115522
-5.624364,28,4.140498
-49.963493,91,4.218447
-74.0,75,4.287116
-68.0,69,4.346651
53.536048,4,4.350666
22.173138,4,4.354867
-36.0,36,4.387028
-100.0,100,4.475833
26.815468,4,4.479885
2.413336,4,4.484317
-75.0,75,4.573261
53.536048,4,4.577329
-0.278681,4,4.581123
-100.0,100,4.669486
17.082211,4,4.674599
19.218276,4,4.67857
-30.0,30,4.706527
-1.153342,4,4.710629
-27.0,27,4.734102
53.536048,4,4.738102
18.28012,5,4.821716
6.684995,4,4.823729
0.402315,4,4.825768
-100.0,100,4.86351
37.648963,4,4.865489
-3.235589,4,4.878041
20.746444,4,4.882087
-1.306328,4,4.888666
4.931133,4,4.892748
49.733451,4,4.896693
-13.0,13,4.909471
31.981854,5,4.914949
-100.0,100,5.002614
-100.0,100,5.090419
-33.447465,59,5.142106
-100.0,100,5.240735
-1.811837,4,5.244823
-1.887667,4,5.24911
16.143141,4,5.253207
41.237835,4,5.259494
0.355726,4,5.263344
35.076515,4,5.267701
4.483814,4,5.273568
-38.325797,39,5.309213
-100.0,100,5.464674
34.457127,4,5.469028
-1.153342,4,5.473196
43.21486,4,5.479519
37.590211,4,5.483507
3.915627,4,5.487697
7.411784,4,5.491858
-5.095511,6,5.50069
-99.094461,100,5.589564
53.993208,4,5.593639
33.771584,5,5.597477
6.684995,4,5.603573
-100.0,100,5.703123
-100.0,100,5.79332
-100.0,100,5.882444
34.613956,4,5.888447
-26.0,26,5.9131
-100.0,100,6.008857
-70.0,70,6.071688
4.483814,4,6.078088
-30.0,30,6.106765
-31.0,32,6.135052
7.411784,4,6.139254
34.419678,4,6.144942
-100.0,100,6.234935
-36.0,36,6.266909
19.909145,4,6.270917
20.682916,4,6.277139
-68.0,68,6.336967
-8.529692,13,6.348257
18.827622,4,6.353092
-85.0,85,6.430043
-51.0,51,6.475857
-1.884074,4,6.480039
7.411784,4,6.484412
-2.224462,4,6.490585
37.921613,4,6.494756
6.684995,4,6.498982
-72.0,72,6.562787
0.912575,4,6.568732
38.40977,4,6.572688
-100.0,100,6.66382
45.843371,4,6.667835
