#{"t_start": 1752554446.5441117, "env_id": "None"}
r,l,t
-99.0,100,0.237682
-56.0,56,0.286682
11.806212,5,0.294381
-100.0,100,0.381686
-44.580183,48,0.423925
25.085232,5,0.42849
-83.945881,100,0.536752
-100.0,100,0.631799
24.941992,5,0.636362
-100.0,100,0.727758
73.397077,5,0.73466
-48.201646,60,0.787679
-75.406022,100,0.878154
17.610891,5,0.884375
-11.0,11,0.894741
11.067053,5,0.901052
-100.0,100,0.988541
-100.0,100,1.123089
-43.0,43,1.163387
36.445349,19,1.181044
-41.981224,63,1.237115
-99.0,100,1.340769
-99.105461,100,1.430494
15.656068,5,1.435051
-18.0,18,1.452656
-44.592086,86,1.52908
22.617329,27,1.555651
-54.108955,57,1.60508
58.535055,5,1.611457
-36.338919,38,1.645914
-35.0,35,1.680946
80.45097,5,1.685483
-29.0,29,1.710714
10.932851,5,1.715294
-49.213834,66,1.779256
-23.510774,25,1.802063
-27.699411,66,1.863695
10.932851,5,1.868247
-2.712112,47,1.914869
10.467879,5,1.919595
-100.0,100,2.011438
1.472528,5,2.015721
-58.0,59,2.072218
-95.464881,100,2.169181
-1.615904,5,2.173743
39.856193,5,2.178305
-19.213834,36,2.212179
-95.951571,100,2.325753
-57.0,57,2.379426
16.671666,5,2.383837
21.90258,5,2.390449
-41.596094,42,2.428097
-11.540435,12,2.438844
16.709467,5,2.443625
12.64235,5,2.449726
7.494305,5,2.454443
-100.0,100,2.544329
-36.0,36,2.575952
48.784597,5,2.584193
23.044031,5,2.58871
4.595534,5,2.59321
-96.709936,100,2.682981
15.608966,5,2.689476
22.053996,8,2.696786
26.746167,5,2.703433
24.267819,5,2.708139
-22.873525,51,2.75781
39.018794,5,2.762485
-98.320193,100,2.853917
39.856193,5,2.858545
-99.0,100,2.949826
7.80186,5,2.954178
3.074021,5,2.959747
-100.0,100,3.051402
-57.907725,61,3.109465
-4.249507,5,3.113967
19.860978,5,3.11854
24.29075,5,3.125046
-7.212441,8,3.134543
19.450911,5,3.139047
40.967052,5,3.143581
-99.0,100,3.232943
16.551375,5,3.239841
-29.0,29,3.26715
-95.464881,100,3.358524
-90.658787,100,3.45226
24.021097,5,3.458911
4.911545,15,3.472976
-4.227775,5,3.477493
11.133337,5,3.481519
18.668469,5,3.487709
26.435159,5,3.494422
76.483339,5,3.498852
-99.0,100,3.590145
27.186476,5,3.596462
-2.664317,5,3.601016
30.561928,5,3.607718
25.279566,5,3.613493
7.149745,6,3.620628
-13.55853,42,3.659612
22.793055,5,3.663831
-74.0,74,3.731332
40.200169,5,3.737882
50.350851,5,3.742765
11.838446,5,3.747646
18.690057,12,3.758541
-65.0,66,3.823596
-97.479571,100,3.915254
114.977949,5,3.919867
-5.71178,22,3.939793
-100.0,100,4.032298
-2.664317,5,4.036999
