#{"t_start": 1752553887.9199834, "env_id": "None"}
r,l,t
-98.0,98,0.136975
-100.0,100,0.223072
-5.0,5,0.227929
-89.12407,100,0.314495
-88.8343,100,0.405104
-88.8343,100,0.547902
15.745329,4,0.553126
-100.0,100,0.645743
5.36757,3,0.649373
15.745329,4,0.653317
13.041598,4,0.660612
6.36757,3,0.664206
-41.12407,52,0.710073
-18.12407,29,0.736684
-50.0,50,0.779727
7.87593,3,0.784139
-58.0,58,0.835504
-5.0,5,0.839652
-19.0,19,0.857246
-100.0,100,0.965403
-58.0,58,1.014585
-11.0,11,1.024598
19.336963,3,1.028945
-100.0,100,1.115314
14.041598,3,1.11698
-100.0,100,1.203682
16.745329,3,1.208025
6.36757,3,1.211602
16.745329,3,1.215077
-89.12407,100,1.304139
-21.12407,32,1.338699
-89.12407,100,1.425907
19.336963,3,1.427612
-100.0,100,1.51438
-5.63243,15,1.52912
-89.12407,100,1.622436
-18.0,18,1.639218
14.041598,3,1.640862
-1.596094,3,1.646311
-1.596094,3,1.649932
-39.0,39,1.683309
14.041598,3,1.684947
8.202445,3,1.689154
6.36757,3,1.692739
8.202445,3,1.696201
5.36757,3,1.697577
8.202445,3,1.702924
5.36757,3,1.706076
-79.130602,88,1.781746
6.87593,4,1.786194
16.745329,3,1.790409
-100.0,100,1.877927
14.041598,3,1.879638
-41.0,41,1.916295
-81.0,81,1.987013
-7.0,8,1.994383
14.041598,3,1.997827
4.36757,5,2.002239
14.041598,3,2.00658
-78.12407,89,2.084504
-86.0,86,2.157627
-1.596094,4,2.16177
19.336963,3,2.166017
-88.0,88,2.241272
-9.0,9,2.249725
-56.0,56,2.297888
-31.0,31,2.328629
-58.0,58,2.379628
-23.0,23,2.398013
-17.0,17,2.414412
4.36757,5,2.419214
16.745329,3,2.422816
-100.0,100,2.512738
-100.0,100,2.602068
-100.0,100,2.688987
-100.0,100,2.779803
14.041598,3,2.78154
14.041598,3,2.784792
16.839728,3,2.78908
-1.596094,4,2.793267
-55.0,55,2.841796
14.041598,3,2.843533
16.538833,3,2.847861
-100.0,100,2.939537
19.336963,3,2.943197
-1.596094,4,2.947684
14.041598,3,2.952349
-1.596094,4,2.956669
16.745329,3,2.958385
14.041598,3,2.961961
13.041598,4,2.966466
-99.0,100,3.056308
-46.0,46,3.098579
16.745329,3,3.100057
-100.0,100,3.192131
19.336963,3,3.195772
-63.0,63,3.253382
-99.0,99,3.342625
-100.0,100,3.432711
-51.0,51,3.477442
-22.0,22,3.498073
16.745329,3,3.501673
14.041598,3,3.504248
16.745329,3,3.507841
-1.596094,4,3.512105
14.041598,3,3.515717
-16.0,16,3.530696
14.041598,3,3.534269
14.041598,3,3.535998
-37.0,37,3.570919
19.336963,3,3.573329
16.745329,3,3.57699
-30.12407,41,3.612936
14.041598,3,3.616628
-49.63243,58,3.671222
16.745329,3,3.672948
-100.0,100,3.762367
15.745329,4,3.766176
14.041598,3,3.770681
-36.130602,45,3.811087
-5.63243,14,3.824666
14.041598,3,3.828655
8.1657,3,3.831035
-89.12407,100,3.921762
-61.12407,72,3.987386
-85.0,86,4.06688
19.336963,3,4.071386
-16.0,16,4.085795
-52.0,52,4.132895
-100.0,100,4.223679
-100.0,100,4.313643
16.538833,3,4.315392
-100.0,100,4.403902
14.041598,3,4.407418
-100.0,100,4.497235
5.36757,3,4.500468
14.041598,3,4.503961
-21.0,21,4.521781
15.745329,4,4.526544
-100.0,100,4.614853
-100.0,100,4.671217
19.336963,3,4.672784
-100.0,100,4.710052
19.336963,3,4.711631
14.041598,3,4.71314
-65.0,65,4.779032
19.336963,3,4.780688
-91.63243,100,4.868928
14.424625,3,4.872442
18.752592,3,4.875939
-50.63243,59,4.927891
-82.575375,100,5.01679
18.752592,3,5.018476
14.041598,3,5.021931
-47.0,47,5.063928
-26.63243,36,5.097753
6.36757,3,5.101134
14.041598,3,5.102549
-1.596094,3,5.106241
19.336963,3,5.111729
-97.596094,100,5.199408
18.752592,3,5.202924
-2.0,3,5.204327
18.752592,3,5.209843
18.752592,3,5.21335
15.745329,4,5.217241
14.424625,3,5.2207
-33.0,33,5.251642
15.745329,4,5.255543
5.36757,3,5.258725
14.041598,3,5.260355
14.041598,3,5.265684
-1.596094,4,5.269827
18.752592,3,5.273412
-100.0,100,5.361511
17.752592,4,5.367316
-97.596094,100,5.501041
-2.0,3,5.504958
14.424625,3,5.507085
18.752592,3,5.513007
18.752592,3,5.516952
15.745329,4,5.523407
18.752592,3,5.527452
14.424625,3,5.530057
14.041598,3,5.53404
14.424625,3,5.537809
-1.596094,4,5.54227
-76.0,76,5.614265
-100.0,100,5.709877
-1.596094,4,5.714643
17.752592,4,5.718616
19.336963,3,5.723248
19.336963,3,5.725019
15.745329,4,5.729244
-1.596094,4,5.73377
-100.0,100,5.828032
19.336963,3,5.831732
-1.596094,4,5.836182
14.424625,3,5.839883
14.424625,3,5.844685
18.752592,3,5.846314
14.041598,3,5.850184
-59.63243,69,5.915954
-1.596094,4,5.921142
-36.63243,45,5.96643
7.87593,3,5.968303
-42.0,42,6.008399
-24.0,24,6.031585
18.752592,3,6.035577
8.424625,9,6.043362
-90.63243,99,6.136875
7.87593,3,6.139122
14.041598,3,6.142809
8.1657,3,6.146182
14.041598,3,6.149902
14.424625,3,6.1525
14.041598,3,6.156262
5.36757,3,6.159546
15.431888,4,6.163657
-8.0,8,6.17195
-99.0,100,6.266446
14.424625,3,6.270192
-66.0,67,6.332098
14.424625,3,6.33666
14.041598,3,6.340392
13.041598,4,6.344338
-1.596094,4,6.34875
-1.596094,4,6.35381
16.745329,3,6.357551
-74.596094,77,6.429641
-97.596094,100,6.525246
15.745329,4,6.530339
1.36757,7,6.538271
-2.0,3,6.540283
14.424625,3,6.54526
-21.63243,30,6.575829
14.424625,3,6.577507
14.041598,3,6.58129
-33.63243,42,6.621618
14.041598,3,6.624286
18.752592,3,6.62788
15.431888,4,6.631822
-1.596094,4,6.636767
18.752592,3,6.641165
14.424625,3,6.644903
14.041598,3,6.646546
18.752592,3,6.65029
6.555226,3,6.654555
14.041598,3,6.658221
15.745329,4,6.662308
14.424625,3,6.66423
15.745329,4,6.669001
-3.63243,13,6.682713
-1.596094,4,6.687285
19.336963,3,6.688809
-0.63243,9,6.699834
14.424625,3,6.701515
16.745329,3,6.705241
14.424625,3,6.708999
16.538833,3,6.71402
14.041598,3,6.715936
5.36757,3,6.719252
-1.596094,4,6.723671
8.1657,3,6.727677
16.538833,3,6.731362
15.839728,4,6.735388
14.424625,3,6.737195
16.538833,3,6.741596
5.36757,3,6.745128
16.745329,3,6.748868
14.424625,3,6.750508
16.839728,3,6.754997
16.538833,3,6.758696
-1.596094,4,6.763318
16.839728,3,6.767156
8.1657,3,6.769426
14.041598,3,6.773016
14.041598,3,6.776911
14.041598,3,6.780686
14.041598,3,6.783102
14.041598,3,6.786882
16.538833,3,6.790635
16.538833,3,6.794526
14.041598,3,6.797376
16.745329,3,6.801169
-82.575375,100,6.89308
16.431888,3,6.896946
14.424625,3,6.901574
0.555226,8,6.909688
18.752592,3,6.911547
16.431888,3,6.915193
19.336963,3,6.919679
16.745329,3,6.925089
14.424625,3,6.9268
14.041598,3,6.930369
-17.63243,26,6.956507
-1.596094,4,6.960876
14.424625,3,6.962513
19.336963,3,6.96623
7.87593,3,6.970541
