#{"t_start": 1752554106.8543482, "env_id": "None"}
r,l,t
-79.646526,100,0.187048
-90.738585,100,0.276941
-26.0,26,0.301983
-65.423055,67,0.36145
-97.815492,100,0.451081
8.55174,4,0.455182
-0.452916,4,0.460051
2.523416,4,0.464372
8.502251,4,0.468383
34.090777,4,0.472383
-2.896332,5,0.477026
-70.0,71,0.559788
34.711692,4,0.563869
-22.0,23,0.582682
-79.631748,89,0.66474
4.853073,4,0.668708
4.853073,4,0.672834
10.819785,4,0.676931
-36.0,36,0.710309
-98.035108,100,0.799411
5.329524,4,0.803612
4.853073,4,0.808053
-28.650454,35,0.838115
-22.0,22,0.858504
-18.966125,59,0.911728
34.361846,4,0.915847
22.378163,4,0.920864
31.708704,5,0.925273
-95.197481,100,1.021277
36.650874,4,1.052447
-18.815492,21,1.074219
-2.192189,5,1.07934
5.153146,4,1.083367
23.321261,4,1.087389
-0.095067,5,1.094518
-20.508942,24,1.117627
34.847276,4,1.121997
-7.0,7,1.126901
-100.0,100,1.217887
10.665548,4,1.223189
-22.690744,25,1.24876
-94.899073,100,1.354182
-1.120382,4,1.359298
-98.0,98,1.44396
-79.0,79,1.516736
10.58273,4,1.521053
-91.610236,100,1.610389
-57.0,58,1.663573
-33.0,33,1.69412
-63.067468,71,1.756615
-5.294454,21,1.778009
-32.0,32,1.805823
-94.0,94,1.887964
-70.474168,72,1.960143
-0.11359,4,1.978884
-21.0,21,1.997902
1.329524,8,2.00538
-52.862369,56,2.053846
-18.0,18,2.071342
33.327028,4,2.07534
-17.700676,27,2.116442
10.765911,4,2.120724
-0.361569,4,2.125283
2.16729,19,2.140222
10.665548,4,2.144498
-27.815492,30,2.172897
-50.0,50,2.216654
-47.0,47,2.265546
-13.0,13,2.276454
-41.0,41,2.313332
-100.0,100,2.403149
-16.0,17,2.417716
-99.0,100,2.505616
4.385472,4,2.509679
1.141808,4,2.514547
19.50284,4,2.518717
2.464758,4,2.523364
-18.309144,35,2.554489
-0.075387,4,2.559879
0.572652,4,2.564112
5.329524,4,2.568352
8.230738,4,2.572325
-11.309144,29,2.598147
-16.520842,21,2.616044
24.000552,4,2.620103
-20.555241,53,2.665161
1.712825,4,2.669789
1.141808,4,2.673763
-100.0,100,2.762214
1.141808,4,2.766857
16.353474,4,2.771365
4.474892,4,2.775073
3.023326,4,2.779073
-100.0,100,2.866145
-5.0,5,2.872892
-70.0,71,2.933827
-18.0,18,2.950676
15.238964,4,2.954652
0.196911,4,2.958817
-0.133561,4,2.962562
5.417558,4,2.966607
-57.078268,67,3.027568
-0.361569,4,3.032057
3.023326,4,3.036042
-100.0,100,3.123867
23.724858,4,3.128101
15.664971,4,3.13289
21.695233,4,3.136925
5.935497,4,3.140995
11.841507,4,3.144988
-25.697976,30,3.171075
-10.0,10,3.182632
5.417558,4,3.186645
-1.763326,4,3.190633
24.000552,4,3.195342
-62.345321,85,3.269165
10.048471,4,3.273172
-3.313758,5,3.27769
63.965465,4,3.282551
-7.440825,20,3.299919
-100.0,100,3.40262
-54.345321,77,3.470528
33.414658,4,3.475461
-30.0,30,3.502432
-100.0,100,3.588863
27.213534,4,3.595274
-2.790169,4,3.600951
7.568656,4,3.604941
-4.0,4,3.608309
-66.0,66,3.66445
-83.309144,100,3.753634
1.930368,4,3.757342
23.736413,4,3.761234
-2.274713,4,3.765379
-17.0,17,3.782348
-5.0,5,3.786249
-57.133561,61,3.838386
0.464758,6,3.844555
7.598774,4,3.849511
-89.270942,99,3.935401
-100.0,100,4.023568
-10.243208,14,4.036844
-15.0,15,4.050965
-99.0,100,4.137913
7.739483,4,4.141659
-61.259334,66,4.198656
-2.753995,4,4.203456
23.556169,4,4.207483
5.102543,4,4.21147
-49.449761,53,4.256768
-14.0,14,4.270556
9.399062,4,4.274715
8.601228,4,4.278714
-36.240744,50,4.320762
-57.642706,79,4.392813
16.772809,4,4.396601
-89.393603,100,4.48261
-6.0,6,4.489007
14.258591,4,4.494348
26.794198,4,4.498466
2.356932,4,4.502457
4.303868,4,4.506427
-8.004885,10,4.515114
44.177446,4,4.51913
45.058858,4,4.523156
-51.0,51,4.572678
-2.790169,4,4.57732
-1.825407,4,4.581278
-85.035108,87,4.657985
2.464758,4,4.662018
43.019709,5,4.667159
38.15382,4,4.742845
-100.0,100,4.780511
-100.0,100,4.818136
-100.0,100,4.854719
-100.0,100,4.891879
3.662228,4,4.952504
-100.0,100,5.042703
-100.0,100,5.136081
-41.0,41,5.175516
-43.748548,68,5.236097
15.238964,4,5.240309
-29.004885,31,5.266518
22.378163,4,5.27173
2.464758,4,5.275791
1.473047,4,5.27998
8.230738,4,5.284309
-100.0,100,5.374133
6.09717,4,5.378588
-60.0,60,5.43298
4.853073,4,5.437263
-10.133561,14,5.451617
4.147866,4,5.455879
44.177446,4,5.459896
-95.198389,100,5.549614
8.023899,4,5.554647
2.88001,4,5.558478
-30.520842,35,5.59654
-32.555973,39,5.631374
-84.595602,89,5.715537
-19.520842,24,5.738782
5.153146,4,5.742839
5.153146,4,5.746866
-96.620963,100,5.839882
-30.0,30,5.867163
14.478085,4,5.870975
39.920487,4,5.875046
18.000552,10,5.886558
-33.0,33,5.915666
9.996882,5,5.919877
0.100927,5,5.924312
10.996882,4,5.929077
5.417558,4,5.933457
5.417558,4,5.937537
-99.0,100,6.029011
-2.152423,4,6.033922
-42.0,42,6.072883
13.676276,4,6.076625
9.198944,4,6.080628
11.824164,4,6.085402
21.695233,4,6.089399
26.978891,8,6.096702
15.518992,4,6.10041
2.464758,4,6.105163
-93.555973,100,6.192914
-49.555973,56,6.241672
-9.449761,13,6.252912
3.646867,5,6.257912
