#{"t_start": 1752554554.731149, "env_id": "None"}
r,l,t
33.290293,5,0.033095
34.290293,4,0.047856
34.290293,4,0.052124
38.112093,4,0.066036
-19.0,20,0.119393
22.78404,4,0.137429
-98.634557,100,0.225888
-85.595052,100,0.315781
-100.0,100,0.405568
-95.0,95,0.491441
-100.0,100,0.599127
-80.39332,100,0.69079
-37.0,37,0.729982
27.033485,4,0.734141
47.126193,4,0.738286
5.323759,4,0.74327
-3.21596,30,0.768929
6.748024,22,0.790615
26.985028,4,0.794623
5.323759,4,0.799447
35.627805,4,0.803621
20.846181,4,0.807731
55.046994,4,0.811725
30.431526,4,0.816416
33.363386,4,0.820435
5.652968,4,0.824476
24.019171,39,0.857139
16.709731,4,0.861929
-48.873807,100,0.952316
55.046994,4,0.957504
11.795905,4,0.961793
-61.0,61,1.019443
52.896973,4,1.023651
32.875773,4,1.027542
20.546901,4,1.031255
52.896973,4,1.036137
20.704595,4,1.04033
39.019171,24,1.064043
-82.0,82,1.138952
-83.141103,100,1.228091
22.755265,5,1.23247
20.091072,4,1.236246
20.267259,4,1.240233
-4.253721,20,1.258878
23.755265,4,1.26298
55.609948,4,1.267012
-100.0,100,1.374905
55.046994,4,1.379954
32.41502,4,1.384045
48.134774,5,1.39031
21.78404,5,1.394569
59.019171,4,1.399451
38.24278,4,1.403589
-73.0,73,1.467967
52.896973,4,1.472106
-21.0,21,1.491515
16.395499,4,1.495875
26.989838,4,1.500075
52.896973,4,1.504165
25.171432,4,1.508965
38.24278,4,1.513067
37.561512,4,1.517886
-30.806685,45,1.560516
-25.634557,27,1.585257
20.103305,4,1.58944
23.856792,4,1.593453
47.126193,4,1.597553
10.193315,4,1.601948
34.209418,4,1.606119
16.709731,4,1.610312
38.24278,4,1.61438
-43.805706,75,1.686
62.182139,4,1.690155
62.25902,4,1.694187
32.801477,4,1.698409
5.323759,4,1.703452
27.194294,4,1.708258
20.846181,4,1.712394
28.810277,4,1.716129
23.856792,4,1.72061
35.026343,4,1.724651
33.290293,4,1.728533
52.896973,4,1.732694
22.788333,4,1.737562
55.208744,4,1.741796
32.199966,4,1.745873
-27.634557,29,1.77127
55.208744,4,1.776047
24.171432,5,1.782173
-62.806685,77,1.849918
-59.123627,100,1.94146
20.93886,14,1.954456
55.609948,4,1.958767
55.208744,4,1.962815
55.609948,4,1.966457
35.026343,4,1.971333
-24.537364,34,2.003242
12.158611,27,2.02834
42.642309,4,2.032772
-86.0,87,2.112779
55.609948,4,2.11692
62.25902,4,2.121197
5.323759,4,2.125505
27.725057,4,2.130396
20.103305,4,2.134706
45.60199,4,2.139036
-100.0,100,2.231636
20.395346,4,2.236382
25.171432,4,2.240646
45.60199,4,2.244766
42.642309,4,2.248849
-74.0,75,2.320158
28.162157,4,2.324282
-100.0,100,2.416177
32.875773,5,2.42124
-0.157252,31,2.451521
-6.537364,16,2.465886
61.629314,4,2.46989
28.162157,4,2.473993
-40.805706,72,2.539278
12.790597,5,2.543958
-61.0,61,2.603319
42.721309,4,2.607521
-79.753566,100,2.698665
49.134774,4,2.70295
35.026343,4,2.707132
-18.551985,34,2.73823
18.728604,6,2.745639
42.330263,4,2.749748
42.174151,4,2.75389
10.733575,8,2.761584
52.816961,4,2.766548
-8.0,8,2.773937
26.598743,4,2.778051
39.265087,4,2.782193
-70.0,70,2.845414
-20.0,20,2.863632
39.265087,4,2.867769
-24.0,25,2.89078
55.333159,5,2.898381
59.019171,4,2.902795
-98.39741,100,2.996871
-62.709707,100,3.087937
35.026343,4,3.09314
29.157289,4,3.096964
42.940573,4,3.101088
22.788333,4,3.105202
-29.0,29,3.131469
46.016186,4,3.135565
17.125487,4,3.139695
45.60199,4,3.143754
-32.0,33,3.173781
35.158611,4,3.17807
22.788333,4,3.182149
55.208744,4,3.186366
36.84834,4,3.191072
55.208744,4,3.195268
-88.0,89,3.277472
59.019171,4,3.281713
22.788333,4,3.286651
33.290293,4,3.29054
29.522672,4,3.294591
22.788333,4,3.299055
16.963304,4,3.30405
-31.155399,37,3.339158
52.896973,4,3.343351
32.199966,4,3.347544
22.788333,4,3.352402
59.019171,4,3.356482
55.609948,4,3.360618
-17.0,17,3.375573
35.158611,4,3.380425
16.527861,4,3.384541
-67.466249,90,3.467799
-12.123627,53,3.517431
29.522672,4,3.522478
55.208744,4,3.526619
31.971716,4,3.531512
35.602065,4,3.535252
46.891112,4,3.54001
-100.0,100,3.660928
55.208744,4,3.665883
23.474566,4,3.669684
62.182139,4,3.674709
-17.0,17,3.690935
42.330263,4,3.695003
38.108395,4,3.699019
35.627805,4,3.703868
39.528638,4,3.707797
58.378491,4,3.711938
32.700789,4,3.716199
29.522672,4,3.720982
59.019171,4,3.725146
-44.753566,65,3.784368
-99.0,100,3.878699
-60.805706,92,3.963995
28.162157,4,3.968132
16.963304,4,3.972293
16.59088,4,3.976079
38.541061,4,3.981127
33.071257,4,3.985292
7.667816,5,3.989355
55.208744,4,3.993407
58.378491,4,4.000216
-100.0,100,4.114183
-100.0,100,4.202991
16.527861,4,4.206823
28.616294,4,4.211725
12.255497,6,4.218517
16.941237,5,4.223042
55.208744,4,4.227205
59.019171,4,4.231924
-99.0,100,4.321261
52.896973,4,4.32535
41.330263,5,4.329549
-59.123627,100,4.417889
42.642309,4,4.422057
15.44844,4,4.426317
30.907926,4,4.43037
53.401911,4,4.435462
58.378491,4,4.439492
42.642309,4,4.4436
30.907926,4,4.447777
18.914001,4,4.452609
42.330263,4,4.456761
16.963304,4,4.460902
39.121051,4,4.464911
-100.0,100,4.554412
-3.551985,19,4.571868
-49.0,49,4.615798
-99.0,100,4.703463
59.019171,4,4.708313
-99.0,100,4.794812
23.755265,4,4.799013
55.208744,4,4.803079
12.790597,5,4.810152
28.162157,4,4.814193
35.602065,4,4.817989
-30.0,30,4.844843
-100.0,100,4.905558
-100.0,100,4.942578
-100.0,100,4.979597
-100.0,100,5.01744
-88.164445,100,5.054404
3.802806,16,5.076043
-40.271396,65,5.134163
-99.0,100,5.222504
13.790597,4,5.226666
-77.466249,100,5.315267
35.627805,4,5.319426
-100.0,100,5.409096
-47.878949,91,5.487855
42.174151,4,5.492671
35.026343,4,5.496673
22.78404,4,5.500651
38.24278,4,5.504717
-44.0,44,5.54482
22.788333,4,5.548818
31.971716,4,5.552877
62.957875,4,5.556885
-81.0,81,5.630258
22.78404,4,5.63473
38.24278,4,5.638734
32.199966,4,5.642726
35.158611,4,5.647455
38.24278,4,5.651465
56.743868,4,5.655202
41.174151,5,5.659426
31.971716,4,5.664058
-99.0,100,5.752483
44.072591,4,5.756508
35.026343,4,5.760498
55.208744,4,5.765227
59.571192,4,5.769098
29.522672,4,5.773206
22.78404,4,5.779957
-59.806685,74,5.846053
28.616294,4,5.850155
35.026343,4,5.854138
55.208744,4,5.858315
38.24278,4,5.86297
55.208744,4,5.867071
28.162157,4,5.871117
32.700789,4,5.875118
38.24278,4,5.879832
31.146512,23,5.902197
-100.0,100,5.990571
-99.0,100,6.080015
16.225437,4,6.084561
38.541061,4,6.088548
-100.0,100,6.17673
32.199966,4,6.180777
13.255497,5,6.186537
-42.806685,57,6.237783
0.844601,4,6.241473
-100.0,100,6.33073
62.182139,4,6.335595
52.896973,4,6.339659
13.983715,4,6.343739
22.78404,4,6.347699
42.330263,4,6.352344
46.891112,4,6.356292
-36.0,36,6.388026
22.788333,4,6.392086
52.896973,4,6.396914
13.255497,5,6.401594
28.616294,4,6.405655
37.561512,4,6.409771
52.896973,4,6.414268
39.265087,4,6.418385
59.019171,4,6.422394
-2.634557,4,6.426137
55.208744,4,6.430871
22.755265,4,6.434596
33.290293,4,6.438388
-90.676241,100,6.527788
-32.0,33,6.557177
45.60199,4,6.561301
52.896973,4,6.565506
38.24278,4,6.569558
38.24278,4,6.574638
19.103305,5,6.578689
28.616294,4,6.582666
-77.466249,100,6.670967
-25.0,25,6.694999
38.24278,4,6.699466
15.246434,5,6.704151
-100.0,100,6.79271
-61.466249,84,6.867227
38.276076,4,6.871293
28.162157,4,6.87534
38.24278,4,6.879336
38.541061,4,6.884091
52.896973,4,6.88817
22.788333,4,6.892168
52.896973,4,6.896365
34.072957,4,6.900768
42.174151,4,6.904842
38.24278,4,6.908894
55.046994,4,6.912938
56.743868,4,6.917632
52.735222,4,6.923138
38.24278,4,6.927166
62.182139,4,6.931216
15.802806,4,6.935589
-77.466249,100,7.023538
45.60199,4,7.027587
28.616294,4,7.031323
44.072591,4,7.036061
59.62804,4,7.040093
36.876373,4,7.043801
35.026343,4,7.047852
18.914001,4,7.052533
-22.806685,37,7.085967
38.24278,4,7.090027
38.24278,4,7.09405
30.817558,4,7.098203
-33.0,34,7.128877
33.071257,4,7.132915
59.019171,4,7.136963
31.971716,4,7.141617
22.755265,4,7.145465
22.788333,4,7.149455
41.174151,5,7.153399
78.188294,4,7.158081
45.60199,4,7.162111
28.162157,4,7.166192
5.323759,4,7.170177
56.743868,4,7.174633
58.62804,5,7.178867
56.743868,4,7.182764
36.876373,4,7.186448
16.709731,4,7.19126
43.704755,4,7.195227
26.985028,4,7.198713
22.788333,4,7.202725
55.208744,4,7.207427
16.59088,4,7.2115
32.700789,4,7.215492
43.659594,4,7.219612
35.026343,4,7.22428
-77.466249,100,7.312576
16.59088,4,7.316343
-25.806685,40,7.352165
52.896973,4,7.356936
46.016186,4,7.360913
33.071257,4,7.364892
52.896973,4,7.369019
42.642309,4,7.373674
62.957875,4,7.377668
14.60668,5,7.381277
59.019171,4,7.385266
32.199966,4,7.390038
55.208744,4,7.394021
52.896973,4,7.398083
55.609948,4,7.402112
32.700789,4,7.406905
-68.676241,78,7.476835
52.896973,4,7.480902
42.174151,4,7.484987
7.913921,8,7.493191
52.896973,4,7.49729
31.971716,4,7.501253
-53.086079,69,7.564165
-100.0,100,7.657731
38.24278,4,7.66194
-89.0,90,7.744582
35.969859,4,7.748644
-7.466249,30,7.773971
37.270326,4,7.778031
5.323759,4,7.78211
22.788333,4,7.786214
22.755265,4,7.790712
52.896973,4,7.794793
36.876373,4,7.798488
55.208744,4,7.802464
28.261928,4,7.807138
59.019171,4,7.811086
5.323759,4,7.815021
38.24278,4,7.819022
28.616294,4,7.823851
52.735222,4,7.827957
56.743868,4,7.832024
20.395346,4,7.835738
17.019171,46,7.879364
23.467431,4,7.883092
35.521189,4,7.886532
-90.676241,100,7.976118
62.25902,4,7.981018
35.026343,4,7.985067
1.432342,4,7.989043
62.25902,4,7.993044
22.78404,4,7.997694
2.193315,12,8.00901
32.199966,4,8.013045
59.240172,4,8.017129
35.026343,4,8.021892
45.631669,4,8.025726
32.199966,4,8.029889
28.261928,4,8.033953
22.788333,4,8.038669
-24.791256,84,8.113271
59.240172,4,8.117347
58.378491,4,8.121367
28.162157,4,8.126072
31.971716,4,8.130114
52.896973,4,8.134236
56.743868,4,8.138331
36.876373,4,8.142747
32.199966,4,8.146772
58.378491,4,8.150762
-62.676241,72,8.214741
38.24278,4,8.219425
38.24278,4,8.22341
5.323759,4,8.227473
-16.853488,71,8.29005
16.709731,4,8.294746
38.24278,4,8.298805
5.323759,4,8.302763
5.323759,4,8.306766
27.033485,4,8.311648
32.700789,4,8.315681
56.743868,4,8.319808
-33.0,34,8.351832
-8.806685,23,8.37326
15.44844,4,8.377026
-81.255996,100,8.46469
26.985028,4,8.468645
38.24278,4,8.473381
38.456121,4,8.47718
43.659594,4,8.481225
-100.0,100,8.570026
22.788333,4,8.574945
16.748024,12,8.585899
38.24278,4,8.589977
59.240172,4,8.594095
38.276076,4,8.598947
52.896973,4,8.603042
-10.853488,65,8.659766
38.24278,4,8.663765
52.896973,4,8.668813
59.62804,4,8.672908
16.709731,4,8.67703
38.276076,4,8.681127
55.046994,4,8.68579
52.896973,4,8.689826
55.046994,4,8.693864
-58.438488,100,8.782755
42.174151,4,8.787649
43.483884,5,8.791861
22.78404,4,8.795844
-23.676241,33,8.825641
55.208744,4,8.83032
28.616294,4,8.834299
-30.806685,45,8.874974
33.209418,4,8.878726
33.290293,4,8.883112
5.323759,4,8.887051
38.24278,4,8.891016
22.788333,4,8.894969
37.270326,4,8.899647
38.24278,4,8.903636
38.24278,4,8.907595
-85.806685,100,8.994653
44.745837,4,8.999173
-97.0,98,9.083686
56.743868,4,9.087731
62.957875,4,9.091731
22.755265,4,9.096109
59.989871,5,9.100506
45.60199,4,9.104587
39.528638,4,9.108311
62.957875,4,9.112959
0.844601,4,9.116792
22.788333,4,9.120892
1.432342,4,9.126365
15.246434,5,9.133615
-22.255996,41,9.169837
33.290293,4,9.173643
1.432342,4,9.177677
28.261928,4,9.182177
1.432342,4,9.186186
44.745837,4,9.189869
45.60199,4,9.193838
1.432342,4,9.198472
46.016186,4,9.202471
-29.123627,70,9.264879
45.60199,4,9.268892
-0.204095,16,9.283934
1.432342,4,9.28792
5.323759,4,9.291874
15.44844,4,9.295563
22.788333,4,9.300241
-84.204095,100,9.387976
-79.753566,100,9.480334
38.24278,4,9.484387
59.240172,4,9.489285
42.174151,4,9.493285
52.896973,4,9.497344
32.199966,4,9.501319
16.709731,4,9.506148
55.208744,4,9.510205
35.602065,4,9.513904
-56.878949,100,9.602322
78.188294,4,9.60708
14.561512,27,9.632212
30.971716,5,9.636387
55.208744,4,9.640746
38.24278,4,9.679938
31.971716,4,9.681905
22.788333,4,9.683926
-81.255996,100,9.721342
35.627805,4,9.723364
27.725057,4,9.733464
55.208744,4,9.737518
16.709731,4,9.741624
25.985028,5,9.747916
33.071257,4,9.752592
38.24278,4,9.756705
20.267259,4,9.760683
58.378491,4,9.764653
52.735222,4,9.770536
31.971716,4,9.774536
-31.086079,47,9.814081
43.659594,4,9.818071
32.199966,4,9.82269
38.24278,4,9.826655
7.913921,8,9.834173
22.78404,4,9.838181
28.874318,4,9.842998
10.193315,4,9.846745
15.748024,13,9.860128
5.193315,9,9.867702
52.896973,4,9.872415
56.743868,4,9.876414
59.989871,5,9.880688
37.270326,4,9.884724
22.78404,4,9.88934
37.270326,4,9.895173
39.140771,4,9.898867
-100.0,100,9.986316
38.24278,4,9.991223
5.323759,4,9.995217
56.743868,4,9.999219
22.755265,4,10.002902
62.25902,4,10.007617
38.24278,4,10.011618
52.735222,4,10.015675
28.874318,4,10.019742
9.319989,26,10.044368
37.270326,4,10.04836
42.174151,4,10.052349
38.276076,4,10.057759
55.609948,4,10.062414
55.208744,4,10.066406
43.704755,4,10.070172
-90.676241,100,10.158299
38.24278,4,10.163274
5.795905,10,10.171322
-98.0,98,10.258568
16.478112,4,10.262302
5.323759,4,10.267004
11.795905,4,10.271143
35.627805,4,10.27558
38.24278,4,10.279702
38.276076,4,10.284385
60.989871,4,10.288522
0.844601,4,10.292165
62.182139,4,10.296146
31.971716,4,10.300761
32.199966,4,10.304735
50.146512,4,10.30868
1.432342,4,10.312648
22.78404,4,10.317284
43.659594,4,10.321279
22.755265,4,10.324992
55.208744,4,10.328978
52.896973,4,10.333675
26.428048,4,10.337589
52.896973,4,10.341633
55.046994,4,10.345602
11.795905,4,10.349965
62.25902,4,10.354062
46.016186,4,10.358033
59.019171,4,10.362003
42.174151,4,10.366627
56.743868,4,10.37063
43.659594,4,10.374612
38.24278,4,10.378595
28.162157,4,10.383257
38.24278,4,10.387321
36.876373,4,10.390821
25.382438,4,10.394515
5.323759,4,10.399168
55.208744,4,10.403141
35.627805,4,10.407315
55.208744,4,10.411288
-90.676241,100,10.499284
52.896973,4,10.503584
-66.676241,76,10.571497
50.146512,4,10.575478
5.323759,4,10.581018
38.24278,4,10.585028
52.896973,4,10.589085
11.795905,4,10.59304
33.071257,4,10.597719
20.730975,4,10.601402
5.323759,4,10.605349
35.627805,4,10.609335
11.795905,4,10.613968
59.62804,4,10.618005
59.019171,4,10.62203
45.60199,4,10.626053
22.788333,4,10.630752
59.019171,4,10.634734
44.483884,4,10.638749
32.199966,4,10.643086
38.24278,4,10.647813
35.969859,4,10.651574
62.25902,4,10.655555
38.24278,4,10.659557
25.382438,4,10.663996
26.985028,4,10.668053
43.659594,4,10.67207
