#{"t_start": 1752553931.5087483, "env_id": "None"}
r,l,t
-2.540435,3,0.01044
-55.0,55,0.143016
-8.700135,15,0.156651
-1.259336,3,0.158344
-1.005273,3,0.163294
19.817864,3,0.166824
6.448091,3,0.170366
-59.0,60,0.222888
31.773576,3,0.225278
6.8152,3,0.228854
-16.057816,22,0.249474
31.773576,3,0.251254
-9.0,9,0.261645
-15.0,15,0.273287
-24.6897,26,0.297731
-2.503382,15,0.311627
-80.0,80,0.381667
-4.555233,6,0.386111
1.44079,3,0.389723
5.539459,3,0.3933
-0.907026,15,0.40591
-100.0,100,0.492463
-45.667708,60,0.564883
-9.0,9,0.574134
4.191262,3,0.57667
-2.016093,3,0.580232
-85.667708,100,0.667568
-100.0,100,0.754272
0.514129,4,0.758912
-63.0,63,0.815031
-100.0,100,0.902472
-61.770906,63,0.957946
4.191262,3,0.960555
2.956837,3,0.964068
-31.485871,36,0.994748
-100.0,100,1.081537
14.527373,3,1.086105
3.092735,23,1.106649
0.457375,3,1.108414
-1.555233,3,1.112099
-99.0,100,1.199216
-18.0,18,1.215842
-98.055411,100,1.324526
-100.0,100,1.410261
11.143893,20,1.42866
-15.0,15,1.441368
-44.759234,46,1.483526
-98.055411,100,1.608303
-1.770906,3,1.613102
-66.6897,68,1.677179
-42.0,42,1.714407
-99.0,100,1.803792
-1.555233,3,1.80836
-100.0,100,1.895054
-100.0,100,1.986173
-1.770906,3,1.990008
26.007806,3,1.992483
-11.0,11,2.003143
-99.0,100,2.090935
-100.0,100,2.17953
-100.0,100,2.268062
-100.0,100,2.35636
-100.0,100,2.442804
14.183232,3,2.446398
-1.555233,3,2.450861
-80.6897,82,2.522228
14.183232,3,2.525836
-27.0,27,2.550107
-96.634557,97,2.636698
-99.6897,100,2.730006
-18.0,18,2.745212
-100.0,100,2.832832
-100.0,100,2.92187
-62.6897,63,2.978718
-1.724478,3,2.982351
-99.055411,100,3.069214
-1.724478,3,3.073741
-84.0,84,3.147848
-99.0,100,3.236574
6.491294,3,3.238373
-100.0,100,3.325719
-1.759234,3,3.329352
-28.0,29,3.354429
-69.312956,100,3.442264
-99.0,100,3.530578
-88.0,88,3.608032
-98.555233,100,3.696776
-51.668291,53,3.745132
-14.907026,29,3.770741
-98.129888,100,3.858495
-2.724478,3,3.862004
-84.6897,86,3.935027
-98.6897,100,4.025166
17.237881,3,4.028793
-1.759234,3,4.032433
-95.204164,100,4.121444
-69.668291,71,4.183665
-19.907265,46,4.224476
-89.0,90,4.302683
2.42733,37,4.337026
-3.204164,7,4.342846
1.707565,3,4.346298
-26.720333,53,4.392094
3.450018,37,4.425827
-93.785039,100,4.515442
-21.0,21,4.53339
5.71927,3,4.613775
-98.724478,100,4.651784
-100.0,100,4.689277
-99.668291,100,4.726827
-100.0,100,4.764297
1.969167,3,4.774768
-41.0,41,4.811646
-54.0,54,4.860634
-64.808738,72,4.922082
-2.487883,4,4.925807
-98.555233,100,5.014045
-39.055411,40,5.052372
-2.770906,4,5.056157
-1.724478,3,5.059726
-100.0,100,5.147928
-8.0,8,5.156866
-19.668291,20,5.175626
-1.770906,3,5.177375
-68.856107,100,5.264967
-43.0,43,5.305006
1.724547,3,5.308468
-5.724478,7,5.31534
-26.45004,28,5.339758
