#{"t_start": 1752553814.3419576, "env_id": "None"}
r,l,t
-3.359121,6,0.01993
10.901736,6,0.085756
61.800536,6,0.12067
8.887468,6,0.138796
-8.198827,9,0.148071
-2.713924,6,0.152656
16.273284,6,0.15962
-97.381619,100,0.245903
-28.099837,32,0.273542
-32.136251,35,0.302603
-58.790344,69,0.366908
-37.778771,41,0.405823
-98.45004,100,0.490486
10.528905,6,0.495415
-37.0,37,0.550288
42.543248,23,0.570806
-95.16964,99,0.65521
-50.0,50,0.69845
-72.360894,100,0.782823
8.420572,6,0.789781
11.060163,6,0.79657
-80.0,80,0.867252
0.050478,28,0.891464
0.163155,23,0.912029
12.625278,6,0.918904
37.741942,6,0.923642
27.784041,6,0.930275
3.318478,6,0.937157
-66.0,66,0.994295
-47.578434,59,1.089524
30.959619,6,1.094518
94.031375,6,1.102234
30.754025,6,1.109314
10.026338,6,1.115623
44.06746,6,1.120546
104.519236,6,1.128069
36.179324,6,1.132913
32.168782,6,1.139405
76.536939,6,1.144274
24.80105,17,1.159538
67.287856,6,1.166436
-35.049644,63,1.221203
21.485199,6,1.227457
84.138845,6,1.239321
62.102782,6,1.244253
21.984694,6,1.250914
10.024774,6,1.255529
-96.136251,100,1.358006
-75.0,75,1.422464
47.726682,6,1.427118
84.030814,6,1.433803
-51.6535,69,1.495543
26.36071,6,1.502281
-55.0,55,1.547135
-98.069248,100,1.633287
46.083162,6,1.641927
-35.0,35,1.672147
60.147975,6,1.677171
36.038181,6,1.683682
91.468576,6,1.690521
-100.0,100,1.776275
9.682717,14,1.794398
-81.887693,100,1.879566
16.16728,6,1.887084
-31.0,31,1.915144
-96.136251,100,2.0046
-28.40513,36,2.035503
-17.952414,50,2.080204
19.71361,6,2.087013
29.996525,6,2.091931
67.601833,6,2.098859
29.523218,8,2.108223
69.964536,6,2.113225
-66.0,66,2.170806
71.513582,6,2.175811
26.635874,25,2.201145
18.520137,6,2.205799
41.500143,6,2.212591
-29.565529,68,2.277548
-50.0,50,2.322165
96.102387,6,2.32891
14.174157,6,2.333678
35.231287,6,2.340334
-100.0,100,2.427979
-16.200379,28,2.452956
-90.060907,100,2.538971
28.012976,6,2.543747
-14.0,15,2.559023
48.003371,6,2.563932
-2.134186,6,2.570628
51.176579,6,2.575543
-96.136251,100,2.66781
31.714697,6,2.674587
46.097854,6,2.679214
36.038181,6,2.685926
25.28398,6,2.693283
-60.0,60,2.746751
14.097823,6,2.753677
36.340639,6,2.758599
30.543033,6,2.767137
130.966878,6,2.77181
-0.360112,6,2.778536
69.95488,6,2.78346
-0.360112,6,2.792109
36.038181,6,2.796982
-16.0,17,2.812836
58.971176,6,2.817766
23.660138,6,2.826401
57.461048,6,2.831306
17.910755,6,2.838146
-54.063856,67,2.893897
48.88362,6,2.902647
77.379873,6,2.907927
-9.0,9,2.917118
56.102977,6,2.92201
-50.0,51,2.971202
63.613715,6,2.976147
-17.001192,19,2.993339
15.864247,6,2.99974
19.873947,6,3.006665
19.257488,14,3.019971
-81.58812,100,3.108355
-21.232476,30,3.134193
19.871385,7,3.14355
59.209989,10,3.151645
47.183914,6,3.158371
81.08005,7,3.165251
-17.040329,26,3.189178
21.546353,6,3.195644
48.597711,6,3.200652
25.36071,7,3.207564
12.889682,7,3.216774
8.585731,11,3.225959
36.646791,6,3.23261
-26.131518,28,3.257017
-41.001192,43,3.297369
-66.0,66,3.354404
-7.661589,100,3.444628
-17.0,18,3.461406
12.638433,6,3.468254
52.602364,6,3.475358
-40.603763,42,3.510668
32.121578,6,3.517534
50.737258,6,3.524687
-55.45471,100,3.611128
57.173099,15,3.624954
68.151315,6,3.629901
27.187605,7,3.638612
0.139164,6,3.645388
105.125369,6,3.650311
-97.0,97,3.732714
67.566191,6,3.741468
-52.0,52,3.786636
16.16728,6,3.791353
6.387975,6,3.798095
-7.288879,13,3.810939
33.933793,6,3.817137
39.164948,6,3.822081
9.581834,6,3.82858
15.790936,6,3.83544
-94.641653,100,3.921706
-20.105546,39,3.95606
3.377495,6,3.96116
36.179324,6,3.969809
-8.344626,12,3.980079
22.127418,6,3.985064
-10.0,11,3.994958
-59.0,59,4.047911
-78.187297,94,4.130432
4.744662,6,4.136636
-46.0,46,4.176746
-2.565529,41,4.21543
37.370207,6,4.220139
61.496125,6,4.226676
48.039621,6,4.231758
-96.549072,100,4.325941
-2.49608,8,4.333774
-81.37766,100,4.419559
-80.085195,100,4.530067
64.039282,13,4.543278
17.8696,6,4.550054
-100.0,100,4.635382
-11.0,12,4.645428
-62.476782,100,4.771093
-99.0,100,4.809588
2.254121,6,4.812561
8.284368,100,4.850002
-1.763238,6,4.85312
31.396836,6,4.869924
-100.0,100,4.955967
-16.136251,19,4.973103
-1.350533,6,4.978327
-10.0,10,4.990217
4.869904,6,4.994943
-91.934022,100,5.079743
15.10661,6,5.086352
30.587886,6,5.09179
59.461504,6,5.098574
67.058172,6,5.103472
22.91299,6,5.111721
-6.0,6,5.116784
-16.971799,58,5.168009
72.226113,6,5.172936
17.324008,6,5.17959
21.58093,6,5.185205
-0.834635,6,5.191693
-1.208639,7,5.197285
8.697723,6,5.203588
16.888141,6,5.209157
54.386028,6,5.21559
-85.035319,92,5.29325
-48.952414,81,5.363863
44.325041,6,5.370941
29.839335,6,5.375821
40.936504,6,5.382497
54.663791,6,5.387125
-60.708709,100,5.472003
13.644279,6,5.47902
76.536939,6,5.483921
64.767017,6,5.490577
10.706096,6,5.496266
37.674402,31,5.524805
26.350362,6,5.529431
45.738113,6,5.536086
-7.913538,11,5.546745
21.308062,6,5.55138
-93.035319,100,5.637673
54.731475,6,5.64432
67.058172,6,5.65
-2.803556,6,5.656652
88.787378,6,5.661585
-30.670762,34,5.695069
7.559927,6,5.700842
-35.0,35,5.731068
10.026338,6,5.735739
36.340639,6,5.742657
34.431247,6,5.748222
7.242228,6,5.75491
-16.0,16,5.768646
61.674402,7,5.775589
15.553802,6,5.780947
63.613715,6,5.787369
31.410613,6,5.792022
39.164948,6,5.7987
61.278391,6,5.804194
78.710302,10,5.813995
-100.0,100,5.900291
-0.864688,6,5.905471
-23.45004,25,5.927933
102.284368,6,5.934602
-1.350533,6,5.939674
-86.336197,100,6.030026
-100.0,100,6.151775
0.562138,6,6.158579
36.65587,6,6.163454
-23.455635,35,6.194217
33.087533,6,6.201351
-54.099837,58,6.249886
17.009512,18,6.266183
26.256476,11,6.275139
3.377495,6,6.282506
-96.549072,100,6.36969
-2.216798,41,6.407018
22.168898,6,6.413532
-44.085195,64,6.469965
94.724787,6,6.474949
-37.48948,60,6.527751
-45.0,45,6.566947
28.269149,6,6.574533
-11.0,11,6.58493
-68.374593,100,6.673334
20.871385,6,6.678459
30.422643,6,6.685843
35.787449,6,6.690883
38.81749,6,6.697521
8.007144,6,6.702179
52.037337,6,6.710226
-91.0,92,6.792885
72.226113,6,6.797578
-13.138496,17,6.81185
36.277713,6,6.81946
19.250924,6,6.824535
46.507855,6,6.832526
74.79067,6,6.837221
-75.0,75,6.902801
19.71361,6,6.909478
54.705228,7,6.914183
31.486333,6,6.921057
-9.94135,35,6.954248
69.060735,6,6.959317
-51.669465,100,7.047072
53.014314,6,7.054847
55.786355,7,7.060925
15.3266,6,7.067262
-36.702135,39,7.101532
46.097854,6,7.106159
17.324008,6,7.113592
29.974417,6,7.118489
24.384027,6,7.125238
-7.035319,14,7.136468
-30.0,30,7.16311
49.900712,6,7.167969
0.726584,6,7.174317
-28.0,28,7.199523
-97.802365,100,7.286174
65.542196,6,7.291102
14.744536,6,7.297793
59.732248,6,7.302701
33.440147,6,7.310293
-18.0,18,7.32513
8.900786,6,7.331403
-20.540602,22,7.349257
-72.001192,74,7.413525
17.38976,7,7.418407
-21.509088,50,7.46252
35.890849,6,7.46744
-20.784388,37,7.512046
32.168782,6,7.517807
50.956408,7,7.525235
-55.0,56,7.573755
14.019102,6,7.579532
123.7517,6,7.586695
55.206533,6,7.592682
74.767333,6,7.600286
81.191225,6,7.606133
69.060735,6,7.61286
-15.0,15,7.626165
45.69783,6,7.631287
24.28423,6,7.638928
99.845597,6,7.643859
2.254121,6,7.650642
76.789316,6,7.655308
-41.0,42,7.693512
-0.157749,6,7.698402
32.405489,6,7.705509
48.597711,6,7.71055
21.41157,6,7.718196
-2.966011,7,7.723728
51.448971,6,7.730665
-2.134186,6,7.735535
28.269149,6,7.746825
-97.553051,100,7.845544
8.512758,6,7.851345
59.359296,6,7.858934
59.732248,6,7.864853
41.455062,6,7.875289
23.660138,6,7.880204
126.191099,6,7.88691
66.393326,6,7.892926
13.682529,6,7.899346
41.585878,6,7.904123
