#{"t_start": 1752554386.1142457, "env_id": "None"}
r,l,t
1.841258,4,0.011101
-3.733926,6,0.050031
-94.726677,100,0.178779
-100.0,100,0.268604
-17.0,17,0.294366
-36.0,36,0.355936
-33.681995,38,0.392747
-21.0,21,0.41141
-100.0,100,0.527942
-19.0,19,0.545382
-100.0,100,0.634779
-32.0,32,0.672473
-52.302609,54,0.983196
-53.0,54,1.033169
-100.0,100,1.125879
-99.0,100,1.218374
-100.0,100,1.324317
-100.0,100,1.415402
-16.0,16,1.431358
-46.26786,47,1.471984
8.839213,4,1.476161
8.839213,4,1.480292
-40.0,40,1.516337
-99.177471,100,1.614511
-10.866848,19,1.632298
-100.0,100,1.726316
-45.0,45,1.768126
-59.0,59,1.823657
-100.0,100,1.912868
-26.0,26,1.936277
-100.0,100,2.023767
9.332315,4,2.027811
-92.0,92,2.108477
-36.26786,37,2.14038
-2.733926,5,2.145621
-100.0,100,2.231613
-29.0,29,2.256311
-40.26786,41,2.2946
-99.0,100,2.382652
9.972142,4,2.386689
-88.177471,89,2.467814
-99.177471,100,2.55459
-46.0,46,2.594641
-8.0,8,2.6017
-20.0,21,2.623344
-100.0,100,2.731276
-49.024467,54,2.778054
-7.177471,8,2.785493
-100.0,100,2.873093
-32.733926,35,2.904165
-100.0,100,2.991751
-7.0,7,2.998447
-26.796019,32,3.026448
-99.0,100,3.116125
-100.0,100,3.206298
-13.303695,18,3.221615
-4.90348,15,3.235559
-22.303695,27,3.260516
9.972142,4,3.265301
9.332315,4,3.269306
-2.719632,4,3.273287
-2.719632,4,3.277273
-38.06388,44,3.315881
-2.719632,4,3.319878
9.332315,4,3.323855
-48.844545,60,3.375971
-66.0,67,3.435862
-8.844545,20,3.453359
2.45915,4,3.457043
-2.844545,14,3.470461
-11.681995,16,3.485276
-49.0,49,3.527789
-2.719632,4,3.531786
-57.0,58,3.583689
-100.0,100,3.673698
-84.0,84,3.747571
3.155455,8,3.754824
-52.0,52,3.800992
-2.27024,4,3.805892
-2.760448,4,3.809589
-35.0,35,3.838877
6.09652,4,3.84285
-100.0,100,3.931392
-9.0,9,3.940964
-34.0,34,3.971808
0.134197,4,3.975305
-2.27024,4,3.979989
8.267348,4,3.984406
-9.0,9,3.991868
-100.0,100,4.079451
-100.0,100,4.171647
-42.540679,44,4.211551
-43.681995,48,4.25403
-89.0,89,4.335702
-2.719632,4,4.34061
-6.0,6,4.345021
-84.540679,86,4.422609
-11.0,11,4.430644
-72.0,72,4.495852
-25.0,25,4.51909
-2.733926,5,4.523528
-57.26786,58,4.574644
9.972142,4,4.579382
-57.0,57,4.629941
10.509565,4,4.633937
9.972142,4,4.637928
-100.0,100,4.727551
-35.26786,36,4.759013
-2.733926,5,4.763429
-100.0,100,4.852418
-2.302609,4,4.857237
4.649144,4,4.860989
-46.0,46,4.900637
-1.754007,4,4.956709
-100.0,100,4.993793
-1.754007,4,4.99577
-100.0,100,5.032906
-2.733926,5,5.035248
0.206039,5,5.047972
-3.27024,5,5.05336
-52.0,52,5.098515
-100.0,100,5.186367
-78.26786,79,5.255877
-100.0,100,5.385033
-1.754007,4,5.400329
-1.754007,4,5.405025
-100.0,100,5.491819
-100.0,100,5.57991
-3.26786,4,5.583652
5.471162,4,5.58712
-100.0,100,5.674052
-99.0,100,5.761497
4.649144,4,5.765319
-57.0,57,5.815097
-23.681995,28,5.839385
-99.0,100,5.927646
-58.26786,59,5.979832
-28.0,28,6.004592
-94.0,94,6.085381
-100.0,100,6.173761
-100.0,100,6.261337
-18.0,18,6.277618
-27.681995,32,6.305415
-100.0,100,6.393684
-95.225143,100,6.505651
5.133152,4,6.509773
-24.26786,25,6.531358
0.999832,4,6.536351
-100.0,100,6.623811
-48.26786,49,6.665858
-1.754007,4,6.669855
-99.0,100,6.75769
-6.0,6,6.764113
-100.0,100,6.851262
-99.26786,100,6.939868
-71.0,72,7.003165
0.133152,8,7.010571
-100.0,100,7.100047
-11.177471,12,7.110776
-58.0,58,7.160811
-11.364781,12,7.17144
-95.024467,100,7.258664
1.841258,4,7.26265
-15.0,15,7.276376
8.267348,4,7.280395
-100.0,100,7.368911
-95.225143,100,7.457741
-27.0,27,7.482939
-1.754007,4,7.487236
-100.0,100,7.575144
-100.0,100,7.663364
-19.26786,20,7.681959
-1.754007,4,7.685993
-100.0,100,7.773386
-39.681995,44,7.812593
8.267348,4,7.817343
-100.0,100,7.904611
-99.26786,100,7.993491
-100.0,100,8.083083
-44.0,44,8.123716
7.434683,4,8.127796
-25.0,25,8.149193
-100.0,100,8.237659
-100.0,100,8.325501
-5.26786,6,8.329955
-99.0,100,8.417613
7.434683,4,8.421623
-21.0,21,8.442199
0.318005,4,8.445747
8.826446,4,8.449739
-99.364781,100,8.536541
-12.0,12,8.548061
-79.26786,80,8.617718
-2.719632,4,8.621859
-100.0,100,8.708628
-99.0,100,8.796363
-38.540679,40,8.83068
-100.0,100,8.92047
-100.0,100,9.008497
-51.26786,52,9.054275
-40.0,40,9.089515
-1.754007,4,9.093639
-16.0,16,9.107616
-99.26786,100,9.258373
-1.754007,4,9.267641
-19.719632,21,9.286516
-3.177471,4,9.290366
-72.0,72,9.356185
-95.225143,100,9.454895
7.434683,4,9.458969
-95.024467,100,9.545083
-24.0,24,9.56745
-19.0,19,9.587174
-1.754007,4,9.591152
7.434683,4,9.642076
-100.0,100,9.679213
-100.0,100,9.715839
-2.27024,4,9.71787
-100.0,100,9.754471
-42.364781,43,9.794373
-13.364781,14,9.80929
8.267348,4,9.813282
-77.0,77,9.880901
-5.0,5,9.884924
-2.27024,4,9.891052
-2.719632,4,9.895065
10.647371,4,9.899107
-17.0,17,9.913798
-15.0,15,9.930624
-9.26786,10,9.940609
10.647371,4,9.944631
-35.0,35,9.972733
-1.754007,4,9.978614
-100.0,100,10.103506
-25.26786,26,10.154625
-21.0,21,10.172874
-79.0,79,10.266103
-60.0,60,10.318866
9.332315,4,10.322925
5.01431,4,10.326591
8.332315,5,10.331497
10.509565,4,10.335489
-42.0,42,10.37324
-55.26786,56,10.422097
10.509565,4,10.427545
-1.754007,4,10.431566
9.332315,4,10.435576
-34.0,35,10.464974
9.332315,4,10.469607
-100.0,100,10.559723
9.332315,4,10.563773
9.332315,4,10.567736
-100.0,100,10.657776
-14.0,15,10.671524
-3.158811,5,10.675689
-2.177471,4,10.679754
-2.158811,4,10.684465
5.133152,4,10.688305
9.332315,4,10.692367
-100.0,100,10.779384
-39.681995,44,10.82016
-2.158811,4,10.824197
-17.0,17,10.840762
-2.177471,4,10.844871
-4.890951,7,10.8504
-99.0,100,10.956072
-3.158811,5,10.962407
-94.628465,96,11.045327
-3.302609,5,11.050608
-59.0,59,11.104293
-97.514042,100,11.215651
-2.158811,4,11.219702
-50.805491,64,11.276514
-52.0,52,11.32349
-16.26786,17,11.337922
9.332315,4,11.341916
9.332315,4,11.346599
-68.0,68,11.407171
-69.26786,70,11.467988
-26.0,26,11.492843
-3.237155,5,11.497337
-85.26786,86,11.640343
-36.0,36,11.673764
10.509565,4,11.677756
7.826446,5,11.682944
9.332315,4,11.686917
-2.158811,4,11.690916
9.972142,4,11.694889
-1.89215,4,11.699806
-100.0,100,11.8003
-99.364781,100,11.895186
-39.0,39,11.929175
-11.364781,12,11.940578
-16.26786,17,11.955013
-1.993246,4,11.959078
-2.158811,4,11.963097
10.647371,4,11.967771
-1.993246,4,11.97176
-1.89215,4,11.975774
-100.0,100,12.063693
-3.302609,5,12.068897
-37.26786,38,12.103408
-99.0,100,12.188473
-100.0,100,12.276921
-35.0,35,12.306721
-86.0,86,12.381513
-100.0,100,12.471349
-18.0,18,12.486946
-7.364781,8,12.494962
-10.218286,11,12.504962
-17.364781,18,12.521448
-1.993246,4,12.525455
-92.364781,93,12.606912
-2.177471,4,12.611026
4.01431,5,12.614904
8.310454,4,12.618993
-77.0,77,12.685946
-2.158811,4,12.689948
-99.26786,100,12.798527
-100.0,100,12.88533
-19.90348,30,12.913426
-87.173554,100,13.000351
-14.681995,19,13.044283
-99.0,100,13.146401
10.509565,4,13.151382
10.509565,4,13.155399
-24.364781,25,13.177017
-2.158811,4,13.181027
-50.681995,55,13.235013
-18.0,18,13.249753
-18.0,18,13.266607
9.332315,4,13.270748
-56.805491,70,13.332313
9.972142,4,13.336365
-2.177471,4,13.340605
-43.26786,44,13.379579
-85.805491,99,13.468406
10.509565,4,13.472631
-12.0,12,13.483369
-52.26786,53,13.531096
8.332315,5,13.536076
-61.805491,75,13.603495
-100.0,100,13.693634
9.332315,4,13.697884
-34.173554,47,13.740922
-34.364781,35,13.772075
9.332315,4,13.77612
-2.177471,4,13.780243
-60.364781,61,13.835281
-2.158811,4,13.839358
10.509565,4,13.843517
8.310454,4,13.847613
-98.302609,100,13.942923
-98.302609,100,14.033204
-54.364781,55,14.081967
-3.542161,4,14.085477
-66.0,66,14.143553
-2.177471,4,14.147712
-100.0,100,14.23773
5.197285,4,14.241552
-2.158811,4,14.246451
7.155455,4,14.250237
-44.0,44,14.288264
-29.303695,34,14.319846
-61.364781,62,14.387854
-4.302609,6,14.394616
9.332315,4,14.398672
-12.0,12,14.409396
8.310454,4,14.414211
8.194509,5,14.418709
-59.364781,60,14.47154
9.332315,4,14.512805
9.332315,4,14.588675
-3.302609,5,14.591086
9.332315,4,14.593158
10.647371,4,14.595129
-2.177471,4,14.597286
8.310454,4,14.607979
8.310454,4,14.612311
-54.0,54,14.661211
-42.364781,43,14.699848
1.203981,4,14.704896
10.509565,4,14.709041
-3.177471,5,14.713517
5.534032,4,14.71733
-57.0,57,14.767403
9.332315,4,14.771611
-26.0,26,14.797781
8.310454,4,14.802018
-65.364781,66,14.861789
-77.0,77,14.929343
-13.0,13,14.94284
9.972142,4,14.946998
-35.364781,36,14.97949
-39.0,39,15.015978
9.332315,4,15.020396
8.310454,4,15.024559
9.332315,4,15.029937
4.649144,4,15.03372
-4.173554,17,15.051132
8.310454,4,15.055223
-29.0,29,15.081099
9.332315,4,15.085221
-18.26786,19,15.102252
-1.993246,4,15.106339
-16.0,16,15.12178
-1.993246,4,15.125919
-94.302609,96,15.212361
9.332315,4,15.216559
-4.0,4,15.221112
8.310454,4,15.225267
9.332315,4,15.229292
-2.177471,4,15.233482
-40.302609,42,15.270798
-14.173554,27,15.295712
-45.0,45,15.335474
-2.760448,4,15.339455
-100.0,100,15.432445
-38.0,38,15.467257
-11.303695,16,15.482417
-3.177471,5,15.487284
0.177303,4,15.491721
-2.158811,4,15.495828
9.332315,4,15.499893
-11.173554,24,15.532755
-2.760448,4,15.53756
8.194509,5,15.542049
5.01431,4,15.545786
-51.173554,64,15.646122
-25.173554,38,15.718331
-99.218286,100,15.81102
9.332315,4,15.815391
-2.158811,4,15.819682
-2.177471,4,15.824988
-100.0,100,15.934781
-16.0,16,15.951509
-1.993246,4,15.955939
-2.177471,4,15.961599
-100.0,100,16.058983
-76.0,76,16.13302
-64.0,64,16.195352
-2.158811,4,16.200682
9.332315,4,16.204957
-54.0,54,16.25452
-18.0,18,16.274026
-2.177471,4,16.279257
9.972142,4,16.28353
-14.0,14,16.29573
7.155455,4,16.300994
9.332315,4,16.306081
-38.0,38,16.345417
9.332315,4,16.349799
-2.158811,4,16.354198
-76.26786,77,16.439099
-16.26786,17,16.455568
-74.352629,89,16.539552
-2.177471,4,16.544023
-2.158811,4,16.549416
9.332315,4,16.553421
-2.177471,4,16.557819
8.310454,4,16.562089
-61.0,61,16.69412
-5.0,5,16.698491
4.876504,4,16.702496
-7.0,7,16.71004
-79.364781,80,16.789954
-30.173554,43,16.828787
-49.0,49,16.877826
8.194509,5,16.882711
10.509565,4,16.887801
-3.177471,5,16.892547
5.471162,4,16.896797
-2.158811,4,16.901104
8.310454,4,16.906138
-39.364781,40,16.943878
4.133152,4,16.947602
5.471162,4,16.951952
-1.993246,4,16.957209
-2.158811,4,16.961307
-2.158811,4,16.965568
5.826446,7,16.972797
-89.26786,90,17.05882
9.332315,4,17.063159
-2.158811,4,17.067376
-29.26786,30,17.09687
-41.0,41,17.135665
4.649144,4,17.139638
9.332315,4,17.143882
-1.993246,4,17.148169
5.01431,4,17.153086
-71.352629,86,17.236491
-64.0,64,17.296747
-2.177471,4,17.301207
6.826446,6,17.307013
-100.0,100,17.399345
8.310454,4,17.404493
-98.302609,100,17.499628
8.332315,5,17.505537
-2.514042,4,17.509794
-2.628465,4,17.51376
8.310454,4,17.518126
-7.0,7,17.525859
-42.0,42,17.566617
-24.302609,26,17.591197
8.310454,4,17.595525
9.332315,4,17.600831
8.310454,4,17.605135
10.509565,4,17.609469
-100.0,100,17.712997
-100.0,100,17.831992
-32.0,32,17.863115
7.155455,4,17.86755
-2.514042,4,17.871927
8.310454,4,17.877018
-56.364781,57,17.931435
4.471162,5,17.937997
-11.429265,15,17.950636
-100.0,100,18.04907
5.471162,4,18.053397
-33.0,33,18.086563
-2.177471,4,18.09131
5.471162,4,18.096482
-16.681995,21,18.116192
-1.993246,4,18.120812
7.826446,5,18.125664
5.471162,4,18.130639
