#{"t_start": 1752554763.6011784, "env_id": "None"}
r,l,t
15.189488,13,0.069519
16.519977,4,0.08673
-60.0,60,0.179645
7.341522,5,0.184103
-2.06531,4,0.18829
11.058852,4,0.193438
2.228431,4,0.197531
35.199093,4,0.201532
-34.601906,40,0.237564
-44.0,44,0.276561
0.626448,4,0.280632
14.01012,4,0.284744
-46.0,46,0.324254
-1.798654,4,0.328987
-0.959982,4,0.333144
-13.101263,25,0.357399
-0.171066,4,0.361525
-62.0,62,0.41631
-62.275534,63,0.471964
4.098754,4,0.475973
-1.134266,4,0.480094
28.436069,4,0.485187
10.549974,4,0.490382
11.912674,4,0.494759
-44.0,45,0.556067
-66.0,66,0.617176
3.217236,16,0.632073
2.584938,4,0.636268
-36.330171,37,0.669104
-3.076421,28,0.695135
16.150243,4,0.699578
24.10715,5,0.704014
-14.856397,16,0.718605
-8.24825,9,0.727069
-99.0,100,0.815412
-10.0,10,0.825277
-1.107222,33,0.854854
33.395533,5,0.859968
23.908838,4,0.863986
38.012964,4,0.86809
14.998667,4,0.8721
-100.0,100,0.960613
3.721597,4,0.964739
-97.871328,100,1.105599
25.536059,4,1.109972
0.955174,4,1.114966
-99.24825,100,1.208485
50.60908,4,1.212697
-86.0,86,1.324508
20.923579,4,1.332212
26.892778,5,1.336622
8.341522,4,1.340826
9.878567,4,1.344695
-59.0,59,1.399598
16.771425,4,1.403779
41.350004,4,1.407856
-98.609835,100,1.497454
0.955174,4,1.502617
-100.0,100,1.592678
-100.0,100,1.684744
8.514751,4,1.68898
3.919295,4,1.694028
-0.833543,4,1.698298
35.080577,4,1.702514
4.988082,4,1.706785
1.122675,4,1.711605
16.246072,4,1.715729
-10.330171,11,1.726802
9.680835,4,1.730986
-0.833543,4,1.735867
-85.0,86,1.814129
-3.212649,4,1.818232
9.291139,4,1.822282
5.928452,4,1.826842
16.519977,4,1.830894
-4.275534,5,1.834949
27.110808,6,1.841311
42.701869,4,1.849359
27.335859,4,1.853397
41.350004,4,1.857492
27.645129,4,1.861928
-16.0,16,1.876929
-77.0,77,1.946775
-79.0,80,2.019887
-2.487975,4,2.024195
23.908838,4,2.029139
-9.0,9,2.036601
27.645129,4,2.040748
-99.0,99,2.129833
26.892778,5,2.134925
