#{"t_start": 1752553757.1740851, "env_id": "None"}
r,l,t
1.04531,5,0.015952
9.812449,5,0.020572
-0.674417,5,0.063044
8.035092,5,0.087666
-54.749484,61,0.183372
-14.121846,68,0.243913
-96.74467,100,0.331489
54.187416,5,0.337065
-2.541442,5,0.341353
2.854562,5,0.345818
12.867739,5,0.352245
0.659828,5,0.357306
52.057891,5,0.362053
2.600609,5,0.366364
76.988274,5,0.373039
-100.0,100,0.462557
12.655498,5,0.467142
-1.907725,5,0.472123
0.191251,5,0.477105
-2.597228,5,0.484355
30.921296,5,0.488959
-2.409446,5,0.493506
-77.0,78,0.583479
-59.0,59,0.63634
-2.097486,5,0.642567
-33.344019,36,0.675206
13.606576,5,0.679796
-88.217005,100,0.77013
-2.181114,5,0.7747
-40.0,40,0.810887
-14.86062,30,0.839113
41.131622,40,0.875548
-89.26546,100,0.96422
-96.308095,100,1.08133
-99.105461,100,1.167481
-18.0,18,1.183404
23.996406,5,1.187919
-5.863357,31,1.219932
-100.0,100,1.324082
39.690054,5,1.331286
18.109305,5,1.337749
-1.69712,5,1.342184
13.437994,5,1.346848
-23.754485,50,1.391544
24.366274,5,1.396119
8.242092,7,1.40278
47.222967,5,1.407279
-30.0,31,1.435791
14.047565,5,1.441448
4.194189,5,1.445949
-3.269114,5,1.450495
-100.0,100,1.541017
-1.69712,5,1.547421
-93.118642,100,1.663451
14.454528,5,1.667714
-100.0,100,1.75715
-77.373373,100,1.846899
-98.909633,100,1.933665
12.329992,5,1.938144
-57.0,58,1.989986
-34.749853,42,2.024822
-25.0,26,2.048676
27.085602,5,2.053058
20.158931,10,2.061996
-65.051992,67,2.121249
11.945761,6,2.127776
27.022081,5,2.132281
11.681197,6,2.13784
-98.043528,100,2.225377
-3.154432,6,2.231793
-2.157271,5,2.236287
-6.0,7,2.244889
-100.0,100,2.338603
28.640977,5,2.34307
2.830447,18,2.359419
-44.0,44,2.398525
-84.127987,100,2.485055
5.36456,5,2.490428
12.79338,5,2.495076
-91.0,91,2.573661
40.295628,5,2.577776
5.703825,5,2.58229
19.578354,6,2.589033
-27.672667,100,2.680998
69.781387,5,2.685329
-2.154432,5,2.689899
1.281455,5,2.695857
36.664997,6,2.701364
-41.0,42,2.740168
6.20554,5,2.744659
16.128528,5,2.749238
-23.0,23,2.770581
10.604916,5,2.774966
-79.028154,89,2.851899
1.423235,5,2.858191
93.027496,5,2.863654
-99.095511,100,2.948826
77.155802,5,2.953437
-2.597228,5,2.958113
14.801509,5,2.965244
72.724059,5,2.969687
5.153564,8,2.977796
-38.0,39,3.011896
3.883602,5,3.01693
20.261305,5,3.021257
28.037901,5,3.025372
4.626627,18,3.041804
71.846465,5,3.046929
7.489975,5,3.051297
