#{"t_start": 1752553486.35718, "env_id": "None"}
r,l,t
-57.760208,100,0.131287
-24.924287,81,0.204416
9.835921,4,0.208638
-100.0,100,0.295403
-56.159393,72,0.359886
-100.0,100,0.448213
-100.0,100,0.559196
42.075713,14,0.571145
-100.0,100,0.662535
53.075713,3,0.666149
52.338718,3,0.670569
53.075713,3,0.672284
53.075713,3,0.675839
-70.0,70,0.745611
-42.0,42,0.782928
-94.0,94,0.866764
0.360445,14,0.880671
-14.0,14,0.894288
-1.353333,3,0.896734
-100.0,100,0.985415
-13.0,13,0.998632
-9.639555,24,1.020147
-100.0,100,1.109615
-57.743092,100,1.198905
-86.639555,100,1.29194
-67.639555,81,1.367975
-100.0,100,1.459206
48.169571,3,1.462879
28.055718,3,1.464589
-15.760208,58,1.517511
24.180858,15,1.532326
-68.759393,100,1.619798
-57.743092,100,1.712043
-100.0,100,1.801043
-57.743092,100,1.89131
-100.0,100,1.980616
-84.159393,100,2.068531
11.360445,3,2.070463
11.360445,3,2.07497
-9.0,9,2.082396
11.360445,3,2.085835
-98.353333,100,2.173658
-99.0,99,2.265623
12.840607,3,2.269112
-60.819142,100,2.360112
20.236784,10,2.36806
38.607713,3,2.372575
-19.0,19,2.389681
-28.353333,30,2.415488
-84.159393,100,2.526428
-7.924287,64,2.58467
-98.353333,100,2.676006
11.360445,3,2.679888
11.360445,3,2.683586
11.360445,3,2.68636
-98.353333,100,2.77623
-100.0,100,2.866423
-2.0,3,2.869853
28.055718,3,2.874245
-100.0,100,2.96204
28.236784,3,2.966275
-68.0,68,3.027648
-72.159393,88,3.106007
-43.353333,45,3.145272
-100.0,100,3.234931
51.075713,5,3.239155
-78.0,78,3.31057
-32.0,32,3.339228
-25.763216,56,3.391012
-12.0,12,3.401744
-100.0,100,3.490687
19.055718,12,3.50171
-97.0,97,3.587993
-67.0,67,3.647419
11.360445,3,3.650084
-29.0,29,3.677907
48.075713,8,3.685403
-84.159393,100,3.777396
-100.0,100,3.865456
11.360445,3,3.867253
11.360445,3,3.870795
-9.0,9,3.878188
10.835921,3,3.882061
32.075713,24,3.90255
29.107274,3,3.908413
-99.0,100,3.993648
11.360445,3,3.997941
11.360445,3,3.999695
26.236784,4,4.003268
74.879319,3,4.008843
11.360445,3,4.013068
48.169571,3,4.01676
53.075713,3,4.01846
28.236784,3,4.022051
-14.830429,66,4.081249
53.075713,3,4.082926
48.169571,3,4.086369
28.055718,3,4.092182
39.256908,3,4.096122
48.169571,3,4.097814
-15.233868,100,4.184456
-43.353333,45,4.224542
-100.0,100,4.309836
36.180858,3,4.311236
-2.353333,5,4.317277
27.240607,4,4.321242
48.169571,3,4.323689
-57.743092,100,4.412612
-71.353333,73,4.478301
34.256908,8,4.485651
28.240607,3,4.488172
39.256908,3,4.491359
11.360445,3,4.494933
-17.353333,20,4.51213
56.645835,4,4.516457
-1.366916,3,4.519792
11.360445,3,4.521553
-43.924287,100,4.634457
-100.0,100,4.67179
48.169571,3,4.673388
-68.759393,100,4.710844
-99.0,100,4.748392
22.341046,3,4.75917
-34.0,34,4.790055
11.360445,3,4.791795
10.360445,4,4.795491
-69.0,69,4.857831
3.840607,12,4.869575
-34.353333,37,4.904065
-2.353333,4,4.908071
-19.0,19,4.925138
27.240607,4,4.930936
-12.159393,28,4.955662
11.360445,3,4.957437
-99.0,100,5.04421
-40.0,40,5.080446
11.360445,3,5.084169
11.360445,3,5.087761
-2.353333,4,5.091752
-43.0,43,5.131114
24.196366,3,5.132542
11.360445,3,5.136089
-17.0,17,5.150478
10.835921,3,5.155558
48.169571,3,5.159041
11.360445,3,5.162622
27.240607,4,5.166537
-3.0,3,5.169671
-36.0,36,5.200795
-55.159393,71,5.263287
11.360445,3,5.266834
-15.0,15,5.282541
-97.353333,100,5.368609
27.240607,4,5.372546
28.055718,3,5.374204
28.055718,3,5.379605
-48.830429,100,5.466733
11.360445,3,5.470311
-99.0,100,5.555963
27.240607,4,5.561984
-3.0,3,5.565275
40.645835,20,5.584146
56.645835,4,5.587994
-8.0,8,5.596778
29.107274,3,5.598512
-2.353333,4,5.602241
74.879319,3,5.60566
-15.830429,67,5.664448
27.240607,4,5.668373
-3.0,3,5.671682
11.360445,3,5.673432
27.240607,4,5.679302
10.360445,4,5.683099
53.075713,3,5.686526
11.360445,3,5.690058
-6.0,7,5.698539
-15.354165,76,5.773261
-2.353333,4,5.777256
11.360445,3,5.77901
11.360445,3,5.784558
11.360445,3,5.788095
29.075713,27,5.811923
27.240607,4,5.815814
28.055718,3,5.81933
-9.0,9,5.828753
44.645835,16,5.843359
80.235181,4,5.84701
48.169571,3,5.850559
56.645835,4,5.854429
28.055718,3,5.857857
28.055718,3,5.861303
22.341046,3,5.866312
38.607713,3,5.867988
22.341046,3,5.871131
53.075713,3,5.874584
28.055718,3,5.879854
-100.0,100,5.966633
-12.0,12,5.977141
11.360445,3,5.97892
38.607713,3,5.984095
10.835921,3,5.987417
16.256908,26,6.009631
-35.0,35,6.039995
-21.354165,82,6.113484
11.360445,3,6.115286
-24.0,25,6.138521
81.235181,3,6.140178
10.835921,3,6.145565
53.075713,3,6.148978
-2.353333,4,6.152697
74.879319,3,6.156138
-2.0,3,6.159622
53.075713,3,6.163053
-70.159393,86,6.237714
-99.0,100,6.324525
11.360445,3,6.328279
4.840607,11,6.338311
-10.0,10,6.347848
28.236784,3,6.349601
56.645835,4,6.355348
28.236784,3,6.358888
29.107274,3,6.362358
56.645835,4,6.365699
56.645835,4,6.371398
-7.0,7,6.378139
43.249658,3,6.379784
38.607713,3,6.38325
43.249658,3,6.388518
-1.353333,3,6.392062
74.879319,3,6.39373
-10.0,11,6.403826
51.766132,33,6.433364
-57.0,57,6.484185
81.235181,3,6.48589
43.249658,3,6.489312
10.360445,4,6.494949
-9.0,10,6.50482
11.360445,3,6.506591
11.360445,3,6.510119
-2.0,3,6.515381
48.169571,3,6.518833
53.075713,3,6.520529
22.341046,3,6.523818
28.236784,3,6.529221
-2.0,3,6.534393
-1.743092,44,6.57195
29.107274,3,6.573676
-18.0,19,6.59206
49.998319,3,6.595493
28.236784,3,6.599159
-30.0,30,6.62448
74.879319,3,6.629851
11.360445,3,6.633363
-85.0,86,6.706208
-34.759393,66,6.76587
-32.0,32,6.795217
-19.354165,80,6.863785
74.879319,3,6.865488
-32.750342,79,6.935061
-19.743092,62,6.990532
-84.639555,99,7.073979
9.256908,33,7.103821
48.169571,3,7.105507
-9.750342,56,7.156047
-47.0,47,7.196617
-8.639555,23,7.216785
-99.0,100,7.306516
-15.0,15,7.322201
-26.0,26,7.343438
-22.0,22,7.363786
-51.639555,66,7.419119
5.360445,9,7.428545
12.998319,40,7.465634
-14.354165,75,7.530076
48.998319,4,7.533711
10.360445,4,7.539734
-13.0,14,7.553853
-24.0,24,7.574016
10.360445,4,7.577973
9.341046,16,7.593771
-74.658954,100,7.679376
81.235181,3,7.681072
10.360445,4,7.684801
-42.658954,68,7.746656
-32.0,32,7.774192
-74.658954,100,7.861542
-36.0,36,7.892637
31.645835,29,7.921525
-25.0,25,7.943205
17.236784,13,7.954314
48.645835,12,7.964876
-69.763216,100,8.054546
46.645835,14,8.067761
-100.0,100,8.154069
28.107274,4,8.157816
