#{"t_start": 1752554194.9899642, "env_id": "None"}
r,l,t
-72.595794,75,0.163212
8.458219,3,0.166732
8.458219,4,0.17073
-100.0,100,0.257073
9.607728,3,0.260773
6.060659,17,0.274814
9.149737,3,0.278777
31.710328,3,0.281193
8.577259,3,0.284906
31.710328,3,0.288299
20.190236,3,0.291626
-11.0,12,0.304532
8.577259,3,0.306332
8.577259,3,0.310038
-100.0,100,0.395654
12.060659,11,0.406652
-89.422741,100,0.499601
-100.0,100,0.615727
-37.422741,48,0.661078
-100.0,100,0.758457
-43.0,43,0.797745
-100.0,100,0.884301
-100.0,100,0.970888
2.092776,9,0.979137
-7.0,7,0.985945
8.149737,4,0.989789
-100.0,100,1.076518
20.060659,3,1.079102
-60.0,60,1.133653
-68.0,69,1.195667
-62.0,62,1.247537
-24.907224,36,1.291049
-48.939341,72,1.354942
-91.0,91,1.434309
-25.0,25,1.455328
20.190236,3,1.459587
-85.0,85,1.532486
20.060659,3,1.535925
-7.0,7,1.54289
-17.0,17,1.557934
-77.0,77,1.624017
-63.0,64,1.681671
-100.0,100,1.767802
-100.0,100,1.854122
-11.0,11,1.864251
-13.821328,25,1.886381
-16.422741,27,1.911711
20.190236,3,1.915953
-99.0,100,2.002947
-5.0,5,2.006911
-23.821328,36,2.038178
-3.0,3,2.042112
-37.0,37,2.073492
-88.422741,100,2.158925
-100.0,100,2.244793
8.607728,3,2.248918
-40.0,40,2.283304
-2.821328,14,2.294415
-48.634557,50,2.339438
20.190236,3,2.341956
-99.634557,100,2.428124
-88.850263,100,2.515503
20.190236,3,2.519073
3.728436,42,2.557001
20.190236,3,2.55867
-4.0,4,2.562224
-66.0,66,2.620809
-5.0,5,2.625478
-25.0,25,2.646589
-19.850263,32,2.674805
-63.850263,76,2.742079
42.545091,3,2.746131
-87.850263,100,2.836965
-36.0,36,2.868002
-2.740027,18,2.885761
42.545091,3,2.888251
8.178672,3,2.891464
29.30062,3,2.894933
20.190236,3,2.89857
-100.0,100,2.987884
-33.850263,46,3.028333
-64.907224,76,3.094696
51.514701,3,3.098272
29.30062,3,3.102652
-100.0,100,3.189461
7.092776,4,3.193219
-20.0,20,3.21085
-4.0,4,3.21546
34.28252,3,3.217119
8.458219,3,3.220596
9.149737,3,3.224187
9.178672,3,3.229036
-18.422741,29,3.253493
-98.0,99,3.341386
19.730326,3,3.343035
-60.0,60,3.396611
8.551654,3,3.399722
8.607728,3,3.402894
52.311788,3,3.406536
42.545091,3,3.408952
8.149737,4,3.412735
20.190236,3,3.416268
29.30062,3,3.419776
20.190236,3,3.423922
-99.634557,100,3.51159
20.158674,3,3.512999
25.366921,3,3.516323
20.190236,3,3.520594
-1.740027,18,3.536821
20.190236,3,3.540258
13.846448,20,3.557734
1.259973,15,3.572275
-11.0,11,3.582244
-88.850263,100,3.668401
-40.850263,53,3.716346
19.730326,3,3.720972
-8.387687,43,3.756409
8.458219,3,3.759843
-34.0,35,3.791732
-27.0,27,3.816269
25.366921,3,3.817955
52.311788,3,3.842316
-13.0,14,3.856693
8.607728,3,3.85886
22.968293,3,3.862372
-89.422741,100,3.948097
22.968293,3,3.951706
29.30062,3,3.956089
-27.907224,39,3.990143
-100.0,100,4.079022
9.607728,3,4.082697
8.149737,4,4.087137
-50.907224,62,4.142374
8.092776,3,4.143965
7.149737,5,4.149922
9.149737,3,4.152516
9.607728,3,4.156059
7.577259,4,4.159591
-0.907224,12,4.170132
8.458219,3,4.174379
10.612313,24,4.195015
-54.271564,100,4.282675
42.945064,3,4.286251
19.730326,3,4.288765
8.092776,3,4.292112
-88.422741,100,4.38024
33.28252,4,4.383972
20.190236,3,4.38833
-15.0,15,4.402164
12.259973,3,4.403717
42.545091,3,4.407207
5.092776,6,4.416479
-24.850263,36,4.448024
-100.0,100,4.535508
-27.0,27,4.55696
9.607728,3,4.561511
-89.422741,100,4.685189
-100.0,100,4.721776
-100.0,100,4.758407
-76.939341,100,4.794761
19.730326,3,4.796293
-60.907224,72,4.866173
9.607728,3,4.869806
-100.0,100,4.956352
9.607728,3,4.960958
8.607728,4,4.964899
19.730326,3,4.968328
-100.0,100,5.055131
9.607728,3,5.057839
-100.0,100,5.144453
-41.411136,67,5.20335
51.514701,3,5.206652
19.730326,3,5.210972
9.607728,3,5.212719
9.149737,3,5.216227
9.607728,3,5.219799
-19.0,19,5.237178
9.149737,3,5.238909
20.190236,3,5.242395
-100.0,100,5.329721
-100.0,100,5.419451
-100.0,100,5.508476
-31.0,31,5.53567
23.178848,3,5.539219
51.514701,3,5.541724
9.607728,3,5.545341
42.945064,3,5.548861
9.149737,3,5.552434
34.28252,3,5.554827
7.149737,5,5.560671
9.607728,3,5.562379
30.005086,3,5.565841
29.30062,3,5.570003
8.149737,4,5.573792
-65.387687,100,5.661682
9.149737,3,5.665358
-100.0,100,5.761143
52.311788,3,5.762845
30.846448,3,5.76636
-76.939341,100,5.856285
19.730326,3,5.860939
19.730326,3,5.864414
1.588864,24,5.885699
-5.422741,16,5.899697
9.149737,3,5.902318
9.149737,3,5.905989
9.149737,3,5.909571
-13.422741,25,5.931615
8.551654,3,5.935672
9.607728,3,5.939319
22.968293,3,5.941099
29.30062,3,5.944899
34.28252,3,5.949121
9.149737,3,5.952626
-76.939341,100,6.0408
9.149737,3,6.042617
9.149737,3,6.049839
8.551654,3,6.053083
22.968293,3,6.056571
9.149737,3,6.05827
19.730326,3,6.062455
-76.939341,100,6.150474
31.612313,3,6.154074
9.607728,3,6.158928
7.577259,3,6.161394
37.13349,3,6.164713
9.149737,3,6.16836
-54.634557,55,6.218929
30.005086,3,6.221476
31.612313,3,6.225074
8.458219,3,6.228587
8.092776,3,6.231979
-62.0,62,6.285643
8.458219,3,6.290702
9.149737,3,6.294305
42.945064,3,6.295925
19.730326,3,6.300322
-10.0,10,6.310324
-12.422741,23,6.329986
-17.422741,28,6.354605
-89.422741,100,6.444613
9.149737,3,6.448354
34.28252,3,6.451884
