#{"t_start": 1752553575.6204565, "env_id": "None"}
r,l,t
-21.0,21,0.054218
17.571592,3,0.057029
-1.48826,3,0.063222
-1.48826,3,0.066726
-51.494829,62,0.118975
17.571592,3,0.123574
17.571592,3,0.127063
-78.0,78,0.194318
-84.0,84,0.267266
-8.0,8,0.276397
-66.0,66,0.333751
-99.0,100,0.421794
-68.0,69,0.480583
-63.0,63,0.55691
-100.0,100,0.644836
-99.0,100,0.734036
-99.0,100,0.855776
-43.0,43,0.901654
-83.0,83,0.975519
-80.0,80,1.21662
-98.0,98,1.363536
-100.0,100,1.4621
-13.0,14,1.473171
-100.0,100,1.559649
7.505171,3,1.56301
7.505171,3,1.567441
-51.0,51,1.611062
-96.0,96,1.693228
-2.0,3,1.696668
-2.0,3,1.70815
-44.0,44,1.745987
7.505171,3,1.749485
-100.0,100,1.836246
-100.0,100,1.924107
-2.0,3,1.927628
-2.0,3,1.929018
7.505171,3,1.932318
-100.0,100,2.024997
-100.0,100,2.119963
-100.0,100,2.206201
-100.0,100,2.292006
-29.0,29,2.319916
-100.0,100,2.406358
-12.0,13,2.419169
-2.0,3,2.422398
-100.0,100,2.51204
-99.0,100,2.605409
-100.0,100,2.697668
-100.0,100,2.790701
-100.0,100,2.881303
-86.0,86,2.95927
17.571592,3,2.96243
-3.0,3,2.963718
-100.0,100,3.051601
-32.0,32,3.078781
-100.0,100,3.166392
-9.0,9,3.17551
-2.0,3,3.179273
7.505171,3,3.182696
-100.0,100,3.276184
-19.494829,30,3.305055
-100.0,100,3.393128
-35.0,35,3.423435
-10.0,10,3.432647
-100.0,100,3.519765
-100.0,100,3.608271
-32.494829,43,3.645544
-14.0,14,3.658413
7.505171,3,3.661691
-100.0,100,3.747644
-100.0,100,3.834446
7.505171,3,3.837782
-100.0,100,3.922968
-100.0,100,4.01136
-45.0,45,4.050496
7.505171,3,4.054327
-2.0,3,4.055975
-100.0,100,4.142641
-23.0,23,4.162708
-100.0,100,4.249291
7.505171,3,4.252716
-100.0,100,4.341907
-100.0,100,4.429195
